start	end	duration	text
190	380	190	.
480	5580	5100	1:1-Untertitelung
5840	8980	3140	"Guten Abend, herzlich willkommen zu ""10vor10""."
9150	13020	3870	Heute mit News und Hintergründen zu diesen Themen:
15880	20140	4260	Der Umsatz im Wintersportgeschäft bricht um bis zu 30 % ein.
23060	27540	4480	Wie eine Schweizerin seit Monaten unermüdlich Flüchtlingen hilft.
31230	34060	2830	Was Drohnenflüge so gefährlich macht.
37010	42420	5410	Wie Kalifornien den drohenden Verkehrskollaps verhindern will.
44290	47460	3170	Endspurt im Weihnachtsshopping.
47660	49500	1840	In Scharen haben sich Schweizerinnen und Schweizer
49630	51340	1710	nochmals ins Getümmel gestürzt,
51430	53900	2470	um die letzten Geschenke für die Liebsten zu besorgen.
54130	57500	3370	Allerdings läuft das Weihnachtsge- schäft längst nicht überall rund.
57680	60460	2780	V.a. bei den Winterartikeln kriselt's.
60590	62660	2070	Denn wer will schon eine Kappe oder Skis kaufen,
62880	66260	3380	wenn draussen fast schon frühlings- hafte Temperaturen herrschen?
66400	70140	3740	Um 30 %, so die Recherche unseres Reporterteams,
70350	74539.99999999999	4190	sind die Verkäufe bei den Wintersportartikel eingebrochen.
76190	79140	2950	* Rhythmische Musik *
79280	82740	3460	Eiskugeln statt Schneebälle.
82960.00000000001	85260	2300	Auf der Zürcher Einkaufspiste am Bellevue
85380	87860	2480	liegt das einzige Eis, das es gibt, in der Waffel.
87960.00000000001	89860	1900	Und ist süss.
90030	92700	2670	Der Glaceladen läuft heute Nachmittag auf Hochtouren.
92800	95259.99999999999	2460	Wir fanden, es sei so schön, so eine Frühlingsstimmung,
95470	97860	2390	dass wir gleich Lust hatten, ein Glace zu essen.
98020.00000000001	102300	4280	Sie sähen Eis lieber unter den Kanten ihrer Ski als in der Waffel:
102380	106020.00000000001	3640	die Wintersporthändler.
107120	110860	3740	70 cm. Komm, wir schauen da vorne, Schatz!
111789.99999999999	114140	2350	Der 82-jährige Fridolin Karrer
114220	117420	3200	ist so etwas wie der Skiverleih-König der Region Basel.
117590	121620	4030	Mit der Mieterei, wie er sagt, gibt er den Kunden in einem guten Winter
121770	125260	3490	rund 25'000 Paar Ski mit auf die Piste.
125430	128020.00000000001	2590	Karrer ist schon 30 Jahre im Geschäft.
128190	130940	2750	Einen solchen Winteranfang habe er noch nie erlebt.
131150	135260	4110	Kein Schnee ist das Eine, die fehlende Kälte spüren sie noch mehr.
138040	141100	3060	Ja, das merken wir natürlich schon.
141310	144820	3510	Wir haben Schneeschuhe, Langlauf, das geht alles nicht.
145000	147940	2940	Momentan kann niemand langlaufen gehen.
148120	151260	3140	Da ist kein Bedarf.
151440	153940	2500	Es bleibt alles liegen. Eingekauft hätten wir zwar.
154079.99999999997	157540	3460	Karrer rechnet derzeit mit einem Minus von bis zu 20 %.
157690	160380	2690	Das ist vermutlich noch optimistisch kalkuliert.
160480	162340	1860	Kommt hinzu:
162430	165820	3390	Viele Kunden holen ihre Ski später zur Miete als in anderen Jahren.
167160	169260	2100	Ehrlich gesagt hat man nicht so Lust.
169390	173260	3870	Aber wir gehen in die Berge und hof- fen, dass es noch etwas Winter gibt.
173430	176540	3110	Normalerweise machen wir das einige Monate früher.
176620	178660	2040	Aber dadurch, dass es sich vom Schnee her
178760	180340	1580	noch nicht aufgedrängt hat,
180510	182580	2070	haben wir es auf kurz vor Weihnachten verschoben.
182820	185660	2840	Claudio Schoch leitet die SportXX-Filiale in Bülach.
185780	187700	1920	Die warmen Temperaturen
187960	189700	1740	machen auch dem Migros-Unternehmen zu schaffen.
189880	192380	2500	V.a. die Winterkleidung bleibt hängen.
192500	194420	1920	Ja, sicher haben wir die Massnahme,
194610	196700	2090	dass wir einen grossen Sale-Bereich haben,
196829.99999999997	198940	2110	wo wir viele Artikel günstiger anbieten,
199070	201780	2710	um den Umsatz etwas anzukurbeln.
201910	205620	3710	Da sind sehr attraktive Artikel drin,
205829.99999999997	208579.99999999997	2750	die z.T. aus der aktuellen Saison stammen.
208710	213220	4510	Sie spüren die Wärme am stärksten: Die kleinen Sportgeschäfte,
213430	216420.00000000003	2990	die in diesen Monaten voll auf Wintersport setzen.
216620	219940	3320	Wie Rudaz Sport in fribourgischen Schmitten.
220090	224220	4130	Wenn Patrick Rudaz die Wetter-App checkt, packt ihn das nackte Grauen.
224400	227220	2820	Eine Sonne lacht die andere weg.
227390	229500	2110	Es ist zu warm, man kann nicht beschneien.
229600	232460	2860	Es war bei uns in der Region noch überhaupt nie richtig Winter.
232610	235980	3370	Das beeinträchtigt das gesamte Ski-Geschäft enorm.
236100	239380	3280	Wie viel macht das prozentmässig aus?
239510	243220	3710	Im Vergleich zu einem sehr guten Dezember
243340	248140	4800	sind es fast 30-40 % weniger Umsatz.
248220	252500	4280	Auch heute Nachmittag herrscht in Rudaz' Laden fast besinnliche Ruhe.
252600	256100.00000000003	3500	"""Januar und Februar kommen ja noch"", sagt er."
256220.00000000003	258700	2480	Die Hoffnung schmilzt zuletzt.
260300	264140	3840	Unter dem bislang verpatzten Winter leiden die Bergbahnen mit am meisten.
264250	266180	1930	In Graubünden haben heute
266310	268220	1910	etwa ein Dutzend Bergbahnen und Tourismusbetriebe
268480	270980	2500	bei den Behörden Kurzarbeit angemeldet.
271240	274580	3340	Umso erstaunlicher ist, dass zwei Bergbahnunternehmen
274750	277780	3030	zu den Gewinnern des ablaufenden Börsenjahres gehören.
277950	281500	3550	Ein Börsenjahr, welches insgesamt schlecht verlaufen ist.
281600	285580	3980	Der Swiss Market Index ist seit Anfang Jahr um über 3 % gesunken.
285710	288260	2550	In diesem schwierigen Umfeld
288420	291420	3000	gehören also zwei Bergbahnen zu den Börsenüberfliegern.
291680	295020	3340	Wie haben sie das geschafft in Zeiten, in denen der starke Franken
295120	298060	2940	manch einem in der Tourismusbranche das Geschäft vermiest.
298200	300220	2020	Andreas Kohli berichtet.
301720	304500	2780	264 Firmen sind an der Schweizer Börse kotiert.
304600	307580	2980	Zu den Besten gehört dieses Jahr ...
307710	309700	1990	... sein Unternehmen.
309920	311980	2060	Es lebt vom Tourismus, also mit dem starken Franken.
312110	313780	1670	Doch für Fernando Lehner ...
313890	315500	1610	Guten Morgen miteinander.
315680	318340	2660	... Chef der BVZ Holding und damit der Gornergrat Bahn in Zermatt,
318430	320660	2230	ging es dieses Jahr nur bergauf.
320790	324780	3990	Um 82 % ist die Aktie gestiegen.
327860	330500	2640	Wir arbeiten gut, wir haben ein gutes Wintergeschäft
330590	332780	2190	und v.a. ein starkes Sommergeschäft.
332930	336620	3690	Ja, wir sind stetig und konstant - das ist sicher sehr attraktiv,
336720	338659.99999999994	1940	auch für den Investor.
338880	341060	2180	Zwar kommen weniger Gäste aus dem Euroraum,
341159.99999999994	343860	2700	aber dank teurem Marketing mehr Asiaten.
344050	346540	2490	Und die kommen auch bei wenig Schnee und im Sommer.
346670	350180	3510	Der Sommer trägt 60 % zum Jahresumsatz bei.
350360	354500	4140	Die Gornergrat Bahn gehört zur BVZ Holding,
354600	356659.99999999994	2060	und diese ist breit aufgestellt:
356830	360380	3550	Immobilien, Glacier Express und die Bahn Disentis-Zermatt
360500	364420	3920	bringen Geld ein, auch von Bund und Kantonen.
