start	end	duration	text
2860	3290	430	.
3410	6410	3000	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7500	9210	1710	Guten Abend, meine Damen und Herren.
9320	11610	2290	"Hier ist die ""Tagesschau"", und das sind die Themen heute Sonntag:"
13000	16129.999999999998	3130	Erstmals spricht sich eine Mehrheit der Schotten
16180	18250	2070	für die Unabhängigkeit aus.
19660	25490	5830	Das Parlament steht vor einer heiklen ethischen Debatte.
27820	31210	3390	Matthias Sempach gewinnt überzeugend am Kilchberger.
33500	38490	4990	Die ausgebrannte Amalienbibliothek erstrahlt in neuem Glanze.
40160	42290	2130	Und es bleibt sommerlich warm.
43700	47770	4070	Wer hätte das gedacht? In Schottland wirds doch noch spannend.
47870	48890	1020	Und wie es spannend wird!
49070	51890	2820	Wenn es in 10 Tagen darum geht, ob sich die Schottinnen und Schotten
52050	54410	2360	von Grossbritannien loslösen wollen oder nicht.
54590	57090	2500	Zum allerersten Mal sagt in einer Umfrage
57170	59330	2160	eine Mehrheit Ja zur Unabhängigkeit.
59510	61970	2460	Die Befürworter konnten in den letzten Wochen
62150	65290.00000000001	3140	ihren Rückstand auf die Gegner der Unabhängigkeit wettmachen.
65489.99999999999	68570	3080	Einen Rückstand, der zeitweise uneinholbar schien.
69950	72210.00000000001	2260	Strassenfest und Musik:
72390	75530	3140	Die Befürworter einer Abspaltung Schottlands sind im Aufwind.
76240	80130	3890	Das Schöne an unserer Ja-Kampagne ist, dass sie im Volk wurzelt.
80310	83890	3580	Sie wird von Menschen aus allen Schichten der Bevölkerung getragen.
84090	88770	4680	Und ich denke, jetzt ist die Kampagne nicht mehr zu stoppen.
88850	90530	1680	Naturgemäss etwas anders
90710.00000000001	92810	2100	sehen das die Gegner einer Abspaltung Schottlands.
93050	95250	2200	Nun doppelt gar der britische Schatzkanzler nach
95420	100050	4630	und verspricht den Schotten - quasi im letzten Moment - mehr Freiheiten.
100130	105090	4960	Mehr Steuer-Kompetenzen, mehr Budget-Kompetenzen,
105259.99999999999	107210.00000000001	1950	mehr Kompetenzen über die Sozialausgaben.
107390	109890	2500	Dies alles wird in dem Moment in Kraft gesetzt,
110070	115930	5860	wenn es ein Nein gegen das Referendum gibt.
117520.00000000001	120210	2690	London stellt den Schotten also einige Privilegien in Aussicht,
120360	123050	2690	falls sie Nein zu einer Unabhängigkeit sagen.
123280	126890	3610	Urs Gredig: Ist das ein Deal, bei dem die Sympathisanten
127010	137730	10720	einer Unabhängigkeit mitmachen? Wir untertiteln live:
137840	139730	1890	Das ist fraglich.
142010	144770	2760	London verspricht den Schotten mehr Autonomie schon länger,
145810	147730	1920	im Steuerwesen und im Sozialwesen.
150210	152610	2400	Es zeigt, wie nervös die britische Regierung ist.
153820	155810	1990	Sie wurde auf dem falschen Fuss erwischt.
160320	163250	2930	Das Momentum liegt nun klar bei den Befürwortern der Autonomie.
164090	166170.00000000003	2080	Ein Momentum zu stoppen ist nicht so einfach.
176060	178220	2160	Wie ist dieser Meinungsumschwung zu erklären?
180280	182500	2220	Können die Befürworter von einem Sieg ausgehen?
183370	185340	1970	So weit ist es nicht.
186600	188540	1940	Für mich gibt es einen Hauptgrund.
192400	194340	1940	Das Ja-Lager ist mehr engagiert.
195090	196940	1850	Es ist fast beseelt.
200020	202140	2120	Die Leute gehen von Tür zu Tür, um zu werben.
204810	207380	2570	Der Kampf um die Stimme scheint sich nun auszuzahlen.
207460	209420.00000000003	1960	Auch bei den Frauen.
215840	218940	3100	Die waren zuerst eher skeptisch, nun wechseln viele ins Ja-Lager.
219060	221140	2080	Es ist nun ein Kopf-an-Kopf-Rennen.
223110	226260	3150	Die Wahrscheinlichkeit, dass die europäische Familie nun ein neues
232220	234390	2170	schottisches Mitglied begrüssen kann, ist so gross wie nie.
238740	241270	2530	In die Ukraine, wo die Waffen seit Freitag ruhen sollten.
241430	243390	1960	"Und ja, sie hören es schon an der Formulierung ""sollten""."
243490	245190	1700	Die Waffenruhe im Osten der Ukraine
245350	247110	1760	wird nicht von allen Konfliktparteien respektiert.
247290	249190	1900	Heute werden neue Kämpfe gemeldet - aktuell vom Flughafen von Donezk.
249370	251190	1820	In der Nacht kam es auch in der Hafenstadt Mariupol
251340	252910	1570	zu einem Artilleriebeschuss.
253060	254510	1450	Beides sind strategisch wichtige Orte,
254660	256510	1850	die die ukrainischen Regierungs- truppen bisher verteidigen konnten.
