start	end	duration	text
620	2220	1600	.
17940	19860	1920	MIT TELETEXT-UNTERTITELUNG
20870	24700	3830	Ich zeigen Ihnen, wie ich mit den Übungen am Morgen beginne,
25440	26780	1340	mithilfe dieser Kommode.
27610	29900	2290	Das mache ich jeden Tag so.
30330	32460	2130	Für mich ist es wie gegen Trainingsschluss.
33450	36980	3530	Ich muss schauen, dass ich das Gleichgewicht halten kann.
37690	41780	4090	vielleicht nicht gerade auf Anhieb. Das ist eine anspruchsvollere Übung.
42490	44580	2090	Warum wollen Sie sie uns unbedingt zeigen?
45310	47860	2550	Um zu zeigen, wie anspruchsvoll das Training ist.
48530	50020	1490	Dann geht es ...
50610	52020	1410	Dehnen ist wichtig.
52690	54100	1410	Hier habe ich eine Kombination
54770	56540	1770	von Koordination
57220	58940	1720	und Dehnen.
59570	63460	3890	In der frühen Phase war es manchmal wirklich die Hölle.
64610	66500	1890	Wirklich wie die Hölle!
67220	70060	2840	Nachts habe ich die Beine im Bett nicht gespürt.
70730	73340	2610	Als ich nachts wach wurde, wusste ich nicht,
73990	75460.00000000001	1470	ob ich sie noch bewegen kann.
78789.99999999999	82100	3310	Laufen - oder vielmehr davonlaufen - als Lebensmaxime.
83730	85700	1970	Davon handelt dieser Film.
87140	89060	1920	* Melancholische Klaviertöne *
105090	107060	1970	Bahnstation Cholermüli bei Zug:
107820	110860	3040	Hier warte ich auf die Zürcher alt Kantonsrätin Liliane Waldner.
111700	114100	2400	Hallo, Frau Waldner! - Hallo, Frau Nikisch!
114770.00000000001	116460.00000000001	1690	Wie geht es Ihnen? - Es geht mir gut.
117200	120100	2900	Die ehemalige SP-Politikerin hat eine Mission -
120810	122980	2170	und ich werde sie ein Stück weit begleiten.
123670	126020	2350	Wollen Sie am Geländer entlang gehen?
126740	128500	1760	Das mache ich immer, aus Sicherheit.
129889.99999999999	134140	4250	Liliane Waldner ist vor ca. 30 Jahren an Multiple Sklerose erkrankt.
134850	136740	1890	Ihre selbstverordnete Therapie: Laufen.
137410	139220	1810	Der Krankheit davonlaufen.
139900	141700	1800	Und zwar mit System:
142420.00000000003	145020	2600	Seit gut drei Jahren marschiert sie praktisch täglich
145820	148100	2280	etappenweise dem Schweizer Flussnetz entlang.
149970	152980	3010	Ich habe ein Thema, welches ich verfolgen kann.
153660	155060	1400	Das hilft mir.
155810	158460	2650	Ich habe gemerkt, dass mich die Flüsse faszinieren.
159260	161340	2080	Deshalb will ich alle Flüsse abmarschieren.
162170.00000000003	165420.00000000003	3250	Die Flüsse sind Power pur - vielleicht ist es das.
166100	169260	3160	Es zieht mich an und ich laufe auch dem Fluss entgegen,
169950	171820	1870	also gegen den Strom, hinauf.
172640	174579.99999999997	1940	Also gegen den Widerstand.
176050	178060	2010	Einfach Widerstand ...
178730	180980	2250	Das ist auch charakteristisch für Ihr Leben.
181690	184740	3050	Ja, es geht auch darum, Widerstände zu überwinden.
186780	189260	2480	Wenn der Wecker abgestellt ist ...
189970	193500	3530	Irgendwie beginne ich dann damit, mich erst einmal zu strecken.
194230	197660	3430	Ein Bein geht ganz nach aussen und dann wieder zurück.
198410	200380	1970	Das kann etwa so ...
201170.00000000003	204380	3210	Das kann auf jeder Seite etwa fünf- bis zehnmal sein.
205850	208660	2810	Liliane Waldner zeigt mir ihr tägliches Training.
209420.00000000003	211860	2440	Mit Wandern, gesunder Ernährung und Übungen wie diesen
212530	214140	1610	hofft die 64-Jährige,
214770	218140	3370	den Verlauf ihrer unheilbaren Krankheit positiv zu beeinflussen.
218810	220220	1410	Multiple Sklerose
220930	223900	2970	ist eine entzündliche Erkrankung des zentralen Nervensystems,
224610	226900	2290	mit individuell unterschiedlichen Auswirkungen.
227640	230180	2540	Bei mir sind es v.a. sehr starke Beschädigungen
230890	234060	3170	im Bereich des Rückenmark, weniger im Bereich des Gehirns.
235220	237180	1960	Welches sind die Auswirkungen?
238450	242100	3650	Ja, das kann verschiedene Auswirkungen haben.
243140	245540	2400	Man kann eine Sehnerv-Entzündung haben.
246530	249980	3450	Das hatte ich zweimal, aber es hat sich wieder erholt.
250690	255740	5050	Bei mir sind es Kribbeln, Gleichgewichtsstörungen, Taubheit.
256620	258940	2320	In schweren Fällen auch Lähmungen.
259730.00000000003	261700	1970	Und, äh ...
262400	263900	1500	... bis in den Rollstuhl, oder.
264620	268620	4000	Macht es Ihnen Angst, zu wissen, dass Ihre Krankheit so verlaufen kann?
269290	270940	1650	Ob mir das Angst macht ...
271650	274540	2890	Wissen Sie, ich beschäftige mich wenig mit meiner Angst.
275250	278659.99999999994	3410	Wozu soll man sich da immer Gedanken machen, Frau Nikisch?
279380	281220	1840	Wir müssen leben und vorwärts schauen.
282380	285100	2720	Gekonnt weicht mir die Ex-Politikerin aus.
285730	288700	2970	Da habe ich irgendwo noch ein paar ganz alte Sachen.
289380	292540	3160	Statt über das Ende, spricht sie lieber über den Anfang.
293270	295620	2350	Das war Mami. Das ist ein frühes Bild.
296370	299140	2770	Das ist sogar in irgendeiner Zeitung erschienen.
299810	301660	1850	Ich war schon früh medial vertreten.
305410	307300	1890	Genau, medienerprobt,
308660	310580	1920	quasi ab der ersten Stunde.
311770	316340	4570	Die kleine Liliane, in der Schweiz der 50er-Jahre, eine Attraktion:
317140	320580	3440	ein dunkelhäutiges, aussereheliches Kind - ohne Vater.
324160	326860	2700	Ich habe sie immer gefragt, wo denn der Vater sei.
327490	331220	3730	Warum haben andere Kinder - in der Schule oder im Kindergarten -
331860	333220	1360	einen Vater?
333950	339580	5630	Und dann hat sie mir halt gesagt, wer ... wie sein Name ist.
340560	345020	4460	Dass er halt in Uganda sei und nicht hier.
345650	347700	2050	Daran konnten wir nichts ändern.
349050	351700	2650	Da sah sie blendend aus, wie ein Filmstar!
352560	356140	3580	Man spürt es: Liliane Waldner ist stolz auf ihre Mutter,
356860	360340	3480	die in jungen Jahren eine Schauspielschule in England besuchte.
361060	363100	2040	Dort lernte sie Lilianes Vater kennen,
363770	365180	1410	einen afrikanischen Studenten.
365870	369020	3150	Kam nie infrage, dass die beiden zusammenbleiben?
369670	370100	430	Nein.
370690	372420	1730	Sie hat ja dann herausgefunden,
373170	375780	2610	dass er in Afrika schon Frau und Kinder hatte.
377370	380300	2930	Bei den afrikanischen Männern ist das halt so!
381390	383380	1990	Die haben überall Kinder.
384540	387900	3360	Im Nachhinein fanden wir heraus, dass er auch noch ...
389740	392060	2320	Meine Mutter und seine offizielle Frau
392690	395460	2770	waren nicht die Einzigen, mit denen er Kinder hatte.
396409.99999999994	398340.00000000006	1930	Da war ich mit Daddy im Zoo.
399850	402380	2530	Im späteren Lebensgefährten ihrer Mutter
403100	405100	2000	fand Liliane Waldner einen Ersatzvater.
409850	413140	3290	(TV-Originalton) Szenenwechsel zu Liliane Waldner.
413770	415659.99999999994	1890	Sie ist 36 und begeisterte Berggängerin.
