start	end	duration	text
2560	4140	1580	.
4120	6380	2260	1:1-Untertitelung
7120	8980	1860	Guten Abend, meine Damen und Herren.
8960	11420	2460	"Hier ist die ""Tagesschau"", und das sind die Themen heute Samstag:"
13890	18300	4410	Staatschef Erdogan lässt regierungskritische Zeitung stürmen.
21000	26940	5940	In ihrem Kampf gegen die Einwanderung will die SVP die Kräfte bündeln.
29470	34940	5470	Die obersten Regelhüter lassen den Videobeweis testweise zu.
37240	40780	3540	Schneeschauer im Norden, freundlicher im Süden.
42790	44780	1990	Der türkische Präsident Erdogan
44760	46820	2060	verstört seine internationalen Partner -
46810	51060	4250	und das zwei Tage vor dem wichtigen EU-Gipfel zur Flüchtlingskrise,
51050	53580	2530	bei dem die Türkei eine zentrale Rolle spielt.
53540	56900	3360	Polizisten haben in der Nacht auf heute das Redaktionsgebäude
56880	59900	3020	"der regierungskritischen Zeitung ""Zaman"" gestürmt -"
59880	62140	2260	gegen den Widerstand von einigen Tausend Demonstranten.
63860	66300	2440	Mit Tränengas und Wasserwerfern
66260	69340	3080	geht die Polizei gegen die protestierende Menge vor.
69330	71780	2450	Aufgebrachte Demonstranten versuchen,
71760	75500	3740	die Erstürmung der Redaktion zu verhindern. Vergeblich.
75480	78660	3180	Die Sicherheitskräfte verschaffen sich Zutritt zum Gelände.
78640	81380	2740	Die Regierung übernimmt die Kontrolle.
81360	88660	7300	Die Erstürmung der Redaktion, gefilmt von Mitarbeitern.
88640	91060	2420	Sie sehen im Übergriff des Staates
91050	93860	2810	das Ende der Medienfreiheit in der Türkei gekommen.
93850	97820	3970	Die Polizisten besetzen eine Zeitung,
97820	99979.99999999999	2160	die einem Erzfeind von Präsident Erdogan nahesteht,
99960.00000000001	103340	3380	dem islamischen Prediger Fethullah Gülen.
105450	107740.00000000001	2290	Erdogan und Gülen kämpften einst
107729.99999999999	110820	3090	gemeinsam für einen grösseren Einfluss des Islams.
110780	112660	1880	Dann verkrachten sie sich.
112650	116460.00000000001	3810	Erdogan erklärte Gülens Bewegung zur Terrororganisation.
116440	119539.99999999999	3100	Der Vorwurf: Gülen kontrolliere über Parallelstrukturen
119520.00000000001	122700	3180	Teile des Staates wie Justiz und Militär.
122700	126300	3600	Mit dem Ziel, Erdogan zu verdrängen.
126280	130620	4340	"Der Protest von Anhängern Gülens und von ""Zaman""-Zeitungslesern"
130610.00000000001	132540	1930	geht heute weiter.
132530	135660	3130	Die Polizei antwortet mit gewohnter Härte.
136220	138740	2520	Alle Meinungen sollten gehört werden,
138720	141340	2620	eine einzelne Stimme bedeutet nichts.
141329.99999999997	144750	3420	Wir sind gekommen, um zu zeigen, wie verschieden die Meinungen sind
144730	151110	6380	und um die Zeitung zu unterstützen. Wir sind besorgt.
151890	153829.99999999997	1940	Die Ereignisse in Istanbul
153810	157670.00000000003	3860	lösen auch in den USA und bei der EU in Brüssel Besorgnis aus.
157630	162110	4480	Auf den Partner Türkei ist man in der Flüchtlingsfrage angewiesen.
162090	164870	2780	Andererseits gebe es Grundrechte wie die Pressefreiheit,
164860	167070	2210	die nicht verhandelbar seien.
168740	171790	3050	Ja, die Flüchtlingskrise, sie bringt Europa an ihre Grenzen.
171750	176150	4400	Und an den Grenzen zu Europa stranden immer mehr Flüchtlinge,
176110	178750	2640	seit die sog. Balkanroute blockiert wird.
178720	180870	2150	An der griechisch-mazedonischen Grenze
180830	182790	1960	ist die Lage inzwischen so schlimm,
182760	185950	3190	dass der Gouverneur der Region den Notstand ausrufen will.
187590	190630	3040	Das Flüchtlingslager Idomeni an der griechisch-mazedonischen Grenze
190610	194150	3540	ist eingerichtet für die Betreuung von 2'000 Menschen.
194130	197310	3180	Doch nun harren hier 13'000 Menschen aus.
197270	201150	3880	Nach kräftigen Regenfällen hat sich der Boden in Schlamm verwandelt.
201140	205470	4330	Mazedonien lässt pro Tag nur eine begrenzte Zahl
205460	209230	3770	syrischer und irakischer Flüchtlinge über die Grenze.
209220	211670.00000000003	2450	Griechische Hilfsorganisationen raten den Flüchtlingen,
211640	215670.00000000003	4030	in besser organisierte Lager weiter südlich umzuziehen -
215660	218230	2570	meist ohne Erfolg:
218200	222630	4430	Ich will nach Deutschland, egal, wie lange es dauert.
222590	227670.00000000003	5080	Ich muss warten, bis die Grenze geöffnet wird.
227640	231430	3790	Ich kann nicht nach Syrien zurück. Dort herrscht Krieg.
231410	236070	4660	Über 30'000 Flüchtlinge sind derzeit in Griechenland gestrandet,
236050	238070	2020	schätzt die griechische Regierung.
238040	242350	4310	Und täglich kämen gegen 2'000 aus der Türkei hinzu.
244280	245870	1590	In die Schweiz.
245850	248630	2780	Die SVP geht im Moment offenbar grundsätzlich über die Bücher.
248610	252030	3420	Struktur und Strategie werden angepasst.
251990	256110	4120	So kündigte Christoph Blocher an, es werde weniger Initiativen geben.
256089.99999999997	260510	4420	Und etwa zeitgleich wird eine neue Führungsstruktur präsentiert.
260490	262590	2100	Das geht nicht ohne Rumoren.
262580	264910	2330	Judith Übersax beispielsweise tritt -
264910	269390	4480	"so berichtet der ""Tages-Anzeiger"" heute - aus der SVP aus."
269360	272270	2910	Sie, die bisher Präsidentin der SVP-Frauen war,
272260	274750	2490	wurde als Vizepräsidentin der SVP abgesetzt.
274730	277710	2980	Auch andere müssen Platz machen. Petra Frey.
279330	281230	1900	Die SVP im Umbruch.
281200	282950	1750	Das Präsidium wird verkleinert,
282940	285640	2700	soll aber die einzelnen Regionen stärker vertreten.
285620	288760	3140	Die Parteirepräsentanten erläutern die Neuorganisation.
289530	291360	1830	Wir haben nach einer sehr ausgewogenen Verteilung gesucht.
291340.00000000006	294880	3540	Insbesondere die Vertretung der Romandie mit zwei Vizepräsidenten
294850	296920	2070	war uns sehr wichtig.
296909.99999999994	299880	2970	Eine ausgewogene Vertretung unter den Kantonen,
299860	301920	2060	die grössten Sektionen am meisten vertreten -
