start	end	duration	text
15390	17320	1930	.
17480	23720	6240	1:1-Untertitelung. Livepassagen können Fehler enthalten.
28120	30080	1960	"Guten Abend miteinander, das ist ""Schweiz aktuell"""
30180	32080	1900	und dies sind heute unsere Themen:
33400	35840	2440	In einem Jungwachtlager sind mehrere Personen verletzt worden,
36020	38240	2220	weil ein selbstgebauter Holzturm zusammenkrachte.
40000	43680	3680	Heftige Regenfälle haben die Kirschen im Solothurner Schwarzbubenland
43870	47400	3530	zum Platzen gebracht - für die Bauern ein herber Verlust.
49230	52040	2810	Und dann schalten wir ab heute bis Ende Woche jeden Tag
52200	54360	2160	zu Oliver Bono nach Frauenfeld.
54590	57240	2650	Dort, wo das grösste Hip-Hop-Festival der Schweiz ansteht.
58720	71160	12440	Wir untertiteln live:
71130	73240	2110	Das Open Air Frauenfeld wird wohl eines der matschigsten
73470	75360	1890	der Geschichte.
77270	79160	1890	Wir erfahren, was das für Leute sind,
80360	82200	1840	die heute schon zu tausenden gekommen sind,
85270	87050	1780	obwohl es erst morgen losgeht.
87160	89330	2170	Und wir schauen uns auch die Geschichte des Openairs an.
89970	92650	2680	In einem Jungwachtlager in Riom-Parsonz, oberhalb von Savognin,
92810	94930	2120	sind heute mehrere Personen verunglückt.
95060	97009.99999999999	1950	Die Gruppe war auf einem selbstgebauten Holzturm,
97110	99370	2260	als der Boden nachgab.
99520.00000000001	101690	2170	7 Jugendliche und 2 Leiter wurden dabei verletzt.
103039.99999999999	107250	4210	Etwa in der Mitte dieses Turms, auf 3,5 m Höhe,
107479.99999999999	110570	3090	ist ein Balken, der die Plattform stützte, plötzlich gebrochen.
110740.00000000001	114250	3510	Dabei sind 9 Jungwacht-Mitglieder mit der Plattform abgestürzt.
116320	119090	2770	2 Kinder wurden schwerer verletzt und mussten mit der Rega
119310	121570	2260	ins Kantonsspital nach Chur geflogen werden.
121800	124770	2970	Ein Leiter und ein Kind haben noch unbestimmte Verletzungen erlitten,
124910	127930	3020	aber sie mussten doch ins Spital nach Savognin gebracht werden.
128100	133410	5310	Die restlichen 5 sind mit Schürf- ungen und Prellungen davongekommen.
133570	137870	4300	Wie es genau zu diesem Unglück gekommen ist, weiss man noch nicht.
137970	141030	3060	Die Staatsanwaltschaft Graubünden untersucht jetzt den Unfall.
141230	144630	3400	Wir möchten natürlich wissen, wie es zu diesem Unfall kommen konnte.
144829.99999999997	146990	2160	Wir werden uns jetzt das Ganze genau anschauen
147200	149670.00000000003	2470	und auch den Balken untersuchen,
149750	152470	2720	der hier im Einsatz war - und eben nachgab.
152680	155710	3030	Das Lager ist von einer Jungwacht aus dem Kanton Luzern -
155890	157950	2060	ob es abgebrochen wird, ist nicht bekannt.
158040	160790	2750	Die Kinder und Jugendlichen werden derzeit von den Leitern betreut.
161920.00000000003	164510	2590	Für die Kirschbauern im Solothurner Schwarzbubenland
164760	167230	2470	war das Regenwetter der letzten Tage verheerend.
167370	170110	2740	Der heftige Regen hat grosse Teile der Hochstammernte zerstört.
170230	173350	3120	Dabei hat sich die Region noch vor Kurzem
173600	176110	2510	über eine mögliche Rekordernte freuen dürfen.
176230	178430	2200	"""Schweiz aktuell"" war erst gerade vor einer Woche"
178600	180950	2350	im solothurnischen Metzerle auf dem Hof von Rene Meier.
181180	183510	2330	Damals waren er und seine Leute noch voller Vorfreude.
183720	186310	2590	Heute sieht alles anders aus.
187560	190400	2840	Es hängen immer noch dunkle Wolken über den Kirschplantagen.
190550	193040	2490	Die Gewitter und das schlechte Wetter der letzten Tage
193270	195440	2170	haben an den ungeschützten Kirschbäumen von Rene Meier
195550	198440	2890	grossen Schaden angerichtet.
198780	202560	3780	Jene Kirsche, die der Regen zuerst erwischt ...
202660	206200	3540	"Hier sieht man es ""sehr schön"":"
206360	210120	3760	Diese ist aufgeplatzt, diese bis zum Stein
210200	213280	3080	und diese auch. Diese wird schon braun - sie beginnt zu faulen.
213450	215840	2390	Und dann geht die Fäulnis über auf die anderen Kirschen -
215960	217760	1800	und dann ist alles kaputt.
217930	219840	1910	Schmerzt das, wenn man dabei zusehen muss?
219950	221840	1890	Ja, das schmerzt wirklich.
221920.00000000003	223850	1930	Es gibt nicht mehr viel zu retten.
224050	226410	2360	Der Aufwand, um die zerplatzten Kirschen auszusortieren, ist gross.
226500	228770	2270	Welche sind konkret die Konsequenzen dieses Schadens?
228950	232970	4020	So können die Kirschen nicht mehr als Tafelware verkauft werden.
233170.00000000003	235410	2240	Jetzt muss ich sie möglichst schnell runterschütteln,
235579.99999999997	238620	3040	habe aber fast keine Zeit wegen der vielen anderen reifen Kirschen.
238770	241140	2370	Dann kann ich daraus nur noch Schnaps machen -
241360	243180	1820	habe also höchstens noch 20 % des Ertrags.
243320	245020	1700	Mit anderen Worten:
245200	247580	2380	80 % seiner Hochstammkirschen sind nicht mehr brauchbar.
247680	250140	2460	Zahlen muss er selbst.
250380	253500	3120	Hierfür gibt es keine Versicherung. Das ist eben einfach unser Risiko.
253680	256180	2500	Wir machen das mit den Kirschen mit Herzblut,
256390	258540.00000000003	2150	aber dieses Risiko müssen wir einfach eingehen.
258709.99999999997	261860	3150	Es sei denn - und das ist auch das Schöne ... ich sage immer:
262079.99999999997	265220	3140	Man muss Hochstammbäume haben - und Plantagen.
265390	268580	3190	Deshalb ist er mehr als froh, dass er hier in der abgedeckten Plantage
268760	272060	3300	noch ganze Kirschen pflücken kann.
272159.99999999994	276220	4060	Hier wird die Ernte mit Hochdruck eingefahren.
276330	278060	1730	Unter der Plane sind die wertvollsten Kirschen
278159.99999999994	280220	2060	vom Regen verschont geblieben.
280380	282780	2400	Keine einzige Kirsche ist aufgeplatzt.
282880	285460	2580	Eine um die andere ist tipptopp.
285690	288180	2490	Also unter der Plane haben die Kirschen gar nichts abbekommen.
288210	290380	2170	Wir können sie gut abnehmen.
290540	294100	3560	Man sieht es auch in der Kiste: Es hat ihnen zum Glück nichts gemacht.
294210	298020	3810	Für Rene Meier hat sich der Aufwand gelohnt,
298110	300620	2510	einen Teil seiner Kirschen zu decken.
300810	303820	3010	Für die Kirschbauern, die nur auf ungeschützte Hochstammbäume setzen,
303980	307660	3680	dürfte der wirtschaftliche Schaden noch um einiges grösser sein.
308480	310500	2020	Der Bericht von Matthias Probst.
310670	313180	2510	Das schlechte Wetter hat neben den Kirschbauern
313280	315700	2420	auch den Winzern einen Strich durch die Rechnung gemacht.
315790	317980	2190	In den Weingebieten Lavaux und La Cote
318070	320300	2230	hat am Wochenende Hagel viele Reben zerstört.
320420	323060	2640	Und in den Bergen herrscht an gewis- sen Orten erhebliche Lawinengefahr
323220	325260	2040	wegen des heftigen Schnees und Regens mitten im Sommer.
325910	327700	1790	Es war ein Paukenschlag,
327840	330420	2580	als Basler Gesundheitsdirektor Carlo Conti im Januar erklärte,
330520	332620	2100	er habe sich ...
332790	335820	3030	... ganz persönlich auch entschieden,
335960	339780	3820	meine bald 14-jährige Tätigkeit als Regierungsrat
339930	342540	2610	auf diesen Sommer hin zu beenden.
342659.99999999994	345620	2960	Der Grund ist klar.
345730	347900	2170	Carlo Conti gab zu, dass er 110'000 Fr. in Nebeneinkünften
348110	350659.99999999994	2550	während rund 10 Jahren nicht oder falsch deklariert hatte.
350750	354260	3510	Nach dieser Enthüllung liess die Basler Finanzkontrolle untersuchen,
354420	357340.00000000006	2920	ob noch weitere Regierungsräte zu viel Geld bezogen haben.
357520	359620	2100	Seit heute sind die Resultate bekannt.
361230	364380	3150	Am krassesten bleibt der Fall des Gesundheitsdirektors Carlo Conti.
364630	367660	3030	107'000 Fr. Sitzungsgelder und andere Nebeneinkünfte
367870	369780	1910	gab er jahrelang nicht an.
369990	373380	3390	Um wenige 1'000 Fr. geht es bei Wirt- schaftsdirektor Christoph Brutschin,
373500	379020	5520	Bildungsdirektor Christoph Eymann und Finanzdirektorin Eva Herzog.
379110	382260	3150	Letztere will dem Kanton 6'200 Fr. zurückzahlen,
382410	386180	3770	auch wenn ein Teil der Schuld verjährt ist.
386670	389220	2550	Ich war 100%-ig sicher, alles korrekt deklariert zu haben -
389320	391260	1940	so wie ich bei der Steuererklärung
391410	393380	1970	die Lohnausweise sammle und das abrechne.
393580	396020	2440	Dass es dann trotzdem eine Differenz gibt, finde ich ärgerlich,
396180	398220	2040	aber ich kann es nicht ungeschehen machen.
398370	400220	1850	Ich war nicht darauf gefasst, dass das passiert
400380	402500	2120	und jetzt werde ich es zurückzahlen.
402610	404659.99999999994	2050	Bis 20'000 Fr. Honorar und Spesen
404820	406980	2160	dürfen Basler Regierungsräte für sich behalten.
407180	409100	1920	Was darüber liegt, müssen sie angeben.
409310	413260	3950	Jetzt soll die Auszahlung von Entschädigungen transparenter werden.
413440	415620	2180	Wir werden sicher das System umstellen,
415710	418020	2310	sodass dieses Geld künftig nicht mehr zu uns fliesst,
418210	420260	2050	sondern zum zentralen Personaldienst.
420370	423380	3010	Dieser macht dann die Abrechnung und überweist uns dann, was uns zusteht.
423560	426500	2940	Der Kanton Basel-Stadt will wegen dieser Verfehlungen
426650	430220	3570	die Nebeneinkünfte der Regierungsräte klarer regeln
430340	432260	1920	und die Kontrollen verschärfen.
433050	435420	2370	Luzerner Regierungsrätin Yvonne Schärli
435590	437820	2230	tritt bei den nächsten Wahlen nicht mehr an.
437980	439780	1800	Die SP-Frau ist national bekannt geworden
439930	441780	1850	durch die Luzerner Polizeiaffäre.
441990	445380	3390	Die Zeit habe sie belastet, sei aber nicht der Grund für ihren Entscheid.
446510	449380	2870	Nach 12 Jahren in der Luzerner Regierung
449550	451560	2010	sei nun ein guter Zeitpunkt, um zu gehen,
451740	454200	2460	sagte Yvonne Schärli heute vor den Medien.
454460	456600	2140	Sie habe während ihrer Amtszeit viel Positives,
456720	458920	2200	aber auch schwierige Momente erlebt.
459130	461120	1990	Die Führungskrise bei der Luzerner Stadtpolizei
461240	463120	1880	sei eine emotionale Zeit gewesen.
463220	466320	3100	Mir ging das jeweils sehr nahe, weil ich das Problem lösen wollte.
466500	470480	3980	Das war eine Belastung physischer und psychischer Art.
470659.99999999994	473200	2540	Sie will die Polizeikrise mit allen Folgen
473370	475800	2430	bis zu ihrem Rücktritt abgeschlossen haben.
476000	478000	2000	Ich bin froh, dass ich jetzt noch ein Jahr habe,
478230	482600	4370	um dort alles so gut wie möglich zu lösen für die Nachfolge.
482730	485760	3030	Die 62-jährige Politikerin
485990	488520	2530	verlässt die Regierung mit einem insgesamt guten Gefühl -
488610	490600	1990	und sorgt für eine spannende Ausgangslage
490790	492720	1930	für die Luzerner Wahlen im Frühling.
492860	495280	2420	Die SVP kündigte bereits
495450	497560	2110	ihren Anspruch auf den Sitz in der Regierung an.
498150	500880	2730	Schon wieder ereignete sich in der Region Zürich
501000	503120	2120	ein Unfall mit der Glattalbahn.
503220	505280	2060	Der 44. seit der Eröffnung 2008.
505500	508680	3180	Dieses Mal stiess in Dübendorf ein Lastwagen mit einem Tram zusammen.
508770	510960	2190	Verletzt wurde niemand.
511110	514000	2890	Erst gestern gaben die Verkehrsbetriebe Glattal VBG bekannt,
514110	516919.99999999994	2810	dass sie an 5 gefährlichen Kreuzungen zusätzlich Barrieren bauen,
517030	520039.99999999994	3010	um ebensolche Unfälle zu verhindern.
520210.00000000006	523440.00000000006	3230	Bei dieser Kreuzung ist laut VBG keine Barriere geplant.
524179.99999999994	526760	2580	"""Voll fett Frauenfeld"" - die nächsten 3 Tage"
526920	530080	3160	"ist ""Schweiz aktuell"" am grössten Open Air der Deutschschweiz."
530190	532720	2530	Ein Megaevent, der ganz im Zeichen von Hip-Hop,
