start	end	duration	text
1440	2070	630	.
2700	6390	3690	1:1-Untertitelung
7030	8510	1480	Guten Abend, meine Damen und Herren,
9200	12030	2830	"willkommen zur letzten ""Tagesschau"" an diesem letzten Tag in diesem Jahr."
12700	13750	1050	Mit folgenden Schlagzeilen:
14420	20080	5660	Weltweit rüsten sich Metropolen für die Silvesternacht.
20710	26680	5970	Das neue Bundesratsfoto im Stil eines Filmplakats.
27310	34200	6890	Weil sich die Erde zu langsam dreht, wird eine Schaltsekunde eingefügt.
34910	40160	5250	... im Flachland, in höheren Lagen wieder viel Sonnenschein.
40810	46120	5310	Es ist kein gewöhnlicher Silvester.
46770	49240	2470	Es ist ein Silvester, bei dem man auf Nummer Sicher geht -
49880	51440	1560	nach einem Jahr des Terrors und der Anschläge.
52010	52680	670	Die Angst geht um
53350	55520	2170	oder zumindest ein banges Gefühl auf öffentlichen Plätzen.
56170	59240	3070	So gleicht z.B. der Times Square in New York einer Hochsicherheitszone.
59960	62480	2520	Schwer bewaffnete Polizisten schützen das Areal,
63050	69120	6070	Hunde schnüffeln an Gepäckstücken, um versteckte Bomben finden zu können.
69740	72400	2660	Die Menschen sollen ungestört feiern können.
73080	75520	2440	Die Zufahrten zum Times Square sind deshalb mit Betonblöcken
76260	79640	3380	und Lastwagen gesichert, aus Angst vor Terrorattacken mit Fahrzeugen.
81920	84400	2480	Wir haben unser Sicherheitskonzept verstärkt.
84960.00000000001	88560	3600	Wir reagieren damit auf die Fahr- zeugattacken in Nizza und Berlin.
90120	92720	2600	Erhöhte Vorsicht gilt ebenso in Berlin,
93390	95479.99999999999	2090	wo Deutschlands grösste Silvesterparty steigt.
96160	99440	3280	Die Zufahrten zur Festmeile zwischen Siegessäule und Brandenburger Tor
100120	103000	2880	sind ebenfalls mit Betonelementen gesichert.
103680	105940	2260	Auch in Köln herrscht grosse Wachsamkeit.
106640	108340	1700	Die Polizei hat nach den sexuellen Übergriffen
109020.00000000001	111700	2680	an Silvester vor einem Jahr Kameras installieren lassen.
112400	113860	1460	Sie liefern hochauflösende Bilder,
114509.99999999999	117300	2790	die direkt ins Polizeihauptquartier übermittelt werden.
120710	123300	2590	Mit den Kameras können wir dann zoomen, Personen verfolgen
123950	127780	3830	und die Aufnahmen natürlich auch aufnehmen und für 14 Tage speichern.
128479.99999999999	132180	3700	Das Gebiet rund um den Kölner Dom ist mit Eingangskontrollen gesichert.
132830	135380	2550	Feuerwerk oder Knallkörper sind verboten.
136040	138980	2940	Die Polizei will bei Störungen konsequent einschreiten.
139680	142550	2870	Allein in der Innenstadt sind rund 1'500 Beamte im Einsatz.
144680	147160	2480	Und während also in Köln und in Berlin alles versucht wird,
147790	150960	3170	um die Silvesterfeiern abzusichern, wandte sich Bundeskanzlerin Merkel
151640	153960	2320	unter genau diesem Eindruck einer allgemeinen Verunsicherung
154640	156160	1520	an die deutsche Nation.
156800	159920.00000000003	3120	Es brauche nun Zuversicht angesichts des islamistischen Terrors,
160540	162880	2340	der dieses Jahr auch Deutschland hart getroffen habe:
164480	168640	4160	Zuversicht inmitten der tiefen Trauer um die Toten und Verletzten.
169230	171320	2090	Ich meine, wir konnten sie hier in Berlin
171970	174560	2590	und in vielen anderen deutschen Städten
175240	177079.99999999997	1840	gerade in diesen schweren Tagen spüren.
177680	180800	3120	In dem Trost, den wir spenden oder bekommen können.
181460	183680	2220	Und in einer festen Entschlossenheit,
184340	186200	1860	der Welt des Hasses der Terroristen
186860	191800	4940	unsere Mitmenschlichkeit und unseren Zusammenhalt entgegenzusetzen.
192450	196000	3550	Indem wir unserem Leben und unserer Arbeit nachgehen,
196600	197920.00000000003	1320	sagen wir den Terroristen:
198550	200280	1730	Sie sind Mörder voller Hass,
200810	205360	4550	aber wie wir leben und leben wollen, das bestimmen nicht sie.
205990	209240	3250	Wir sind frei, mitmenschlich, offen.
211160	213760	2600	Das Jahr, es geht für den Bündner Tourismusort Arosa
214310	215480	1170	dramatisch zu Ende.
216130	217920.00000000003	1790	Ein Viersternehotel mit über 50 Zimmern
218630	220160	1530	ist in der Nacht völlig ausgebrannt.
220840	222720	1880	Ausgebrochen ist der Brand gestern Nachmittag
223329.99999999997	227120	3790	im Posthotel Holiday Villa direkt neben dem Bahnhof Arosa.
227800	230320	2520	Der Zugverkehr wurde vorübergehend eingestellt.
230870	231600	730	Mehrere Menschen
232260	234120	1860	mussten mit Rauchvergiftungen ins Spital geflogen werden.
234750	236079.99999999997	1330	Darunter ein 8-jähriges Kind.
238500	240800	2300	Auch am Morgen gibt's noch Glutnester im Hotel.
241470	243560	2090	Einzelne Stockwerke sind eingebrochen.
244210	246240	2030	Wegen Einsturzgefahr kann die Feuerwehr
246770	249840	3070	bis jetzt nicht ins Gebäude hinein und muss von aussen löschen.
250440	252640	2200	Ausgebrochen war das Feuer gestern Nachmittag.
253300	254520	1220	Dieses Handyvideo zeigt,
255300	258209.99999999997	2910	wie Hotelgäste ihre Zimmerfenster mit Möbelstücken einschlagen.
258839.99999999997	260450	1610	* Klirren *
