start	end	duration	text
1930	2190	260	.
2290	5030	2740	1:1-Untertitelung
5240	8710	3470	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
8920	11350	2430	Das macht heute Dienstag Schlagzeilen:
13960	16710	2750	Mehreren Personen des Bundesamtes für Umwelt
16810	19110	2300	drohen mehrjährige Haftstrafen.
22140	25150	3010	Ein neues Verkehrssystem soll die Strassen entlasten.
28020	32310.000000000004	4290	Wie Castings auch den Erfolg von Schweizer Filmen mitbestimmen.
34770	38270	3500	Trotz Wolken teils sonnig und sehr mild.
39890	43630	3740	Die IT-Skandale beim Bund sorgen weiterhin für Schlagzeilen.
43730	45790	2060	Jetzt klagt die Bundesanwaltschaft
45960	49790	3830	sechs Personen im Bundesamt für Umwelt und dessen Umfeld an.
49960	52310	2350	Es geht um Korruption und Urkundenfälschung
52400	54590	2190	bei der Vergabe von IT-Aufträgen.
54810	57950	3140	Unter den Angeklagten ist auch ein Sektionschef des BAFU.
58090	60310	2220	Aus Bern Hanspeter Trütsch.
61570	63630	2060	70 Seiten umfasst die detaillierte Anklageschrift
63760	65510.00000000001	1750	der Bundesanwaltschaft.
65680	67750	2070	Wir dürfen sie aus Gründen des Persönlichkeitsschutzes
67850	69750	1900	weder einsehen noch filmen.
69850	71910	2060	Seit sieben Jahren wird ermittelt,
72130	74910	2780	in einem aufwendigen mit zwei Hauptangeklagten.
75140	80630	5490	Es geht hauptsächlich darum, dass gewisse Dienstleistungsverträge
80850	84590	3740	als Gegengeschäfte abgeschlossen wurden für Provisionszahlungen.
84850	88150	3300	Dabei kam - so die Position der Bundesanwaltschaft -
88250	92110	3860	das gesamte Repertoire von Korruption zum Zug.
92210.00000000001	94630	2420	Beispiel Euro 08 in Basel:
94729.99999999999	96870	2140	Die Schweiz spielt gegen die tschechische Republik.
97000	99150	2150	Unter den Gästen in der Ehrenloge mit Gratistickets:
99289.99999999999	101509.99999999999	2220	u.a. der frühere Leiter Informatik,
101729.99999999999	103670	1940	zuständig für die Beschaffung im BAFU.
103840	106990.00000000001	3150	Aufträge wurden freihändig vergeben, gegen geldwerte Leistungen,
107120	109310	2190	Reisen, Geräte, Einladungen -
109390	112710.00000000001	3320	die eine Hand wäscht die andere, ein ausgefeiltes System.
112960.00000000001	117630	4670	Vereinfacht ausgedrückt: Wenn jemand einer anderen Person
117740.00000000001	120030	2290	ein Ticket für ein Champions-League-Spiel,
120130	123870	3740	zwei iPhones oder eine andere Vergünstigung gibt,
124090	127950	3860	wie das Bezahlen einer ersten Leasingrate eines Luxusautos,
128169.99999999999	133390	5220	dann gibt man IT-Aufträge weiter - und das ist strafrechtlich relevant.
133580	137110	3530	Vor Bundesstrafgericht in Bellinzona sind sechs Personen angeklagt.
137320	141310	3990	Den zwei Hauptbeschuldigten drohen mehrjährige Gefängnisstrafen.
143030	146550	3520	Während Jahrzehnten sprach niemand darüber,
146700	149190	2490	während Jahrzehnten wurde alles unter den Teppich gekehrt.
149370	151870	2500	Doch jetzt zeigt eine historische Studie:
152050	155150	3100	Im katholischen Pensionat Marini im Kanton Freiburg
155260	158230	2970	wurden zwischen 1929 und 1955
158370	163790	5420	zahlreiche Kinder sexuell missbraucht, geschlagen, genötigt.
163960	166150	2190	Die Untersuchung macht ausserdem deutlich:
166250	169870	3620	Hauptsorge der Verantwortlichen war, ihre Schandtaten zu vertuschen.
170000	172190	2190	Aus Freiburg berichtet Rolf Dietrich.
173490	175670.00000000003	2180	Im Beisein des Freiburger Bischofs
175930	177829.99999999997	1900	präsentierten die drei externen Experten
177990	180150	2160	die Ergebnisse ihrer historischen Studie
180250	182270	2020	zu den Misshandlungen im Institut Marini.
182310	184150	1840	Die Nachforschungen
184250	187190	2940	brachten massive Verfehlungen der Institutsverantwortlichen zutage.
187340	192470	5130	Aufgrund von Zeugenaussagen und Recherchen in den Archiven
192620	195510	2890	muss man von wiederholten schweren Misshandlungen
195650	198630	2980	und sexuellen Missbräuchen ausgehen.
198800	205790	6990	Die Kirchenoberen taten alles, um diese Taten zu verheimlichen.
205960	209470	3510	Das Pensionat in Montet stand von 1929 bis 1955
209690	212670.00000000003	2980	unter der direkten Verantwortung des Bistums.
212770	215829.99999999997	3060	In dieser Zeitspanne wurden mind. 21 Kinder
216090	219150	3060	durch elf verschiedene Täter sexuell missbraucht.
219250	221310	2060	Unter den Peinigern
221510	225190	3680	befanden sich zwei Priesterdirektoren und zwei Institutsgeistliche.
225410	227550	2140	Es ist klar, dass wir verantwortlich sind.
227640	232390	4750	Erstens, weil Priester direkt schuld waren.
232520	237870	5350	Wir hatten auch die Verant- wortlichkeit der ganzen Schule.
237970	243950	5980	Und man sieht, dass eine gewisse Einheit der Gesellschaft
244050	246310	2260	im Kanton bestand,
246570	252470	5900	sodass es für die Opfer fast unmöglich war zu sprechen.
252570	254710	2140	Für die Opfer ist diese Untersuchung
254880	258470.00000000003	3590	und die Schuldanerkennung der katho- lischen Kirche ein wichtiges Element,
258630	261829.99999999997	3200	um die erlittenen Missbräuche besser verarbeiten zu können.
261950	265350	3400	Ich bin zufrieden,
265570	269070	3500	gleichzeitig ist es erst ein Anfang und noch kein Abschluss.
269280	274590.00000000006	5310	Die Untersuchungen müssen weitergehen.
274700	277510	2810	Für die Betroffenen hat die katholische Kirche
277650	279870	2220	Genugtuungszahlungen in Aussicht gestellt.
281570	285230	3660	Auch die Schweizer Bischofskonferenz äussert sich zur Untersuchung.
285420	289190	3770	Man habe die Lehren aus solchen und ähnlichen Vorfällen bereits gezogen.
290960	293110	2150	Die Untersuchung bestätigt den Kurs,
293290	296190	2900	den die Bischofskonferenz seit einigen Jahren eingeschlagen hat.
296360	300470	4110	Nämlich Vorbeugung, gute Ausbildung der Seelsorgenden
300570	304070	3500	und auch das Hören auf die Opfer
304270	307990	3720	und das Verfolgen der Taten und der Täter.
309170	311310	2140	Für Atomkraftwerke in der Schweiz
311490	313910	2420	soll es keine Laufzeitbeschränkung geben
