start	end	duration	text
7880	8150	270	.
8150	9470	1320	1:1-Untertitelung. Livepassagen können Fehler enthalten.
10050	11630	1580	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
11710	12950	1240	Es ist generell ein Tag der Schweizer Siege heute.
13160	14590	1430	V.a. aber ist es Stanislas Wawrinkas Tag.
15510	21550	6040	Stanislas Wawrinka gewinnt die Australien Open.
23640	27270	3630	Lara Gut und Didier Defago siegen in Cortina und Kitzbühel.
29500	32150	2650	In Genf einigen sich die syrischen Konfliktparteien
32280	35470	3190	auf den Schutz der Menschen in Homs.
37130	39750	2620	Die ukrainische Opposition will nicht in die Regierung.
39830	42430	2600	Sie beharrt auf deren Rücktritt.
44480	47390	2910	Sonnige Abschnitte im Flachland, in den Bergen noch etwas Schnee.
48730	50990	2260	Es sind viele erste Male heute für Stanislas Wawrinka.
51190	53430	2240	Der erste Grand-Slam-Final, der erste Sieg über Rafael Nadal
53510	55430	1920	und der erste Grand-Slam-Titel.
55580	60110	4530	Stanislas Wawrinka schlägt im Final der Australian Open
60280	64230.00000000001	3950	sensationell die Weltnummer 1 in 4 Sätzen.
64470	68110	3640	Ich weiss nicht, was gerade mit mir passiert oder ob ich träume ...
68270	70910	2640	Ich habe ein Grand-Slam-Turnier gewonnen!
71010	73230	2220	Ich hätte nie gedacht, dass ich mal so weit komme.
73350	75350	2000	Das war für mich weit entfernt.
75430	80070	4640	Ich habe immer nur Federer und Nada gewinnen sehen. Es ist grossartig!
81560	84390	2830	Aber alles der Reihe nach. Wie kam e heute zu diesem Sieg, Sascha Ruefer?
85430	88310	2880	Es ist die Krönung einer unglaublichen Leistung in Melbourne.
88440	91430	2990	Stanislas Wawrinka hat unter Coach Magnus Norman an Konstanz gewonnen,
91610	95030	3420	die Fehler sind weniger geworden, di mentale Stärke dagegen ist gewachsen
95120	96870	1750	Das bewies der Romand heute
97080	100470	3390	gegen den bis dahin überlegen schei- nenden Rafael Nadal eindrücklich.
100720	103870	3150	Er feierte in 4. Sätzen den grössten Sieg in seiner Karriere
105650	108350	2700	Was für ein Triumph für Stanislas Wawrinka,
108520.00000000001	113550	5030	der im gleichen Turnier die Nr. 1 un die Nr. 2 der Welt geschlagen hat.
113759.99999999999	117150	3390	Der Schweizer setzt Rafael Nadal von Beginn weg unter Druck,
117250	120350	3100	schlägt einen Winner nach dem anderen.
123630	127070	3440	Wawrinka spielt einen der besten Sätze seiner Karriere,
127180	130990.00000000001	3810	holt sich mit diesem As Durchgang 1.
133390	135630	2240	Der Romand weiter souverän und bärenstark,
135750	140030	4280	erzielt grandiose Punkte wie hier.
140270	143190	2920	Das frühe Break ist Tatsache. Wawrinka im Hoch.
149550	151230	1680	Ganz anders Nadal,
151310	154230	2920	der sich wiederholt am Rücken pflegen lassen muss.
154380	156630	2250	Der Spanier mit grossen Schmerzen, der Verzweiflung und den Tränen nahe
156780	161710	4930	verliert den 2. Satz mit 2:6 deutlich.
162230	165110	2880	Aber die Weltnummer 1 erholt sich wieder,
165150	168110	2960	kann Satz Nr. 3 für sich entscheiden
168960	171150	2190	Dann aber ist Wawrinka wieder Herr der Lage,
171360	174870	3510	kommt beim Stand von 5:3 zu seinem ersten Matchball.
175400	178350	2950	Den kann er verwandeln, holt sich das Spiel, den Sieg,
178410	182870	4460	den Titel der Australian Open 2014:
191000	194630	3630	Nachdem ich letztes Jahr hier gegen Djokovic ausgeschieden bin,
194730	198070	3340	habe ich sehr viel geweint - und aus der Niederlage gelernt.
198340	200550	2210	Und jetzt stehe ich hier als Grand-Slam-Sieger.
200760	203470	2710	Ich glaube, ich träume immer noch.
203680	206910	3230	Ob das alles Wirklichkeit ist, werde ich erst morgen früh wissen.
209060	211790	2730	Stanislas Wawrinka - der Champion von Melbourne,
212000	215110	3110	und ab morgen die neue Nr. 3 der Weltrangliste.
224820	227790	2970	"""Stan the Man"", ""Stantastique"", ""Outstanding"" -"
228000	230190	2190	Zeitungen und Fans überschlagen sich kreativ,
230280	232430	2150	wenn es um Stanislas Wawrinka geht.
232579.99999999997	235590	3010	Er hat heute seinen grossen Traum wahr werden lassen,
235670.00000000003	237230	1560	heute ist sein Tag.
237430	242230	4800	Und es fühlt sich auch ein bisschen an wie ein Tag der Tennis-Schweiz.
242370	244630	2260	Immerhin gabs in den vergangenen Jahrzehnten
244790	247470	2680	einige gute Spieler und Spielerinnen aus der Schweiz,
247590	249590	2000	die es in die Top Ten geschafft haben.
249680	251670	1990	Ob das auch in Zukunft so ist?
251910	254870	2960	Der Nachwuchs hierzulande ist nämlich eher dünn gesägt -
255050	257110	2060	und vor ihm liegt ein steiniger Weg,
257269.99999999997	259230.00000000003	1960	wie der Beitrag von Monika Schönenberger zeigt:
261339.99999999997	265150	3810	In den Hallen von Swiss Tennis in Biel trainiert Mirko Martinez (16),
265330	267190	1860	eine der Nachwuchshoffnungen im Schweizer Tennis.
267310	269990	2680	Er ist einer der wenigen,
270170	274190	4020	die mit guten Chancen in den Startlöchern stehen.
274250	277710	3460	Heute trainiert Mirko mit dem Chef- Coach vom Schweizer Tennisverband.
278159.99999999994	280790	2630	Genau die gleiche Situation, diesmal war er der Unglückliche.
280880	283190	2310	Es gibt nur jeden Punkt, jeden Punkt von Anfang an.
284960	286670	1710	Der Weg an die Spitze ist hart.
286830	289470	2640	Der Grundstein wird schon bei den Kleinsten gelegt.
290370	293070	2700	Für mich ist es sehr wichtig, dass sie koordinativ gut sind.
293300	294590.00000000006	1290	Sie sollten aber
294690	296870	2180	auch schon in früher Jugend eine gute Technik haben.
296970	299990	3020	Die Athletik sollte schon recht gut ausgeprägt sein.
300180	304910	4730	Darum bestehen wir auch darauf, das sie mit 3 nicht nur Tennis spielen,
305090	307950	2860	sonder dass sie auch etwas polysportiv ausgebildet werden,
308100	309510	1410	v.a. in frühester Kindheit.
309720	312590	2870	Das heutige Final in Melbourne weckt Hoffnungen.
312710	315590	2880	Alles ist möglich, wenn man nur will
316420	319350	2930	Doch es braucht Talent, Fleiss und Gesundheit,
319450	322030	2580	obendrein ein Vermögen und viel Zeit
322200	323830	1630	Der Druck auf die jungen Talente steigt,
324000	326110	2110	nicht selten von Seiten der Eltern.
327010	329070	2060	Sie haben viel investiert und wollen natürlich,
329150	330990	1840	dass die Resultate schnell kommen.
331080	334190	3110	Es ist im Tennis nicht optimal, da man eben die Ziele, die Resultate,
334280	335909.99999999994	1630	langfristig planen muss.
336100	340670	4570	Weil die Resultate kurzfristig erspielt werden müssen,
340850	344590.00000000006	3740	entsteht auch ein ungesunder Druck auf die Trainer, auf die Coaches
344800	346630	1830	und eben auf das Umfeld und den Verband.
346880	350070	3190	Am Druck zerbrechen viele junge Talente.
350170	355270	5100	Nicht so Mirko Martinez. Für ihn gilt:
355460	360310	4850	Immer 100 % geben und nicht stoppen wenn ich z.B. ein Turnier gewinne.
360470	363150	2680	Einfach weiter kämpfen.
366230	369350	3120	Die Schweiz ist klein, der Talente-Pool deshalb auch.
369430	372550	3120	Gemessen an der Einwohnerzahl ist die Ausbeute bisher aber hoch.
