start	end	duration	text
3100	5710	2610	.
5850	7630	1780	1:1-Untertitelung
7810	10790	2980	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
10990	13470	2480	Das macht an diesem Samstag Schlagzeilen:
16660	20390	3730	Die CVP stellt sich hinter das SVP-Bundesratsticket,
20540	22350	1810	allerdings mit Vorbehalt.
24630	29590	4960	Weltweit fordern Menschen die Verantwortlichen zum Handeln auf.
31440	38050	6610	Der Schweizer Regisseur Luc Bondy stirbt 67-jährig.
40420	45170	4750	Viele Wolken und zeitweise nass und windig.
47100	49730	2630	Dass die CVP-Delegierten heute in Freiburg
49900	54450	4550	zur zweiten Gotthardröhre Ja sagten, ist mässig überraschend,
54630	57690	3060	schliesslich weibelt die eigene Bundesrätin dafür.
57800	60610	2810	Dass sie auch Ja zur Abschaffung der Heiratsstrafe sagen,
60730	65650	4920	ist noch weniger erstaunlich - ist ja eine CVP-Initiative.
65820	68830	3010	Etwas mehr Pfeffer bietet da schon die Rolle der Christdemokraten
68990	73070	4080	als SVP-Königsmacher bei der Bundesratswahl vom 9. Dezember.
73190	75670	2480	Hanspeter Forster hat vorgefühlt.
77260	79190	1930	Parteichef Darbellay gab schon mal den Tarif durch
79300	80990	1690	und diktierte die Bedingungen,
81140	84350	3210	die die CVP an einen Bundesratskandidaten der SVP stellt.
84510	87230	2720	Für eine wirtschaftsfreundliche Umsetzung der Zuwanderungsinitiative
87340	89390	2050	müsse er eintreten und:
89660	95150	5490	Wir möchten eine Persönlichkeit, die konstruktiv und kollegial ist,
95320	99550	4230	die den Rechtsstaat respektiert - das ist nicht wenig.
99810	103229.99999999999	3420	Doch welcher der drei SVP-Kandidaten erfüllt diese Bedingungen?
103370	105670	2300	Da will sich niemand festlegen. Nur so viel:
105840	109150	3310	Grundsätzlich sind für mich alle drei auf diesem Ticket wählbar.
109270.00000000001	110550	1280	Und ich glaube,
110700	113910	3210	auch für eine Mehrheit der Bundes- versammlung wird das der Fall sein.
114060	119750	5690	Bis jetzt habe ich keinen Hinweis darauf,
119970	123830	3860	dass man den einen oder den anderen als unwürdig betrachten würde.
123910	126190	2280	Damit scheint eindeutig klar:
126300	128389.99999999999	2090	Die Wahl eines inoffiziellen SVP-Kandidaten
128620	132510	3890	ist weiterhin kein Thema bei der CVP, versichert der Präsident.
132610	135670	3060	Es gibt keine Sprengkandidatur und keinen Geheimplan.
135840	139230	3390	Wir werden die drei offiziellen Kandidaten der SVP anhören
139410	142670.00000000003	3260	und auf Herz und Niere prüfen. Das habe ich schon x-mal gesagt.
142900	145950	3050	Was auch immer geplant ist an Spreng- und Gegenkandidaturen
146170.00000000003	149200	3030	am kommenden 9. Dezember, die Mehrheit der CVP-Fraktion
149390	151600	2210	wird ein solches Manöver nicht unterstützen.
151730	153320	1590	Zum einen hat die CVP
153490	156160	2670	in absehbarer Zeit selbst einen Bundesratssitz zu verteidigen,
156370	159600	3230	zum anderen würde es die Wählerschaft in den konservativen Stammlanden
159770	162480	2710	kaum verstehen, wenn sich ihre Leute in Bern
162640	166000	3360	erneut an einem Päckli mit der Linken beteiligen würden.
166210	169480	3270	Welchen der drei offiziellen SVP-Kandidaten die CVP unterstützt,
169740	174400	4660	erfahren wird man's am 1. Dezember, nach den Anhörungen in der Fraktion.
176450	178920.00000000003	2470	Wie eingangs erwähnt, haben die CVP-Delegierten in Freiburg
179079.99999999997	182280	3200	die Parolen für die Abstimmung von Ende Februar gefasst.
182400	183880	1480	Hier der Überblick:
184050	188960	4910	Für die hauseigene Initiative gegen die Heiratsstrafe gilt die Ja-Parole.
189210	192680	3470	Zur Durchsetzungsinitiative der SVP gibt es ein Nein.
192890	195640	2750	Bei der Juso-Initiative gegen Nahrungsmittelspekulation
195770	197680	1910	ebenfalls ein Nein.
197780	200680	2900	Und bei der zweiten Gotthardröhre sagt die CVP Ja.
202310	205000	2690	"Am Montag beginnt in Paris, was der deutsche ""Spiegel"""
205170.00000000003	208040	2870	"als ""grösste Pokerpartie der Welt"" bezeichnet."
208200	212320	4120	UNO-Klimagipfel klingt da zwar etwas nüchterner, der Fakt aber bleibt:
212450	214840	2390	Es geht um einen Weltklimavertrag,
214940	219560	4620	auf den sich Delegationen aus 196 Ländern einigen müssen.
219770	221640	1870	Weltweit haben aus diesem Grund
221740	224600	2860	Menschen für griffige Klimaschutz- massnahmen demonstriert.
224760	228000	3240	Wie hier im australischen Brisbane oder auch in Melbourne,
228260	231640	3380	wo gut 40'000 Demonstranten auf die Strasse gegangen sind.
231940	234560	2620	Auch Bewohner von pazifischen Inselstaaten, die besonders
234820	237960	3140	vom klimabedingten Anstieg des Meeresspiegels bedroht sind.
238140	240440	2300	Auch in der philippinischen Hauptstadt Manila
240600	245240	4640	haben Aktivisten ein verbindliches Klimaabkommen gefordert.
245400	248720	3320	In der Schweiz haben heute ebenfalls einige 1'000
248810	252240	3430	in gleich sechs Städten für den Klimaschutz demonstriert.
252370	254240	1870	Biljana Gogic berichtet.
256410.00000000003	258959.99999999997	2550	Das Klima ist ihnen eine Herzensangelegenheit.
259140	262560	3420	Diese Protestierenden in Zürich bilden deshalb ein Herz.
262740	266680	3940	Vom Weltklimagipfel in Paris erhoffen sie sich ein verbindliches Abkommen,
266840	271680	4840	damit die Treibhausgase und die Erderwärmung gesenkt werden können.
271800	274680	2880	Denn alle sitzen im selben Boot.
274780	277000	2220	Die Schweiz kann ein wichtiges Zeichen setzen.
277180	280040	2860	Einerseits mit ambitiösen Reduktionszielen
280140	282730	2590	beim eigenen CO2-Ausstoss.
282820	284530	1710	Andererseits aber auch,
284710	286890	2180	indem sie einen Beitrag an die Finanzierung leistet,
287100	291370	4270	damit auch andere Länder beim Unterfangen Klimaschutz mitmachen.
291520	293409.99999999994	1890	Für den Klimavertrag
293590.00000000006	296290	2700	plädiert auch Klimaforscher und Gastredner Andreas Fischlin.
296480	299050	2570	In Paris erwartet er hitzige Debatten
299230	304290	5060	über die Begrenzung der Erderwärmung auf 2 oder gar 1,5 °C.
304380	308210	3830	Wir können den Klimawandel abbremsen.
308380	311890	3510	Wenn es uns gelingt, mit diesem Abkommen einen Anfang zu machen
312050	316250	4200	und wir wirklich alle zusammen daran arbeiten,
316340	318610	2270	dann bin ich eigentlich zuversichtlich.
318780	322890	4110	Wir haben 40 Jahre Zeit, um z.B. den CO2-Ausstoss auf Null zu bringen.
322970	325090	2120	Das kann uns gelingen,
325230	328810	3580	wenn wir jetzt beginnen, ernsthaft daran zu arbeiten.
328980	332770	3790	Beim Klima braucht es alle, das ist die Botschaft,
332920	336250	3330	die diese rund 1'000 Demonstranten nach Paris senden.
336490	340130	3640	Und sie hoffen, dass die Teilnehmer des Weltklimagipfels sie auch hören.
342760	345050	2290	Viele Klimaschützer sind der Ansicht,
345220	349130	3910	dass beim amerikanischen Präsidenten der Klima-Zwanziger gefallen ist,
349210	351130	1920	und das keine Minute zu früh.
351330	353610	2280	Zumindest will Obama mit neuen Vorschriften
353850	359330	5480	den CO2-Ausstoss der USA bis zum Jahr 2030 um 30 % reduzieren.
359420	362490	3070	Das aber sehr zum Unmut vieler US-Bundesstaaten.
362610	364730	2120	Besonders ungehalten ist man dort,
364840	367250	2410	wo nach wie vor viele vom Kohleabbau leben -
367380	369970	2590	wie in West Virginia. Peter Düggeli berichtet.
372580	375490	2910	Whitesville, West Virginia war dank der Kohle
375640	377770	2130	während Jahrzehnten ein prosperierendes Städtchen.
377920	380010	2090	Doch sein Niedergang hat längst begonnen.
380100	381730	1630	In den letzten fünf Jahren
381890	384930	3040	sind hier 5'000 Arbeitsplätze verloren gegangen.
386610	390210	3600	Die Stadt hat nur dank der Kohle so lange florieren können.
390320	393570	3250	Wenn die Industrie den Laden dichtmacht,
393740	396610	2870	wird Whitesville aussterben.
396780	398930	2150	Seit dem Amtsantritt von Präsident Obama
399130	401490	2360	hat die Kohleproduktion hier um fast 30 % abgenommen.
401630	404370	2740	Ein Grund: die schärfere Regulierung des CO2-Ausstosses.
404530	408010	3480	Der Staatsanwalt sagt, Obamas Vorschriften seien nicht rechtens,
408140	410490	2350	und bekämpft sie vor Gericht.
410659.99999999994	414010	3350	27 von 50 Staaten teilen unsere Auffassung,
414220	419210	4990	und die Unterstützung wird immer grösser,
419330	424050	4720	von beiden Parteien, von Gewerkschaften, von der Wirtschaft.
424140	427290	3150	Der Widerstand wächst, weil viele glauben,
427440	434810	7370	dass Obama die rechtliche Kompetenz für diese Regulierung fehlt.
437450	439850	2400	Wir gehen in eine alte Kohlemine.
440090	443170	3080	Der Guide Roger Jarrell hat selbst jahrelang hier gearbeitet.
443260	447050	3790	Die Wut gegen Präsident Obama mag er nicht verstecken.
447220	452530	5310	Ein Krieg gegen die Kohle sei das, sagen die Leute.
452620	455050	2430	Sie mögen den Präsidenten nicht.
455220	458250	3030	Er sagte schon immer, er würde die Kohlekraftwerke schliessen.
458330	462610	4280	Jetzt hält er Wort.
463590.00000000006	465770	2180	Aber nicht alle hier denken so.
465930	468530	2600	Es gibt auch Menschen, die gegen die Kohleindustrie kämpfen.
468740	473130	4390	Nicht nur die Verschmutzung der Umwelt ist schlimm,
473320	477250	3930	viele Studien beweisen doch, dass das, was die hier tun,
477430	484290	6860	ganz schlecht ist für unsere Gesundheit.
485700	488250	2550	Whitesville und das nahende Ende des Kohleabbaus.
488390	491770	3380	Was die Welt langfristig besser machen soll,
491860	495290	3430	bedroht kurzfristig die Zukunft eines Städtchens und seiner Einwohner.
497140	500330	3190	In Mazedonien hat der Bau eines Zauns an der Grenze zu Griechenland
500500	503290	2790	zu gewalttätigen Auseinandersetzungen geführt.
503470	506080	2610	Die Absperrung beim Grenzort Gevgelija
506170	508160	1990	soll laut Regierung helfen,
508260	510330	2070	den Flüchtlingsandrang besser zu steuern
510520	512929.99999999994	2410	und illegale Grenzübertritte zu verhindern.
513030	515730	2700	Mazedonien ist das dritte Land auf der Balkanroute,
515830.00000000006	517890	2060	das einen Zaun errichtet.
518039.99999999994	519730	1690	Ganz geschlossen wird die Grenze aber nicht.
519900	523409.99999999994	3510	Flüchtlinge aus den Kriegsländern Irak, Afghanistan und Syrien
523490	525930	2440	werden weiterhin durchgelassen.
526030	527650	1620	Bei den übrigen Flüchtlingen,
527820	530650	2830	die jetzt schon seit Tagen an der Weiterreise gehindert werden,
530850	532530	1680	liegen die Nerven blank.
532730	535330	2600	Die Verzweiflung schlägt in handgreifliche Wut um,
535480	538450	2970	bereits zum zweiten Mal in dieser Woche.
540220	543070	2850	Und wenn man es ins gelobte Flüchtlingsland geschafft hat -
543250	546630	3380	also derzeit Deutschland, Stellen viele Flüchtlinge fest,
546870	550590	3720	dass das Land in einigen Gegenden gelobter ist als in anderen.
550690	553430	2740	Während München zurzeit 12'000 unterbringen muss,
553560	556550	2990	sind es in Berlin 50'000 Flüchtlinge.
556710	559590	2880	Unterkünfte sind in der Hauptstadt Mangelware.
559800	562510	2710	Da müssen auch mal Ferienwohnungen und Jugendherbergen ran.
562620	565230	2610	Und der Menschenstrom reisst nicht ab.
567060	570510	3450	Wo in Berlin früher Autos parkten, wird derzeit Fussball gespielt,
570760	574270	3510	und in Kongresshallen leben Flüchtlinge.
574430	577710	3280	Auch Azzam und seine Familie leben hier - in einer Notunterkunft,
577870	581270	3400	die aus Stellwänden und Leintüchern improvisiert ist.
581380	584590	3210	Wir sind überrascht und verwundert.
584750	586950	2200	Wir sind eine Familie mit einem Baby.
587080	590150	3070	Es ist schwierig, so zu leben.
590310	592750	2440	Rund 1'000 Flüchtlinge sind hier untergebracht.
592910	595430	2520	Die Stadtbehörden haben Gebäude und Betrieb
595590	599430	3840	dem Malteser Hilfsdienst anvertraut, einer ehrenamtlichen Stiftung.
599650	602990	3340	Sie arbeitet mit Spenden und freiwilligen Helfern.
603740	606750	3010	Zurzeit ist sehr wichtig, dass wir dicke Winterklamotten haben,
606870	610270	3400	dass wir ausreichend Pullover haben.
610430	613870	3440	Schuhe. Sehr viele Leute kommen ohne Schuhe zu uns.
614030	618790	4760	Jeden Tag treffen zwischen 600 und 1'000 Flüchtlinge in Berlin ein.
618940	622310	3370	Ihre Unterkunft und Betreuung sind zur Knacknuss geworden,
622390	626550	4160	darum kann das hier laut Bock nur eine provisorische Lösung sein.
626670	629350	2680	Zu den Dutzenden Notunterkünften,
629450	631630	2180	die in den letzten Monaten eröffnet wurden,
631820	635670	3850	gehört auch der ehemalige Flughafen Berlin Tempelhof.
635940	638470	2530	Aber die öffentlichen Gebäude reichen nicht mehr,
638570	641590	3020	darum bemühen sich die Stadtbehörden sogar um touristische Unterkünfte.
641820	645150	3330	Obwohl in Hostels und auch in Wohnungen, Ferienwohnungen
645300	648950	3650	durchaus noch Kapazitäten sind, wird jetzt die grosse Kunst sein,
649120	651550	2430	die relativ schnell ans Netz zu bekommen
651730	653990	2260	und als Wohnraum nutzbar zu machen.
654110	656350	2240	Die Hauptstadt ist zunehmend überfordert.
656470	658270	1800	Darum hofft Berlin nun
658530	661910	3380	auf Solidarität und Beistand aus umliegenden Regionen.
663960	665430	1470	Der russische Präsident Putin
665580	668550	2970	hat mit weitreichenden Wirtschafts- sanktionen gegen die Türkei
668660	672150	3490	auf den Abschuss eines russischen Kampfflugzeugs reagiert.
672320	676310	3990	Putin begrenzt vorübergehend die Einfuhr bestimmter türkischer Waren,
676530	679070	2540	schränkt die Handlungsfreiheit türkischer Unternehmen
679220	680950	1730	in Russland ein
681000	682950	1950	und verbietet russischen Reiseanbietern,
683100	685070	1970	Urlaub in der Türkei zu offerieren.
685290	687870	2580	Die Türkei rät umgekehrt von Reisen nach Russland ab,
688090	690270	2180	zeigt sich sonst aber versöhnlich.
692450	694750	2300	Der türkische Präsident Recep Tayyip Erdogan
694920	697910	2990	hat erstmals Bedauern über den Abschuss geäussert.
698130	701710	3580	Ich bin über den Zwischenfall sehr betrübt.
701910	705230	3320	Wir wünschten, es wäre nie passiert, aber es ist passiert.
705340	709070	3730	Ich hoffe, dass sich so etwas nicht wiederholt.
709280	713350	4070	Die Türkei hatte nie feindselige Absichten.
713460	715750	2290	Er erneuerte zudem sein Angebot,
715910	718150	2240	den russischen Präsidenten Wladimir Putin
718350	721670	3320	am Rande des Klimagipfels in Paris zu treffen.
724250	726070	1820	Die syrischen Regierungstruppen
726210	730390	4180	vermelden die Rückeroberung von IS-besetzten Gebieten bei Aleppo.
730600	733070	2470	Eine Meldung, die sich nur schwer überprüfen lässt,
733230	735150	1920	zu unklar ist die Lage.
735250	737030	1780	Und genau davon wird auch die Frage,
737240	742270	5030	wie den IS-Fanatikern beizukommen wäre, dominiert: von Unklarheiten.
742430	745950	3520	So hat die Uni Bern heute zu einer öffentlichen Veranstaltung geladen.
746120	748940	2820	Experten haben die Hintergründe des Konflikts erklärt
749080	751220	2140	und beleuchtet, wie der IS zu einer
751330	755660	4330	auch finanziell gut geölten Terrormaschine werden konnte.
755770	757940	2170	Rachel Honegger aus Bern.
759460	761500	2040	Der IS ist eine der ersten Terrormilizen,
761680	763900	2220	die über ein riesiges Gebiet herrschen.
763930	765940	2010	Schätzungsweise 5-8 Mio. Menschen
766190	768180	1990	leben in den vom IS kontrollierten Territorien.
768360	772060	3700	Der IS verfügt gar über gewisse staatliche Strukturen.
772210	774700	2490	Und er hat Geld. Viel Geld.
774890	778860	3970	Experten schätzen sein Vermögen auf 1-2 Mrd. $.
779030	784220	5190	Seine Haupteinnahmequelle sind Steuern, Abgaben und Zölle,
784400	786900	2500	die er in den besetzten Gebieten erhebt.
787120	789620	2500	Gleichzeitig kann er mit seinem Geld aber auch Leistungen anbieten,
789760	791780	2020	die dann der Bevölkerung den Eindruck geben,
791980	794180	2200	der Islamische Staat habe auch seine gute Seite,
794290	797220	2930	könne irgendeine Art von medizinischer Versorgung anbieten,
797360	801340	3980	könne z.T. auch Schulen anbieten, sodass es für die Bevölkerung
801500	808100	6600	auch einen Sinn ergibt, Steuern zahlen zu müssen.
808210	811740	3530	Eine weitere wichtige Finanzquelle: der Handel mit Erdöl.
811850	815500	3650	Geschätzte Einnahmen: rund 500 Mio. $.
815650	818980	3330	Die Angriffe der westlichen Allianz und Russlands auf die Ölinfrastruktur
819150	822900	3750	haben den IS bisher nicht nachhaltig verwundet.
823070	827300	4230	Die dritte grosse Einnahmequelle des IS ist der Handel mit Kulturgütern.
827570	830620	3050	Zwar verbreitet die Terrormiliz aus Propagandazwecken
830730	832660	1930	Bilder von deren Zerstörung,
832810	837220	4410	doch das ist laut Archäologe Mirko Novak nur ein Teil der Wahrheit.
837450	840500	3050	Die kleinen Objekte werden nicht zerstört,
840620	842740	2120	sondern eben ins Ausland verkauft.
842900	845980	3080	Dadurch werden eben Teile der Einkünfte des IS bestritten.
846150	849260	3110	Man kann nur sehr schwer schätzen, welchen Prozentsatz das ausmacht,
849400	851780	2380	aber erste Schätzungen gehen davon aus,
851890	855380	3490	dass der IS etwa 20 Mio. pro Jahr verdient.
855610	857780	2170	Der IS ist auf diese Gelder angewiesen,
857880	859780	1900	denn Terror kostet Geld.
859900	863740	3840	Genau deswegen solle man den IS nicht mit Krieg bekämpfen.
863850	867020	3170	Den IS kann man meines Erachtens nur bekämpfen,
867250	870460	3210	wenn man ein knallhartes Embargo umsetzt, also verhindert,
870640	874460	3820	dass Kulturgüter, aber z.B. auch Öl aus dem IS raus
874640	878500	3860	und Waffen und andere Güter in den IS hineingelangen.
878610	880700	2090	Man muss ihn schlichtweg austrocknen.
880820	882860	2040	Doch um das zu erreichen,
883030	885620	2590	braucht es mehr als eine Allianz von Streitkräften.
887610	889740	2130	Der Schweizer Theaterregisseur Luc Bondy
889840	891740	1900	ist im Alter von 67 Jahren gestorben.
891960	893660	1700	Der Regisseur hat an den grossen
893870	896100	2230	deutsch- und französischsprachigen Bühnen gewirkt.
896330	899620	3290	Zuletzt hat Bondy das Odeon-Theater in Paris geleitet.
899730	901460	1730	Die französische Kulturministerin
901690	904740	3050	"würdigt ihn als ""einen der grössten Regisseure Europas""."
904960	907980	3020	Ein international erfolgreicher Theatermacher war er.
908080	910420	2340	In der Schweiz dagegen weniger präsent.
912940	917860	4920	Für Luc Bondy war schon immer klar: Seine Welt ist die Bühne.
918040	922220	4180	In seinen Inszenierungen verlangte er von seinen Schauspielern -
922410	926380	3970	hier Michelle Piccoli und Nada Strancar - echte Gefühle.
928830	931300	2470	Das Theater muss eine Art von Leichtigkeit sein,
931530	935060	3530	damit man von vielen Dingen auch das Gefühl hat,
935180	937460	2280	dass sie existieren und empfunden sind.
937630	942220	4590	Und nicht irgendwie verkrampft, ver- schwitzt und sozusagen dargestellt.
942410	947300	4890	Bondy, geboren 1948 in Zürich als Sohn des Publizisten Francois
947520	951860	4340	und als Enkel des Regisseurs Fritz Bondy.
952130	956220	4090	Nach einer Schauspielausbildung in Paris gelang ihm mit 25 Jahren
956360	960540	4180	"der grosse Durchbruch mit ""Die See"" von Edward Bond."
960650	962420	1770	Es folgten gefeierte Stücke
962530	965740	3210	und Einladungen an alle grossen Bühnen Europas.
965930	970140	4210	"""Le Retour"" mit Schauspieler Bruno Ganz im Schauspielhaus Zürich"
970310	975220	4910	war eines seiner wenigen Gastspiele in der Heimat.
977230	980060	2830	Bondy inszenierte und kreierte mit all seinen Kräften -
980210	984900	4690	trotz eines Krebsleidens, das ihn seit Mitte der 70er-Jahre begleitete.
984980	987180	2200	Ich muss sagen,
987360	993460	6100	dass ich den Tod einfach nicht als Feind wahrhaben wollte.
993570	995620	2050	Oder wenn ich ihn als Feind sah,
995770	1001900	6130	dann als etwas, das ich vollkommen bekämpfen konnte.
1004170	1007900	3730	Aus seiner Krankheit machte Bondy nie ein Geheimnis.
1008030	1012740	4710	Mit 67 Jahren hat er nun den Kampf gegen den Krebs verloren.
1015570	1017420	1850	Zum Sport.
1017590	1020220	2630	Gestern ist er im Sprint noch in der Qualifikation hängengeblieben,
1020320	1022630	2310	heute hat sich Dario Cologna
1022850	1025430.0000000001	2580	mit einer guten Leistung über 10 km wieder rehabilitiert.
1025530	1028589.9999999999	3060	Cologna wird in Kuusamo Dritter.
1030790	1033310	2520	Den Gesamtweltcup hat er sich zum Saisonziel gesetzt.
1033450	1037069.9999999999	3620	Cologna startete deshalb heute resolut ins Rennen über 10 km
1037170.0000000001	1038910.0000000001	1740	in der freien Technik.
1039119.9999999999	1042790	3670	Schon früh zeichnete sich ab, dass Cologna ganz nach vorne laufen würde.
1042890.0000000001	1045710	2820	Der Schweizer gehörte bei allen Zwischenzeiten zu den Besten
1045839.9999999999	1047790	1950	und bestätigte damit,
1047930.0000000001	1050990	3060	dass auch in dieser Saison wieder mit ihm zu rechnen sein wird.
1051140	1053390	2250	Für die Führung reichte es im Ziel nicht.
1053480	1055150	1670	Cologna wurde heute Dritter.
1055330	1058910	3580	Die 10 km in Kuusamo gewann der Norweger Jonsrud Sundby,
1059040	1062630	3590	der Gesamtweltcupsieger der letzten Saison.
1064160	1065990	1830	Wir bleiben beim Wintersport.
1066200	1068710	2510	Mit einer formidablen Leistung haben sich die Schweizer Curler
1068830	1072750	3920	gestern für der Final der Europameisterschaft qualifiziert.
1072930	1076710	3780	Dort sind sie heute auf die Titel- verteidiger aus Schweden getroffen.
1076780	1078470	1690	Trotz erneut guter Leistung
1078640	1080950	2310	hat es nicht zum Europameistertitel gereicht.
1083690	1086350	2660	Am Ende mussten die Schweizer dem Gegner zum Titel gratulieren.
1086450	1089630	3180	Schweden hat den Europameistertitel erfolgreich verteidigt.
1089830	1093110	3280	Die Schweizer begannen zwar besser als ihre Gegner,
1093330	1095430	2100	doch sie konnten im Gegensatz zu den Schweden
1095520	1099310	3790	im Verlauf der Partie nicht zulegen, als es nötig war.
1099410	1102470	3060	Dieser Stein von Benoit Schwarz blieb zu offen liegen.
1102690	1106270	3580	Eine leichte Beute für Schwedens Skip Edin.
1106370	1109270	2900	Die Schweden gehen im achten End mit 6:4 in Führung.
