start	end	duration	text
2650	5070	2420	.
18050	20030	1980	MIT TELETEXT-UNTERTITELUNG
24770	30390	5620	* Arabisches Gebet *
40170	42590	2420	Ich bitte Gott um Schutz.
44300	45470	1170	Immer wenn man auf Reisen ist,
46730	49830	3100	ist es sehr wichtig, dass man Gott anbetet,
50050	55750	5700	damit man unterwegs immer heil ankommt
55900	60470	4570	und wieder dorthin zurückkehrt, woher man gekommen ist.
62910	66750	3840	Wir fliegen nach Mogadischu, eine der gefährlichsten Städte der Welt.
66850	68470	1620	Der somalische Flüchtling Hasan will beweisen,
68570	69550	980	Der somalische Flüchtling Hasan will beweisen,
69770	72470	2700	dass sich es sich lohnt, dort zu investieren.
72620	75470	2850	Ist dies der helle Wahn oder hat seine Idee Chancen?
75850	77710.00000000001	1860	Davon handelt dieser Film.
84289.99999999999	86190	1900	* Sanfte Musik *
90470	90630	160	Baden an einem Augusttag.
92700	96430	3730	Der Bürgermeister von Mogadischu wird zu Besuch erwartet.
96890	100430	3540	Der IT-Spezialist Hasan Cismaan hat diesen Anlass mitorganisiert.
100650	103990.00000000001	3340	Er ist einer von 7'000 Somalis, die in der Schweiz leben.
104210.00000000001	105509.99999999999	1300	Bist du etwas nervös? - Ja ...
106330	108990.00000000001	2660	Nervös kann man es nicht nennen, aber ...
109410	112560	3150	... es ist nicht einfach, v.a. für die Somalier,
112650	114600	1950	eine Delegation aus Mogadischu
115970	120040	4070	hier zu betreuen und das ganze Programm mitzugestalten.
120370	120520	150	How are you? - I'm okay.
122640	127000	4360	Geladen hat Stadtammann Geri Müller, allerdings als Privatperson.
127230	129520.00000000001	2290	Müller hat Mogadischu 2014 besucht.
129630	133280	3650	Heute revanchiert er sich mit einer Einladung nach Baden.
138170.00000000003	142520	4350	In der Schweiz ist Somalia als Hort des Terrorismus bekannt.
143700	145880	2180	Umso wichtiger ist es für Hasan,
146130	150360	4230	dass die Beziehungen zwischen seiner Heimat und der Schweiz
150500	150560	60	auf allen Ebenen aufgenommen und gepflegt werden.
155150	157079.99999999997	1930	Du könntest doch einfach hier leben
157280	159640	2360	und dich um Somalia nicht mehr kümmern.
160220	165360	5140	Ja, das wäre schön und gut, aber ich bin Somalier.
165970	171680	5710	Ich führe hier ein gutes Leben, aber meine Mitmenschen in Somalia leiden.
171820	175040	3220	Mir ist es wichtig, meinen Mitmenschen zu helfen.
175130	177000	1870	Sie sollen nicht untergehen.
177230	179640	2410	Es ist wichtig, dass sich die Diaspora,
179790	180560	770	die Somalier, die hier leben, für ihr eigenes Land einsetzen,
184910	188560	3650	indem sie Know-how aus der Schweiz nach Somalia mitbringen,
188620	190840	2220	um die Entwicklung voranzutreiben.
191680	193640	1960	Für einen Bürgermeister,
193820	195560	1740	aus dessen Stadt die Menschen in den Westen geflohen sind,
197570	200120	2550	ist ein Exilsomalier wie Hasan ein Traum,
200260	202640	2380	sozusagen eine kostenlose Werbetrommel.
203060	205040	1980	Nach Baden kam ich,
205240	208079.99999999997	2840	um den Bürgermeister persönlich kennenzulernen.
208320	210560	2240	Mogadischu habe ich bereits einmal besucht und ich weiss,
211460	213400	1940	wie gefährlich es dort ist.
213610	216560	2950	Vom Bürgermeister erhoffe ich mir Unterstützung
216910	218840	1930	für unsere geplante Reise.
218970	222720	3750	I hope that this meeting is important for your future.
222820	224760	1940	We have a little gift for you.
224940	225560	620	You know, in Switzerland gifts are always very dangerous.
230170.00000000003	232440	2270	Die Begegnung zwischen den zwei Männern
232650	234720	2070	endet mit einem symbolischen Geschenk:
234890	237640	2750	einer DVD und einem Honig aus der Region.
237730	240000	2270	Hasan hat guten Grund, zufrieden zu sein.
240180	240600	420	Der Bürgermeister sagte ihm bereits zu,
242650	246000	3350	uns punkto Sicherheit in Mogadischu zu unterstützen.
246140	250240	4100	Somit ist dieser Besuch zumindest für unser Vorhaben ein Erfolg.
251180	255480	4300	Fahren wir jetzt nach Mogadischu? - Ja, wir fahren nach Mogadischu.
255650	259079.99999999997	3430	Dann zeige ich euch die andere Seite von Mogadischu.
259170.00000000003	262160	2990	Nicht nur das Negative, von dem man immer hört,
262250	264240	1990	sondern auch das Positive.
267280	270560	3280	Einen Monat später, kurz vor der Landung in Mogadischu.
270870	272960	2090	2012 wartete die UNO auf mich.
274740	277280	2540	Ist der Bürgermeister auch so zuverlässig?
277890	279920	2030	Meine Haare sind bereits bedeckt.
280210	283920	3710	Somalia ist ein islamisches Land, wo sich die Frauen verhüllen.
284770	285680	910	Der Bürgermeister hat sein Versprechen eingehalten.
288180	290880	2700	Auf uns wartet ein gepanzerter Allradwagen.
296080	298440	2360	Die Truppen der Afrikanischen Union
298530	300600	2070	sichern bis heute das Gebiet um den Flughafen.
302060	304760	2700	Die islamistische Terrorbewegung Al-Shabaab
304890	307160	2270	wurde 2011 aus Mogadischu verjagt.
307500	310040	2540	Doch Bombenanschläge gibt es immer noch.
311320	315600	4280	Unser Fahrer ist in Funkkontakt mit dem bewaffneten Begleitpersonal.
315880	318760	2880	Besucher aus Europa können sich ohne diesen Schutz
318860	320840	1980	nicht in der Stadt bewegen.
320970	323160	2190	Auch alle, die für die Regierung arbeiten
323310	325640	2330	und somit für eine Stabilisierung des Landes,
325780	328560	2780	sind den islamistischen Fanatikern ein Dorn im Auge.
328890	330600	1710	Ein Thema, worüber Hasan ungern spricht.
334490	338120	3630	Warum haben wir unsere eigenen Sicherheitskräfte hinter uns?
339590.00000000006	342159.99999999994	2570	Ist das wegen mir? - Ja, also, äh ...
342250	345600	3350	Selbstverständlich ist es wegen dir.
346750	353960	7210	Es ist nicht alltäglich, dass eine weisse Person nach Mogadischu kommt.
359340.00000000006	360640	1300	Wir sind unterwegs zum Sitz der Stadtregierung.
365410	367920	2510	Entlang dieser Strasse sieht es alles andere
368070	371400	3330	als nach wirtschaftlichem Aufschwung aus - im Gegenteil.
372090	375640	3550	Hier springen einem die Zerstörungen des 25-jährigen Bürgerkriegs
376410	378480	2070	geradezu ins Auge.
381770	384680	2910	Das Rathaus von Mogadischu hingegen überrascht.
385130	388560	3430	2012 war es noch eine Ruine, von Flüchtlingen bewohnt.
388770	390640	1870	Heute gilt es als Symbol für die Wiederauferstehung der Stadt
392770	395560	2790	und für die Rückkehr politischer Strukturen.
397770	401040	3270	Hasan will dem Bürgermeister seine Aufwartung machen.
401250	403520	2270	Dieser ist jedoch auf Pilgerfahrt
403610	405640	2030	und sein Stellvertreter befindet sich in einer Sitzung.
410350	413680	3330	Im Rathaus sind vor jedem Büro Soldaten stationiert.
413890	417000	3110	Ohne sie würden viele Politiker nicht mehr leben.
418090.00000000006	420400	2310	Dennoch bieten viele der Somalier,
420490	420760	270	die bereits aus dem Exil zurückgekehrt sind,
423720	426120	2400	ihre Dienste der Stadtverwaltung an.
426310	429600	3290	Hier setzen sie ihr im Ausland erworbenes Know-how ein.
430410	433440	3030	* Er spricht Somali. *
435150	435680	530	Auch unser Begleiter Ahmad
437310	440520	3210	hat seinen gut bezahlten Job in Indien aufgegeben,
440730	443520	2790	um für den Wiederaufbau der Stadt zu arbeiten.
444200	450520	6320	Viele Somalier kehren aus dem Exil zurück und investieren in Somalia,
450770	455640	4870	sei es in Kleinunternehmen als auch in Immobilien.
458030	462520	4490	Das Rathaus ist für Hasan weit mehr als eine Drehscheibe der Politik.
462850	465760	2910	Wieso ist es für dich so wichtig, die Regierung hier kennenzulernen?
466730	470280	3550	Es ist sehr wichtig, dass man Kontakt zur Regierung hat,
470460	473440	2980	v.a. zum Bürgermeister hier in der Hauptstadt.
473850	480200	6350	Ohne Kontakt zum Bürgermeister kann man hier keine Geschäfte machen.
481040	484480	3440	Schliesslich gewährt uns der Stellvertreter eine Audienz.
484850	487520	2670	Ausgetauscht werden v.a. Höflichkeitsfloskeln,
487770	491080	3310	doch die sind in dieser Kultur von enormer Bedeutung.
491770	494880	3110	Der Stellvertreter versichert uns seine Unterstützung
495160	495720	560	bei der Erkundigung der Stadt.
498230	501560	3330	Die politischen Rituale zwischen Baden und Mogadischu
501700	503840	2140	unterscheiden sich kaum:
504020	506720	2700	Gruppenfotos gehören an beiden Orten dazu.
510050	510720	670	Frei fühle ich mich in Mogadischu nur auf dem Hoteldach.
513770	518080.00000000006	4310	Es ist der einzige Ort, wo mir kein Soldat über die Schultern guckt.
519350	521720	2370	Als erste europäische Fluggesellschaft
521890	525320	3430	fliegt Turkish Airlines heute täglich nach Mogadischu.
526110	529280	3170	Lange Zeit landeten hier nur Flugzeuge aus Afrika.
532770	535560	2790	Die Wirtschaft ist erstmals wieder am Wachsen.
535750	539320	3570	Es wurden zahlreiche Hotels und Wohnblöcke gebaut.
540980	543320	2340	* Sanfte, afrikanische Musik *
544030	547120	3090	Die Aussicht vom Hoteldach begeistert auch Hasan.
547320	550760	3440	Ein Freund zeigt ihm, was sich in der Stadt getan hat.
554550	555720	1170	Mogadishu galt einst als Perle am Indischen Ozean.
561280	563240	1960	Hasan ist überzeugt,
563410	566920	3510	dass seine Heimatstadt diesen Ruf wieder erlangen wird.
570530	570800	270	Somalia ist wie ein kleines Kind, das sich das Bein gebrochen hat
574850	579120	4270	und nun Rehabilitation benötigt, um sich wieder zu erholen.
579970	585000	5030	Wenn man dem Kind Zeit gibt, um zu wachsen, ist die Chance gross,
585180	585760	580	dass man später von diesem Kind profitieren kann.
590680	594920	4240	Um den Fortschritt in der Stadt zu verstehen, hilft ein Blick zurück.
595260	599640	4380	Noch 2012 konnte ich mich nur in einem minensicheren Panzer bewegen.
599810	600760	950	Kugelsichere Westen und Helm waren Vorschrift.
606140	609120	2980	Mogadischu war ein einziges Flüchtlingslager.
609720	612240	2520	Mit Menschen kam ich kaum in Kontakt.
616970	620080	3110	Bei jedem Halt sorgten die Soldaten der Afrikanischen Union
