start	end	duration	text
2000	6540	4540	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7250	9940	2690	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
10740	13180	2440	Das macht an diesem Dienstag Schlagzeilen:
14360	16580	2220	Mit nur einer Stimme Unterschied
17340	21180	3840	hat der Nationalrat einer parla- mentarischen Initiative zugestimmt.
22580	28380	5800	Hillary Clinton gewinnt das erste TV-Duell nach Punkten.
30340	34620	4280	Die Nagra macht einen weiteren Schritt
35310	37740	2430	in Richtung Endlager für Atommüll.
39310	43780	4470	Zuerst gebietsweise Nebel, sonst überwiegend sonnig.
44930	48180	3250	In vielen muslimischen Ländern müssen sich Frauen verhüllen
48940	51900	2960	oder sie tun das zumindest, um grossen Ärger zu vermeiden.
52740	55820	3080	In der Schweiz könnte in Zukunft - nach Frankreich und Belgien -
56480	58900	2420	vielleicht das Gegenteil gelten: ein Verhüllungsverbot.
59640	62820	3180	Genau dafür, ein landläufig als Burkaverbot bezeichnetes Gesetz,
63490	65459.99999999999	1970	hat sich heute der Nationalrat -
66240	68300	2060	zum einen überraschend, zum anderen ganz knapp -
69039.99999999999	71380	2340	ausgesprochen. Isabel Bamert aus Bern.
72780	75900	3120	Verhüllt im Tessin - das ist seit diesem Sommer verboten.
76570	78500	1930	Das Verbot betrifft auch Demonstranten und doch:
79289.99999999999	81140	1850	Es ist ein Zeichen gegen die Burka, die nun,
81780	83500	1720	so will es Nationalrat Walter Wobmann,
84180	86539.99999999999	2360	auch schweizweit verbannt werden soll.
87280	92860	5580	In unserem Kulturkreis zeigt man im öffentlichen Raum sein Gesicht.
93580	96780	3200	Die Verhüllung des Gesichts widerspricht zutiefst
97550	100140	2590	unserer freiheitlich-demokratischen Gesellschaftsordnung.
100880	105539.99999999999	4660	Der Nationalrat folgt Wobmann ganz knapp, mit 88:87 Stimmen.
106229.99999999999	107740.00000000001	1510	Rechts und links ist das Bild klar:
108490.00000000001	109660	1170	Die SVP ist, hier rot,
110410	111660	1250	fast geschlossen für ein Verhüllungsverbot,
112300	114380	2080	die Linke, grün, geschlossen dagegen.
115110	117420	2310	Sibel Arslan von den Grünen stört sich daran,
118210.00000000001	120980	2770	wie viel Raum das Thema erhält. Es sei nichts als Symbolpolitik.
121690	123220	1530	Sie und ihre Partei lehnen Burkas zwar ab,
123880	126460	2580	doch ein Verbot sei nicht der richtige Weg:
127170	129340	2170	Ein Verbot bringt weitere Probleme,
130009.99999999999	132740	2730	und zwar können wir nicht unter Frauenbefreiung
133460	137340	3880	Hass gegen Islam und Moslems vorantreiben.
138130	140260	2130	Für uns ist das nicht zielführend.
140890	144020	3130	Wir sind eine offene und pluralistische Gesellschaft.
144850	147780	2930	Im Nationalrat stimmt die CVP mehrheitlich mit der SVP.
148530	152060	3530	Und auch bei der FDP unterstützen sechs Parlamentarier das Anliegen.
152800	155750	2950	Die FDP-Präsidentin selbst enthält sich:
156490	159030	2540	Aus liberaler Sicht bin ich klar nicht für eine Kleiderverordnung,
159680	160910	1230	v.a. nicht in der Verfassung.
161570	163150	1580	Die andere Sichtweise ist aber:
163860	165230	1370	Wenn es ein Zeichen der Unterdrückung ist,
165930	168910	2980	widerspricht das klar meiner liberalen Wertehaltung.
169600	171829.99999999997	2230	Auch das will ich in der Schweiz nicht tolerieren.
172540	174630	2090	Und so spricht sich der Nationalrat für ein Verbot aus -
175370	178310	2940	obwohl die zuständige Kommission noch dagegen war.
180140	182950	2810	Die vorberatende Kommission des Nationalrats
183690	186910	3220	hat sich sehr deutlich gegen ein solches Verbot ausgesprochen,
187580	190830	3250	und jetzt, im Rat, ein sehr knappes Ja zum Verhüllungsverbot.
191580	194350	2770	Hanspeter Trütsch in Bern, kann man das erklären?
195040	195910	870	Wir untertiteln live:
203690	209550	5860	es ist schwierig, hier durchzusehen.
226160	228070	1910	1 Stimme Unterschied, dass es zufällig.
228730	233870	5140	Es waren Verstösse in dieser Sache.
234500	239910	5410	Jetzt brennt das Thema unter den Nägeln,
246610	249030	2420	vielleicht aufgrund der Sicherheitslage.
249780	262430	12650	Jetzt ist der Ständerat dran. Wird das da ähnlich knapp?
263140	265180	2040	Nein, der Ständerat wird die Initiative zum zweiten Mal
265780	268420	2640	versenken.
269140	274500	5360	Es gibt aber noch eine weitere Initiative, die dazu kommt.
277130	283040	5910	Das Thema ist also noch nicht ad acta gelegt.
293540	295800	2260	Hanspeter Trütsch, live aus Bern, vielen Dank.
305760	309160	3400	Auch wenn es ein Duell war, ein Schlagabtausch, ein Gefecht -
309910	312120	2210	k. o. gegangen ist in der Nacht auf heute
312790	315360	2570	bei der ersten TV-Debatte von Hillary Clinton und Donald Trump
316100	318800	2700	vor rund 80 Mio. Fernsehzuschauern niemand.
319510	321920	2410	Aber einen Punktesieg hat es gegeben, laut Blitzumfragen,
322610	325040	2430	für Hillary Clinton.
325760	329160	3400	Trump war demnach zwar angriffig, aber auch fahrig und diffus.
329900	332600	2700	Gelegentlich in der Defensive hat Clinton dann aber doch
333330	335800	2470	eine Mehrheit mit ihrem Auftritt überzeugt.
337520	340200	2680	Am Anfang ist der Kampf noch ziemlich ausgeglichen.
341020	342560	1540	Trump will Steuern für Unternehmen senken,
343310	345159.99999999994	1850	Clinton will sie für Reiche erhöhen, und beide wollen neue Jobs schaffen.
345790	351159.99999999994	5370	Der Milliardär ist da noch ziemlich souverän und angriffig.
351810	354159.99999999994	2350	Hillary, Sie machen den Job jetzt schon seit 30 Jahren.
354940	358560	3620	Wieso denken Sie erst jetzt über eine Lösung nach?
359290	361560	2270	Ich habe mir sehr wohl Gedanken darüber gemacht.
362360	365200	2840	Auch mein Mann hat in den Neunzigern viel getan,
365950	370000	4050	um Jobs zu sichern, und wir werden das weiterhin tun.
370690	372200	1510	Doch zunehmend gerät Trump in die Defensive.
372960	376600	3640	Warum er sich weigere, seine Steuerdaten zu veröffentlichen?
377380	379080	1700	Ich werde meine Steuererklärung veröffentlichen,
379750	381040	1290	und zwar gegen den Rat meiner Anwälte,
381720	385880	4160	sobald sie ihre 33'000 E-Mails publik macht.
386610	388720	2110	Clinton gibt ihre Fehler in der E-Mail-Affäre einmal mehr zu
389410	393040	3630	und schreitet zum Gegenangriff.
393770	397200	3430	Ich denke, er bezahlt überhaupt keine Steuern -
