start	end	duration	text
3450	4240	790	.
5000	16239.999999999998	11240	1:1-Untertitelung
17070	18000	930	(Männerstimme im Off) Meine Damen und Herren,
18750	22480	3730	Viktor Giacobbo und Mike Müller. * Applaus *
23270	25960	2690	Guten Abend miteinander. - Hallo.
26630	29560	2930	Guten Abend, danke schön.
30260	32320	2060	Vielen Dank für den schönen Applaus.
32970	37360	4390	Und aus Appenzell Ausserrhoden: Dani Ziegler.
38120	39440	1320	* Aggressive Rockmusik *
40120	45000	4880	# Ehre und Kraft.
45700	48080	2380	# Ja.
48780	55600	6820	* Applaus *
56320	60240	3920	Dani, wir sind hier nicht in einer Tennishalle im Toggenburg.
60910	64959.99999999999	4050	Also wirklich ... Gut, man weiss ja nie.
65640	68240	2600	Der Geheimdienst wird wohl ebenso wenig darüber informiert sein,
68880	70240	1360	dass Sie hier sind.
70960.00000000001	73960.00000000001	3000	Es könnte ja sein, dass hier drin alle Neonazis sind.
74590	78080	3490	Wie hätte der Geheimdienst von den Neonazis im Toggenburg wissen sollen?
78920	81000	2080	Sie haben ihnen ja keine schriftliche Einladung geschickt,
81800	83440	1640	das würde man in einem solchen Fall ja sonst machen.
84250	86720	2470	Ist der Geheimdienst orientiert über unsere Veranstaltung heute Abend?
87450	89440	1990	Das wüsste ich nicht - wenn jemand vom Geheimdienst hier ist,
90160	92120	1960	bitte die Hand heben.
92870	94320	1450	Wobei, sie geben sich natürlich nicht zu erkennen.
95120	98600	3480	Es könnte auch sein, dass von den 5'000 Neonazis in Unterwasser
99300	102560	3260	4'000 Geheimdienstler waren.
103300	105280	1980	Ach was - das muss man sich mal vergegenwärtigen.
105960.00000000001	111039.99999999999	5080	5'000 ausländische Neonazis feiern ein Konzert im Toggenburg.
111690	116680	4990	D.h. also: Der Inländervorrang für Neonazis gilt offenbar nicht.
117350	121360	4010	Wir haben viel zu wenige Neonazis in unserem Land!
122150	127320	5170	Jawohl und wir haben bei uns einen eklatanten Mangel an Fach-Nazis.
128120	131080	2960	Irgendwann müsste der Bundesrat endlich Kontingente festlegen.
131760	133960	2200	5'000 Nazis pro Region aufgeteilt.
134610	138000	3390	"Wenn er das nicht macht, sage ich nur eins: ""Fremde Rechte."""
138710	143600	4890	Viele Journalisten fragen nun,
144300	147680	3380	wieso der Geheimdienst nicht früher auf dieses Konzert kam.
148390	150520	2130	Aber wenn man das Plakat anschaut und diese Namen sieht:
151230	155280	4050	Stahlgewitter, Frontalkraft, Exzess oder Amok -
156079.99999999997	160120	4040	wer denkt in diesem Fall an ein Neonazi-Konzert?
160790	166360	5570	Da denkt man doch an eine evangelische Singgruppe.
167160	172720	5560	Dazu kommt, dass das offenbar hoch anständige Leute waren.
173560	178490	4930	Wer sagt das? - Einer, der das weiss.
179230	181130	1900	Haben sie alles zusammengeschlagen? Nein, nichts.
181920	184530	2610	Alle waren zufrieden, beim Wirt war alles in Ordnung,
185290	189170	3880	die Leute in der Umgebung sagten, es sei alles tipptopp verlaufen.
189920	191770	1850	Die Polizei hatte auch keinerlei Anstände.
192550	195290	2740	Man habe nicht gewusst, dass sie ein solch grosses Treffen planten,
195960	197850	1890	man wusste auch lange nicht, wo.
198579.99999999997	200610	2030	Aber man kann ihnen nichts vorwerfen.
201329.99999999997	204930	3600	Bis um 2 Uhr ging die Bewilligung, punkt 2 Uhr haben sie aufgehört,
205620	206850	1230	sogar noch abgeräumt.
207590	214540	6950	Niemand in der Umgebung, der das schilderte, hatte einen Anstand.
215280	219500	4220	Hoch anständige Leute waren das! Ganz anständige Leute.
220170.00000000003	221260	1090	Es erstaunt uns nicht,
221950	224060	2110	die Neonazis sind ja eine Kopie der Neonazis von früher.
224800	226620	1820	Und auch die früher, die Nazis und auch Hitler
227350	230860	3510	waren total anständige, freundliche Menschen, v.a. hatten sie Ordnung.
231600	236140	4540	Zumindest bis 1939 - danach wurden sie etwas nachlässig.
236900	239740	2840	Gut, im Krieg lief das eine oder andere aus dem Ruder,
240430	243540	3110	sie konnten die Ordnung nicht mehr einhalten.
244250	248260	4010	Auch Wirte haben sich im Krieg über die Nazis beklagt.
249010	251700	2690	Die Deutschen, die Nazis, waren damals Gäste im Ausland
252400	255100	2700	und haben danach auch nicht aufgeräumt. - Nein.
255870	257940	2070	So wie es die heutigen tun.
258630	261380	2750	Die richtigen Nazis haben auch die Musik um 2 Uhr nicht ausgeschaltet,
262079.99999999997	264660	2580	wie unsere braven Neonazis heute.
265440	267180	1740	Aber nach dem Krieg subito wieder -
267920	271390	3470	bei den Nürnberger Prozessen: hoch korrekt, die Nazis.
272080	274550	2470	Tipptopp, sehr freundlich, anständig. - Ja, hoch korrekt.
275280	282030	6750	Die Polizei im Toggenburg war auch besorgt - im Nachhinein.
282720	286150	3430	Im Nachhinein waren sie sehr besorgt und sagten:
286920	293030	6110	"""Bei 5'000 Menschen hätten wir vielleicht doch für die Parkplätze"
293700	296760	3060	"Verkehrskadetten organisieren sollen."""
297470	299720	2250	Das wurde später wirklich kritisiert.
300520	302280	1760	Und trotzdem muss man sagen, dass eine gewisse Kritik
303030	305160	2130	an Geheimdienst und Polizei gerechtfertigt ist.
305920	307160	1240	Man hätte früher erraten können,
307880	309680	1800	dass es die Neonazis ins Toggenburg ziehen könnte.
310440	311600	1160	Wenn man sich überlegt,
312310	316240	3930	wer der bekannteste Botschafter des Toggenburgs ist: Simon Ammann.
316920	324280	7360	Und wie grüsst er während des Skiflugs? Hallo? Entschuldigung.
325000	327720	2720	Beruhigen wir uns wieder etwas.
328460	333960	5500	Was war das da? Nur ein Konzert von Musikliebhabern.
334630	338480	3850	Und das Toggenburg ist sehr bekannt für seine Klangwelten.
339159.99999999994	343280	4120	Auf der Homepage schreiben sie es auch:
343980	348080	4100	"(Mit Schweizer Akzent) ""Toggenburg is music to your ears."""
