start	end	duration	text
5040	5820	780	.
6630	7740	1110	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8480	9740	1260	Guten Abend, meine Damen und Herren.
10500	11740	1240	"Hier ist die ""Tagesschau"", und das sind die Themen heute Sonntag,"
12470	15020	2550	an dem die Schweiz einen neuen König, einen Schwingerkönig hat. Und es ist:
16300	20180	3880	Der 30-jährige Matthias Glarner übertrumpft die jungen Wilden.
22140	26740	4600	Am Monte-Rosa-Massiv verunglücken drei Schweizer tödlich.
29040	32500	3460	Die Kanzlerin ist im In- und Ausland isoliert -
33140	34660	1520	und verteidigt ihre Politik.
35790	40180	4390	Telefonkabinen sollen an vielen Orten verschwinden.
42370	46860	4490	Zeitweise stark bewölkt und gebietsweise Regen oder Gewitter.
48920	52430	3510	Der König ist entmachtet, es lebe der neue König.
53070	58870	5800	Matthias Sempach hat seinen Titel nicht verteidigen können.
59590	61750	2160	Es ist allerdings wieder ein Matthias - Matthias Glarner.
62520	64790.00000000001	2270	Und erneut ein Berner, der diesmal das Eidgenössische gewinnt
65519.99999999999	67270	1750	und den Königskranz aufgesetzt bekommt.
67900	69070	1170	Dank eines Sieges im Schlussgang,
69800	72390	2590	gegen einen der zahlreichen, jungen aufstrebenden Schwinger.
73200	74360	1160	Wie alle drei Jahre erhält auch Glarner
75070	78000	2930	traditionellerweise einen Muni als lebenden Hauptpreis.
78720	80320	1600	Mehr dazu, also nicht zum Muni natürlich,
81150	83240	2090	sondern zum Schwingerkönig, von Daniela Milanese.
84150	87560	3410	Der Schlussgang bot zum Abschluss des Eidgenössischen in Estavayer
88270	89680	1410	noch einmal Schwingsport vom Feinsten.
90340	91800	1460	Und mit Matthias Glarner und Armon Orlik
92600	95400	2800	standen sich zwei Schwinger gegen- über, die das Fest geprägt hatten.
96150	99160	3010	Das Duell Glarner gegen Orlik, war aber auch der erste Schlussgang
99900	103200	3300	zwischen den rivalisierenden grossen Verbänden Bern und Nordostschweiz
103880	105120	1240	seit über 30 Jahren.
105780	109160	3380	Und es war das packende Duell zwischen Routinier und Jungstar.
110910	113280	2370	Der Schlussgang beginnt
113930	118039.99999999999	4110	mit einem Feuerwerk des jungen Armon Orlik (21) in den dunklen Hosen.
126300	129639.99999999999	3340	Doch der erfahrene Matthias Glarner zeigt sich hellwach.
130310	133440	3130	In der Folge ist Matthias Glarner einen Hauch gefährlicher
134110	136120	2010	und einmal auch sehr nah am Sieg.
139110	141640	2530	Doch Armon Orlik zeigt, dass er nicht nur angreifen,
142390	144400	2010	sondern auch verteidigen kann.
145110	148520	3410	Nach etwas mehr als 13 Min. die Entscheidung.
149320	153360	4040	Matthias Glarner kontert einen Angriff und holt sich den Königstitel
154079.99999999997	160880	6800	und mit dieser extrem sportlichen Geste auch alle Sympathien.
166000	169960	3960	Die Erfahrung des 30-jährigen Berner Oberländer hat gesiegt,
170690	174520	3830	doch auch der junge Armon Orlik hat grossen Sport geboten.
175250	177960	2710	Mit sieben Siegen und einem Gestellten
178700	182560	3860	ist Matthias Glarner der verdiente Schwingerkönig 2016.
188000	190560	2560	Das erste Interview nach seinem Triumph
191240	192440	1200	nutzte der neue Schwingerkönig,
193090	195240	2150	um seinem jungen Gegner ein Kränzchen zu winden.
195960	199000	3040	Seinen eigenen Erfolg kann Matthias Glarner gar noch nicht recht fassen.
199990	201840	1850	Es ist schon noch cool.
202550	204920.00000000003	2370	Ich habe es noch gar nicht recht realisiert.
205720	208560	2840	Das wird noch kommen, aber es braucht noch etwas Zeit.
209140	210280	1140	Es ist fantastisch.
211030	215320	4290	Es ist unglaublich, was Ihr Gegner im Schlussgang gezeigt hat.
216010	219120	3110	Ein Wort zu Orlik Armon?
219880	223440	3560	Es ist schlicht fantastisch, wie er schwingt.
224180	226880	2700	Ich habe die Videos von seinen Gegnern mitverfolgt.
227620	229660	2040	Mir kamen beinahe die Tränen vor Freude.
230310	232380	2070	Es ist wahnsinnig, wie er schwingt.
233010	236860	3850	* Jubel und Applaus *
237579.99999999997	240700	3120	Er ist ein grosses Versprechen für die Zukunft.
241520	244740	3220	Wenn er dieselben Schritte wie letztes Jahr zu diesem Jahr
245520	247620	2100	weiter macht, hat er alle Fähigkeiten dazu,
248400	250300	1900	diesen Sport über längere Zeit zu dominieren.
251150	253380	2230	Die nächste Chance, Schwingerkönig zu werden,
254030	255980	1950	bietet sich Armon Orlik allerdings erst in drei Jahren.
256700	260459.99999999997	3760	Bis zum Eidgenössischen 2019 in Zug regiert nun König Glarner.
261130	264820	3690	So viel von uns für den Moment, mehr Sport gibt's später in der Sendung.
265780	268660	2880	Im Kanton Schaffhausen ist es der SP nicht gelungen,
269470	271260	1790	einen zweiten Sitz in der Regierung zu erobern.
272000	275110	3110	In der fünfköpfigen Regierung bleibt die Sitzverteilung wie gehabt.
275810	277790	1980	Alle drei Bisherigen sind wiedergewählt worden.
278550	281350	2800	Mit dem besten Resultat Ernst Landolt von der SVP.
282040	288430	6390	Danach Christian Amsler, FDP und Rosmarie Widmer Gysel, SVP.
289110	291750	2640	Neu gewählt wurden Martin Kessler, FDP,
292440	295630	3190	und Walter Vogelsanger von der SP.
296710	299310	2600	Zügig, mit Schwung,
299980	303630	3650	so präsentieren sich die zwei neuen Regierungsräte den Medien.
304410	307750	3340	Politisch dominieren in Schaffhausen unverändert SVP und FDP
308460	309590	1130	das Fünfergremium.
310240	312030	1790	Der SP-Vertreter, ein Einzelkämpfer.
312850	316310	3460	Sein Rezept, wie er linke Anliegen trotzdem durchbringen möchte:
317090	320870	3780	Man muss die Probleme mit einer gewissen Gelassenheit angehen.
321620	324670	3050	Kurzschlüsse sind immer eine schlechte Wahl.
325400	328270	2870	Überraschend deutlich hat der freisinnige Martin Kessler
328960	329670	710	den Sprung geschafft.
330370	332350	1980	Der Unternehmer gibt sich zurückhaltend zu seinen Zielen,
333080	334870	1790	setzt auf Kontinuität.
335600	337230	1630	Ich will niemandem versprechen,
337970	341030	3060	dass ich am ersten Tag in Schaff- hausen gleich die Welt verändere,
341640	343230	1590	aber grundsätzlich kann man
343950	346870	2920	mit einer soliden, bürgerlichen Regierungsarbeit rechnen.
347590.00000000006	349030	1440	Dafür will ich mich einsetzen.
349720	351870	2150	Trotz bürgerlicher Dominanz:
352550	355110	2560	In der Regierung bleibt doch nicht ganz alles wie bisher.
355890	357670	1780	SRF-Korrespondentin Brigit Weibel:
358370	361070	2700	Die SP hat heute ihre historische Chance verpasst,
361840	364910	3070	den vor 16 Jahren an die FDP verlorenen Sitz zurückzuerobern.
365660	369390	3730	Dennoch bleibt im Kanton Schaffhausen nicht alles beim Alten.
370090	373190	3100	Künftig kommen nämlich alle fünf Regierungsrate vom Land
373840	375390	1550	und kein einziger mehr aus der Stadt.
376080	378350	2270	Das könnte politisch
379030	380630	1600	in Zukunft durchaus einen gewissen Einfluss haben.
381370	383870	2500	Man darf also gespannt sein, wie die ländliche Regierung
384590	387270	2680	die Interessen der Städter vertreten wird,
388080	390470	2390	welche die Hälfte der Kantonsbevölkerung ausmachen.
391560	394470	2910	Im Machtkampf um den Automobil Club der Schweiz, den ACS,
395230	396710	1480	kommt es zu einer überraschenden Wende:
397530	400110	2580	Gestern hatte der amtierende Generaldirektor Stefan Holenstein
400790	402030	1240	seinen Rückzug bekanntgegeben.
402790	405950	3160	Heute folgt ihm FDP-Nationalrat Christian Wasserfallen nach.
406640	409510	2870	"Wasserfallen argumentiert gegenüber der ""NZZ am Sonntag"""
410130	411430	1300	genau gleich wie Holenstein:
412140	414270	2130	Er wolle, dass der Verband zur Ruhe komme.
415000	418430	3430	Wasserfallen war in einer umstrit- tenen Wahl ACS-Präsident geworden
419070	420910	1840	und hätte sich im September in einer Kampfwahl
421720	424350	2630	SVP-Nationalrat Thomas Hurter stellen müssen.
426300	429630	3330	Nach Deutschland, wo Bundeskanzlerin Angela Merkel
430410	433510	3100	wegen ihrer Flüchtlingspolitik weiterhin Kritik einstecken muss.
434250	436270	2020	Und wo die Frage, wie es denn mit ihr weitergeht,
437000	439590	2590	Medien, Politik und Öffentlichkeit seit Wochen umtreibt.
440300	443990	3690	Wird, will Merkel nächstes Jahr nochmals als Kanzlerin kandidieren?
444720	448390	3670	Diese Frage lässt sie auch heute in einem Fernsehinterview offen.
449320	453270	3950	Bundeskanzlerin Angela Merkel lässt sich nicht in ihre Agenda blicken.
453960	455350	1390	Das macht sie im ARD-Sommerinterview
456090.00000000006	458790	2700	mit den Journalisten Tina Hassel und Thomas Baumann klar.
459480	460190	710	Zu den Spekulationen
460950	464630	3680	über eine erneute Kandidatur als Kanzlerin meint sie nur so viel:
465430	467990	2560	Über die Frage, wie ich mich bezüglich
468710	471670	2960	einer weiteren Kanzlerkandidatur entscheide,
472440	475270	2830	werde ich zum gegebenen Zeitpunkt Bericht erstatten
475960	477790	1830	oder die Aussage dazu machen.
478530	480950	2420	Ich möchte nur noch mal sagen, ich nannte keinen Zeitpunkt,
481670	483350	1680	wann ich es wollte oder nicht wollte.
484170	486990	2820	Konkreter wird Merkel stattdessen bei einem anderen Thema:
487680	488830	1150	der Flüchtlingskrise.
489600	492510	2910	Sie beharrt auf dem Quoten-Verteilsystem in der EU.
493240	496390	3150	Ich glaube, dass wir eine gemeinsame Lösung finden müssen.
497040	500310	3270	Und jeder muss seinen Anteil zum gesamten Thema leisten.
501050	504350	3300	Wie die einzelnen Komponenten gewichtet werden, muss man sehen.
505050	506950	1900	Ich finde nach wie vor, dass es nicht geht,
507680	508950	1270	dass einige Länder sagen:
509690	512350	2660	"""Wir wollen generell keine Muslime in unserem Land."""
513169.99999999994	515909.99999999994	2740	Egal ob das aus humanitären Gründen notwendig ist oder nicht.
516640	518510	1870	Flüchtlingspolitik und Kanzlerkandidatur.
519200.00000000006	520590.00000000006	1390	Zwei Themen, denen sich Merkel
521309.99999999994	523750	2440	in den kommenden Wochen intensiv stellen muss.
525230	527550	2320	Merkel will zuwarten mit der Bekanntgabe,
528290	530790	2500	ob sie zu einer vierten Amtszeit antreten will oder nicht.
531550	534230	2680	Eine aktuelle Umfrage zeigt, dass eine Mehrheit der Deutschen
534880	536670	1790	gar nicht wünscht, dass sie weitermacht.
537360	540430	3070	Adrian Arnold, macht Merkel dieser fehlende Rückhalt in der Bevölkerung
541130	544550	3420	zu schaffen oder eher die Kritik aus den eigenen Reihen?
545290	547590	2300	Wir untertiteln live:
556780	561190	4410	Ich denke beides macht ihr zu schaffen.
561840	564590	2750	Aber dieses Zuwarten ein Jahr vor der Wahl ist ein deutliches Zeichen
565340	570670	5330	dafür,
571400	574070	2670	dass sie die interne Unterstützung für eine solche Kandidatur fehlt.
574790	578070	3280	Es gibt tiefe Risse zwischen ihr und der CSU
578800	584150	5350	und dem konservativen Flügel der CDU.
585120	588390	3270	Für eine erfolgreiche Kandidatur müsste sie diese Gräben schliessen.
589160	594470	5310	Und dafür bräuchte sie eine gesamteuropäische Lösung,
596080	598670	2590	wie man den Zustrom von Flüchtlingen von der Türkei her
599360	600750	1390	nach Europa verhindern kann.
601480	603870	2390	Der Türkei-Deal ist in Gefahr. Der Deal, der Europa
604610	606830	2220	in der Flüchtlingskrise weiterbringen könnte.
607590	609230	1640	Hat Angela Merkel, hat Deutschland denn einen Plan B?
616700	622630	5930	Diesen Plan gibt es tatsächlich.
623230	626910	3680	Er existiert auf dem Papier, das Blick wurde.
627660	632980	5320	Man will die EU Aussengrenzen radikal schützen.
633820	639700	5880	Vor allem auch durch den militärischen Ausbau von Frontex.
648610	653940	5330	Man will mittels Kontingenten die Flüchtlinge auf Staaten verteilen.
654690	659460	4770	Das würde sicherlich Merkels Partei gefallen.
660280	663460	3180	Damit könnte sie die Partei rein intern wieder schliessen.
664170	667180	3010	Bei einem Bergunglück sind heute drei Schweizer ums Leben gekommen.
667910	671180	3270	Sie stürzten am Monte-Rosa-Massiv an der Signalkuppe 800 m in den Tod.
672000	674700	2700	Fünf Kollegen konnten unverletzt geborgen werden.
675400	678140	2740	Ein Unglück, das in einer ganzen Reihe
678860	681220	2360	von Bergunfällen in jüngster Zeit steht. Susy Schär.
682320	684430	2110	Perfektes Wetter, herrliche Fernsicht.
685150	687630	2480	Kein Wunder, zieht es diesen August viele Menschen in die Berge.
