start	end	duration	text
1950	4270	2320	1:1-Untertitelung. Livepassagen können Fehler enthalten.
5630	7670	2040	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
8430	9790	1360	Und das sind die Themen zum Wochenstart:
12820	16590	3770	Merkel, Renzi und Hollande beraten über die EU nach dem Brexit -
17280	19110	1830	auf einem Flugzeugträger.
22280	24430	2150	Wladimir Klitschko steigt in St. Gallen
25060	27830	2770	in das Millionengeschäft mit universitärer Weiterbildung ein.
30390	33750	3360	Er zerstörte die Kulturdenkmäler Malis.
34470	36990	2520	Nun entschuldigt sich der ehemalige Dschihadist vor Gericht -
37700	38870	1170	mit Krawatte.
40090	44670	4580	Zwiespältige Bilanz nach den Olympischen Spielen von Rio.
46990	50630	3640	Viel Sonne, warm und praktisch keine Wolken.
53310	57270	3960	Dreiergipfel in Italien. In Ventotene vor der Küste Neapels
57940	59470	1530	treffen sich die Regierungschefs Deutschlands,
60180	61590	1410	Italiens und Frankreichs:
62270	63870	1600	Angela Merkel, Matteo Renzi und Francois Hollande
64510.00000000001	66990	2480	besprechen den Fahrplan der EU nach dem Brexit.
67720	70670	2950	Wo früher Noch-Premier David Cameron mitdiskutierte,
71390	73030	1640	setzt sich jetzt Italien in Szene.
75860	79150	3290	Italiens Regierungschef und Gastgeber Matteo Renzi
79750	81670	1920	will der EU neuen Geist einhauchen.
82420	83910	1490	Das geht auch mit einer Rückbesinnung.
84630	86870	2240	Das Grab des italienischen Antifaschisten Altiero Spinelli
87550	90150	2600	auf der ehemaligen Gefangeneninsel Ventotene
90920	94509.99999999999	3590	ist erste Station des Treffens mit Angela Merkel und Francois Hollande.
95280	97509.99999999999	2230	Spinelli gilt als Vordenker eines geeinten Europas
98280	100470	2190	und hat dazu ein Manifest auf der Insel geschrieben.
101180	103990.00000000001	2810	Doch wie soll die EU ihre grösste Krise, den Brexit bewältigen?
104610	107509.99999999999	2900	Vor den Medien skizzieren die drei ihre Ideen.
108220	109630	1410	Sie wollen stärkere Kooperation im Sicherheitsbereich
110360	112630	2270	und Programme gegen Arbeitslosigkeit.
114420	116270.00000000001	1850	Wir respektieren den Entscheid der Briten.
116910	120590	3680	Aber Europa beginnt jetzt eine neue Zukunft.
121350	123350	2000	Wir müssen uns auf verschiedene Themen konzentrieren.
124200	126150	1950	Wir müssen die innere und die äussere Sicherheit verbessern.
126870	128229.99999999999	1360	Die Nachrichtendienste besser koordinieren.
128870	129949.99999999999	1080	Und auch die Wirtschaft neu ausrichten
130720	133630	2910	mit der Stärkung der nationalen Industrien.
134380	135790	1410	Sicherheit ist auch für Frankreichs Präsident Hollande
136480	137750	1270	das zentrale Thema.
139320	141150	1830	Wir müssen den Datenaustausch
141850	143030	1180	unserer Sicherheitsdienste verbessern.
143780	144550	770	Es braucht eine verstärkte Zusammenarbeit
145220	151510	6290	und Koordination in diesem Bereich.
152200	154270	2070	Deutschlands Bundeskanzlerin will die Flüchtlingskrise
154910	158230	3320	mit einer verstärkten Hilfe im Fluchtland Afrika bekämpfen.
161110	163790	2680	Ich freue mich sehr, dass Frankreich, Italien und Deutschland
164600	167430	2830	zusammen mit der Europäischen Kommission
168060	171910	3850	Partnerschaften übernehmen wollen für Länder wie Niger und Mali,
172640	174150	1510	aus denen sehr viele Flüchtlinge stammen,
174870	177110	2240	um ihnen in Afrika in Zukunft eine Perspektive zu geben.
178270	181670	3400	Das Trio will diese Lösungsansätze für die krisengeschüttelte EU
182440	184230	1790	bei einem Abendessen vertiefen.
184950	187750	2800	Zum eigentlichen Zukunftsgipfel der EU Mitte September
188500	190190	1690	will man nicht mit leerem Gepäck anreisen.
192030	193590	1560	Deutschland, Frankreich und Italien
194300	196510	2210	besprechen Europas Zukunft ohne die Briten.
197220	198590	1370	Sebastian Ramspeck:
199360	202030	2670	Ist das nach dem Brexit nun das neue EU-Führungstrio?
202670.00000000003	205590	2920	Wir untertiteln live:
212810	216150	3340	Matteo Renzi hat sich heute als Teil eines Führungstrios
216829.99999999997	219070	2240	in Szene setzen wollen.
219630	224790	5160	Aber das kann nur funktionieren,
225490	230520	5030	wenn in zentralen Fragen Einigkeit herrscht.
231130	235680	4550	Heute hat man herausgehört, dass Angela Merkel glaubt,
236440	241760	5320	dass sie richtig ist, wenn die Staatsausgaben gekürzt werden.
243510	246440	2930	Die anderen beiden haben das Gefühl, dass diese Kürzung dafür
247120	248480	1360	verantwortlich ist,
249250	253640	4390	dass die EU nicht vom Fleck kommt.
254450	258920.00000000003	4470	Nach der Medienkonferenz traten die drei Spitzenpolitiker
259600.00000000003	262760	3160	sehr unbeholfen vor die Fotografen und wusste nicht genau,
263440	268880	5440	wo sie entstehen müssen.
269870	272400	2530	Diese Realität kommt der EU viel näher.
273630	274960	1330	In Italien selbst
275680	276880	1200	gibt Regierungschef Matteo Renzis Politik noch anderweitig zu reden.
277670	279320	1650	Bislang hatte Renzi stets beteuert, er werde zurücktreten,
280020	282680	2660	falls seine Verfassungsreform beim Volk durchfällt.
283510	285600	2090	Jetzt will Renzi sein politisches Schicksal
286290	287880	1590	nicht mehr davon abhängig machen.
288560	289680	1120	Egal, wie das bevorstehende Referendum
290430	294000	3570	über eine schlankere Verfassung ausfalle, werde 2018 gewählt,
294640	296000	1360	kündigte Renzi an.
298350	301560	3210	Wie weiter in der Flüchtlingsfrage an der Schweizer Südgrenze?
302250	304640	2390	Darüber beriet heute Aussenminister Didier Burkhalter in Genf
305450	307680	2230	mit seinem italienischen Amtskollegen Paolo Gentiloni.
308520	310400	1880	In der italienischen Stadt Como an der Grenze
310980	311960	980	bleibt die Lage angespannt.
312710	314960	2250	Im Tessin ist die Zahl der illegalen Grenzübertritte
315670	316680	1010	jedoch zurückgegangen:
317370	318960	1590	Noch vorletzte Woche
319570	323680	4110	wurde der Jahresrekord von 1'767 illegalen Einreisen registriert.
324420	329480	5060	Letzte Woche waren es dann fast 400 weniger, noch 1'386.
330220	332360	2140	Davon wurden mehr als zwei Drittel weggewiesen.
333070	335280	2210	Zurückgewiesen wird laut Grenzwachtkorps,
335909.99999999994	338480	2570	wer kein Asylgesuch stellt oder nur durchreisen will.
339130	341400	2270	Die Weggewiesenen stranden dann in Como.
342050	342720	670	Was heisst das
343450	345200	1750	für die schweizerisch-italienische Zusammenarbeit an der Grenze?
345810	347080	1270	Alexandra Gubser berichtet.
348490	352400	3910	Eigentlich war Paolo Gentiloni in Genf heute Gastredner.
353130	355240	2110	An der Konferenz der über 300 Botschafterinnen,
355890	357159.99999999994	1270	Generalkonsuln und Chefbeamten,
357900	360160	2260	welche die Schweiz im Ausland vertreten.
360850	362480	1630	Erst nach der Eröffnung im Menschenrechtssaal der UNO
363240	366280	3040	ging's zum bilateralen Gespräch mit Amtskollege Didier Burkhalter.
367080	370120	3040	Die Lage zwischen Como und Chiasso war einer der Diskussionspunkte.
372480	374800	2320	Die Italiener haben die Zusammenarbeit
375500	377400	1900	und die Registrierung der Migranten schrittweise verbessert.
378090	381320	3230	Am Anfang war es schwierig, jetzt klappt das gut.
382090	383000	910	Das hat auch einen Einfluss
383720	384840	1120	auf die Arbeit der Schweizer Sicherheitsdienste,
385520	389360	3840	insbesondere jene der Grenzwächter.
390100	391800	1700	Von den Hunderten in Como gestrandeten Migranten
392520	393920	1400	wollen die meisten gar nicht in die Schweiz.
394680	397280	2600	Flüchtlingskorridore könnten das Problem entschärfen helfen.
399240	402440	3200	Die Regeln sind klar.
403170	404760	1590	Das Dublin-Abkommen setzt den Rahmen,
405480	407960	2480	doch können die Länder untereinander Ausnahmen machen.
408600	409840.00000000006	1240	Was jenen Menschen nützen würde,
410580	412600	2020	die ein Recht auf humanitäres Asyl haben.
413290	414480	1190	Wer kein Recht auf Asyl hat,
415130	418400	3270	muss jedoch zurückgeschickt oder in ein anderes Land umplatziert werden.
419050	420440	1390	Es ist unvorstellbar,
421250	423720	2470	dass Italien den gesamten Migrationsdruck auf Europa
424450	426800	2350	abfedern kann.
427610	431240	3630	Für Didier Burkhalter gibt es immer Spielraum, den man ausnützen kann:
432520	435040	2520	Zwischen dem Gesetz und seiner Anwendung
435700	437480	1780	gibt es oft verschiedene Auslegungsarten.
438120	440960	2840	Da kann ich mir künftig intensivere Diskussionen vorstellen
441690	443680	1990	zwischen den direkt betroffenen Departementen.
444370	446800	2430	Vielleicht braucht es auch politische Entscheide.
447510	450480	2970	Freundschaftliche Verhältnisse unter Ministern helfen da nur bedingt,
451040	452080	1040	um Spannungen abzubauen.
455250	457760	2510	Seit heute herrscht nun überall wieder Schulalltag.
458450	461520	3070	Alleine in Zürich hat heute für 155'000 Kinder
462270	463880	1610	ein neues Schuljahr begonnen.
464620	465960	1340	Bis vor den Ferien war nicht überall klar,
466650	469360	2710	ob vor all diesen Kindern dann auch wirklich eine Lehrkraft steht.
470030	470960	930	Auch dieses Jahr
471690	473280	1590	standen die Schulämter vor dem Problem Lehrermangel.
474800	477120	2320	Auch in den letzten Kantonen musste heute keine Klasse
477860	479400	1540	das neue Schuljahr ohne Lehrer beginnen.
480160	481960	1800	Doch auch wenn der Lehrermangel nicht offensichtlich ist,
482610	486240	3630	führt er auf einer zweiten Ebene durchaus zu Problemen.
488250	491240	2990	Der Lehrermangel stellt sich in unserem Beruf etwas anders dar.
491930	493080	1150	Die Frage ist,
493680	496000	2320	wie gross die Auswahl der Direktoren beim Einstellen des Personals ist
496750	500640	3890	und ob die betreffenden Personen auch das Stellenprofil haben,
501330	503960	2630	das mit dem Anforderungsprofil übereinstimmt. Hier hapert es.
504630	505800	1170	Wir haben v.a. Probleme
506540	507760	1220	beim Besetzen der Stellen in der Heilpädagogik,
508540	510320	1780	aber auch in den naturwissenschaftlichen Fächern
511050	512640	1590	wie Mathematik und Physik auf der Sekundarstufe 2.
513370	515720	2350	Da die Schülerzahlen in den nächsten Jahren
516409.99999999994	517880	1470	wieder markant ansteigen werden,
518559.99999999994	521000	2440	werden wir weiterhin Lehrermangel haben -
521750	524600	2850	zuerst in den Primar- und später auch in den Sekundarschulen.
525430	527360	1930	Der Lehrermangel ist also nicht nachhaltig beseitigt.
528090	531680	3590	Und selbst wenn sich in der Schweiz wieder mehr Menschen
532450	533680	1230	zu Lehrerinnen und Lehrern ausbilden lassen,
534440	536480	2040	reicht das nicht, um den Bedarf zu decken.
537210	538000	790	Es muss nach wie vor
538720	539850	1130	auf ausländisches Personal zurückgegriffen werden.
543080	545770	2690	Ein Master of Business Administration,
546480	549850	3370	ein Diplom in Schweisstechnologie oder Kunsttanz:
550590	553250	2660	Inzwischen gibt es unzählige Weiterbildungsmöglichkeiten
553930	556130	2200	an den Schweizer Universitäten und Fachhochschulen.
556880	559170	2290	Solche Diplome florieren, der Markt boomt.
559950	563090	3140	Umso grösser ist der Konkurrenzkampf unter den Instituten.
563770	566050	2280	Die Universität St. Gallen probiert's nun offensiv
566630	568090	1460	und setzt auf Prominenz:
568760	570170	1410	Die Uni bietet einen Studiengang an
570880	573890	3010	mit dem früheren Schwergewichts- Boxweltmeister Wladimir Klitschko.
575560	579730	4170	Schwergewichte sollen Studierende an die Universität St. Gallen locken.
580480	582170	1690	Mit Wladimir Klitschko, promovierter Sportwissenschaftler,
582810	584570	1760	bietet sie eine Weiterbildung an.
585580	587610	2030	(Filmton) Sie sind die bewegende Kraft,
588370	590810	2440	und wir zeigen Ihnen, was Sie alles damit schaffen können.
591510	593290	1780	Vermittelt werden Selbst- und Challenge-Management
594040	598090	4050	Klitschko will dazu Erfahrungen aus 20 Jahren Spitzensport weitergeben.
598800	604570	5770	Kostenpunkt für den Kurs: 15'000 Euro für 16 Unterrichtstage.
605290	609090	3800	Bezahlen die Studierende hier die 15'000 Euro für die Erfahrungen,
609840	612210	2370	die Sie im Sport gemacht haben, damit sie davon erfahren?
612970	615610	2640	Was ich zuletzt gehört habe, war:
616310	618130	1820	Für so wenig Geld, wie Sie eben genannt haben,
618870	622610	3740	bekommt man so viel Wissen - das lohnt sich.
623330	626410	3080	Lohnen muss es sich auch für die Universitäten und Fachhochschulen:
627060	628770	1710	Bereits gibt es Hunderte Weiterbildungs-Master,
629500	631170	1670	Diplome und Zertifikate.
631950	633610	1660	Marktführerin ist die Universität St. Gallen.
634300	635970	1670	Lagen die Erträge aus der Weiterbildung
636680	641770	5090	2000 noch bei rund 21 Mio. Fr., waren es 2014 schon fast 43 Mio.
642390	644010	1620	Ein umkämpfter Markt:
644890	646930	2040	Da muss man sich immer wieder durchsetzen
647670	649610	1940	bzw. immer wieder neue Angebote setzen
650320	652730	2410	und Zielgruppe genau kennen, seine Kunden kennen.
