start	end	duration	text
3480	6760	3280	.
8580	12480	3900	1:1-Untertitelung. Livepassagen können Fehler enthalten.
12640	17160	4520	"Guten Abend. Schön, dass Sie ""Schweiz aktuell"" schauen."
17380	19280	1900	Das sind unsere Schlagzeilen:
21650	24920	3270	Der designierte Direktor der Aargauer Kantonalbank
25030	26840	1810	kann sein Amt nicht antreten.
27010	30160	3150	Die FINMA sperrt ihn wegen Kursmanipulationen bei der Coop Bank.
30250	33160	2910	Jetzt, da es früher dunkel wird,
33240	35800	2560	machen Polizisten mehr Patrouillenfahrten.
35940	39440	3500	Sie haben ein Auge auf verdächtige Personen in den Wohnquartieren.
39620	41760	2140	Wir sind mit der Kapo Solothurn unterwegs.
41840	44960	3120	Für die Erdbebenübung im Genfer Trümmerdorf
45070	47120	2050	gibt es ein grosses Drehbuch.
47340	50000	2660	Dieses verleitet die Schweizer Retter zu groben Fehlern.
51590	53160	1570	Die Aargauer Kantonalbank hat ein Problem:
53260	57320	4060	Andreas Waespi, ihr zukünftiger Chef, ist ihnen abhanden gekommen.
57540	60560	3020	Er war verantwortlich für die Coop Bank.
60650	64160	3510	Jetzt wirft die Finanzaufsichts- behörde FINMA dieser Bank vor,
64300	67080	2780	sie habe die Börsenkurse manipuliert.
67300	70000	2700	Andreas Waespi gibt sie 3 Jahre lang ein Berufsverbot.
70170	75120	4950	Darum darf er im Mai seine Stelle als AKB-Direktor nicht antreten.
75280	76640	1360	Reto Holzgang.
77580	79440	1860	Augenreiben diesen Morgen
79700	81840	2140	bei der Aargauer Kantonalbank am Hauptsitz in Aarau.
82000	85000	3000	Obwohl der Bankrat diesen Sommer den neuen Chef,
85160	87840	2680	den bisherigen Coop-Bank-Leiter Andreas Waespi, gewählt hat,
88020	90880	2860	muss er nun noch einmal von vorne beginnen.
91140	93560	2420	Der 54-jährige Banker kann den Job nicht antreten.
93660	98120	4460	Dies, weil er beim Aktienkurse- Stützen geschummelt haben soll.
98380	101120	2740	Der angeschuldigte Waespi schreibt dazu:
