start	end	duration	text
1610	4900	3290	1:1-Untertitelung
6420	9500	3080	"Die ""Tagesschau"" - meine Damen und Herren, guten Abend!"
10200	11580	1380	Und das sind die Themen von heute Mittwoch:
12870	15980	3110	IOC-Funktionär Patrick Hickey wird verhaftet -
16740	19140	2400	Verdacht auf Ticket-Schwarzhandel.
21140	25020	3880	Die deutsche Regierung nennt die Türkei eine Islamistenplattform.
26690	29220	2530	Bei Schweizer Tropenmedizinern
30020	33580	3560	häufen sich die Anfragen von Ferienrückkehrern.
36430	39950	3520	Die Exilgeschichte von Stefan Zweig kommt in die Schweizer Kinos.
41510	44950	3440	Im Osten zunächst freundlich, sonst zeitweise Regen.
47340	49750	2410	Wäre Schwarzhandel mit Tickets eine olympische Disziplin -
50470	52870	2400	so wäre Patrick Hickey wohl vorne mit dabei:
53670	55790	2120	Jedenfalls steht das irische IOC-Mitglied
56530	58870	2340	und Präsident des Europäischen Olympischen Kommitees unter Verdacht,
59580	61910	2330	in einen Ticketskandal verwickelt zu sein.
62620	64430.00000000001	1810	Dass sich oberste Olympia-Funktionäre
65170	66990	1820	an Ticketpreisen zu bereichern versuchen,
67730	70710.00000000001	2980	kommt schlecht an - der ehemalige Judoka wurde heute in Rio verhaftet:
72190	74630	2440	Kurz nach 7 Uhr morgens holt die brasilianische Polizei
75390	77670	2280	Patrick Hickey aus seinem Hotelzimmer ab.
78390	80550	2160	Laut der Polizei versucht der Ire zu fliehen - erfolglos.
81300	83950	2650	Vor den Augen der Hotelgäste wird er festgenommen.
84740	87830	3090	Weil er dabei einen Schock erleidet, wird er nicht direkt zur Befragung,
88500	90590	2090	sondern zuerst ins Spital gebracht.
91340	94789.99999999999	3450	Die Polizei wirft dem 71-jährigen Hickey vor,
95479.99999999999	98390	2910	an einem illegalen Tickethändlerring beteiligt zu sein.
99190	102030	2840	Hickey soll Olympia-Tickets an eine britische Firma vermittelt haben,
102750	105350	2600	die diese dann zu überhöhten Preisen verkaufte.
106110	107990.00000000001	1880	Um Bewiese zu finden, hat die Polizei
108630	111950	3320	persönliche Gegenstände von Hickey beschlagnahmt.
112670	115550	2880	Wir haben alle Zimmer durchsucht und seinen Pass konfisziert,
116250	118080	1830	das war unser Hauptanliegen.
118830	121120	2290	Ebenfalls seinen Laptop, das war so angeordnet.
121780	123880	2100	Wir untersuchen jetzt,
124710	126480	1770	ob die Kontakte auf seinem Telefon und seinem Computer
127290	129560	2270	relevant sind für unsere Untersuchungen.
130289.99999999999	133480	3190	Bereits letzte Woche hat die brasilianische Polizei
134330	137880	3550	über Tausend Tickets beschlagnahmt und mehrere Personen festgenommen.
138650	140840	2190	Personen, die für die britische Firma gearbeitet haben,
141620	143600	1980	der Hickey die Tickets zugeschanzt haben soll.
144350	146480	2130	Hickey hat jedoch erst kürzlich im irischen Fernsehen
147200	150440	3240	Verbindungen zu dieser Firma abgestritten.
151110	153040	1930	Das Internationale Olympische Komitee
153730	157200	3470	äussert sich erst zurückhaltend zur Festnahme von Patrick Hickey.
157820	161360	3540	Man wolle aber mit der Polizei zusammenarbeiten, heisst es.
162070	164600	2530	Wir werden die Untersuchungen voll unterstützen.
165290	168320	3030	Noch kennen wir aber die Anschuldigungen oder Beweise nicht.
169140	172400	3260	Diese wolle man zuerst kennen, bevor man weitere Schritte unternehme -
173150	176090	2940	im Fall der Verhaftung des IOC-Funktionärs Patrick Hickey
176910	178810	1900	im Zusammenhang mit dem Ticketskandal.
180110	182490	2380	Wie vor wenigen Augenblicken bekannt wurde,
183210	185530	2320	ist Patrick Hickey vorübergehend
186180	188650	2470	von seiner Funktion als IOC-Mitglied zurückgetreten.
189340	190650	1310	Und soeben hat sich auch Rene Fasel,
191340	193410	2070	Schweizer Mitglied des Internationalen Olympischen Komitees,
194070	195490	1420	zur Verhaftung von Hickey geäussert.
196190	197290	1100	Er zeigt sich überrascht über den Vorfall
197990	199370	1380	und spricht über mögliche Konsequenzen.
200660	203090	2430	Er riskiert natürlich den Ausschluss, wenn er schuldig ist.
203910	206250	2340	So, wie ich ihn kenne, wird er selber zurücktreten,
206950	208810	1860	wenn er etwas Illegales gemacht hat.
209590	211730	2140	Aber sicher, in einer solchen Affäre, wenn es so passiert ist,
212440	214010	1570	ist der Ausschluss die einzige Möglichkeit.
215130	218290	3160	Bislang macht die Spitzenpolitik noch gute Miene zum bösen Spiel:
218930	222530	3600	In einem Bericht bezeichnet die deutsche Regierung die Türkei,
223270	225530	2260	die eigentlich wichtige Verbündete in der Flüchtlingsfrage,
226290	228570	2280	als quasi zentrale Plattform für Islamisten.
229250	231770	2520	Der Bericht war eigentlich nicht für die Öffentlichkeit bestimmt.
232510	235810	3300	Nun aber reagiert die Türkei - wenig erstaunlich - entsprechend scharf.
236560	239930	3370	Ein erneuter Stresstest für die deutsch-türkischen Beziehungen.
241770	245050	3280	Aus dem Bundesministerium des Innern kommen die scharfen Töne.
245700	249450	3750	Sie basieren auf einer Einschätzung des deutschen Auslandgeheimdienstes.
250210	253370	3160	In einer vertraulichen Antwort auf eine Anfrage der Partei Die Linke
254060	258290.00000000003	4230	wird Erdogan etwa Nähe zur radikalen Palästinenserorganisation Hamas
259019.99999999997	262890	3870	unterstellt. Der eigentliche Kernsatz des Papiers lautet:
282080	284530	2450	Der türkische Präsident Erdogan hat bis jetzt nicht reagiert
285230	291450	6220	auf die deutsch und deutlich ausgefallenen Worte an seine Adresse.
292230	295170	2940	Der türkische Aussenminister Mevlüt Cavusoglu hingegen
295870	298690	2820	schlug ebenso undiplomatisch zurück:
314650	316730	2080	Das Kanzleramt räumte heute ein,
317370	319490	2120	an der Beantwortung der Anfrage beteiligt gewesen zu sein,
320260	322980	2720	wollte weiter aber keinen Kommentar abgeben.
323680	325500	1820	Die klaren Worte dürften Merkel in Bedrängnis bringen,
326190	327980	1790	meint unser Korrespondent:
328780	330860	2080	Weil es unglaubwürdig ist, Erdogan in der Öffentlichkeit
331600	333580	1980	immer wieder einen Partner, in einem internen Bericht aber
334340.00000000006	336500	2160	einen Unterstützer des Terrors zu nennen.
337210	339060	1850	Und, weil diese politische Indiskretion
339780	341860	2080	auch das Flüchtlingsabkommen weiter gefährdet.
342580	345460	2880	Jenes Abkommen, das Hunderttausende Flüchtlinge daran hindern soll,
346120	349260	3140	von der Türkei aus weiter nach Europa zu reisen.
349980	351460	1480	Jenes Abkommen,
352190	354300	2110	von dem wohl auch Merkels politisches Schicksal abhängt.
356340.00000000006	359580	3240	Die Uhr tickt, die Zeit drängt. Bis im kommenden Frühling
360330	363420	3090	muss eine Lösung zur Massen- einwanderungs-Initiative her.
364260	366820	2560	Inwiefern erschwert der Brexit die Situation?
367440	369740	2300	Das wollte die Wirtschaftskommission des Nationalrats WAK Anfang Woche
370500	372820	2320	von Bundespräsident Johann Schneider-Ammann
373540	376500	2960	und von Nationalbankpräsident Thomas Jordan wissen.
377340	379700	2360	Offenbar war das Treffen nicht besonders ergiebig,
380360	383300	2940	weshalb sich WAK-Mitglieder fragen:
384070	385340	1270	Hat der Bundesrat überhaupt eine Strategie?
385940	387180	1240	Aus Bern Christoph Nufer:
388050	390130	2080	3 Std. lang sprachen sie sich aus zum Brexit.
390790	392130	1340	Zimmer 286 Bundeshaus. Gestern.
392800	395130	2330	Der Bundespräsident, der Nationalbankpräsident,
395820	396610	790	der neue Staatssekretär Gasser
397420	398770	1350	vor der Wirtschaftskommission des Nationalrates.
399510	402380	2870	Danach fragten sich der Berner SP-Nationalrat Corrado Pardini
403070	404260	1190	und auch andere:
404990	406500	1510	Hat der Bundesrat überhaupt eine Strategie?
407230	408980	1750	Ich habe grosse Bedenken und bin sehr verunsichert,
409670	411700	2030	weil der Bundesrat
412510	414580	2070	in der wichtigsten innen- und aussenpolitischen Frage,
415340.00000000006	416860	1520	nämlich der Zusammenarbeit mit der EU,
417580	420860	3280	kein Konzept hat und sehr hilflos wirkt.
421540	423820	2280	Auch CVP-Nationalrat Markus Ritter
424580	427060	2480	erwartete gestern viel Konkreteres vom Bundesrat.
427810	430580	2770	Unsere Erwartung ist, dass wir eine klare Strategie brauchen.
431340	434060	2720	Der Brexit-Entscheid von Grossbritannien
434750	436740	1990	hat eine neue Ausgangslage geschaffen.
437470	439900	2430	Wir brauchen hier eine klare Strategie und eine Agenda,
440600	441820	1220	wie es jetzt weitergeht.
442510	444180	1670	Der Bundesrat hat keine Strategie.
444940	446620	1680	Man müsste umgehend bilaterale Freihandelsabkommen
447260	450940	3680	mit Grossbritannien aufnehmen, um den Freihandel zu liberalisieren,
451650	454100	2450	an dem Tag, an dem England nicht mehr EU-Mitglied ist.
454760	456620	1860	Weiter gibt es die Möglichkeit
457320	458820	1500	eines Finanzdienstleistungsabkommen mit London.
459500	462220	2720	Auch ein Forschungs- oder Bildungsabkommen wäre denkbar.
462950	465860	2910	Einzig FDP-Nationalrat Beat Walti
466580	469140	2560	nimmt FDP-Bundesrat Schneider-Ammann in Schutz.
469870	473980	4110	Auch in London und Brüssel ist das weitere Vorgehen extrem unklar.
474670	476820	2150	Für die Schweiz ist es umso schwieriger,
477540	479740	2200	im unsicheren Umfeld eine Strategie festzulegen.
480430	482900	2470	Wichtig ist, dass alle Optionen gut vorbereitet sind.
483580	485300	1720	Ist die Strategie entwickelt,
486030	489140	3110	muss man sich vielleicht auch nicht detailliert öffentlich ausbreiten,
489820	492100	2280	was auch im Landesinteresse ist.
492720	495540	2820	Der Bundespräsident entgegnet seinen Kritikern:
496290	498300	2010	Eine bereits vor dem Brexit eingesetzte Begleitgruppe
499030	501260	2230	verfolge die Austrittsverhandlungen Grossbritanniens sehr genau.
502010	503980	1970	Der Bundesrat werde seine Entscheide zum Brexit treffen -
504700	506540	1840	zum gegebenen Zeitpunkt.
507790	510940	3150	Der Bundesrat lehnt die No-Billag-Initiative ab.
511610	513980	2370	Die Abschaffung der Radio- und Fernsehgebühren
514700.00000000006	517620	2920	hätte einschneidende Auswirkungen auf die Schweizer Medienlandschaft
518380	521299.99999999994	2920	und würde den Medienplatz erheblich schwächen, so die Begründung.
