start	end	duration	text
10790	12530	1740	.
27870	30170	2300	MIT TELETEXT-UNTERTITELUNG
30840	34250	3410	Heute tauchen wir ein in die faszinierende Welt der Mumien
34890	36330	1440	und entdecken ihre Geheimnisse.
38390	42290	3900	Und das nicht nur beim Menschen, sondern auch bei den Tieren.
43860	47650	3790	Wie bei diesem Mammut, das vor 40'000 Jahren gestorben ist.
48640	51010	2370	Mithilfe von Forschern aus aller Welt
51750	54970	3220	"entschlüsselt ""Einstein"" seine Lebensgeschichte."
55730	57890	2160	Sie haben Frassspuren gefunden.
58590	62870	4280	Das kommt nicht von einem Messer. - Das wurde abgerissen.
63870	67830	3960	Mumien stemmen sich gegen Verwesung und Zerfall,
68530	71470	2940	"aber wie schaffen sie das? ""Einstein"" will es wissen."
72270	76430	4160	Und Tobias Müller begibt sich auf eine ganz besondere Spurensuche.
79700	84430	4730	Er will alles erfahren über die schönste Mumie der Schweiz.
86170	88870	2700	15 Kinder - das ist eine beachtliche Leistung.
89650	91910	2260	V.a. damals, als es keine moderne Medizin gab.
92630	95110	2480	Wer war diese Dame wirklich?
95870	99950	4080	"Recherchen von ""Einstein"" - unter- stützt von der modernen Wissenschaft."
109789.99999999999	113470	3680	Das ist die Basler Barfüsser-Mumie, die in die Ausstellung
114210.00000000001	116310	2100	"""Mumien - Rätsel der Zeit"" gebracht wird."
116990.00000000001	120630	3640	Morgen wird sie hier im Basler Naturhistorischen Museum eröffnet.
121350	123630	2280	"Grüezi und herzlich willkommen zu ""Einstein""."
124360	126270	1910	Vor 40 Jahren entdeckte man diese Mumie
127030	130229.99999999999	3200	bei archäologischen Grabungen in der Basler Barfüsserkirche.
131050.00000000001	134430	3380	Nie hat man herausgefunden, wer diese Frau gewesen sein könnte.
135140	136670.00000000003	1530	Wir wollten das Geheimnis lüften.
137400	138950	1550	Darum hatten wir - sie und ich -
139670.00000000003	142910	3240	vor rund sechs Monaten unser erstes Rendezvous.
145360	149190	3830	Bis alle Schrauben draussen sind, ist es eher ein Blinddate.
149870	153190	3320	Der Anthropologe Gerhard Hotz kennt die Barfüsser-Mumie schon,
153820	155829.99999999997	2010	will sie heute aber noch einmal untersuchen.
156560	159670.00000000003	3110	Ist es immer noch ein Kribbeln? - Ja, es ist ein Kribbeln.
160440	163310	2870	Du kannst am Fussende halten, dann nehmen wir es weg.
165050	169470	4420	Sie starb vor mehreren Hundert Jahren und ist noch sehr gut erhalten.
170170.00000000003	171550	1380	Das beeindruckt mich.
172250	173670.00000000003	1420	Es riecht gar nicht. - Nicht?
174400	174870	470	Nein.
175510	178910	3400	Im Gegensatz zu den ägyptischen, die relativ intensiv riechen.
179650	182550	2900	"Wenn ich die ägyptische Vitrine öffne, macht es ""wusch""."
184360	187830	3470	Mein Wunsch ist, die Person zu identifizieren.
188600	192470	3870	Zu schauen, wohin sie gehört, aus welcher sozialen Schicht sie kommt.
193190	196030	2840	Wie hiess sie, wie sah sie aus, wie ernährte sie sich,
196800	199829.99999999997	3030	welche Krankheiten hatte sie? Das ganze Umfeld rekonstruieren.
200930	204150	3220	Ein ambitioniertes Ziel, das wir uns gesteckt haben.
204890	206270	1380	Bis heute weiss man nur wenig.
206970	208430	1460	Frühere Untersuchungen ergaben:
209120	212990	3870	Sie soll vor rund 250 Jahren gelebt haben und wurde ca. 45 Jahre alt.
218110	222829.99999999997	4720	Und wie ihre Oberschenkel auch heute noch verraten, war sie eher füllig.
226110	229870	3760	Aber wie erfahren wir mehr über das Leben dieser Frau?
230510	232550	2040	Rechtsmediziner und der Computertomograf
233130	234870	1740	sollen uns erste Antworten liefern.
237160	240430	3270	Einen detaillierten Blick ins Innere der Mumie
241110	242790	1680	geben uns modernste Röntgenbilder.
246180	248110	1930	Hier haben wir das erste Bild.
250630	252590	1960	Das ist der Schädel.
