start	end	duration	text
1650	8890	7240	.
9620	13730	4110	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14290	16370.000000000002	2080	"Guten Abend miteinander, das ist ""Schweiz aktuell""."
17040	22210	5170	Und das sind unsere Themen heute:
22860	24650	1790	Die Zürcher Staatsanwaltschaft ermittelt gegen fünf Stadtpolizisten.
25310	26930	1620	U.a. wegen Körperverletzung und Amtsmissbrauchs.
28670	31850	3180	Westschweizer Taxifahrer schliessen sich im Kampf gegen Uber zusammen
32549.999999999996	34450	1900	und verärgern damit den bisherigen Taxi-Verband.
37000	39210	2210	Nach schwierigen Zeiten
39940	42090	2150	wächst die Berner Fluggesellschaft SkyWork wieder.
44980	47890	2910	Dann schalten wir live zum Haus der Zukunft in Brütten/ZH
48580	50090	1510	zu Sabine Dahinden.
50740	53730	2990	Wir untertiteln live:
59800	64569.99999999999	4770	Dieses Haus wird vollkommen von Solarzellen betrieben.
65269.99999999999	70330	5060	Es ist nicht ans öffentliche Stromnetz angebunden.
71020	72570	1550	Es ist wie ein Kraftwerk.
73250	77250	4000	Es kann nur die Energie verwenden, die es produziert hat.
77870	79410	1540	Wir schauen heute vorbei.
79980	82500	2520	Familie Vogt,
83130	85539.99999999999	2410	ist es ihnen zuhause kalt?
85750	87820	2070	Ein Polizeieinsatz in Zürich Oerlikon hat Konsequenzen.
88440	89620	1180	Die Staatsanwaltschaft
90190	91300	1110	leitete gegen fünf Mitarbeiter der Stadtpolizei Zürich
91940	93140	1200	ein Strafverfahren
93860	95660	1800	u.a. wegen Freiheitsberaubung und Körperverletzung ein.
96310	97860	1550	"Das zeigen Recherchen von ""Schweiz aktuell""."
100100	104340	4240	Am 19. September 2015 demonstrierten christliche Organisationen
104940	107259.99999999999	2320	in Zürich Oerlikon gegen Abtreibung.
107870	109060	1190	In der Nähe des Bahnhofs Oerlikon
109800	111140	1340	treffen sich Gegner eines Abtreibungsverbotes
111820	113259.99999999999	1440	zu einer unbewilligten Gegendemonstration.
113900	114940	1040	Die Polizei kesselt sie ein.
115660	116620	960	Als sie eine Musikanlage aus den Demonstranten holen
117280	119060	1780	sowie Personen kontrollieren wollte, eskalierte die Situation.
119630	123940	4310	Die Polizei setzte Pfefferspray ein, verhaftete 100 Demonstranten
124590	126500	1910	und brachte sie auf den Polizeiposten in der Innerstadt.
127220	130580.00000000001	3360	Dort mussten sich 50 Demonstranten ausziehen.
131200	133780	2580	Fünf Betroffene zeigten darum mehrere Polizisten an.
134380	137260	2880	Nun wurde gegen die fünf Polizisten ein Strafverfahren eingeleitet,
137790	140260	2470	wie die Staatsanwaltschaft des Kantons Zürich bestätigt.
154860	156660	1800	Für die betroffenen Polizisten
157390	158820	1430	hatte das bis jetzt noch keine Konsequenzen,
