start	end	duration	text
1210	4050	2840	.
4140	7810	3670	1:1-Untertitelung
13800	16370.000000000002	2570	Grüezi und willkommen bei uns am Freitagabend.
16500	18330	1830	Das ist heute in der Schweiz aktuell:
20420	23690	3270	Nach 3 Jahren Geiselhaft ist Lorenzo V. zurück in der Schweiz
23890	27570	3680	und freut sich jetzt einfach nur auf sein Zuhause in Grub/SG.
30270	34170	3900	Die Aargauer Regierung verlangt von der Gemeinde Gebenstorf,
34320	36730	2410	dass sie ein Vereinslokal für die islamisch-albanische Gemeinschaft
36820	38610	1790	doch bewilligt.
40840	43050	2210	In Rickenbach/SZ
43220	45410	2190	freut sich die Bevölkerung über die neue Rotenfluhbahn -
45500	48010	2510	nach 10 Jahren wird sie heute wieder eröffnet.
49730	53930	4200	3 Jahre lang wartete Lorenzo V.'s Familie aus Grub bei St. Gallen
54060	56130	2070	auf diesen Moment.
56320	58450	2130	Der Moment der Rückkehr des 49-Jährigen,
58660	60970	2310	zurück aus der Geiselhaft. Jetzt ist es soweit.
61050	63370	2320	Nachdem er sich vor einer Woche
63520	65970	2450	aus den Händen philippinischer Islamisten befreien konnte,
66090	68250	2160	landete er heute in Zürich
68450	70130	1680	und berichtete den Journalisten von seiner Flucht.
71880	74650	2770	Es war etwa um meinen Geburtstag herum, im November,
74800	79370	4570	als ich entschied, dass ich raus musste.
79539.99999999999	82570	3030	dass ich sonst einen umbringen würde.
82690	85730	3040	Ich hatte die Schnauze richtig voll.
85980	89289.99999999999	3310	Ich wollte nicht eine 3. Weihnacht dort verbringen. Das war mein Ziel.
89380	93690	4310	Ich wollte die nächste Weihnacht mit meiner Familie,
93780	96170	2390	meinen Kindern verbringen.
96280	99090	2810	Es sind spektakuläre Details, die Lorenzo V. heute morgen
99210.00000000001	101729.99999999999	2520	den Journalisten zu seiner Flucht erzählt.
101910	105210.00000000001	3300	Mitten in der Nacht, während einer Hochzeitsfeier seiner Geiselnehmer,
105350	108289.99999999999	2940	wagt er die Flucht, schleicht sich an den Wachposten vorbei,
108370	110890	2520	wird aber entdeckt - es kommt zu einem Kampf.
111050	113729.99999999999	2680	Unklar ist, ob der 49-jährige Schweizer
113820	116090	2270	dann einen Bewacher tötete -
116300	119890	3590	nein sagt V. und widerspricht damit philippinischen Medienberichten.
123050	126370	3320	Dann lag er am Boden. Ich dachte, wenn ich jetzt weg laufe ...
126580	129050.00000000001	2470	Ich nahm mein Buschmesser, ein bisschen so ...
129250	132820	3570	eigentlich viel zu langsam. Man müsste ja viel fester ...
132930	135380	2450	Ich wollte ihm nicht weh tun.
135600	137460	1860	Aber ich habe schon Blut gesehen und dachte:
137600	139220	1620	"""Jetzt muss ich nur noch sein Gewehr nehmen,"
139329.99999999997	141300	1970	"damit er nicht mehr schiessen kann."""
141370	143780	2410	Ich nahm das Gewehr, aber er hatte mein Buschmesser.
143940	147260	3320	Er war nicht so zögerlich wie ich. Ich habe sofort gemerkt:
147410	150260	2850	Das waren Zähne. Ich habe sie rausgespuckt.
150400	153180	2780	Das Sturmgewehr habe ich von ihm weg geworfen.
153260	156020	2760	Ich rannte in den Wald zurück.
156100	158220	2120	Hier in Grub wohnt Lorenzo V.,
158370	161060	2690	hier wartete seine Familie fast 3 Jahre auf ihn.
161190	163660	2470	Vor ein paar Tagen kündigte der Gemeindepräsident an,
163890	166790	2900	dass zur Feier der Rückkehr des verschleppten Tierpräparators
166900	169310	2410	ein grosser Empfang geplant sei.
169410	172310	2900	Jetzt krebsten die Behörden aber zurück und wollen den 49-Jährigen
172540	174829.99999999997	2290	im Stillen nach Hause kommen lassen.
174940	176670.00000000003	1730	Zu einer Stellungnahme von Seiten der Gemeinde
176780	178950	2170	war heute niemand bereit.
179079.99999999997	181550	2470	Dafür spricht Toni Bürgin, Direktor des Naturmuseums St. Gallen
181640	183590	1950	und Chef von Lorenzo V.
183820	187110	3290	Während der ganzen 3 Jahre hielt er dem Tierpräparator die Stelle offen.
187340	191990	4650	Und auch jetzt bleibt der Arbeitgeber noch geduldig.
192210	194470	2260	Er muss gesundheitlich erst mal wieder ankommen.
194570	197750	3180	Er muss soweit fit sein, dass er die Arbeit wieder machen kann.
197980	201710	3730	Denn die Arbeit als Präparator ist kein 0815-Job.
201820	204630	2810	Wieso?
204800	207270	2470	Man muss sehr fein arbeiten, feinmotorisch.
207420.00000000003	213350	5930	Man braucht ein genaues Auge und durch die lange Gefangenschaft
213540	218230	4690	muss man schauen, ob die Fähigkeiten alle noch abrufbar sind.
218329.99999999997	221350	3020	Noch ist also unklar, wann Lorenzo V. hier im Naturmuseum
221450	224350	2900	wieder anfängt, Tiere zu präparieren.
224460	226870	2410	Eine Rückkehr an den Arbeitsplatz
226990	229350	2360	ist heute verständlicherweise noch kein Thema.
229510	231790	2280	Aber am Flughafen sagt der 49-Jährige klar:
