start	end	duration	text
2440	4230	1790	.
17400	19550	2150	MIT TELETEXT-UNTERTITELUNG
29470	32870	3400	Ich hatte 40 Jahre lang einen Kampf mit mit selber:
33000	35150	2150	Ich musste die Rolle Mann leben.
35240	38670	3430	Es war ein Krieg, der in mir drinnen tobte - es war unsagbar.
39680	42630	2950	Es war eine ganz schwierige Zeit.
42840	45190	2350	Ich habe heute meinen Frieden gefunden.
45320	49430	4110	Und darum war es mir persönlich ein grosses Bedürfnis,
49630	52110	2480	in einem Land wie Kosovo dienen zu dürfen,
52250	53710	1460	um den Frieden zu schützen.
55400	57390	1990	Sanfte, antreibende Klänge
62770	66790	4020	Claudia ist die erste Transsexuelle in der Schweizer Armee.
66970	68789.99999999999	1820	Was sucht eine Frau, die 40 Jahre lang in einem Männerkörper lebte,
71280	74190	2910	verheiratet war und Vater einer Tochter ist,
74360	78990	4630	ausgerechnet in dieser Männerwelt? Davon handelt dieser Film.
80510	82430	1920	Sanfte, antreibende Klänge
90780	93750	2970	Das Swiss Chalet im Truppenlager Prizren in Kosovo
93850	96630	2780	ist für 6 Monate Claudias Lebensmittelpunkt.
101890	103750	1860	Sie bekocht die Schweizer Soldaten
103880	106789.99999999999	2910	sowie deren deutsche und österreichische Kameraden,
106960.00000000001	110190	3230	die hier ihren friedensfördernden Einsatz leisten.
113970	117009.99999999999	3040	Das ist etwas, das ich wirklich gerne machen wollte.
117220	121050	3830	Es spielt doch keine Rolle, ob ich das als Frau oder als Mann mache.
121240	125570	4330	Das Militär ist eine Organisation - es ist weder männlich noch weiblich.
125720	128810	3090	Das Militär ist für mich ein Auftrag ... den man zu erfüllen hat.
130250	131850	1600	Wer diszipliniert leben
132050	134810	2760	und sich privat auch etwas einschränken kann,
135030	137610	2580	ist hier garantiert nicht am falschen Ort.
139260	142770	3510	Transsexuelle sind in der Schweizer Armee nicht vorgesehen.
142860	143730	870	Als Claudia noch Andreas hiess und ein Mann war,
146530	149090	2560	hatte sie es bis zum Fourier gebracht.
149250	151690	2440	Doch das nützte ihr wenig, als sie sich
151860	155530	3670	nach der Geschlechtsanpassung zum Dienst meldete.
155730	158730	3000	Transsexuelle seien dienstuntauglich, hiess es zuerst.
161690	164970	3280	Wie war das für Sie, als die Armee Sie nicht sofort aufnahm,
165050	167530	2480	dass es vertiefte Abklärungen brauchte?
169400	172290	2890	Da ich den Personenstand Frau habe
172440	173850	1410	und rechtlich - vor dem Gesetz - als Frau existiere,
176530	180850	4320	und eigentlich alle medizinischen Massnahmen getroffen worden sind,
180960	183650	2690	tat das natürlich weh, klar.
184920	188770	3850	Wie sind Sie damit umgegangen? Emp- fanden Sie das als Diskriminierung?
190070	194170	4100	Diskriminierung ist ein sehr, sehr grosses Wort.
194200	197970	3770	Es traf mich persönlich sehr stark,
198140	202380	4240	dass man Vorurteile über Fähigkeiten setzt,
202630	203780	1150	weil man das einfach nicht kennt.
205400	207579.99999999997	2180	Doch ich bin mir gleichzeitig bewusst,
207810	210380	2570	dass es Menschen gibt, die vorausgehen müssen
210560	214500	3940	und den Anfang machen müssen, um beweisen zu dürfen,
214710	217620	2910	dass wir eben ganz normal sind - wie alle anderen auch.
219130	221140	2010	Dass die Schweizer Armee länger brauchte,
221340	224660	3320	um sich zu einem Entscheid durchzuringen, hat seinen Grund:
224840	227180	2340	Bisher sah die militärische Krankheitslehre
227280	231300	4020	bei Transsexualität zwingend eine Dienstuntauglichkeit vor.
231400	232900	1500	Claudia hat erreicht,
233130	233780	650	dass die Armee sie für die Stelle als Koch rekrutierte.
