start	end	duration	text
1840	5070	3230	1:1-Untertitelung. Livepassagen können Fehler enthalten.
5430	7230	1800	Guten Abend, meine Damen und Herren.
7410	10190	2780	"Hier ist die ""Tagesschau"", und das sind die Themen heute Dienstag:"
11470	16510	5040	Das Urteil gegen die Lieferung von Facebook-Daten an die USA
16620	18910	2290	ist ein Präzedenzfall.
20120	24590	4470	Paris schuldet der Schweiz Millionen Grenzgänger-Steuern.
25900	31310	5410	Thomas Stocker kandidiert für das Präsidium des Weltklimarates.
32720	39110	6390	Die Nachfrage nach Luftbildern als Kartengrundlage wächst rasant.
40400	44270	3870	Nur im Westen und Süden gibt es längere sonnige Phasen.
45770	47870	2100	Und da soll noch jemand sagen,
47980	51990	4010	einer allein könne nichts ausrichten gegen einen Weltkonzern.
52080	55510	3430	Der Österreicher Max Schrems hat sich mit Facebook angelegt
55610	57830	2220	und heute recht bekommen.
58080	61790	3710	Schrems warf Facebook vor, persön- liche Daten von europäischen Nutzern
61880	63710	1830	in die USA weitergeleitet
63880	67710	3830	und nicht vor dem Zugriff des US-Geheimdienstes geschützt zu haben.
67840	69590	1750	Der Europäische Gerichtshof
69780	72350	2570	hat nun das Datenabkommen zwischen der EU und den USA,
72510	77110	4600	das sog. Safe Harbor, für ungültig erklärt - ein bahnbrechendes Urteil.
78330	81910	3580	Max Schrems, ein 28-jähriger Jurist aus Salzburg,
82090	85270	3180	an seinem Triumphtag im Luxemburger Gerichtssaal.
85440	87390	1950	Seine Klage gegen Facebook ist der Grund,
87570	92270.00000000001	4700	weshalb der Datentransfer über den Atlantik neu überdacht werden muss.
92440	94630	2190	Direkt, also am Bildschirm, wird sich nichts ändern,
94820	97830	3010	aber spannend ist: Wo landen diese Daten? Wie viel passiert mit ihnen?
97979.99999999999	101870	3890	Kann ich mir sicher sein, dass wenn ich ein E-Mail an z.B. Gmail sende,
101950	103670	1720	dass das nicht alles bei der NSA landet?
103880	106110	2230	Da könnte sich jetzt durchaus viel bewegen.
106300	108390	2090	Wenn bisher jemand in Europa Facebook nutzt,
108560	110310	1750	dann werden seine Daten
110490.00000000001	112509.99999999999	2020	auch auf Server von Facebook in die USA übertragen.
112660	116590	3930	Dies war seit 15 Jahren durch das sog. Safe-Harbor-Abkommen geregelt.
116700	119910	3210	Auf die Server in den USA hat allerdings die NSA Zugriff.
120040	121790	1750	Die Daten sind also nicht geschützt,
121930	125150	3220	weswegen das Gericht das Abkommen aufgehoben hat.
125270	127710	2440	Technikexperte Guido Berger sagt,
127790	131150	3360	dass die US-Internetkonzerne nun andere Möglichkeiten suchen müssten,
131340	135070	3730	um an die Daten ihrer Nutzer ranzukommen.
135250	137510	2260	Grosse Unternehmen wie Facebook oder Google,
137660	139910	2250	die sowieso viele Anwälte beschäftigen,
140079.99999999997	143150	3070	haben wahrscheinlich die Möglich- keit, das jetzt schnell zu tun.
143320	146430	3110	Kleinere Unternehmen, die sich bis jetzt fast ausschliesslich
146600	149350	2750	auf dieses Safe-Harbour-Abkommen verlassen haben,
149470	151350	1880	haben jetzt eher ein Problem.
151520	154790	3270	Bei der EU-Kommission gibt man sich betont gelassen.
154960	159950	4990	Der Datenfluss komme durch das Urteil nicht plötzlich zum Erliegen.
160030	163190	3160	Die Unternehmen können weiterhin
163350	165550	2200	Daten über den Atlantik hin- und herschicken.
165740	172510	6770	Sie müssen dazu einfach das be- stehende Datenschutzrecht beachten.
172620	174550	1930	Beschwichtigende Worte.
174730	178910	4180	Tatsache ist: Es muss so schnell wie möglich ein neues Abkommen her.
180160	182630	2470	Von der EU-Kommission hört man also:
182830	185510	2680	alles kein Problem - die Unternehmen könnten weiterhin
185620	188070	2450	Daten über den Atlantik hin- und herschicken.
188250	191110	2860	Trotzdem soll ein neues Abkommen ausgehandelt werden.
191290	195990	4700	Sebastian Ramspeck, was sind denn nun die konkreten Konsequenzen?
196110	206230	10120	Wir untertiteln live:
206470	210230	3760	Ich habe heute mit unterschiedlichen Experten gesprochen.
210410	213070	2660	Mit Wirtschaftsvertretern und Datenschützern.
213180	218710	5530	Alle sind sich einig.
218910	221430	2520	Die Bedeutung dieses Urteils wird heruntergespielt.
221650	227510	5860	Es wird Konsequenzen haben.
227910	233829.99999999997	5920	4500 Unternehmen haben keine Rechte mehr
235720	239510	3790	fü r ein Datentransfer in die USA.
239640	243470	3830	Es ist völlig unklar, ob es gelingen wird,
243580	248750	5170	ein neues Abkommen auszuhandeln,
248830	251910	3080	dass der Wunsch nach Datenschutz berücksichtigt.
252110	255150	3040	Was heisst dieses heutige Urteil für das europäisch-amerikanische
255280	261230.00000000003	5950	Verhältnis?
261709.99999999997	265110	3400	Es ist denkbar, dass amerikanische Konzerne wie Facebook gezwungen sein
265240	267550	2310	werden,
267630	273550	5920	die europäischen Nutzerdaten in Europa zu speichern.
274390	280230	5840	Konsequenzen dieser Art würden den Amerikanern keine Freude bereiten.
280409.99999999994	286270	5860	Das wäre nicht förderlich für die transatlantischen Beziehungen.
287530	292230	4700	Die EU und die USA sind daran, ein Freihandelsabkommen auszuhandeln.
292409.99999999994	295670	3260	Auch hier gibt es unterschiedliche Sichtweisen und Befindlichkeiten.
295850	300190	4340	Diese Verhandlungen könnte noch schwieriger werden.
301650	301910	260	Das Urteil des Europäischen Gerichtshofes gegen Facebook
304190	307110	2920	wird auch von Schweizer Datenschutz- experten als wegweisend angesehen.
307180	309630	2450	Jetzt würden die einzelnen euro- päischen Länder und auch die Schweiz
309790	311750	1960	in die Pflicht genommen, meint Juristin Ursula Uttinger.
313030	315870	2840	Es ist ein sehr bedeutendes Urteil, weil damit festgehalten wird,
316050	318670	2620	dass nicht die Europäische Kommission entscheiden kann,
318830	323150	4320	ob die USA ein gleichwertiges Datenschutzniveau haben, sondern:
323210	328070	4860	Jedes europäische Land kann und muss für sich den Entscheid treffen.
328190	330110	1920	Für den Datentransfer
330170	332750	2580	verfügt auch die Schweiz über ein Abkommen mit den USA.
332950	335790	2840	Deshalb brauche es hierzulande ein Umdenken der Unternehmen,
336050	340390	4340	sagt der stellvertretende eidg. Datenschützer.
340630	344870	4240	Die Unternehmen, die Daten von der Schweiz in die USA schicken wollen,
345070	347710	2640	müssen sich genau überlegen, ob das überhaupt nötig ist
347970	352350	4380	oder ob sie auch ohne die Daten- lieferungen arbeiten könnten.
352530	354350	1820	Wenn Daten in die USA geliefert werden,
354520	357070	2550	muss das auf ein absolutes Minimum beschränkt sein,
357120	358909.99999999994	1790	und die betroffenen Nutzer
359100	363070	3970	müssen vollständig darüber informiert werden.
365040	370070	5030	So viel zum Urteil des Europäischen Gerichtshofes.
370240	375110	4870	Die Schweiz wird von Frankreich oft kritisiert, v.a. in Steuerfragen.
375160	378550	3390	Die Schweiz biete zu wenig Hand, müsse kooperativer sein.
378750	381390	2640	Im folgenden Fall ist es genau umgekehrt:
381540	384110	2570	Die Schweiz moniert, Frankreich lasse sich mit der Begleichung
384260	386310	2050	einer Rechnung zu viel Zeit.
386590	391550	4960	Es geht um den Betrag von nicht weniger als 321 Mio. Fr.
391730	395030	3300	Trotz Mahnung ist das Geld bisher nicht eingetroffen -
395110	397950	2840	zum Ärger der Kantone. Mirjam Mathis berichtet.
399420	403030	3610	Tag für Tag kommen sie aus Frankreich über den Genfersee
403110	405390	2280	in den Kanton Waadt zur Arbeit.
405570	408790	3220	25'000 Grenzgänger sind im Kanton registriert.
408960	411110	2150	Diese bezahlen in der Schweiz keine Steuern,
411300	415190	3890	Frankreich gibt dem Kanton aber einen Teil der Lohnsumme zurück.
415330	418070	2740	Dieses Geld hätte Frankreich bis Ende Juni bezahlen müssen.
418220	419950	1730	Dass es noch nicht eingetroffen ist,
420080	424070	3990	verärgert den Waadtländer Finanzdirektor:
424330	427150	2820	In einigen Gemeinden macht diese Summe
427280	429510	2230	fast einen Drittel des Budgets aus.
429590	431430	1840	Dieses Geld fehlt in ihrer Kasse.
431640	434830	3190	Es sind insgesamt 300 Mio. Das ist viel Geld.
434910	436750	1840	Deswegen ist es sehr wichtig,
436930	443950	7020	dass Frankreich das Geld rechtzeitig zahlt.
444070	447350	3280	Acht Kantone warten auf Geld von Frankreich:
447540	451510	3970	102 Mio. Fr. stehen alleine dem Kanton Waadt zu.
451610	454710	3100	Der Bund hat auf Druck der Kantone in Frankreich nachgefragt,
454790	457510	2720	wo das Geld bleibe.
457670	459909.99999999994	2240	Wir haben uns selbstverständlich bei den Franzosen erkundigt,
460140	461909.99999999994	1770	was die Gründe sind.
462060	464830	2770	Wir haben auch angemahnt, dass die Zahlungsfrist verstrichen ist.
465030	468070	3040	Die Franzosen antworteten, sie hätten noch administrative Probleme,
468150	470310	2160	aber die Zahlung laufe jetzt.
470490	473590.00000000006	3100	Damit gibt sich Pascal Broulis nicht zufrieden.
