start	end	duration	text
1450	6420	4970	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7040	9020	1980	Guten Abend, meine Damen und Herren,
9760	11740	1980	"das ist die ""Tagesschau""-Hauptausgabe vom 15. Oktober -"
12490	13900	1410	und diese Themen haben wir für Sie.
15420	18460	3040	In Lausanne sprechen Russland und die USA wieder über Syrien.
19840	21780	1940	FKW-Gase sollen verboten werden -
22590	26860	4270	und bald wird auch Verbrennungs- motoren der Benzinhahn zugedreht.
28390	30100	1710	Blinde und Sehbehinderte
30830	33140	2310	gehen für ihre weissen Leitlinien auf die Strasse.
34690	36980	2290	Bei der Landung der europäischen Sonde
37640	40140	2500	kommt es auf Schweizer Hightech an.
41690	45340	3650	Unterhalb von 900 m bleibt der Hochnebel zäh.
47820	50980	3160	Die Hoffnung stirbt zuletzt - das könnte in etwa das Motto
51760	53380	1620	der internationalen Syrien-Gespräche sein,
54000	56420	2420	die wieder einmal in der Schweiz, in Lausanne stattfinden.
57280	59100	1820	Es wird über eine Feuerpause in Aleppo beraten
59850	62660	2810	oder zumindest mal über eine Reduzierung der Gewalt.
63310	66740	3430	Immerhin: An der Gesprächen beteiligen sich neben den USA
67560	70180	2620	auch der Iran, die Türkei, Saudi-Arabien und Russland -
70930	73060	2130	also lauter Länder, die im syrischen Bürgerkrieg wichtig sind,
73800	77020	3220	weil sie die eine oder andere Kriegspartei unterstützen:
78620	82060	3440	Schon in der Nacht trifft Russlands Aussenminister Sergei Lawrow ein.
82840	85180	2340	Russland wankt nicht in seiner Unterstützung
85820	87300	1480	für das syrische Regime.
88060	91220	3160	Er bringe keine neuen Ideen nach Lausanne, sagte Lawrow im Vorfeld.
91930	96660	4730	Auch der Iran nimmt teil - hier Aussenminister Dschawad Sarif.
97410	100780	3370	Der Iran gehört zu den wichtigsten Stützen des Assad-Regimes,
101600	104180	2580	es ist eine schiitisch-alawitische Achse.
104930	106900	1970	Irans Anwesenheit in Lausanne überrascht -
107680	109500	1820	im Vorfeld hatte Teheran noch abgelehnt.
110240.00000000001	113140	2900	Aber auch die Gegner des Assad-Regimes sind anwesend:
113810	116780	2970	Allen voran die USA - hier Aussenminister John Kerry.
117509.99999999999	119259.99999999999	1750	Und es sind regionale Mächte angereist -
119930	123820	3890	etwa die Türkei, Saudi-Arabien, Katar, Jordanien und Ägypten.
124490	126940	2450	Sie unterstützen syrische Rebellengruppen.
127690	130020.00000000001	2330	Die UNO ist mit Staffan de Mistura vertreten.
130800.00000000001	134340	3540	Die UNO-Resolution über das Herausführen von Rebellen aus Aleppo
135060	139180	4120	ist für Russland weiterhin ein wichtiges Gesprächsthema.
139860	143940	4080	In Aleppo irgendeine Art von Feuerpause zu erreichen -
144650	147140	2490	so lautet das oberste Ziel der Gespräche.
147800	149579.99999999997	1780	Aleppo wird von der syrischen und russischen Luftwaffe
150329.99999999997	152700	2370	schwer bombardiert, um die Rebellengebiete zurückzuerobern.
153480	155780	2300	Hilfsorganisationen fordern dringend eine Feuerpause,
156600	161060	4460	um rund 250'000 Zivilisten versorgen zu können.
161800	164460	2660	Die Aussenminister der USA und Russlands
165280	167100	1820	haben zunächst bilaterale Gespräche geführt,
167780	169700	1920	was eine Annäherung bedeuten könnte.
170370	172579.99999999997	2210	Inzwischen laufen die Beratungen in der grossen Runde.
174100	176620	2520	Mehr als ein winziger Hoffnungsschimmer
177320	179140	1820	sei die Konferenz nicht, sagen Beobachter.
179880	182500	2620	Alexandra Gubser in Lausanne, wie sehen Sie das?
183240	187020	3780	Wie ist die Stimmung jetzt am Ende der Funkstille?
187700	199380	11680	Wir untertiteln live:
200000	203660	3660	Die Stimmung ist sehr ambivalent.
204480	209740	5260	Es gibt zu viele gegensätzliche Interessen.
211040	214820	3780	Es wird intensiv diskutiert.
215579.99999999997	220980	5400	Dennoch wirkt das heutige Treffen überhastet arrangiert.
222290	224180	1890	Die Ziele sind noch nicht formuliert.
224910	228740	3830	Die Vertreter der beiden Grossmächte haben betont,
229500	234900	5400	Ihre Erwartungen seien in einem sehr kleinen Ort:
