start	end	duration	text
1440	5410	3970	.
5500	14010	8510	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14170	17250	3080	"Grüezi miteinander und willkommen zu ""Schweiz aktuell""."
17400	19370	1970	Das sind heute unsere Themen:
21930	24130	2200	Hunderttausende ausländische Fahrende
24330	28490	4160	verliessen gestern das Gelände der bernischen Strafanstalten Witzwil.
28700	31810	3110	Deren Dreck müssen die Häftlinge jetzt mühsam wegräumen.
34580	39450	4870	Der weltgrösste Nahrungsmittelkonzern Nestle feiert seinen 150. Geburtstag.
39610	42690	3080	Für den Standortkanton Waadt ist es der wichtigste Steuerzahler,
42780	45090	2310	deshalb wagt man dort kaum Kritik.
47740	50650	2910	Immer mehr Frauen in Zürich trainieren in Gruppen
50780	52810	2030	samt Kind und Kinderwagen -
53040	56410	3370	buggyfit heisst der Trend gegen die Schwangerschaftskilos der Mütter.
58340	61730	3390	Jetzt sind sie wieder weg, die rund 350 ausländischen Fahrenden,
61940	65610	3670	die sich in den letzten Tagen in Gampelen/BE niedergelassen haben.
65720	68730	3010	Und zwar auf dem Gelände der Strafanstalt Witzwil.
68910	71610	2700	Gestern sind sie nicht ganz freiwillig weitergezogen
71860	74210.00000000001	2350	und hinterliessen Dreck und Verwüstung.
76510	78810	2300	Es sind unappetitliche Spuren,
79000	81450	2450	die auf diesem Feld in Gampelen zurückbleiben.
81590	83770	2180	Das Gelände gehört den Anstalten Witzil.
83940	87010	3070	Anstaltspersonal und Häftlinge sind heute Morgen daran,
87100	89130	2030	den Abfall zu räumen,
89270	91810	2540	den die französischen Fahrenden hinterlassen haben.
91980	93930	1950	Für Anstaltsdirektor Hans-Rudolf Schwarz
94080	96090	2010	eine sehr unbefriedigende Situation.
96220	98330	2110	Rückblickend muss ich sagen,
98500	100890	2390	dass ich das Standrecht nicht hätte geben sollen.
101050	103330	2280	Die Belästigung der Bevölkerung durch Lärm,
103470	105850	2380	den liegengebliebenen Abfall
105940	111850	5910	und die Notdurft, die sie überall verrichtet haben, ist zu gross.
112000	115170	3170	Wir haben die Bevölkerung überstrapaziert.
115320	119490.00000000001	4170	Vor einer Woche haben Fahrende diesen Platz ohne Vorwarnung besetzt.
119670	122770	3100	Nach einer kurzen Auseinandersetzung mit Handgemenge
122890	125330	2440	einigten sich die Beteiligten darauf,
125380	127730	2350	dass die Fahrenden eine Woche bleiben dürfen.
127900	132850	4950	Ein WC, das aufgestellt wurde, wurde nicht gebraucht, sondern demoliert.
132990	138930	5940	So etwas ist nicht erklärbar, auch nicht durch ihren Lebensstil.
139030	141170.00000000003	2140	Man muss sich der Umgebung anpassen.
141320	143690	2370	Die Fahrenden bezahlten zwar eine Standmiete,
143870	146970	3100	doch alleine die Sicherheitskosten für die Securitas-Leute
147180	148940	1760	vor dem Tankstellenshop nebenan
149140	152220	3080	kosteten die Anstalten Witzwil mehr als das Doppelte der Einnahmen.
152410	155500	3090	Erst als die Anstaltsleitung den Fahrenden mit der Räumung drohten,
155630	157700	2070	seien sie weitergefahren.
157880	160460	2580	Gar keine Freude an den negativen Schlagzeilen aus Gampelen
160579.99999999997	162380	1800	haben die Schweizer Fahrenden.
162500	165579.99999999997	3080	Ich verurteile das aufs Schärfste.
165770	168620	2850	Es soll für alle dasselbe gelten, ob Jenische aus der Schweiz,
168820	170660	1840	Sinti aus der Schweiz oder Ausländer.
170890	173579.99999999997	2690	Wir wollen Ordnung in der Schweiz, die für jeden gilt.
173750	176900	3150	Jetzt hofft die Radgenossenschaft, dass die französische Fahrende
177050	180460	3410	an anderen Standorten in der Schweiz nicht wieder Probleme machen.
182620	187580	4960	Seit 150 Jahren gibt es Nestle - und dies feierte der Konzern heute
187660	191300	3640	und zwar mit der Eröffnung seines eigenen Museums in Vevey.
191460	195620	4160	Dabei waren die Führung und Politiker.
195780	198180	2400	Das Unternehmen wurde im Kanton Waadt gross
198290	200620	2330	und hat dort immer noch seinen Hauptsitz,
200760	204780	4020	obwohl es heute in 197 Ländern tätig, der weltgrösste Nahrungsmittelkonzern
204860	208300	3440	und das grösste Industrieunternehmen der Schweiz ist.
208460	213060	4600	Wir fragen heute: Welche Bedeutung hat Nestle für den Kanton Waadt?
213170.00000000003	215500	2330	Neben dem Hauptsitz in Vevey
215730	219060	3330	hat der Konzern seinen bedeutendsten Standort im Waadtländer Nordjura
219250	221900	2650	und dorthin nehmen wir Sie jetzt mit - nach Orbe:
224360	226660	2300	Das beschauliche Mittelalterstädtchen Orbe
226740	229060	2320	liegt zwischen Vallorbe und Yverdon-les-Bains.
229140	232579.99999999997	3440	Seit 26 Jahren schaut hier FDP-Stadtpräsident Claude Recordon
232660	234579.99999999997	1920	zum rechten.
234660	237460	2800	Trotz nur 6'700 Einwohnern ist Orbe ein Städtchen,
237550	239700	2150	kein Dorf, wie er betont.
239860	241940	2080	Dank Nestle habe man eine Ausstrahlung
242080	245500	3420	bis weit über die Kantonsgrenze.
245700	248300	2600	Diese zwei Einheiten sind eng miteinander verbunden.
248430	250340	1910	Das Schicksal der Stadt
250500	253180	2680	hängt mit dem von Nestle zusammen und umgekehrt.
253310	255660	2350	Ist das auch gefährlich?
255810	259220.00000000003	3410	Das könnte gefährlich sein, aber das multinationale Unternehmen
259339.99999999997	262300	2960	hat hier verschiedene Abteilungen, die unabhängig sind.
262500	266700	4200	So verteilt sich das Risiko.
266830	269840	3010	1'500 Mitarbeiter beschäftigt Nestle in Orbe.
270060	272800	2740	Hier wird Nescafe, Nespresso und Tee hergestellt,
273020	275320	2300	aber auch geforscht und entwickelt.
275520	278560	3040	In den letzten Jahrzehnten wurde der Standort stark ausgebaut.
278670	280720	2050	Zuletzt vor fünf Jahren,
280820	283840.00000000006	3020	als die Müesli-Forschung nach Orbe verlegt wurde.
283940	286720	2780	Wir machten Vorschläge, die verführerischer waren
286820	289840.00000000006	3020	als die der anderen.
289960	292400	2440	Und so kamen sie nach Orbe -
292500	294800	2300	gegen 80 Ingenieure liessen sich hier nieder.
294970	297760	2790	Das war ein Erfolg, aber muss dynamisch sein und sich bewegen,
297860	299800	1940	sonst geht nichts.
299940	302160	2220	Rund zwei Drittel der Unternehmenssteuern in Orbe
302260	304120	1860	kommen von Nestle.
304220	306520	2300	Das Grossunternehmen bescherte dem Stadtpräsidenten
306550	308560	2010	aber auch schlaflose Nächte,
308650	311920	3270	z.B. nach dem Schweizer Nein zum Europäischen Wirtschaftsraum 1992.
312080	314360	2280	Der Schweizer Kaffee-Export ins benachbarte Ausland
314490	316560	2070	wäre plötzlich gleich besteuert worden
316700	319400	2700	wie der aus anderen Kontinenten.
319560	322600	3040	Als ich realisierte, dass der Standort Orbe in Gefahr ist,
322750	325720	2970	sprach ich mit dem Kanton, mit der Region und dem Bund.
325830	328080	2250	Wir haben alle zusammengearbeitet.
328280	330320	2040	Zusammen mit Nestle Schweiz schauten wir,
330540	333880	3340	dass alt Bundesrat Jean-Pascal Delamuraz die Fabrik besichtigt.
333990	336320	2330	Und auch der Botschafter in Brüssel,
336510	339720	3210	der mit der EU bilaterale Verträge verhandelte.
339880	343080	3200	Ich schrieb allen Nationalräten persönlich,
343190	351480	8290	um die Schweizer Politiker auf diese Problematik aufmerksam zu machen.
351620	354840.00000000006	3220	Die Gemeinde setzte alle Hebel in Bewegung, um zu verhindern,
355000	357720	2720	dass Nestle die Fabrik in Orbe schliesst.
357860	360880	3020	Am Ende kam eine Sonderregelung mit der EU zustande,
361000	363280	2280	und Nescafe blieb in Orbe.
363460	366720	3260	Heute werden hier pro Jahr mehr als 8'000 t Nescafe produziert -
366950	369680	2730	über 90 % wird ins Ausland exportiert.
369790	372960	3170	Curt Blattner arbeitet seit über 20 Jahren für Nestle
373200	376280	3080	und erlebte die schwierige Situation als Fabrikchef mit.
376420	379200	2780	Orbe sei einer der wichtigsten Standorte für Nestle,
379290	382520	3230	nicht nur bei der Kaffeeproduktion,
382730	384720	1990	sondern auch, was die Forschung angeht.
384820	387880	3060	600 Wissenschaftler und Techniker forschen in den Labors
388120	390160	2040	an der besten Zusammensetzung des Kaffees.
390340	393240	2900	Im Ganzen sind heute sieben verschiedene Unternehmenseinheiten
393350	395840.00000000006	2490	von Nestle in Orbe präsent.
395980	399240	3260	Angefangen von Daniel Peter, der die Milchschokolade herbrachte
399400	401680	2280	und sie damals schon - vor über 100 Jahren -
401890	404640	2750	bis nach Afrika exportierte.
404850	407400	2550	Die Anekdote besagt, er habe hier gute Milch gefunden
407560	409840.00000000006	2280	und zuverlässige Arbeitskräfte.
410090.00000000006	412159.99999999994	2070	Über die Jahre hat sich das so entwickelt,
412290	416360	4070	dass sich bei allen Produkten wie Milch, Schokolade, Kindernahrung,
416530	420000	3470	der Kaffee als wichtigstes Produkt von Orbe herauskristallisierte.
420160	423600	3440	Pro Jahr investiert Nestle gegen 10 Mio. in den Standort Orbe.
423740	426960	3220	Das multinationale Unternehmen ist im Städtchen verwurzelt,
427210	431280	4070	das zeige sich auch, wenn man auf der Strasse nachfragt.
431540	434760	3220	Ich hatte mein ganzes Leben Arbeitsbeziehungen
434900	437120	2220	und Freundschaften mit Leuten von Nestle.
437260	439920	2660	Ich hatte einen Gasthof und sehr guten Kontakt mit Nestle.
440100	444240	4140	Sie brachten uns viele Leute aus dem Ausland.
444340	447120	2780	Es ist ein Unternehmen wie jedes andere auch.
447280	449960	2680	Die Firma arbeitet gut und bringt der Bevölkerung
450120	457880	7760	und den Angestellten viel Positives.
458120	461200	3080	Nestle zahlt in Orbe nicht nur Steuern und schafft Arbeitsplätze,
461300	466560	5260	sondern investiert auch direkt in die Infrastruktur.
466720	471159.99999999994	4440	In Partnerschaft mit Nestle konnten wir das Bauernhaus,
471260	475360	4100	das in einem schlechtem Zustand war, in eine Krippe umbauen.
475490	480880	5390	Für die Gemeinschaft - und auch die Kinder von Nestle.
481090	484880	3790	Orbe und Nestle, Nestle und Orbe - eine über 100-jährige Geschichte,
484970	487480	2510	die aus Sicht von beiden noch lange weitergehen soll.
489600	492760	3160	Unsere Westschweizer Korrespondentin Mirjam Mathis hat berichtet.
492880	495920	3040	Sie ist uns nun zugeschalten. Das klingt alles positiv.
496080	499480	3400	Gibt es keine kritischen Stimmen zu Nestle in Orbe?
499540	507040	7500	Wir untertiteln live:
507010	511960	4950	Kritische Stimmen habe ich nur am Stammtisch gehört.
512230	515559.99999999994	3330	Dort ging es um die Grenzgänger Thematik.
515780	521720	5940	Die einheimischen würden weniger Jobs bekommen.
522850	525640	2790	Eine Frau sagte, dass ihr Mann zwangsmässig früh pensioniert
525860	527720	1860	worden sei.
527970	529880	1910	Andere Leute seien dafür eingestellt worden.
530120	535200	5080	Das sagt man aber nicht offen vor der Kamera.
535440	539160	3720	Nestler entgegnet, dass man nur einen Fünftel der Angestellten
539320	545200	5880	Grenzgänger seien.
547000	550160	3160	Man muss allgemein sagen, dass die Problematik nicht nur Nestler
550270	552160	1890	betrifft,
552380	554320	1940	sondern viele andere Firmen in der Umgebung.
555800	558880	3080	Zuerst aber schauen wir uns an, was es für den Kanton bedeutet,
559060	561400	2340	dass so grosses Unternehmen den Sitz in der Waadt hat
561570	563440	1870	und welche Risiken das birgt.
563600	565480	1880	Neben Orbe und dem Hauptstandort in Vevey
565620	567960	2340	hat Nestle noch fünf weitere Standorte in der Waadt.
568120	571120	3000	Der Konzern ist ein wichtiger Pfeiler für den waadtländer Arbeitsmarkt
571210	573000	1790	und die Finanzen:
573610	575680	2070	Nestle ist gross und baut aus.
575910	578920	3010	Erst vor einem Monat wurde in La Tour-de-Peilz gerade neben Vevey
579130	581120	1990	ein neues Gebäude für 80 Mio. Fr. eröffnet.
581200	583240	2040	Beteiligt am Bau mit 750 Arbeitsplätzen
583350	585760	2410	sind mehrheitlich Waadtländer Firmen.
585930	588040	2110	Nestle sei in der Region stark verankert,
588260	592360	4100	betont der CEO Paul Bulcke an der Eröffnung.
