start	end	duration	text
2710	4210	1500	.
4380	9970	5590	Liveuntertitelung. Fehler sind möglich.
23770	26850	3080	Grüezi miteinander.
27030	33490	6460	Ich begrüsse Sie heute aus dem sonnigen Wallis direkt aus Visp.
35280	39290	4010	Hier findet seit zwei Wochen das Eidgenössische Schützenfest statt.
39530	43330	3800	Es hat bis jetzt rund 20'000 Schützen angezogen.
43440	48810	5370	Heute, am offiziellen Festtag,
48960	57570	8610	zeigen wir Ihnen zu Hause den Festumzug mit rund 60 Sujets.
57770	63930	6160	Dazu begrüsse ich ganz herzlich mein Co-Kommentator
64050	72050	8000	und den Vize-Präsidenten des OK, Daniel Troger.
78100	81170	3070	Er ist Walliser durch und durch.
81140	83250	2110	Tag wohl, liebe Zuschauerinnen und Zuschauer.
83430	85690	2260	Auch ich möchte Sie herzlich zum offiziellen Festtag
85789.99999999999	87970	2180	und somit zum Festumzug begrüssen.
88150	93009.99999999999	4860	Wir dürfen verschiedene Sujets aus der ganzen Schweiz erwarten -
93180	98810	5630	mit Schützenvereinen und Brauchtumsgruppen.
98890	102810	3920	Wir haben verschiedene Ehrengäste,
102890	107330	4440	wie z.B. unseren OK-Präsidenten Christophe Darbellay
107400	111810	4410	oder Bundesrat Ueli Maurer.
111890	118530	6640	Und einige andere Gäste sitzen hier am Postplatz in Visp
118729.99999999999	123130	4400	auf der Ehrentribüne und freuen sich jetzt auf den grossen Umzug.
151890	154810	2920	In wenigen Sek. wird die erste Formation vor der Ehrentribüne
155030	159050	4020	eintreffen.
159120	163090	3970	Die Rahmenbedingungen stimmen, das Wetter ist perfekt.
163090	166810	3720	Ist das etwa extra eingerichtet?
167040	170170.00000000003	3130	Ja.
170430	175850	5420	Es gibt einige Wolken, aber die verscheuchen wir noch.
176079.99999999997	180770	4690	Wie viele auswärtige Gäste sind heute hierhergekommen?
180880	186930	6050	Wir werden etwa 2000 Gäste haben.
189260	194770	5510	Und die Teilnehmer sind aus der ganzen Schweiz.
194930	196730	1800	Der Vizepräsident des OK ist neben mir.
196690	198770	2080	Und der OK-Präsident des Festes hier in Visp/Raron
198920.00000000003	201250	2330	ist Nationalrat Christoph Darbellay.
201430	206770	5340	Kurz vor dem Umzug konnte ich mich kurz mit ihm unterhalten.
209430	213450	4020	Welches Amt macht Ihnen mehr Spass?
213590	218970	5380	OK-Präsident?
219150	221970	2820	Es macht Spass, die ganze Schweiz ist zusammen hier.
222090	226090	4000	Alle Kantone sind vertreten.
226130	229010	2880	Es sind Schützen aus der ganzen Schweiz und aus dem Ausland.
229110	232170.00000000003	3060	Es sind viele Emotionen.
232360	237810	5450	Die Leute haben jahrelang darauf hin gearbeitet.
238010	243450	5440	Und heute, an diesem Tag, dürfen wir alle im Wallis empfangen.
243530	246330	2800	40'000 Schützen werden im Wallis erwartet in diesen Wochen.
246450	249410	2960	Schiessen Sie auch?
249470	254530	5060	Ich bin kein Schützenkönig.
254730	257570	2840	Ich bin nur ein Jäger, der versucht, in der Politik nicht
257680	261370	3690	allzu viele Böcke zuschiessen.
261540.00000000003	267450	5910	Es ist eine schöne Tradition der Schweiz.
268850	274810	5960	Wenn die Schützen vor der Scheibe liegen, blüht die Schweiz auf.
278040	283970	5930	Das Wallis feiert heute sein 200- Jahre-Jubiläum.
286470	292370	5900	Wir sind eine wichtige Tourismusdestination der Schweiz.
297070	300890	3820	Wir wollen uns sympathisch und professionell darstellen.
300970	306860	5890	Vielen Dank für das Gespräch.
308700	314580	5880	Mittlerweile ist das erste Sujet des Umzugs angekommen.
318080	323260	5180	Das sind die Lötschentaler Tschäggättä.
323430	327180	3750	Sind die Tschäggättä das ganze Jahr unterwegs?
327290	331980	4690	Nein, nur an der Fasnacht.
332110	337780	5670	Aber heute sind sie speziell hier.
337970	343860	5890	Die Tschäggättä tragen spezielle Kostüme.
344020	347780	3760	An den Schuhen haben Sie Felle, damit man nicht erkennt,
347940	353860	5920	welche Tschäggättä es waren.
357500	363380	5880	Und weiter geht es mit der Walliser Polizei Musik.
