start	end	duration	text
2460	3550	1090	.
3750	8150	4400	"""10vor10"" mit Daniela Lager."
8230	9870	1640	Guten Abend, meine Damen und Herren.
9950	11230	1280	Putin legt sich mit dem Westen an.
11410	14070	2660	Wie weit wird er gehen? Was kann der Westen tun?
14170	16550	2380	Unsere Schwerpunktthemen heute.
17490	21430	3940	Russland verstärkt seine Truppen auf der Krim.
24750	28270	3520	Die Absichten Russlands hinter der Besetzung der Krim.
31590	34230	2640	Die 100 grössten Kläranlagen der Schweiz
34380	38870	4490	werden für über 1 Mrd. Fr. aufgerüstet
40950	45630	4680	The oscar goes to Cate Blanchett - eine Frau in ihren besten Jahren.
45850	54630	8780	1:1-Untertitelung. Livepassagen können Fehler enthalten.
56410	58910	2500	Russlands Präsident Putin schafft in der Ukraine unbeirrt Tatsachen.
59140	63030	3890	So verstärkt er seine Truppen, nicht nur auf der Krim selbst,
63230	67350	4120	sondern auch auf russischem Terri- torium an der Grenze zur Halbinsel.
67510	70710.00000000001	3200	Stundenlang tagten heute die EU-Aussenminister in Brüssel -
70870	73030	2160	ohne konkretes Ergebnis.
73230	75710.00000000001	2480	In Genf haben sich Bundespräsident Burkhalter
75930	79390	3460	und Russlands Aussenminister Lawrow getroffen am Rande einer Sitzung
79500	82190	2690	des UNO-Menschenrechtsrats,
82340	85070	2730	wo Lawrow die russische Vorwärtsstrategie verteidigte.
85150	88310	3160	Konsterniert und - wie es scheint - weitgehend hilflos
88410	91310	2900	blickt der Westen heute auf die Entwicklung in der Ukraine.
92340	93630	1290	Die russische Fahne
93830	97110	3280	weht über den Kasernen von Perevalnoye auf der Krim:
97190	98750	1560	Hunderte russische Truppen
98990.00000000001	101190	2200	haben die Stützpunkte der ukrainischen Armee umstellt.
101430	104550	3120	Ohne einen Schuss haben die Russen die Kontrolle übernommen.
104750	109470	4720	Die Russen haben gesagt, sie müssten den Stützpunkt
109670	113070	3400	vor möglichen Extremisten aus Kiew sichern,
113150	116030	2880	wegen der Munition und der Waffen, die hier lagern.
116120	121150	5030	Der russische Aufmarsch ging auch heute weiter,
121230	123590	2360	während Gruppen von pro-russischen Anwohnern
123740	126430	2690	die Journalisten in Schach hielten.
126560	128150	1590	Auch an anderen Orten in der Ukraine
128229.99999999999	131110	2880	gab es heute pro-russische Kundgebungen.
131210	132670	1460	Etwa in der Stadt Odessa,
132810	136110	3300	wo unter grossem Jubel die russische Fahne gehisst wurde.
136350	140430	4080	In Donetsk stürmten mehrere 1'000 Anhänger Russlands
140510	143750	3240	das Gebäude der Regionalregierung.
143900	145990	2090	Die Schilder der Polizei wurden überrannt.
146100	151230	5130	Rosiya, Rosiya!
151390	154829.99999999997	3440	Derweil versucht die Diplomatie,
154960	156870	1910	eine kriegerische Konfrontation zu verhindern:
156950	158990	2040	In Kiew traf sich der englische Aussenminister Hague
159230	162670.00000000003	3440	mit dem neuen ukrainischen Premierminister Jazenjuk.
162780	165750	2970	In Genf wurde der russische Aussenminister Lawrow
165900	168590	2690	von UNO-Generalsekretär Ban Ki-moon ermahnt,
168760	172550	3790	die Lage weder mit Taten noch Worten weiter aufzuheizen.
172630	174990	2360	Lawrow verteidigte sich vor dem UNO-Menschenrechtsrat,
175190	178110	2920	sein Land würde internationales Recht respektieren.
178190	180030	1840	Russland müsse aber seine Landsleute
180170	185030	4860	vor den neuen radikalen Kräften aus Kiew schützen.
185170	187630	2460	Wir beschützen dort unsere Landsleute
187780	190470	2690	und fordern die Einhaltung der Menschenrechte,
190600	192710	2110	v.a. das Recht auf Leben.
192830	194470	1640	In Wien debattierte derweil
194610	199030	4420	die Organisation für Sicherheit und Zusammenarbeit in Europa - OSZE -
199230	201230	2000	unter der Führung einer Schweizer Delegation.
201360	203390	2030	Die diplomatischen Bemühungen
203540	207710	4170	erklärte der Schweizer Bundespräsident heute zur Chefsache.
207810	210190	2380	Wir wollen auch,
210400	213910	3510	dass eine Beobachtungsmission der OSZE geschickt wird,
214079.99999999997	217310	3230	um die allgemeine Situation in der Ukraine zu beobachten,
217550	221750	4200	aber auch die nationalen Minderheiten und die Menschrechte.
221950	223430	1480	Das machen wir weiter.
223600	228270	4670	Die EU-Aussenminister berieten heute bei einem ausserordentlichen Treffen
228440	231270	2830	über Sanktionen gegen Russland. Bislang aber ohne Ergebnis.
231430	234550	3120	Die Lage in der Ukraine wird aber als äusserst prekär eingestuft.
234710	242350	7640	Wir sind in der schärfsten Krise Europas seit dem Mauerfall.
242510	251990	9480	25 Jahre nach dem Ende des Ost-West-Konflikts
252220	260950	8730	ist die Gefahr einer erneuten Spaltung Europas real.
261180	265430	4250	Auch US-Präsident Barack Obama kritisiert Russlands Rolle scharf.
265610	270830	5220	Schon die starken internationalen Reaktionen zeigen,
271050	275310	4260	dass Russland hier auf der falschen Seite der Geschichte steht.
275470	277950	2480	Berichte, dass Russland den ukrainischen Truppen
278150	282230	4080	ein Ultimatum gesetzt hätte, hat Moskau bisher dementiert.
284070	285909.99999999994	1840	Wie heikel ist die Situation?
285990	287950	1960	Wir fragen im Studio Andreas Zumach,
