start	end	duration	text
960	2680	1720	.
2840	6240	3400	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7120	9040	1920	Guten Abend, meine Damen und Herren.
9120	11680	2560	"Hier ist die ""Tagesschau"", und das sind die Themen heute Donnerstag:"
12870	16960	4090	Die Krankenkassen schlagen nächstes Jahr markant auf.
17790	23080	5290	Der Ständerat streitet sich um die Details in der Umsetzung.
24190	29920	5730	Muslime befürchten eine zunehmende Islamfeindlichkeit.
30420	35480	5060	Das Zurich Film Festival hat sich weitgehend etabliert.
36280	40720	4440	Morgen überwiegend sonnig, am Morgen lokal Nebel.
42230	44280	2050	Schon bald, meine Damen und Herren,
44450	46840	2390	erhalten Sie Post von Ihrer Krankenkasse.
47040	49000	1960	Wir können Ihnen aber schon jetzt, heute sagen,
49110	51800	2690	was Sie in etwa zu erwarten haben.
52000	55480	3480	Eine Art Bauchschmerz-Prophylaxe, weil dann das Öffnen der Couverts
55680	60640	4960	mit der Prämienankündigung für 2015 nicht mehr ganz so schwer fällt.
60790	62560	1770	Also zu den Fakten:
62800	64879.99999999999	2080	Die Krankenkassenprämien steigen wieder -
65110	68680	3570	stärker als in den vergangenen Jahren: um durchschnittlich 4 %.
68880	70120	1240	Urs Wiedmer.
71289.99999999999	74240	2950	Bundesrat Alain Berset präsentiert den höheren Anstieg der Prämien,
74360	76240	1880	ohne etwas schönzureden.
76340	79480	3140	Der Grund für diese Entwicklung sei ganz einfach:
79680	81200	1520	Weil wir immer älter werden,
81470	83960.00000000001	2490	weil wir immer stärker das Gesundheitssystem beanspruchen -
84090	85560	1470	auch im Alter.
85720	88880	3160	Es gibt eine ganze Generation, die sog. Baby-Boomer-Generation,
89110	90760	1650	die immer älter wird
90980	93759.99999999999	2780	und immer stärker das Gesundheitssystem beansprucht.
93960.00000000001	98479.99999999999	4520	Der technische Fortschritt generiert auch höhere Kosten.
98670	102039.99999999999	3370	Die Steigerung fällt in der Schweiz sehr unterschiedlich aus.
102120	105200	3080	In diesen Kantonen steigen die Prämien unterdurchschnittlich,
105380	110120	4740	am wenigsten müssen die Berner mit einem Plus von 2,7 % mehr bezahlen.
110360	113759.99999999999	3400	In diesen Kantonen steigt die Prämie zwischen 4 und 5 %,
113840	117039.99999999999	3200	und in diesen Kantonen sind es mehr als 5 %.
117180	118960.00000000001	1780	Am stärksten sind die Nidwaldner betroffen
119180	121760	2580	mit einer Steigerung von 6,8 %.
121940	124600	2660	Für die jungen Erwachsenen zwischen 19 und 25
124700	129440	4740	steigt die Prämie überdurchschnittlich um 4,4 %.
129530	133880	4350	Das entspricht einfach den Kosten, den Kostenschätzungen.
134090	140600	6510	Es gibt auch in diesem Bereich Leute, die mehr Leistungen brauchen.
140720	142400	1680	Und sie müssten auch mehr
142640	145040	2400	zum Risikoausgleich für ältere Leute beitragen.
145120	147200	2080	Am Trend für immer höhere Prämien
147290	149520	2230	werde sich auch in den nächsten Jahren nicht viel ändern:
149660	151280	1620	Wir haben kein Signal, das zeigen würde,
151450	153720	2270	dass sich die Kosten reduzieren würden.
153800	155560	1760	Denn immer mehr Menschen
155760	158840	3080	beanspruchen immer mehr Spital- oder Arztleistungen.
158920.00000000003	160840	1920	Das wird so bleiben.
160920.00000000003	165840	4920	Das Geld der Prämien fliesst mit über 36 % in die Spitalleistungen,
165980	168920.00000000003	2940	über 21 % gehen zu den Ärzten,
169180	172440	3260	knapp 20 % zahlen die Kassen für Medikamente.
172640	176200	3560	Das restliche Geld geht in die Pflegeheime, in die Verwaltung
176350	178800	2450	und sind übrige Leistungen.
178940	181920	2980	Um diese Kosten einigermassen in den Griff zu bekommen,
182100	185120	3020	setzt der Bundesrat u.a. bei den Medikamenten an.
185310	188560	3250	Dabei will er auch die Preise für Generika unter die Lupe nehmen.
190360	192880	2520	Ein weiterer Anstieg bei den Krankenkassenprämien:
192990	194760	1770	Das war zu erwarten.
195000	196640	1640	Dass es - im Vergleich zu den letzten Jahren -
196840	199440	2600	überdurchschnittliche 4 % werden würden, nicht unbedingt.
199660	202600	2940	Dementsprechend fallen einzelne Reaktionen aus.
203810	207440	3630	Philippe Perrenoud, Präsident der kantonalen Gesundheitsdirektoren,
207660	209280	1620	ist nicht zufrieden.
209510	211240	1730	Den Krankenkassen gehe es finanziell gut.
211400	215480	4080	Dass die Prämien dennoch so stark steigen, kann er nicht verstehen.
215700	218560	2860	Für die GDK ist wichtig, festzustellen,
218640	222960	4320	dass die Krankenversicherer 6 Mrd. an Reserven haben.
223050	224840	1790	Sie schwimmen also im Geld.
225070	226840	1770	Deshalb ist es für uns nicht nachvollziehbar,
227070	229440	2370	dass der Prämienanstieg gesamtschweizerisch so hoch ist.
229590	232520	2930	Anders bei Santesuisse.
232700	236120	3420	Direktorin Verena Nold hat damit gerechnet,
236280	242240	5960	dass die Prämien um rund 4 % steigen.
242360	246920	4560	Und dies sei auch gerechtfertigt -
247080	251320	4240	trotz den Reservegeldern der Versicherer.
251450	253400	1950	Die Kassen sind voll, das ist richtig.
253550	255480	1930	Aber Bundesrat Berset hat gesagt,
255640	258320	2680	dass die Kassen mit ihren Prämien die Kosten decken müssen.
