start	end	duration	text
25730	26360	630	MIT TELETEXT-UNTERTITELUNG
28700	30640	1940	* Muhen *
34370	36960	2590	* Aufmunternde Laute *
50940	55480	4540	Es ist immer ein schönes Gefühl, wenn ein neues Leben zur Welt kommt.
55580	56320	740	Das ist etwas vom Schönsten, das es gibt.
58980	61680	2700	Ob das jetzt bei Menschen oder Tieren ist -
61810	63840	2030	es ist etwas Wunderbares.
63940	67840	3900	Gleichzeitig wissen Sie, dass dieses Leben nicht allzu lange dauern wird.
68039.99999999999	71320	3280	Ja, so ist es. Aber das gehört in der Landwirtschaft dazu.
71920	74600	2680	Das ist Leben und Sterben auf dem Bauernhof.
75700	78720	3020	(Mit weicher Stimme) Ja, das ist dein Kälbchen.
79570	81520	1950	* Sanfte Klänge *
81650	83640	1990	So fein. Schau mal!
92180	94200	2020	Ja, fein.
94860	96800	1940	Ja, schau mal!
96940	98840	1900	Fein.
101850	105280	3430	Rührt es Sie, dass auf diesem Hof im zürcherischen Meilen
105490.00000000001	107600	2110	soeben ein Kalb zur Welt gekommen ist?
108970	111000	2030	Oder macht es Sie hungrig?
111100	113440	2340	Oder sowohl als auch?
115570	116360	790	* Muhen *
120310	122720	2410	Reto Weber betreibt Muttertierhaltung,
122810	125160	2350	die als besonders tierfreundlich gilt.
126250	129840	3590	Das heisst: Die Kälbchen bleiben so lange bei der Mutter,
130009.99999999999	131360	1350	bis irgendwann ein Lastwagen vorfährt und sie zur Schlachtung abholt.
136440	140960	4520	Anfangs bereitete es mir fast weni- ger Mühe als mit zunehmendem Alter.
141490	145240	3750	Als kleiner Junge half ich meinem Vater beim Hasenmetzgen.
145380	146360	980	Er hat ihn geschossen, wir liessen ihn ausbluten
148300	150160	1860	und ich hielt dabei den Hasen.
150260	152320	2060	Natürlich könnte ich das heute auch,
152579.99999999997	155320	2740	aber es machte mir damals viel weniger aus als heute.
155579.99999999997	160040	4460	Heute habe ich fast mehr Mühe als vor 15 Jahren, so seltsam es klingt.
160160	161360	1200	Warum, was denken Sie?
162329.99999999997	166640	4310	Ich weiss nicht, ob ich vielleicht reifer wurde in dieser Beziehung.
166810	170240	3430	Ich habe keine Ahnung warum, aber ich habe das Gefühl,
170329.99999999997	173520	3190	dass ich gegenüber den Tieren sentimentaler geworden bin.
174240	176240	2000	* Gemütliche Gitarrenklänge *
179020	181360	2340	Helen Gerber ist Tierkommunikatorin.
181550	183960	2410	Sie sagt also, sie könne mit Tieren reden.
184130	186040	1910	... und jetzt?
186190	189120	2930	Und dass sich aus unserem Verhältnis zu Tieren
189250	191400	2150	viel über uns Menschen herauslesen lasse.
191940	195600	3660	Wenn ich sehe, dass jemand achtsam, sorgfältig und respektvoll
195620	197600	1980	mit Tieren umgeht,
