start	end	duration	text
17400	19410	2010	MIT TELETEXT-UNTERTITELUNG
20550	22490	1940	In der zweiten Lebenshälfte
22740	23210	470	noch einmal etwas dermassen Neues zu entdecken und zu finden,
26040	28330	2290	ist etwas, das ich nie erwartet hätte.
28480	30530	2050	Es kam v.a. im richtigen Moment.
30740	34490	3750	Man fragt sich dann auch, was man in der zweiten Lebenshälfte macht.
34660	37930	3270	Für mich ist es jetzt ganz klar. Ich weiss jetzt, was es ist.
38040	38210	170	Ich tue etwas, das meinem Leben sehr viel Sinn gibt.
41860	44570	2710	Er hat es tätowiert, auf seinem rechten Arm:
44740	48530	3790	Liebevoll will er sein, friedlich und auch glücklich.
49650	52570	2920	Er kommt, wenn der Tag geht - und Tausende folgen ihm.
52700	53210	510	Fast jede Nacht.
54860	57650	2790	Über 250'000 Menschen hören seine Radiosendung,
57840	59730	1890	schütten ihm ihr Herz aus.
59940	63010	3070	Was macht es aus, dass dieser Mann Resonanzkörper ist
63180	66370	3190	für all die einsamen Seelen, die durch die Nacht schwirren?
66520	68210.00000000001	1690	Das ist die Geschichte von Radiomoderator Ralph Wicki
69580	73570	3990	und seinen Zuhörern - denn beides gehört zusammen.
73800	77730	3930	"Es ist 22.10 Uhr. Sie hören den ""Nachtclub"" mit Ralph Wicki."
78730	80970	2240	* Gitarren- und Schlagzeugklänge *
95979.99999999999	97930	1950	"""Nachtclub"" heisst die Sendung,"
98080	98250	170	die Montag bis Donnerstag ab 22 Uhr Nachts aus dem Radiostudio kommt.
101850	105370	3520	Guten Abend, Frau Frei. - Guten Abend.
105490.00000000001	107810	2320	Was ist vor zwölf Jahren passiert?
108680	111090	2410	Vor zwölf Jahren hat mich mein ...
112259.99999999999	113250	990	Mutterseelenalleine sitzt Ralph Wicki viermal die Woche am Kommandopult
116550	119170	2620	und steuert seine Sendung durch die Nacht.
119850	123690	3840	Wenn ich reinkomme, mache ich zuerst dunkel, lasse das Pult runter
123810	125850	2040	und lege dann die Kopfhörer an.
126010	128090	2080	Ich stelle sie immer wahnsinnig laut ein,
128320	130490.00000000001	2170	damit der ganze Rest des Tages verschwindet.
130699.99999999999	134930	4230	"Damit ich voll in der Welt bin, die ich hier beim ""Nachtclub"" habe."
136980	141050	4070	Immer hat er ein Thema parat, über welches er mit seinen Zuhörern redet.
142120	143320	1200	Wicki will sie in Bewegung bringen, das gelingt ihm verblüffend gut.
147160	149120	1960	Als diese Filmaufnahmen entstehen,
149320	152400	3080	geht es um Liebe, um Eifersucht, ums Alleinsein.
153700	156560	2860	Plötzlich alleine, weil die Liebe zerbrochen ist,
156660	158280	1620	das ist heute Abend das Thema.
158820	161240	2420	Sie dürfen mir erzählen, was Sie erlebt haben,
161480	165400	3920	als Sie plötzlich vor vollendeten Tatsachen standen und alleine waren.
165540	170120	4580	Sie können anrufen auf 0848 440 222.
170310	173280	2970	Oder Sie können auch mailen an studio*srf1.ch
174890	176920.00000000003	2030	Dass Sie dabei sind, ist meine Freude,
177020	179160	2140	"beim ""Nachtclub"" mit Ralph Wicki."
181780	183680	1900	* Sanfte Rockmusik *
187900	188280	380	"3 Std. dauert der ""Nachtclub""."
190500	192480	1980	3 Std., in denen Ralph Wicki
192680	195440	2760	Telefonanruf um Telefonanruf entgegennimmt.
196540	199440	2900	"Denn der ""Nachtclub"" ist kein exklusiver Klub."
199600	203280	3680	Nein, jeder Zuhörer kann anrufen. Und v.a. Zuhörerinnen tun das auch.
204840	207600	2760	Am Telefon habe ich jetzt Frau Meier, die sagt:
207740	210480	2740	"""Eifersucht ist etwas, das sehr tief geht."""
210610	213200	2590	Guten Abend, Frau Meier. - Guten Abend, Herr Wicki.
213329.99999999997	215400	2070	Wieso geht Eifersucht so tief?
215490	218079.99999999997	2590	Und so erzählt ihm eine Zuhörerin gleich zu Beginn,
218200	218440	240	wie sie ihr damaliger Mann betrog
220360	224160	3800	und dass sie am liebsten das Haus der Nebenbuhlerin habe anzünden wollen.
224329.99999999997	229680	5350	Ich habe vor Eifersucht Alkohol getrunken, lag am Boden.
229770	233280	3510	Ich habe die Wohnung dann verlassen, legte mich in den Keller,
235100	238440	3340	nach einer Stunde kam ich wieder hoch,
238579.99999999997	242000	3420	und um mich zu trösten, hatte mein Mann dann Sex mit mir.
243420	245360	1940	Hat Sie das getröstet?
245590	247800	2210	Das hat mich schon etwas getröstet,
247930	248320	390	aber die Eifersucht kam natürlich immer wieder.
251230	254040	2810	Eifersucht, Alleinsein -
254230	257200	2970	wenn der Tag geht, werden die Erinnerungen wach.
257480.00000000003	260640	3160	Erinnerungen, die manchmal den Weg ins Radio finden.
261820	263320	1500	Ich glaube, dass sie ein Stück weit Geborgenheit und Verständnis suchen.
267490	271680	4190	Sie suchen auch den Schutz vor der Nacht, den wir hier ja bieten.
271860	277520	5660	Sie möchten sich mitteilen können, keine Angst haben, frei sein dürfen.
283570	286000	2430	Frei sein dürfen, mitteilen können -
286100	289040	2940	in seiner Wohlfühlatmosphäre schafft es Wicki,
289180	293080	3900	die scharfen Kanten des Lebens seiner Zuhörer ein wenig abzutragen.
296010	299800	3790	Das klingt nicht mehr so glücklich: Er hat verlangt, sie haben gegeben.
299930	302880	2950	Das klingt nicht mehr freiwillig. Wie ging es dann weiter?
303050	306960	3910	Es war natürlich so, dass er einfach fand -
307060	308440	1380	Ende der 60er-Jahre war das vielleicht auch noch die Idee -
311770	318200	6430	dass man als verheiratete Frau den ehelichen Pflichten nachkommen muss.
318380	320280	1900	Zusammen ins Bett. - Ja.
320470	323400	2930	Dagegen habe ich mich natürlich mehr als gewehrt.
326620	328480	1860	Ich habe mich immer gewehrt.
328650	334200	5550	So kam es, dass er mich irgendwann packte.
334370	337080	2710	Er hat mich dann auch unter Zwang gebracht.
337250	338360	1110	Das war auch das letzte Mal, dass er das so machen konnte.
341600	345960	4360	Er hat mich genommen, ich habe hergehalten.
346090.00000000006	348320	2230	Es war leider so.
353210	353360	150	"Der ""Nachtclub"" ist wirklich ein Gefäss, eine Sendung,"
357170	362120	4950	wo genau das passiert: Sie wollen sich austauschen, haben Lust darauf.
364190	366080	1890	Etwas, was sie tagsüber nicht können.
366220	368160	1940	Tagsüber kommen sie zu kurz,
368380	368440	60	nachts haben sie eine Plattform, wo sie zur Geltung kommen.
372860	375960	3100	In der Nacht sind die Leute definitiv toleranter, mutiger,
376090	379400	3310	geduldiger und weniger scharf als tagsüber.
379500	383080	3580	Es schneidet weniger. Die Nacht ist eine Art milder Mantel.
383250	383360	110	Die Dunkelheit ist eine Art milder Mantel,
385730	389280	3550	der sich über die Stimmung der Menschen legt.
391610	395040	3430	Als ich heute gehört habe, was für eine Sendung Sie haben,
395170	398400	3230	habe ich mit mir gerungen, fand aber, dass ich das loswerden muss.
403790	406880	3090	Ich bin nicht die Einzige, der das so passiert ist.
407050	410320	3270	Ich danke Ihnen vielmals für die Offenheit und wünsche Ihnen,
410450	413400	2950	"dass Sie Ihr Motto ""Fallen und wie- der aufstehen"" beibehalten können."
414940	419360	4420	Das tue ich mit all meinen Kräften. - Danke vielmals, eine gute Zeit!
426170	428120	1950	Wer anruft, spricht mit Wicki,
428290	428380	90	als gäbe es in diesem Moment nur sie und ihn.
430940	433260	2320	Weisst du, du bist ja nicht alleine.
433420	438140	4720	Als gäbe es die 250'000 nicht, die landesweit am Radiogerät mithören,
438300	443340	5040	als gäbe es in der Nacht nichts, gar nichts zu verbergen.
443440	446390	2950	"* Lockerer Popsong ""Little Lovin'"" von Lissie *"
446600	448950	2350	# Appalachian farmer, a noted charmer.
449100	451030	1930	# Forgot the field.
452850	455790	2940	# Mississippi moonshine, driving him wild,
457060	458390	1330	Die Radiowellen tragen Schicksal um Schicksal ins Land hinaus.
460710	464270	3560	Von Menschen zu Menschen, die sich nicht kennen,
464409.99999999994	468230	3820	die sich nie sehen werden - und die dennoch eines gemeinsam haben:
468420	470870	2450	ein Leben mit Höhen und Tiefen nämlich,
471010	473430	2420	ein normales Leben, wie es hinter jeder Hausecke lauert,
474690	479870	5180	mit Freud und Leid, Liebe, Sex und Tod.
484860	488430	3570	Hör mal zu, Esther, ich würde gerne in 2 Min. mit dir reden. Okay?
488810	491030	2220	Ja. - Gut, also bleib dran!
491210	496510	5300	Ich habe einmal etwas von dir gelesen und habe dann Radio gehört.
496660	500590	3930	"Ich sagte mir: ""Gott, hat dieser Mann eine geile Stimme!"""
500690	502190	1500	Danke!
505100	507520	2420	Zuhörerin Edith ist am Telefon.
507620	511160	3540	Im Vorgespräch mit Wicki - während am Radio noch Musik läuft -
511350	514960.00000000006	3610	wagt sie, mit ihrem richtigen Namen am Radio zu sprechen.
516580.00000000006	518440.00000000006	1860	So, wie es die allermeisten Anrufer tun.
519179.99999999994	522600	3420	Bleib dran, es dauert noch rund eine halbe Minute!
522730	525040	2310	Esther, ich freue mich, vielen Dank!
525220	529600	4380	Ralph, ich bin nicht Esther, sondern heisse Edith, aber ich will ...
529700	531920	2220	Ich weiss, wir nennen dich Esther.
532060	533440	1380	So, wie du es gesagt hast, okay? Ich kann dich auch Edith nennen.
538390	542280	3890	Willst du Edith? - Es kennen mich sowieso alle.
542420	545920	3500	Soll ich Edith sagen? - Ja, ja.
546010	548040	2030	"Das ist der ""Nachtclub"" auf SRF 1."
548180	548480	300	Es ist schon 00.40 Uhr. Am Telefon habe ich jetzt Edith.
552500	555960	3460	Edith hat zum Thema Kommunikation in der Beziehung angerufen.
556100	558400	2300	Sie hat mir gerade während der Musik erzählt,
558570	561760	3190	dass sie mit ihrem Partner eine absolute Kommunikation hatte.
561860	563480	1620	Guten Abend, Edith.
565230	569280	4050	Hallo miteinander, hallo Ralph und überhaupt.
