start	end	duration	text
240	3130	2890	.
3240	9930	6690	1:1-Untertitelung. Livepassagen können Fehler enthalten.
12480	14330	1850	Guten Abend miteinander.
14410	16530	2120	"Das ist ""Schweiz aktuell"" und das sind heute unsere Themen:"
18280	20570	2290	Nach dem Absturz eines malaysischen Passagierflugzeugs
20700	22450	1750	über der Ost-Ukraine,
22680	24690	2010	ist die Betroffenheit v.a. in der Airline-Branche riesig.
24890	27130	2240	Auch beim Flugpersonal am Flughafen Zürich.
29280	31210	1930	Die Löcher im AKW Leibstadt sind wieder zu.
31360	33170	1810	Heute war die Aufsichtsbehörde vor Ort
33360	36490	3130	und hat geschaut, ob die Sicherheit der Anlage wieder gewährleistet ist.
40330	43170	2840	Es gibt nur einen Fischdoktor in der Romandie.
43320	46170	2850	Als spezialisierter Tierarzt kümmert er sich auch um Fische,
46250	50970	4720	die mehrere 1'000 Fr. Wert sind.
52170	55410	3240	Der Absturz der MH17,
55570	57170	1600	einem Passagierflugzeug der Malaysia Airlines,
57330	59130	1800	sorgt weltweit für grosse Betroffenheit.
59290	62890	3600	298 Menschen haben beim Unglück in der Ost-Ukraine ihr Leben verloren.
63090	65650	2560	Die Zeichen verdichten sich, dass das Flugzeug über dem Konfliktgebiet
65760	68170	2410	von einer Rakete abgeschossen wurde.
68289.99999999999	72770	4480	V.a. in der Airline-Branche ist die Anteilnahme nach dem Ereignis riesig.
72970	75450	2480	Tausende Flight-Attendants und Piloten aus der ganzen Welt
75620	78770	3150	melden sich auf Facebook und anderen sozialen Medien,
79000	80970	1970	um ihr Mitgefühl auszudrücken.
81120	83330	2210	Auch in der Schweiz ist das Flugpersonal betroffen.
83510	85850	2340	"""Schweiz aktuell"" hat Angestellte aus der Airline-Branche"
85970	87690	1720	am Flughafen Zürich gefragt,
87930	90050	2120	wie sie mit dem schrecklichen Ereignis umgehen.
92009.99999999999	94130	2120	Wir treffen hier beim Operationscenter in Zürich
94220	96479.99999999999	2260	den Piloten Nicolas Bachmann.
96660	99280	2620	Der Kapitän der Helvetic Airlines war heute Morgen auf dem Flug
99350	101640	2290	für die Passagiere und die Crew verantwortlich.
101800	103600	1800	Der Absturz der malaysischen Maschine
103770.00000000001	106440	2670	war schon vor dem Start grosses Thema.
106650	109360	2710	Ja, definitiv. Wir haben das heute Morgen auch bewusst angesprochen
109500	112120	2620	in einem Briefing, zusammen mit der Kabinenbesatzung
112220	114000	1780	und unter den Piloten.
114130	116400	2270	Das Ereignis hat die Leute beschäftigt, auch mich.
116570	119440	2870	Es ist wichtig, dass wir darüber reden konnten,
119570	122760	3190	um gewisse Gedanken auszutauschen und um gewisse Fragen zu stellen,
122890	126560	3670	damit wir uns auf den nächsten Flug konzentrieren konnten.
126670	131039.99999999999	4370	Nicht nur beim Luftpersonal, sondern auch beim Bodenpersonal
131240	133480	2240	ist das heute das Thema Nr. 1.
133650	136680	3030	In der Aviatik ist man eine grosse Familie.
136910	139160	2250	Natürlich ist man erst einmal geschockt,
139320	142440	3120	und dann versucht man die besten Informationen rauszusuchen,
142579.99999999997	145760	3180	denn es gab sehr viele Spekulationen.
145890	148560	2670	Man weiss nie wirklich, was man glauben kann und was nicht.
148690	150560	1870	Aber wir sind sicherlich geschockt.
150740	154240	3500	Wir fühlen uns den Airline-Mitgliedern sehr nahe.
154440	156600	2160	Macht Sie das betroffen?
156760	158520	1760	Ja, sehr.
158710	160480	1770	Aber auch sonst würde es mich betroffen machen,
160650	162560	1910	wenn ich nicht am Flughafen arbeiten würde.
162700	164480	1780	Einer, der ganz genau weiss,
164760	166680	1920	was jetzt den Angestellten durch den Kopf geht,
166770	168640	1870	ist der Gewerkschaftspräsident des Kabinenpersonals.
168810	170680	1870	Er fliegt selber immer noch als Flight-Attendant.
170890	173760	2870	Nach dem Absturz hat die Gewerkschaft ein Zeichen gesetzt.
173850	175960	2110	Wir haben einen Facebook-Post gesetzt,
176140	179200	3060	denn wir wollen eine Information an alle Flight-Attendants geben,
179329.99999999997	182560	3230	damit wir zusammen unser Beileid an die Angehörigen aussprechen
182770	185360	2590	und in Gedanken bei den Opfern sind.
185530	188720	3190	Die Reaktionen in den sozialen Medien und bei den Gesprächen des Personals
188900	192120	3220	seien gewaltig, so der Gewerkschafter.
192220	194560	2340	Die Anteilnahme und der Schock waren sehr gross.
194760	197160	2400	Man hätte auch selber davon betroffen sein können.
197270	200640	3370	Die Reaktionen waren sehr gross.
200780	202960	2180	Die Arbeit muss trotzdem weitergehen.
203130	205280	2150	Auch wenn die Gedanken bei den Opfern sind.
206770	210720	3950	Die Waadtländer Polizei entdeckte heute Mittag bei Belmont-sur-Lausanne
210810	212880	2070	2 Leichen in einem Auto.
213120	216040	2920	Es handelt sich um ein 14-jähriges Mädchen und einen Mann.
216240	219770	3530	Das Mädchen wurde kurz vorher bei der Polizei als entführt gemeldet.
219960	224010	4050	Die Umstände der Entführung vor dem Tod der 2 Personen ist noch unklar.
224140	226370	2230	Die Polizei ermittelt noch.
228010	231130	3120	Es sind 6 kleine Löcher, aber sie sorgen für grossen Wirbel.
231370	234930	3560	Die Rede ist von den 6 Löchern in der Schutzwand des AKW Leibstadt.
235010	238570	3560	Arbeiter wollten eigentlich nur Handfeuerlöscher montieren.
238730	241530	2800	Dabei haben sie aber die Stahlhülle des Reaktors beschädigt.
241610	243930	2320	Die Hülle muss absolut dicht sein,
244130	247290	3160	dass bei einem Unfall kein radioaktiver Dampf in die Luft gerät.
247410	250250	2840	In der Mitte ist nämlich der Reaktor.
250410	255330	4920	Der wird geschützt von Druckgefässen, 2 Schichten armiertem Beton
255440	258970.00000000003	3530	und einer knapp 4 cm dicken Stahlwand.
259110	261930	2820	Dort wurden die Löcher gebohrt.
262040.00000000003	264650	2610	Entdeckt hat man die Löcher am 24. Juni.
264890	267930	3040	Inzwischen haben sie die Betreiber repariert und heute
268040	270210	2170	sind die Behörden für eine Abnahme vorbeigekommen.
271370	273930	2560	Beim AKW Leibstadt ist jetzt meine Kollegin Catherine Thommen.
274090.00000000006	276250	2160	Wie ist die Abnahme verlaufen?
276260	278810	2550	Wir untertiteln live:
282580	284650	2070	Laut ENSI, der Aufsichtsbehörde, ja.
284800	286730	1930	Die haben nämlich heute grünes Licht gegeben,
286900	291130	4230	dass das AKW nicht runtergefahren werden muss.
291340.00000000006	295370	4030	Betroffen war übrigens das runde Gebäude hier hinter mir.
295490	303010	7520	Und die ganze Geschichte wirft natürlich schon Fragen auf.
306730	309570	2840	Die Löcher wurden im runden Gebäude gefunden.
309560	311730	2170	Warum das so ist, und wie sie die Löcher jetzt repariert haben,
311910	313690	1780	das hat der AKW-Betreiber heute unserer Korrespondentin
313800	315570	1770	Noemi Ackermann gezeigt:
316310	318290	1980	Der Chef des AKW Leibstadt erklärt heute vor den Medien,
318410	320250	1840	wie es so weit kommen konnte.
320530	322340	1810	Wegen der 6 Löcher, die es in der Containment-Hülle hatte,
322520	323940	1420	habe aber nie ein Sicherheitsrisiko bestanden:
324100	326820	2720	Diese 6 Bohrlöcher mit 6 mm haben kein Risiko dargestellt
326930	328700	1770	in den vergangenen 6 Jahren.
328870	331020	2150	Wir haben das nachgewiesen mit verschiedenen Analysen
331240	336300	5060	und konnten dem ENSI nachweisen, dass kein Sicherheitsrisiko bestand.
336420	339150	2730	Im Atomkernkraftwerk zeigt uns der Leiter des Betriebs,
339240	341430	2190	Ulrich Schäppi, wo die Löcher waren.
341530	343510	1980	Hier hing einer der Feuerlöscher,
343610	345510	1900	hier waren 2 Löcher.
345680	347510	1830	In der grafischen Darstellung sieht man genau,
347690	349590.00000000006	1900	wo die Löcher waren, beim grünen Kreis.
349680	351909.99999999994	2230	Der Reaktor selbst ist hier rot.
352010	354110	2100	Die Schrauben gingen durch die ganze Containment-Wand.
354330	358790	4460	Das Reparieren habe viel zu tun gegeben:
358970	361910	2940	Die eigentlichen Arbeiten waren nicht sehr aufwändig.
362150	365710	3560	Es war eine Reparatur, die in weniger als 8 Std. erledigt war.
365870	369150	3280	Was aufwändig war, waren die Vorarbeiten.
369340	372830	3490	Es braucht 10 Tage für die Dokumentenerstellung
373020	378510	5490	und das Schweissen und Prüfen der Testköroper,
378610	381790	3180	mit denen gewährleistet wird, das eine solche Reparatur sachgemäss
381890	384790	2900	durchgeführt wurde.
385010	387710	2700	Viel Arbeit im Voraus, viel Aufwand im Nachhinein
387860	391070	3210	mit Prüfungen, aber die eigentliche Arbeit war sehr schnell.
391260	393510	2250	Wie es aber überhaupt so weit kommen konnte,
393730	396790	3060	und wie das 6 Jahre niemand gemerkt hat, ist nicht klar:
400400	404990	4590	Wenn dies passieren konnte, was kann dann sonst noch alles passieren?
405090.00000000006	407430	2340	Auch das müssen wir untersuchen.
407650	411190	3540	Wir haben in den letzten Jahren viele Massnahmen und Anweisungen
411320	413390	2070	erlassen, die heute verhindern würden,
413550	417310	3760	dass solche Bohrungen angebracht werden.
417470	421630	4160	Wir müssen gleichwohl untersuchen, ob andere Möglichkeiten bestehen,
421810	425350	3540	dass solche unsachgemässen Tätigkeiten stattfinden.
425510	427950	2440	Die Löcher sind nun gut repariert, das Eidgenössische
428150	430590	2440	Nuklearsicherheitsinstitut ENSI ist zufrieden.
430720	432360	1640	Sie schreiben in ihrer Mitteilung:
445680	449000	3320	Das ist es auch für das AKW nicht:
449220	452120	2900	Wir machen eine vertiefte Ursachen- analyse mit externen Experten.
452290	455720	3430	Daraus werden wir Massnahmen ableiten, die verhindern,
455900	459040	3140	dass so etwas in Zukunft passiert.
459130	461640	2510	Heute könnten solche Bohrlöcher schon nicht mehr passieren -
461800	464880	3080	die Defibrillatoren sind mit Magneten angemacht.
472110	474159.99999999994	2050	Wir untertiteln live:
476230	479159.99999999994	2930	Bei mir ist nun Florian Kassler von Greenpeace.
479270	481320	2050	Sind Sie zufrieden?
482400	484800	2400	Ich gehe davon aus, dass dieser Vorfall
485480	488000	2520	aus technischer Sicht abgeschlossen ist.
488150	490160	2010	Die Löcher sind geflickt.
491290	493320	2030	Aber wie es dazu kommen konnte,
497320	500200	2880	wieso diese Löcher so lange unbemerkt blieben
500980	503680	2700	und ob es noch andere Lecks und Risse gibt,
505410	507600	2190	da haben wir noch keine Antworten.
509690	513679.99999999994	3990	Solange diese Fragen nicht beantwortet sind, müsste dieses AKW
514770	516720	1950	geschlossen werden.
521030	523240	2210	Reicht Ihnen der Bericht der ENSI?
523320.00000000006	525280	1960	Ich möchte wissen,
527770	529720	1950	weshalb das ENSI
535170	537160	1990	das nicht bemerkte.
540610	544760	4150	Ich möchte gerne eine unabhängige Untersuchung in diesem Vorfall.
548090	550440	2350	Ist es ein Sicherheitsrisiko gewesen?
550530	552280	1750	Die Betreiber selber sagen,
552440	554880	2440	dass es ein Unterdruck gibt dort drin.
557620	561480	3860	Ich bin sehr froh, dass in dieser Zeit nichts passiert ist.
563750	565720	1970	Die Haltung des Kraftwerks
566960	568840	1880	kann ich nicht nachvollziehen.
570760	574440	3680	Wenn man diese Logik verfolgt, könnte man ja gerade auf die
574690	576520	1830	Sicherheitshülle verzichten.
576610	578240	1630	Das war nicht der Fall.
578360	580240	1880	Löcher dürfen nicht passieren.
580600	583480	2880	Das war ein Sicherheitsrisiko in dieser Zeit.
586150	588360	2210	Die Leute hier fühlen sich sicher.
588530	590680	2150	Fühlen Sie sich sicher so nahe beim Kernkraftwerk?
590860	592840	1980	Ja, das können wir mit Fug und Recht behaupten.
593050	595440	2390	Wir fühlen uns sicher, weil wir die Kernkraftswerkbetreiber kennen,
595540	598720	3180	die Menschen, die dahinter stehen.
598900	601280	2380	Wir kennen die Technologie sehr gut durch Informationsaustausch
601530	604280	2750	zwischen den Kraftwerksbetreibern und uns.
604490	607400	2910	Das gibt einen gewissen Grad an Sicherheit.
607550	610120	2570	Ich sehe direkt auf das AKW. Ich habe keine Angst, nein.
610260	613400	3140	Ich vertraue den Leuten dahinter, die auf die Sicherheit schauen.
613610	618560	4950	Klar, es ist jetzt kürzlich so etwas passiert,
618770	620440	1670	aber wo Menschen sind, passieren Fehler.
620560	622200	1640	Sie fühlen sich hier sicher?
622280	624960	2680	Absolut sicher, ja.
625060	627200	2140	Nicht nur wir sondern auch meine ganze Verwandtschaft.
627320	629360	2040	Alle, die in der Umgebung wohnen.
629450	632280	2830	Kein Problem, absolut sicher. Warum?
632420	635880	3460	Ich habe dort gearbeitet, ich kenne den Laden.
643490	646440	2950	Die Leute, die hier wohnen, fühlen sich sicher.
646600	648760	2160	Übertreiben Sie mit Ihrer Angst?
649280	652160	2880	Ich kann das blinde Vertrauen nicht verstehen.
652260	654240	1980	Was muss passieren?
655730	658920	3190	In diesem Kraftwerk hat jemand unbemerkt 6 Löcher
663690	668120	4430	mit einem Bohrer in die wichtigste Sicherheitseinrichtungen gebohrt.
668190	670480	2290	Was muss denn sonst noch passieren?
674410	678880	4470	Ich fühle mich bestärkt in meiner Haltung, dass man ein Abschalt-Datum
678970	680680	1710	festlegen muss.
680770	682760	1990	Soweit sind wir noch nicht.
682870	685120	2250	Aber das AKW muss Fragen beantworten.
687520	689850	2330	Jetzt haben sie 6 Tage Zeit dafür.
690880	693130	2250	Mitten in Zug brannte gestern das Dach der Zuger Kantonalbank.
693310	695130	1820	Es ist ein Gebäude, das momentan renoviert wird.
695270	697090	1820	Die Feuerwehr stand stundenlang im Einsatz
697280	699410	2130	und hat den Brand erst in der Nacht unter Kontrolle gebracht.
699560	702570	3010	Sybille Dubs hat heute einen Augenschein vor Ort genommen.
705090	707250	2160	Feuerwehrkommandant Daniel Jauch hatte letzte Nacht
707410	709210	1800	eine anspruchsvolle Aufgabe.
709370	712290	2920	Bei grösster Sommerhitze brach auf 25 m Höhe ein Feuer aus.
712490	715130	2640	Bis die Feuerwehrleute beim Brandherd angekommen sind,
715240	719250	4010	stand das Dach der Zuger Kantonalbank bereits vollständig in Flammen.
719400	722010	2610	Wir sehen hier bereits das oberste Geschoss,
722220	725660	3440	das eine Art Totalschaden erlitten hat.
725820	731340	5520	Von hier aus sieht man das Ausmass des Dachschades.
731560	733500	1940	Gebrannt hat nicht nur das Dach und der oberste Stock
733620	735620	2000	sondern auch das Baumaterial.
735770	740590	4820	Die Bitumenrollen entwickelten in den Flammen einen beissenden Rauch.
740690	743510	2820	Die 200 Feuerwehrleute aus der ganzen Region
743660	748230	4570	mussten letzte Nacht unter schweren Bedingungen arbeiten.
748370	750350	1980	Der Rauch war ein grosses Thema.
750550	752790	2240	Wir sind hier am Zugersee und dieser bringt Wind,
753050	754750	1700	dieser bringt eine starke Rauchentwicklung mit sich.
754870	756830	1960	Die Rauchsäule steigt,
756990	759590	2600	aber in der nächsten Minute kehrt er wieder
759670	762430	2760	und drückt nach unten.
762640	765510	2870	Das hat uns die ganze Schadenbekäm- pfungssorganisation sehr erschwert.
765650	768350	2700	Weil nicht klar war, ob das Gebäude einstürzen könnte,
768440	771150	2710	wurde der Brand von aussen bekämpft.
771310	772830	1520	Zum einen von den sog. Hubrettern aus,
773090	775430	2340	zum anderen sind die Feuerwehrleute auf das Baugerüst gestiegen.
775580	782030	6450	Wir haben Teams gebildet mit 15-20 Gruppen von Atemschutzgeräteträgern.
782120	784310	2190	Sie standen hier 15 Min. im Einsatz.
784480	786470	1990	Die nächste Gruppe war zur Ablösung bereit
786660	788350	1690	und unten hat sich die 3. Gruppe erholt,
788520	790630	2110	um für den nächsten Einsatz bereit zu sein.
790870	793030	2160	Ein Feuerwehrmann wurde wegen Erschöpfung,
793270	795310	2040	ein Passant wegen Rauchvergiftung ins Spital gebracht.
795430	797790	2360	Bei der Zuger Kantonalbank ist man erleichtert,
797900	800030	2130	dass niemand schwer verletzt wurde.
800270	803430	3160	Aber: Die Wiedereröffnung des Bank- wahrzeichens kann nicht wie geplant
803530	805750	2220	nächsten Sommer stattfinden.
805960	808070	2110	Es ist ein grosser Rückschlag für die Bauarbeiten.
808170	811230	3060	Wir waren auf dem Weg zum Endspurt.
811490	815150	3660	Es wären schon noch 12 Monate bis zum Einzug,
815300	818310	3010	aber mit dem Einrichten und Einspielen ...
818410	821030	2620	Ja, es ist ein richtiger Rückschlag.
821150	823790	2640	Warum das Feuer auf dem Dach der Zuger Kantonalbank ausgebrochen ist,
823890	825870	1980	wird von den Brandermittlern noch untersucht.
828050	830110	2060	Im Schatten von Eiger, Mönch und Jungfrau
830310	833080	2770	spaltet ein aufwändiges Bahnprojekt das Dorf Grindelwald
833200	834960	1760	im Berner Oberland.
835080	836880	1800	290 Mio. Fr. soll es kosten.
837100	840640	3540	Konkret geht es um das sog. V-Bahn Projekt.
840850	843680	2830	Die Jungfraubahnen möchten 2 neue Bahnen bauen.
843870	846520	2650	Die eine soll die Männnlichenbahn ersetzen.
846710	849120	2410	Die andere soll die Gäste direkt von Grindelwald
849200	851680	2480	auf den Eigergletscher fahren.
851890	853600	1710	Im Dorf sind die Pläne höchst umstritten.
853710	855520	1810	Der Bericht von Christof Schneider.
857280	860200	2920	Für diese asiatische Gruppe geht es am Morgen um 9 Uhr los
860320	862400	2080	mit der Reise auf das Jungfrau Joch.
862490	864960	2470	Sie starten hier in Grindelwald und bleiben ein oder 2 Tage,
865100	868400	3300	dann geht es weiter nach Paris oder London.
868560	870440	1880	How long do you stay here in Grindelwald?
870650	875880	5230	One day, just one day, just go up to the Jungfrau and come back.
875980	879160	3180	Germany, Switzerland, Paris.
879300	884560	5260	One day, one day we stay in Grindelwald.
884760	887400	2640	In einem Tag mit der Bahn aufs Jungfraujoch.
887600	890320	2720	Nun in der Hochsaison transportiert die Wängeneralp Bahn
890420	893280	2860	über 600 Gäste pro Stunde auf die Kleine Scheidegg,
893440	896800	3360	die hier umsteigen Richtung Jungfraujoch.
896980	901160	4180	Pro Jahr fahren über 800'000 aufs Joch,
901280	903800	2520	in Zukunft sollen es noch mehr sein.
904010	906240	2230	Die Jungfraubahnen wollen das Ziel mit einer neuen Bahn,
906370	908480	2110	dem Eigerexpress erreichen.
908760	911880	3120	Stündlich können so zusätzlich 2'400 Personen von Grindelwald aus
911990	914520	2530	Richtung Eigergletscher transportiert werden,
914700	918040	3340	wo sie nachher umsteigen um auf Jungfraujoch zu gelangen.
918130	921760	3630	Die Masten für die neue Bahn wären bis zu 62 m hoch.
