start	end	duration	text
2670	4420	1750	.
17300	19300	2000	MIT TELETEXT-UNTERTITELUNG
24430	27460	3030	Ich bin vielleicht nicht der 08/15-Politiker.
28150	30140	1990	Ich bin jemand ...
31400	34460	3060	... der viel Empathie und eine gewisse Sensibilität hat.
34560	36900	2340	Warten auf den Lift.
37150	40700	3550	Nach oben, in die Sozialdirektion der Stadt Biel.
40880	42340	1460	Dort, wo ihn kaum einer haben möchte. Doch dieser Mann harrt aus.
45960	48620	2660	Warum bleibt einer, wenn er nicht willkommen ist?
48750	50980	2230	Davon handelt dieser Film.
51210	55300	4090	Meine Suche nach einer Antwort beginnt hier, im 13. Stock.
55570	57340	1770	Weiche, antreibende, elektronische Klänge
66670	68580	1910	Was für ein Spruch ist das?
70300	72460.00000000001	2160	"""Es ist schwieriger, ein Vorurteil aufzubrechen, als ein Atom."""
74670	76300	1630	Sie lacht.
76420	78820	2400	Das sind so Sprüche.
78910	80780	1870	Welchen Vorurteilen begegnen Sie?
81580	87380	5800	SVP sein sei gleich Hardliner sein, undifferenziert sein, dumm sein,
88830	92580	3750	keine Konzepte zu haben. Solchen Vorurteilen begegne ich oft.
93460.00000000001	95380	1920	Vorurteilsfrei bin auch ich nicht.
95509.99999999999	97860	2350	SVP-Direktionsvorsteher Beat Feurer
98020.00000000001	101420	3400	sei ein Mann der Widersprüche und voller Überraschungen.
101600	102380	780	"""Bunt"" - so umschreibt er sich selber."
104039.99999999999	107340	3300	Na ja, bei unserem ersten Treffen empfinde ich die Atmosphäre
107430	112220	4790	in seinem penibel aufgeräumten Büro eher steif und verkrampft.
112380	115460.00000000001	3080	Das ändert sich schlagartig, als Feurer uns spontan
115620	117380	1760	auf einen Sprung zu sich nach Hause einlädt.
118800	120820	2020	Hier wohne ich.
125620	127660	2040	Das ist eine stattliche Villa!
129389.99999999999	132440	3050	Von aussen sieht sie viel ...
132900	137120	4220	... viel - wie soll ich das sagen - imposanter aus, als es drinnen ist.
139340	142560	3220	Bereits im Eingangsbereich die erste Überraschung:
143670.00000000003	145520	1850	Er spricht tamil.
147650	149480	1830	SVP-Mann Feurer redet Tamil
149750	152800	3050	und teilt das Haus mit einer Familie aus Sri Lanka.
152940	155320	2380	Er selber bewohnt den unteren Stock.
157290	158720	1430	Wir gehen in meine Wohnung.
158900	161000	2100	Die kleine Wohnung - sie ist nicht gross.
161140	162400	1260	Bis vor Kurzem lebte der 54-Jährige hier zusammen mit seinem Freund,
165620	168890	3270	einem 25-jährigen Mann albanischer Abstammung.
169070	171690	2620	Für mich schon wieder eine Überraschung.
171820	174650	2830	"""Wo die Liebe hinfällt"", so Feurers Kommentar."
174740	177329.99999999997	2590	Dem gibt es wenig entgegenzusetzen.
179150	182730	3580	Sie war die Liebe meines Lebens.
182810	184850	2040	Sie war sehr intensiv -
185070	190530	5460	und es macht einem schon zu schaffen, wenn sie zu Ende geht.
190700	192450	1750	Ich stehe jeden morgen auf und denke:
193300	196410	3110	"""Wie geht es meinem Partner? Meinem ehemaligen Partner?"""
196540	198170.00000000003	1630	"""Was tut er?"""
198410	201650	3240	Dieser Gedanke ist immer da - 24 Std. lang.
201750	206130	4380	Wir hatten dieses Schlafzimmer - das ist ein Teil meines Abschiedes:
206320	207410	1090	Ich habe da drüben ein Bett hingestellt.
208990	212570	3580	Dort schlafe ich im Moment: hinten in der Ecke
212710	215410	2700	und nicht mehr im Schlafzimmer.
215560	217130	1570	Darf ich es sehen? Ja, ja!
217340	219329.99999999997	1990	Ich finde es ... Er lacht.
219420.00000000003	222130	2710	Ich finde es etwas peinlich.
222300	222490	190	Zwischenzeitlich haben es die beiden noch einmal zusammen versucht,
226640	229130	2490	doch das Liebes-Comeback sei gescheitert.
233540	236210	2670	Wir folgen Beat Feurer an die Stadtratssitzung.
236260	237530	1270	Diese hat bereits begonnen.
239340	243330	3990	Ist es gut, wenn ich jetzt hineingehe? Ist gut, ja.
243460	245010	1550	Geht nur!
250250	252490	2240	Tamilische Mitbewohner, schwul, ein Touch Exotik -
254540	257450	2910	trotzdem bieder, rechts und nett.
257649.99999999997	263290	5640	Und: das Versprechen, die rekordhohe Sozialhilfequote zu senken. Das zog.
263340	267210	3870	Die Bieler wählten Feurer in die Exekutive ihrer Stadtregierung.
267390	267650	260	Und da ist er nun seit gut 2 Jahren - in der Höhle des Löwen.
272340.00000000006	276990	4650	Ein gefundenes Fressen für Gegenspieler. Ein Aussenseiter.
277170	280430	3260	Wirklich angekommen im Politbetrieb scheint Feurer nicht.
280610	282470	1860	Er habe Mühe, den Privatmann und den Politiker Feurer zu trennen.
287820	290790	2970	Wenn man lange warten muss -
291030	293909.99999999994	2880	das sind alles ganz schwierige Situationen,
294090.00000000006	296310	2220	die - ich habe es bereits erwähnt -
296510	297470	960	der Gemeinderat ändern will und geändert hat.
299500	303990	4490	Wir haben Massnahmen ergriffen, u.a. einen viel grösseren Warteraum.
304150	307230	3080	Es muss niemand mehr im Treppenhaus warten.
307380	309790	2410	Es ist klar: Daran werden wir arbeiten müssen.
309900	311710	1810	Vielen Dank für die Aufmerksamkeit.
316060	317950	1890	Wie macht Feurer seinen Job?
319050	322550	3500	Ich frage anwesende Stadträtinnen und Stadträte anderer Parteien
322670	324350	1680	nach ihrer Meinung.
324500	327590	3090	Egal ob links oder rechts: Diesbezüglich herrscht Einigkeit.
329460	332550	3090	Es fehlt mehr Biss und Durchsetzungsvermögen.
332710	336390	3680	Mal auf den Tisch zu hauen und zu zeigen, wer der Direktor ist.
336540	340590.00000000006	4050	Er hat keine Erfahrung im Führen von Leuten und Organisationen.
340700	342390	1690	Er ist sehr verunsichert.
342650	347190	4540	Er versucht zu sehr abzuwägen, es allen irgendwie recht zu machen.
347370	350670	3300	Ich weiss nicht, was er eigentlich will. Das spürt man nicht.
350870	355590.00000000006	4720	"Er hat ganz grosse Schwierigkeiten zu sagen: ""Jetzt ist finito!"""
355740	357510	1770	Er hat sehr sympathische Züge, ist sehr tolerant.
359620	363310	3690	Ihm fehlt aber die Härte, die es in diesem Business braucht.
363460	367430	3970	Wenn ich Sie fragen würde, wer hier für ihn spricht -
367540	369990	2450	wen würden Sie mir schicken?
370150	372630	2480	Wahrscheinlich jemanden von der SVP. Und sonst niemanden?
374340	377390	3050	Es sind immerhin 60 Leute hier. Vielleicht - ja, ja, ja.
377490	379190	1700	Jetzt muss ich überlegen.
380030	382310	2280	Das ist schwierig - wirklich schwierig.
382460	386510	4050	Null Rückhalt - darüber werde ich mit Feurer reden.
386620	387510	890	Vorerst aber über Privates.
390660	394110	3450	Hallo zusammen! Hallo!
394270	398670	4400	So, kochen wir zusammen? Ja. Hallo, Schnuckelchen!
398760	400950	2190	Hallo! - Hallo!
401060	402590.00000000006	1530	Gehen wir in die Küche? Alle:  Ja.
403250	405230	1980	Nimmst du das mit?
407110	409470	2360	Ihr wisst ja, was wir heute machen. - Ja.
410420	414270	3850	Eine Wohngemeinschaft zwischen tamilischen Teenagern, deren Mutter
414340.00000000006	417350	3010	und einem SVP-Politiker, der in Ausländerfragen
417500	417590.00000000006	90	streng auf Parteilinie ist - das wirft Fragen auf.
422450	424630	2180	Das ist aber nicht viel grösser.
424710	428190	3480	Was bedeutet dir Beat Feurer?
429400	432070	2670	Er ist etwa wie ...
432240	432630	390	Er ist fast wie ein Vater für uns - für mich, für uns alle.
437270	440110	2840	Wir machen sehr viel zusammen.
440270	445750	5480	Er war auch immer für uns da, als wir ihn brauchten.
449390	451710	2320	Diese Kinder sind mir sehr, sehr wichtig.
451810	453470	1660	Ich mag sie sehr.
453620	458470	4850	Ich war praktisch von ihrer Geburt an mit dabei.
458570	460909.99999999994	2340	Joshua, z.B., habe ich gebadet.
461020	462630	1610	Sie sind wie meine eigenen Kinder.
462980	466670	3690	Ich kann mir nicht vorstellen, dass es mit eigenen Kindern anders wäre.
466830	468830	2000	Stimmt, oder? Ja, total.
471110	474909.99999999994	3800	Herr, wir danken dir für das feine Essen, Amen.
475130	477550	2420	Amen. Guten Appetit, was möchtet ihr, was soll ich wem geben?
479480	481390	1910	Sie sprechen tamil.
481570	484590	3020	Was möchtest du, Joel? Dieses hier?
484820	487750	2930	Wie Beat Feurer zu seiner tamilischen Familie kam,
487880	489550	1670	ist eine längere Geschichte.
489710	492590	2880	Die verkürzte Version beginnt mit Feurers Reise durch Sri Lanka.
493540	496150	2610	Dort lernte er den Vater der Kinder kennen.
496260	499670	3410	Als dieser in die Schweiz flüchtete, nahm Feurer ihn auf.
499820	503030	3210	Es kamen die Frau und nach und nach die Kinder dazu.
503140	505990	2850	Nach der Trennung der Eltern, entschied sich Feurer,
506080	507590	1510	weiterhin für die auf die Sozialhilfe angewiesene Familie zu sorgen.
510810	515110	4300	Für ihn sicherlich auch eine Chance auf Familienanschluss und Halt.
516020	517950.00000000006	1930	Sie sprechen tamil.
519700.00000000006	521470	1770	Etwas macht mich stutzig:
521570.00000000006	522590.00000000006	1020	Wie kann jemand der Sozialhilfequote den Kampf ansagen,
525160	528390	3230	während seine Mitbewohner von den Leistungen profitieren?
529510	534110	4600	Sie wollen die Sozialhilfequote senken, leben aber mit einer Familie,
534310	537630	3320	die Sozialhilfe bezieht. Wie geht das auf?
538780	540990	2210	Ja ...
541140	543270	2130	Nein, ich sehe diesen Widerspruch nicht.
543430	548270	4840	Ich denke, man muss, um die Sozialhilfequote zu senken,
548380	552110	3730	dort ansetzen, wo die Probleme sind. Man kann nicht einfach sagen:
552270	552590	320	"""Wir streichen 10 % aller Sozialhilfebezieher."""
555630	557830	2200	"Sondern: ""Wo sind die Probleme, ihre Nöte,"
557970	560470	2500	"wo werden sie zu wenig gefordert?"""
560620	562990	2370	Und dort ansetzen, um die Quote zu senken.
563140	565270	2130	Das ist auch mein privates Engagement.
565490	567630	2140	Darum geht es mir - nebst dem, dass sie wie meine Familie geworden ist -
570200	572880	2680	genau auch: Dass ich mich so engagiere,
573070	575360	2290	dass diese Kinder eine Zukunft haben,
575550	578000	2450	die sicher nicht in die Sozialhilfe führt.
579060	581400	2340	Tags darauf besuche ich Feurer in seinem Büro.
581580	582600	1020	Ich will mit ihm über die Kritik an seiner Arbeit reden.
584840	587160	2320	Nicht nur Stadträtinnen und Stadträte, nein,
587180	588800	1620	auch die eigenen Mitarbeitenden
588990	592920	3930	werfen Feurer Führungsschwäche und Inkompetenz vor.
593020	595840	2820	Zu Beginn der Dreharbeiten im vergangenen Oktober
596050	597600	1550	läuft diesbezüglich gerade eine externe Untersuchung gegen ihn -
599900	603960	4060	angeordnet durch seine 4 Gemeinde- ratskolleginnen und -kollegen.
604060	607520	3460	Was deutlich zeigt, wie es um die Kollegialität steht.
607710	611480	3770	Feurer ist allein auf weiter Flur und steht mächtig unter Druck.
612420	612640	220	Was darf ich überhaupt im Moment machen?
614820	616520	1700	Was wird wie interpretiert?
616780	619200	2420	Schaue ich nach links, ist es nicht gut,
619450	621640	2190	schaue ich nach rechts, ist es nicht gut.
621750	624520	2770	Es ist fast unmöglich, noch etwas richtig zu machen.
625220	627360	2140	Wir müssen das Gespräch unterbrechen.
627500	627760	260	Ein ungeplanter Termin sei dazwischengekommen.
630540	633440	2900	Feurer bespricht sich mit dem Direktionssekretär,
633560	637480	3920	seinem einzigen Vertrauten hier. Nervosität ist spürbar.
637530	640080	2550	Irgendetwas scheint im Busch zu sein.
640160	642640	2480	Gemeinsam verlassen die beiden das Büro.
643680	645920	2240	Aber Sie kommen wieder? Ich komme wieder.
646150	649000	2850	Wir wollten heute mit Ihnen drehen. Ja, genau.
649130	651720	2590	Das Mikrofon nehme ich mit.
657660	657920	260	Wir bleiben ahnungslos zurück.
660250	662400	2150	Später erfahre ich, dass die Untersuchung
662610	666560	3950	möglicherweise Feurers einzigen Verbündeten den Kopf kosten könnte.
666750	669560	2810	Auf die Gründe dürfe er nicht eingehen,
669650	672640	2990	man habe ihm diesbezüglich einen Maulkorb verpasst.
673900	678160	4260	Es ist deutlich spürbar: Feurer ist aufs Äusserste angespannt.
683780	687680	3900	Kann ich als Beat Feurer, als Verantwortlicher, als Vorsteher
688440	692080	3640	auch aus politischen Überlegungen Ja sagen zu einem solchen Prozess,
692270	695800	3530	zu einer Ablösung - oder müsste ich mir nicht sogar
695980	699160	3180	die Frage nach persönlichen Konsequenzen stellen?
699250	700920	1670	Das heisst?
701050	702760	1710	Ich mache mir momentan Gedanken, ob ich nicht sogar zurücktreten will.
706830	708360	1530	Effektiv?
708470	710000	1530	Ja, das ist ein Szenario,
710190	712840	2650	bei dem ich mir wirklich diese Gedanken mache.
715270	717680	2410	Ich begrüsse Sie ganz herzlich zu dieser Generalversammlung
720140	722280	2140	vom Jahr 2014.
723140	724600	1460	Trotz Anspannung:
724780	728880	4100	Feurer leitet an diesem Abend die Generalversammlung der GaySVP.
729060	732720	3660	110 Mitglieder seien es - gerade mal 7 sind gekommen.
733660	737880	4220	Mir scheint, Feurer kämpft an verschiedenen Fronten um Akzeptanz -
738130	741640	3510	auch als Homosexueller in der eigenen Partei.
741740	743480	1740	Zentralsekretariat.
743700	746960	3260	Bei Standaktionen geht es darum aufzuzeigen,
747130	747720	590	dass das Thema Schwul, Lesbisch, Bisexuell
750060	752480	2420	nichts mit der Parteizugehörigkeit zu tun hat.
752660	756160	3500	Dieses Thema ist nicht v.a. links, wie man immer wieder hört.
756300	759360	3060	Wir wollen Teil dieser Partei sein und wir wollen,
759490	762720	3230	dass unsere Partei - die SVP - uns ernst nimmt und anerkennt,
762960	766280	3320	so wie wir sie, auch in politischen Anliegen.
766470	770960	4490	Der nächste Anlass, den wir schon sicher wissen, ist am 15. August.
771200	774210	3010	Auf dem Bundesplatz. Der 15. August in einem Jahr?
774400	777730	3330	Was ist denn die Aktion? Das GAYWEST.
778550	781690	3140	Mit Konzerten und verschiedenen Ständen. Okay.
782470	786050	3580	Ein pinkes, nicht? Eine pinke Karosse - wie sagt man dem?
786190	788130	1940	Eine Stretchlimousine.
788300	792330	4030	Darin fuhren wir an der Gay Pride mit. Rosarot.
792530	792770	240	So etwas könnten wir wieder mal machen.
794620	796210	1590	Das war wirklich lustig.
797860	800930	3070	Diese Aktion hätte ich allerdings gerne gesehen.
801950	804770	2820	Ich erlebe Feurer als sehr kontrolliert.
804980	807610	2630	Bestimmt hat das mit seiner Funktion zu tun.
807700	807970	270	Womöglich aber auch damit, dass er ein halbes Leben lang versuchte,
811420	814210	2790	seine Homosexualität zu verbergen.
814420	817170	2750	Wie alt waren Sie, als Sie sich als schwul outeten?
817320	819330	2010	Da war ich schon sehr alt.
819510	822730	3220	Das war vor 9 Jahren. Ich war 45. Also wirklich sehr spät.
824050	826010	1960	Warum so spät?
826280	828450	2170	Diese Frage stelle ich mir heute selber:
828570	830730	2160	"""Wieso dauerte es so lange?"""
830980	834810	3830	Ich glaube, es war ganz tief in mir drin:
834980	837810	2830	das Gefühl, ich würde als schwulen Mann nicht verstanden werden.
841100	843330	2230	Dass meine Umgebung mich ablehnen würde.
843540	845650	2110	Diese Angst, von meinen besten Freunden,
845770	847810	2040	meiner Familie abgelehnt zu werden,
847980	850490	2510	war sehr, sehr tief in mir drin verankert.
850610	852850	2240	Ich schaffte es nicht, darüber hinwegzukommen.
853540	856890	3350	"Vielleicht auch aus Unsicherheit: ""Ist es wirklich richtig ..."
858020	861530	3510	"... schwul zu sein und auch schwul zu leben?"""
861570	863570	2000	Das waren für mich sehr ...
865460	867770	2310	... schwierige Fragen. Ich war nicht sicher, ob es richtig ist.
869750	871890	2140	Der Grund für Feurers Hadern liegt hier.
872060	875690	3630	Gottesdienst der christlichen Freikirche JAHU.
875860	879690	3830	30 Jahre lang war Beat Feurer ein vollwertiges Mitglied -
879900	882770	2870	bis er sich als Schwuler outete. Daraufhin habe man ihn verstossen.
884530	887290	2760	Beat Feurer aber ist geblieben.
887470	890370	2900	Seine Anwesenheit wird mittlerweile geduldet.
892220	896090	3870	Es ist in freikirchlichen Kreisen so,
896270	897770	1500	dass Homosexualität als krankhaftes Verhalten eingestuft wird.
900420	903330	2910	Als Verhalten, das therapiert werden kann.
903470	906850	3380	Ich wusste: Wenn ich ein Coming-out mache, wenn ich sage,
907020	909570	2550	was ich bin und was ich auch leben möchte,
909650	911690	2040	stosse ich hier auf grossen Widerstand
911810	912850	1040	und v.a. auf grosses Unverständnis.
914730	916330	1600	Umso mehr erstaunt es,
916560	920130	3570	dass Sie weiterhin in dieser Gemeinschaft bleiben wollen.
920340	923690	3350	Es war bestimmt kein ganz einfacher Weg.
923860	927090	3230	Gleich am Anfang, als ich mein Coming-out machte,
927180	927770	590	verlor ich wirklich auch Freunde -
930060	934290	4230	Freunde, die ich hier in dieser Gemeinschaft kennengelernt hatte.
934460	937810	3350	Freundschaften, die gewachsen waren. Die sind zerbrochen.
939180	942410	3230	Pfarrer: Den himmlischen Vater anzuschauen.
942570	942850	280	Den himmlischen Vater zu kennen, zu beobachten, wie er es macht.
946820	949410	2590	Wenn alle homosexuellen Frauen und Männer
949520	952970	3450	sich verstossen und ausgrenzen lassen und nie mehr erscheinen,
953200	956610	3410	müssen sich diese Kreise nie mehr mit der Frage auseinandersetzen:
956780	957890	1110	Was heisst das eigentlich?
959980	963130	3150	Bleiben - ist das in jedem Fall Stärke?
963280	965010	1730	Diese Frage stellt sich auch hier,
965180	967930	2750	an der Pressekonferenz zum Untersuchungsbericht.
968130	971890	3760	Hat er mir gegenüber im Vorfeld noch in Erwägung gezogen zu gehen,
