start	end	duration	text
2120	5000	2880	mit ihrer Fussballnationalmannschaft mitgefiebert.
5150	7920	2770	Trotz des Ausscheidens geniessen sie die Begeisterung,
8039.999999999999	11280	3240	die ihre Mannschaft überall auslöst.
14820	18120	3300	Nach dem Tötungsdelikt am letzten Donnerstag im Zürcher Seefeld
18260	21000	2740	sucht die Polizei nach dem 23-jährigen Tobias K.
21110	24200	3090	Der Insasse der Haftanstalt Pöschwies
24270	26840	2570	ist nach einem Hafturlaub nicht ins Gefängnis zurückgekehrt.
26930	28720	1790	Er gilt als gewaltbereit.
28920	31600	2680	Warum er trotzdem Hafturlaub erhalten hat,
31770	36000	4230	musste die Justizdirektion Zürich heute Nachmittag erklären.
37920	39840	1920	Die Verantwortlichen der Justizdirektion
40040	43080	3040	traten zu dritt vor die Medien, um sich zu erklären.
43210	44960	1750	Haben Sie die Fluchtgefahr unterschätzt?
45130	49530	4400	Vom Resultat her müsste man zu dieser Schlussfolgerung kommen.
49640	53980	4340	Nach dem Wissensstand, den wir zum Entscheidungszeitpunkt hatten,
54140	59740	5600	haben wir, davon bin ich bei meinem jetzigen Wissensstand überzeugt,
59910	62740	2830	den Entscheid so fällen können und müssen.
62960	66140	3180	Es ist natürlich oft so, dass man im Nachhinein klüger ist,
66270	68980	2710	und das ist jetzt ein solcher Fall.
69080	70420	1340	Zur Vorgeschichte:
70560	73620	3060	Im Zürcher Seefeldquartier fand eine Passantin am Donnerstag
73720	76500	2780	einen schwerverletzten, etwa 40-jährigen Mann.
76660	79940	3280	Das Opfer starb noch vor Ort.
80050	82660	2610	In der Nähe des Tatorts verhaftete die Polizei einen Verdächtigen.
82770	84780	2010	Zwei Tage später schrieb sie einen zweiten Verdächtigen
84870	86860	1990	öffentlich zur Fahndung aus,
87010	90620	3610	denn die Spuren ergaben eine Verbindung zu Tobias K., 23,
90880	93060	2180	der im September vom Zürcher Obergericht
93140	95340	2200	zu fünf Jahren Haft verurteilt worden war.
95550	99820	4270	Seit Ende 2014 sass er in der Justizvollzugsanstalt Pöschwies.
99979.99999999999	103539.99999999999	3560	Vor knapp zwei Wochen erhielt er unbegleiteten Hafturlaub -
103650	106539.99999999999	2890	und kam nicht zurück.
106680	108700	2020	Die Liste der Delikte in seinem Gerichtsurteil ist lang,
108840	111180	2340	und viele sind auffallend brutal.
111400	113590	2190	Z.B. hat er mit seiner Drogenband einen Dealer ...
131820	133870	2050	Daraufhin warf die Bande ihr Opfer
134010	136390	2380	aus dem Lieferwagen in den Schnee und liess es liegen.
136620	139950	3330	Tobias K. war Anführer und Kopf der Aktion.
140160	143350	3190	Der pensionierte Gerichtspsychiater Josef Sachs
143540	145790	2250	"hat sich den Fall für ""Schweiz aktuell"" angeschaut."
146000	147030	1030	Er sagt, es sei richtig,
147240	150030	2790	Häftlinge mit Urlaub auf ihre Zeit nach der Haft vorzubereiten.
150130	151790	1660	Er findet aber fragwürdig,
151940	154150	2210	dass jemand mit einer solchen Vorgeschichte
154310	156750	2440	schon nach zwei Jahren Gefängnis unbegleitet raus durfte.
156920.00000000003	162070	5150	Im Gutachten wurde eine Persön- lichkeitsstörung diagnostiziert.
162150	166230	4080	Persönlichkeitsstörungen sind schwer behandelbar.
166360	169550	3190	Wenn in der Behandlung Fortschritte gemacht werden können,
169670.00000000003	172230	2560	geht das langsam.
