start	end	duration	text
1840	4570	2730	.
5200	7130	1930	1:1-Untertitelung
8420	11210	2790	Wir blicken hinter die Schlagzeilen, guten Abend.
11820	13770	1950	Das Schweizer Bankgeheimnis ist Geschichte -
14490	18410	3920	ab nächster Woche ist der automati- sche Informationsaustausch Realität.
19140	20370	1230	Der ausländische Kunde
21060	23850	2790	wird damit für seine Steuerbehörden transparent wie noch nie.
24540	26290	1750	Mit einer Ausnahme:
27010	30250	3240	Liechtenstein bastelt noch an einem Abkommen mit der Schweiz.
30820	32369.999999999996	1550	Ausgerechnet jenes Land,
32980	34970	1990	wo rund ein Drittel der Auslandkonten Schweizern gehört.
35620	37250	1630	Warum ist das Ländle so ein Sonderfall?
37980	40650	2670	Was kommt auf den Finanzplatz Schweiz zu, wenn Daten automatisch fliessen?
41310	43530	2220	Diesen Fragen gehen wir heute nach. Es ist 10 vor 10.
44990	50530	5540	Eine kaum je dagewesene Trockenheit sowie Wasser-Tiefstände
51160	53610	2450	sorgen landesweit für Besorgnis.
55620	59330	3710	In Teil 3 unserer Alpenserie
59960	64010.00000000001	4050	entdeckt unser Reporter die verlassenen Täler des Piemont.
66290	71170	4880	Der Wald brennt in Graubünden und im Tessin - und das mitten im Winter.
71820	75370	3550	Schuld ist die extreme Trockenheit derzeit in den Bergen.
75970	77810	1840	Hintergründe und Folgen im Bericht von Andre Ruch.
79500	83050	3550	Waldbrände Ende Dezember: Wo sonst oft schon Schnee liegt,
83730	87570	3840	brennt im Misox zwischen Soazza und Mesocco auf 120 ha der Wald.
88210.00000000001	91930	3720	Trotz Löscharbeiten breiteten sich die Brände auch heute weiter aus.
92580	97930	5350	Ein zweites Feuer wütet in der Leventina bei Chironico.
98590	101770.00000000001	3180	Im Gebiet Monti di Doro haben Jugendliche ein Feuer entzündet,
102420	104729.99999999999	2310	das sich rasant ausbreitet.
105370	107690	2320	Dies führt zu einem Grosseinsatz der Armee: Insgesamt fünf Super-Pumas
108330	112210.00000000001	3880	unterstüzen beim Löschen im schwer zugänglichen Gebiet.
112979.99999999999	115729.99999999999	2750	Verletzt wird niemand.
116370	119450	3080	Die Trockenheit herrscht derzeit in der ganzen Schweiz.
120110	121370	1260	In vielen Regionen
122020	124210	2190	gab es seit 40 Tagen keinen Tropfen und keine Flocke mehr.
124860	127810	2950	"Laut den Meteorologen von ""SRF Meteo"" ein Rekord."
128460.00000000001	133250	4790	Den letzten nennenswerten Niederschlag gab es am 19. November,
133830	137250	3420	d.h. so rund sechs Wochen war es auf der Alpennordseite trocken.
137900	140170.00000000003	2270	Z.B. in Wynau, Neuenburg, Lausanne oder auch in Sitten
140920.00000000003	142650	1730	gab es wirklich keinen einzigen Tropfen Niederschlag.
143290	145570	2280	Aber auch für Luzern, Zürich, Basel oder St. Gallen
146270	149250	2980	war es wirklich der trockenste Dezember seit Aufzeichnungsbeginn,
149900	152010	2110	d.h. seit über 150 Jahren.
152620	155250	2630	Die Trockenheit bemerken etwa die Kraftwerke am Rhein -
155850	157410	1560	dem Abfluss der Alpennordseite.
158130	159650	1520	Die Streifen an der Mauer zeigen es:
160260	164050	3790	Selten führte der Fluss im Dezember so wenig Wasser.
164800	167290	2490	Er ist etwa halb so hoch, wie er sein müsste -
167870	170570	2700	gemäss langjährigen Mittel.
171240	172530	1290	Was heisst das jetzt für die Stromproduktion?
173220	175730	2510	Das heisst: Halbe Stromproduktion.
176329.99999999997	178610	2280	Halb so viel Wasser heisst halbe Stromproduktion.
179290	181490	2200	Der Grossteil der Anlage steht in diesem Dezember still -
182100	184850	2750	ein Verlust, der nicht kompensiert werden kann.
185490	189010	3520	"Sie sehen: ""Netzbetrieb"" ""Netzbetrieb"", aber ""Stillstand"","
189690	191210	1520	"ganz viel ""Stillstand""."
191860	194130	2270	Das sind all die Maschinen, die nicht laufen können,
194720	196410	1690	weil sie kein Wasser haben.
197090	199210	2120	Bei den deutschen Kollegen sieht es genau gleich aus,
199860	202370	2510	denn wir teilen das Wasser mit ihnen.
203060	205370	2310	Die Kraftwerke nutzen die Gelegenheit
206020	208820	2800	zum Warten der stillgelegten Turbinen.
209450	213100	3650	Extreme Pegelstände seien in den letzten Jahren häufiger geworden.
213700	216420.00000000003	2720	Wir stellen einfach fest, dass die ganzen Niederschläge -
217070	219740	2670	die früher auch in Form von Schnee kamen -
220350	222340	1990	sich verlagern.
222980	226500	3520	Das verschiebt sich im ganzen Jahr um ca. drei Monate.
227079.99999999997	230260	3180	Es kommt zu einem anderen Zeitpunkt als früher.
230910	234100	3190	Laut dem Meteorologen gibt es einen Trend zu langeanhaltenden,
234810	238380	3570	extremen Wetterlagen - sog. blockierenden Systemen.
239030	242380	3350	Je nachdem, wo das blockierende System ist,
242940	246060	3120	haben wir natürlich viel mehr Tiefdrucksysteme,
246680	248460	1780	also viel mehr Niederschlag -
249030	250860	1830	oder eben länger anhaltende Trockenheit.
251470	253580	2110	Im Tessin und in Südbünden reagieren die Behörden auf die Trockenheit nun
254250	256140	1890	mit einem totalen Feuerverbot.
256790.00000000003	259220.00000000003	2430	Nur der Waldbrand in der Leventina ist mittlerweile unter Kontrolle.
259860	262700	2840	Heute Abend gibt es sogar einen neuen Brand:
263260	265700	2440	Gemäss der Kantonspolizei Graubünden
266320	268980	2660	brennt es zurzeit im Calancatal in der Nähe des Dorfes Braggio -
269670	272020	2350	die Einsatzkräfte sind vor Ort.
275030	277380	2350	Wie geben gehört, kämpft die Bündner Feuerwehr
278050	279620	1570	gegen einen neuen Waldbrand,
280190	282780	2590	der heute Abend bei Braggio im Calancatal ausgebrochen ist.
283440	285940	2500	Die grosse Trockenheit zusammen mit der speziellen Wettersituation
286600	289500	2900	hat die derweil Waldbrandgefahr beinahe landesweit erhöht:
290150	292540	2390	Sie sehen es auf dieser Karte:
293190	295580	2390	Praktisch im ganzen Alpengebiet besteht ein Brandrisiko,
296240	298780	2540	aber auch am Jurabogen und in der Nordwestschweiz
299340.00000000006	301940	2600	sind die Wälder zur Zeit gefährdet.
303230	305300	2070	Jetzt zu unserem Fokus:
305840	308340	2500	Das Schweizer Bankgeheimnis - es ist nicht lange her,
309000	312220	3220	da war es stark und undurchdringlich wie ein Banktresor.
312950	316500	3550	Nun steht die Tresortüre dem Ausland weit offen:
317190	319580	2390	Dank dem automatischen Informationsaustausch
320260	322500	2240	wissen Steuerbehörden rund um die Welt künftig,
323190	326180	2990	welcher ihrer Bürger wie viel Geld in der Schweiz parkiert hat.
326830	329420	2590	Jean-Francois Tanda zeigt, was sich verändert hat seit den Zeiten,
330150	331420	1270	in denen der damalige Schweizer Finanzminister
332110	334620	2510	noch betont kämpferisch auftrat.
336250	339140	2890	Den Angreifern auf das schweizerische Bankgeheimnis
339790	341700	1910	kann ich allerdings voraussagen:
342390	346300	3910	An diesem Bankgeheimnis werdet ihr euch die Zähne ausbeissen!
346840.00000000006	349700	2860	Ein Bankgeheimnis, das am Ende Hinterziehung und Steuerumgehung
350260	352940	2680	praktisch vor den Finanzbehörden ge- heim hält, kann nicht funktionieren.
353590.00000000006	359340.00000000006	5750	Der gläserne Bankkunde.
359980	363420	3440	Ab 2017 ist er in der Schweiz real - sofern im Ausland steuerpflichtig.
364090	367500	3410	Grund dafür: der sog. automatische Informationsaustausch.
368140	370020	1880	Und der funktioniert wie folgt:
370580	372740	2160	Einmal im Jahr übermitteln die Schweizer Banken
373380	375860	2480	Daten an die eidgenössische Steuerverwaltung
376520	379140	2620	und zwar derjenigen Kunden, die im Ausland steuerpflichtig sind.
