start	end	duration	text
2470	4150	1680	.
4750	6350	1600	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6960	8790	1830	Es gibt neue Erkenntnisse zum Anschlag in Berlin
9470	11750	2280	und auch zur Schiesserei in einer Zürcher Moschee.
12410	15430	3020	"Wir informieren in dieser ""Tagesschau Spezial"". Ich begrüsse Sie."
17150	20590	3440	Zwölf Tote und 48 z.T. schwer Verletzte:
21260	24030	2770	Das ist die vorläufige Bilanz des gestrigen Terroranschlags
24650	26430	1780	auf einen Weihnachtsmarkt in Berlin.
27150	30390	3240	Wer der oder die Täter sind, ist zurzeit noch unklar.
31150	33590	2440	Zweifel gibt es nun auch, ob der Flüchtling,
34340	36190	1850	den die Polizei noch in der Nacht festgenommen hat,
36770	38750	1980	tatsächlich der Täter ist.
39440	41590	2150	Vor 1 Std. hat Bundeskanzlerin Angela Merkel
42260	44430	2170	den Tatort und die Gedächtniskirche besucht.
45110	47670	2560	Ihr Kanzleramt liegt nur wenige Kilometer davon entfernt.
49650	52270	2620	Angela Merkel mit Bundesinnenminister Thomas de Maiziere
52970	55030	2060	und Aussenminister Frank-Walter Steinmeier
55660	58270	2610	auf dem Berliner Weihnachtsmarkt neben der Gedächtniskirche.
58900	62350	3450	Merkel macht sich selber ein Bild von den Spuren des Terrorakts.
63030	65830	2800	Anschliessend trägt sie sich in der Kaiser-Wilhelm-Gedächtniskirche
66380	71030	4650	ins Kondolenzbuch ein und hält ein stilles Gebet ab.
71580	76630	5050	Kurz zuvor, an einer Medienkonfernz,
77360	80470	3110	hatte Berlins Polizeipräsident Klaus Kant erklärt,
81170	84950	3780	dass der in der Nacht festgenommene 32-jährige Flüchtling
85660	88550	2890	aus Pakistan möglicherweise doch nicht der Täter ist.
89230	93390	4160	Wir sind in der Tat nach meinem Erkenntnisstand unsicher,
94060	96310	2250	ob das wirklich der Fahrer war.
96990.00000000001	98950	1960	Die Überprüfungen sind noch nicht zu Ende.
99580	101750	2170	Wir konnten bisher nicht bestätigen,
102450	104550	2100	dass wir diese Person als Fahrer zuordnen können.
105229.99999999999	107750	2520	Als Folge des Anschlags kündigte Berlins Innensenator Geisel
108370	111789.99999999999	3420	eine massive Aufstockung der Polizeipräsenz in Berlin an.
112450	117270.00000000001	4820	In der Konsequenz werden wir die Polizeipräsenz in Berlin
117810	119870	2060	sichtbar deutlich erhöhen.
120430	127390	6960	Wir haben heute Vormittag die Betreiber der über 60 Berliner
128030	134070	6040	Weihnachtsmärkte aus Pietätsgründen auf den Betrieb heute zu verzichten.
134660	137350	2690	Für Berlins Regierenden Bürgermeister Müller hatte der Anschlag
138010	143630	5620	v.a. ein Ziel: die Freiheit.
144220	146550	2330	Ich muss vor Augen halten, es ist mal wieder, kann man sagen,
147230	150590	3360	ein Anschlag auf unser aller Freiheit, auf unser Leben.
151280	156150	4870	Es hätte tatsächlich jeden treffen können an der Stelle.
156730	160950	4220	Im Gedenken an die Opfer soll noch heute Abend in der Gedächtniskirche
161630	163590	1960	in Berlin ein Gottesdienst stattfinden.
166000	168350	2350	Der Anschlag auf den Weihnachtsmarkt in Berlin
169010	170550	1540	hatte sich gestern Abend um 20 Uhr ereignet.
171200	172910	1710	Tatwaffe: ein schwarzer Lastwagen.
173520	175550	2030	Diesen Sattelschlepper lenkte der Täter Täter
176140	178670.00000000003	2530	auf einer Strecke von 50-80 m mitten in den Weihnachtsmarkt
179390	181510	2120	bei der Berliner Gedächtniskirche.
182180	183710	1530	Dutzende Menschen wurden überrollt.
185560	188270	2710	Der schwer beschädigte schwarze Sattelschlepper heute Morgen,
188990	190470	1480	am Rande des Weihnachtsmarkts.
191130	192870	1740	Der Lastwagen - und später der Auflieger -
193550	195830	2280	werden zur weiteren Spurensicherung abgeschleppt.
196530	198590	2060	Die Front des Lastwagens ist schwer beschädigt:
199300	201510	2210	Spuren der Horrorfahrt durch eine weihnachtlich gestimmte,
202150	204630	2480	friedliche Menschenmenge.
205280	207950	2670	Als mutmasslichen Täter hatte die Polizei noch in der Nacht
208510	211070	2560	einen 23-jährigen Flüchtling aus Pakistan festgenommen.
211730	214150	2420	Laut eines Augenzeugen war er vom Tatort
214720	216990	2270	in Richtung Berliner Siegessäule geflüchtet.
217610	219710	2100	Der Festgenommene bestritt allerdings in ersten Befragungen
220329.99999999997	221950	1620	jegliche Tatbeteiligung.
222579.99999999997	224030	1450	Er bleibt aber vorläufig in Haft,
224650	228350	3700	bis DNA- sowie mögliche Schmauchspuren ausgewertet sind.
229030	232310	3280	Der Weihnachtsmarkt gestern Abend: Polizei und Sanität
232990	237350	4360	sind mit Dutzenden Fahrzeugen und Spezialisten vor Ort.
238030	240230	2200	Augenzeugen beschreiben später schreckliche Szenen:
240760	243150	2390	Menschen seien unter dem Lastwagen eingeklemmt gewesen,
243830	246190	2360	es hätten abgetrennte Körperteile herumgelegen.
246910	251310	4400	Berlins regierender Bürgermeister zeigte sich entsprechend betroffen:
251950	254190	2240	Es ist gerade auch in der Zeit, in der wir sind,
254750	256070	1320	wirklich bedrückend zu sehen,
256720.00000000003	259870	3150	dass wir hier jetzt etwas Ähnliches wie unsere Freunde erleben,
260510	262150	1640	die das in anderen Städten
262700	264670	1970	in den letzten Monaten oder Jahren erlebt haben.
265230	267230	2000	Nach Angaben der Polizei hatte der Attentäter
267840	269590	1750	den aus Polen kommenden Lastwagen
270300	272670	2370	Stunden vor der Tat in Berlin gestohlen.
273320	275870	2550	Dabei hatte er den polnischen Fahrer offenbar erschossen.
276530	278510	1980	Dessen Leiche liess er im Lastwagen -
279150	282150	3000	sie wurde später beim Weihnachtsmarkt auf dem Beifahrersitz gefunden.
284190	287870	3680	Die Ermittlungen laufen in und um Berlin auf Hochtouren.
288530	291150	2620	Kurz vor der Sendung haben die Bundesbehörden
291830	293230	1400	über die neusten Erkenntnisse informiert.
294360	296750	2390	Auch wenn es noch kein Bekennerschreiben gegeben hat,
297420	299710	2290	geht man von einem Terrorakt aus.
300350	303510	3160	Wir haben schon vor der Tat gesagt, dass wir in Deutschland
304150	306110	1960	eine ernstzunehmende Bedrohungslage haben,
306750	311070	4320	dass der islamische Terrorismus die Sicherheitslage in Deutschland
311710	313550	1840	ganz massgeblich prägt.
314250	316270	2020	Wir haben uns auch in jüngerer Vergangenheit
317010	319470	2460	intensiv mit der Frage beschäftigt,
320110	323190	3080	ob Weihnachtsmärkte und andere Veranstaltungen
323910	325870	1960	einer höheren Gefährdung unterliegen.
326420	329430	3010	Wenn man es doch gewusst hat, warum wurde dann nicht besser geschützt?
330150	333630	3480	Es ist so, dass wir schon Sicher- heitsüberlegungen angestellt haben.
334260	335670	1410	Die Frage ist immer, wer was macht.
336320	338310	1990	Ich habe Ihnen schon einmal gesagt,
339010	342270	3260	dass wir die Weihnachtsmärkte nicht zu Burgen ausbauen können.
342990	345590.00000000006	2600	Wir haben eine ganze Reihe von Weihnachtsmärkten in der Stadt.
346220	347790	1570	Zudem ist es so,
348430	351830	3400	dass wir insgesamt eine unbegrenzte Anzahl sog. weicher Ziele haben.
352440	354230	1790	Im Klartext:
354870	357990	3120	Gegen diese Art von Terror gibt es keinen umfassenden Schutz.
359990	363350	3360	Die Polizei zweifelt also unterdessen daran,
364110	366030	1920	dass der Festgenommene auch wirklich der Täter war.
366580	368310	1730	Adrian Arnold in Berlin:
368910	371150	2240	Muss man damit rechnen, dass der Attentäter noch frei herumläuft
371830	373270	1440	und weiteren Schaden anrichtet?
373950	374230	280	Wir untertiteln live:
381830	385750	3920	Tatsache ist,
386510	388870	2360	dass man noch einen Täter identifiziert hat.
389520	392790	3270	Man hat auch noch keine Tatwaffe gefunden,
393430	395190	1760	mit der der LKW-Fahrer erschossen wurde.
395810	398030	2220	Man muss davon ausgehen,
398720	400950	2230	dass ein Täter noch frei herum läuft.
401580	405270	3690	Und dass er auch bewaffnet ist.
405950	409830	3880	Die Berliner Polizei hat die Menschen auch aufgerufen,
410420	412310	1890	aufmerksam zu sein und Auffälligkeiten zu melden.
412990	415870	2880	"""Die Polizei hat den falschen Mann"", zitierten deutsche Medien ranghohe"
416530	422070	5540	Sicherheitskreise. Wie konnte es zu dieser Fahndungspanne kommen?
424180	429310	5130	Wenn es tatsächlich eine Verhandlungspartner ist,
430010	433310	3300	--Fahndungspanne
434030	437870	3840	lässt sich die so erklären,
438550	440990	2440	dass sich die Polizei nur auf einen Augenzeugen stützte.
441670	447070	5400	Ein Mann wollte gesehen haben,
453560	456310	2750	wie ein Mann ausgestiegen ist aus dem Lastwagen,
456920	459350	2430	und wie dieser geflüchtet ist.
459909.99999999994	463470	3560	In Richtung Siegessäule.
464090.00000000006	467470	3380	Er hat dann die Polizei informiert,
468150	472430	4280	dass er diesen mutmasslichen Täter verfolgt hat.
