start	end	duration	text
7350	10500	3150	Willkommen bei uns, am Mittwoch 11. März.
10640	12660	2020	"Das sind die heutigen Themen von ""Schweiz aktuell"":"
13830	17860	4030	In Gerlafingen/SO besetzen 15 Personen
18070	21100	3030	eine Liegenschaft mit 18 Wohnungen.
21230	23500	2270	Wenn sie sich nicht mit dem Eigentümer einigen können,
23580	27780	4200	droht ihnen die Zwangsräumung.
27910	30980	3070	Seit Fukushima demonstrieren Kritiker täglich
31070	34260	3190	vor dem Eidgenössischen Nuklear- sicherheitsinspektorat in Brugg.
34470	37420	2950	Heute, am 4. Jahrestag der Katastrophe, sind es besonders viele.
39870	43780	3910	Völlig überraschend bekommt die klei- ne Genfer Goldküstengemeinde Anieres
43860	47620	3760	Steuereinnahmen von 120 Mio. Fr.
47770	50620	2850	Wem das zu verdanken ist, bleibt unklar.
51990	54220	2230	Zuerst aber zu dem:
54330	57350	3020	Am Samstag musste ein Bus in der Stadt Luzern eine Vollbremse ziehen,
57500	60870	3370	weil eine Touristengruppe bei Rot die Strasse überquert hat.
60980	64230.00000000001	3250	Im Bus fielen dabei mehrere Personen um und wurden teilweise verletzt.
64340	67150	2810	Eine 80-jährige Frau so schwer,
67350	68950	1600	dass sie jetzt ihren Verletzungen erlegen ist.
70220	75150	4930	Die Mitarbeiter seien sehr betroffen über den Tod der 80-jährigen Frau,
75320	79630	4310	sagt Christian Bertschi der Verkehrsbetriebe Luzern:
79830	81870	2040	Es kommt bei uns sehr selten vor,
82070	84350	2280	dass wir einen Unfall mit Todesfolge haben.
84550	87750	3200	Deshalb arbeiten wir jetzt auch mit der betroffenen Chauffeuse.
87910	90110	2200	Wir betreuen sie.
90220	94430	4210	Was genau passiert ist, wer schuld ist und wie das Ganze weitergeht,
94610	97550	2940	ist Sache der Strafuntersuchungsbehörde.
97700	101509.99999999999	3810	Sie wird dann ihre Ergebnisse präsentieren.
101680	104190	2510	Der Unfall ereignete sich am Samstagnachmittag.
104270.00000000001	107550	3280	Weil eine Touristengruppe bei Rot über den Fussgängerstreifen lief,
107580	110789.99999999999	3210	musste der Bus vollbremsen.
110940	113789.99999999999	2850	Eine Touristin hat sich auf der Strasse leicht verletzt,
113940	117590	3650	im Bus fielen mehrere Passagiere um und wurden z.T. schwer verletzt.
119680	122190	2510	In Gerlafingen/SO machen Hausbesetzer Schlagzeilen.
122350	124710	2360	Für einmal in der Stadt, nicht auf dem Land.
124950	128910	3960	15 Personen haben sich in einer sanierungsbedürftigen Liegenschaft
129050.00000000001	132790	3740	mit 18 Wohnungen einquartiert in der Nähe des Gerlafinger Bahnhofs.
133020	136150	3130	Jetzt droht ihnen die Zwangsräumung.
136310	138430	2120	Die Hausbesetzer versuchen aber, eine Lösung mit dem Eigentümer zu finden.
139660	141829.99999999997	2170	Wasser holen am Brunnen vor der Tür,
142070	144630	2560	denn fliessendes Wasser gibt es im Haus nicht.
144870	147310	2440	Der Besetzer, der mit uns spricht, möchte unerkannt bleiben.
147530	149990	2460	Auch seinen Namen kennen wir nicht.
150100	154510	4410	Der Berner möchte mehr Freiräume für Junge:
154640	158350	3710	Wir finden es eine Frechheit, dass Häuser so lang leer stehen,
158520	162510	3990	dass es für Junge so wenig günstigen Wohnraum gibt,
162650	165150	2500	dass es für Künstler so wenig Wohnraum gibt,
165410	167829.99999999997	2420	dass Kunst nicht genug gefördert wird -
167980	171710	3730	wie z.B. mit Bandräumen.
171890	174310	2420	Es ist verdammt schwierig, so etwas zu bekommen.
174440	175470	1030	Die Besetzer haben sich Anfang März
175650	178270	2620	"unter dem Namen ""Kollektiv gegen Wohnungs- und Gartennot"""
