start	end	duration	text
1570	7130	5560	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7120	10290	3170	Die Zeit für den Blick hinter die Schlagzeilen.
10270	12370	2100	"Willkommen zu ""10vor10""."
12360	15050	2690	Es gibt wenige Unternehmen,
15010	17730	2720	die von sich sagen können, sie hätten die Welt verändert.
17720	21410	3690	bei einem aber ist das unbestritten: Apple.
21390	23890	2500	Die Firma ist längst mehr als die Summe ihrer Produkte.
23880	28330	4450	Sie steht wie keine andere für den digitalen Wandel,
28320	29930	1610	der die ganze Welt erfasst hat.
29920	31730	1810	Morgen wird Apple 40.
31710	35650	3940	Der perfekte Moment, um zurückzu- schauen auf den Weg zum Kultkonzern
35640	38250	2610	und nach vorne auf dessen Zukunft.
38210	40930	2720	Das Phänomen Apple - heute bei uns im Fokus.
40910	42890	1980	"Ausserdem bei ""10vor10"":"
44240	50410	6170	Vier Monate vor Olympia droht Brasilien der politische Kollaps.
52320	58450	6130	Warum die Zahl tödlich verunfallter Fussgänger plötzlich ansteigt.
60460	63890	3430	Für die Biennale Manifesta in Zürich
63880	70130	6250	holt sich ein US-Künstler seinen Werkstoff in der Kläranlage.
73240	75570	2330	Zunächst nach Brasilien:
75550	77650	2100	Dort wächst auch heute die Wut auf die Regierung,
77630	80970	3340	die Politik generell - und das mit gutem Grund.
80960.00000000001	83850	2890	Selbst für die Korruption gewohnten Brasilianer ist,
83840	87730	3890	was sich momentan abspielt, ein unwürdiges Spektakel:
87710.00000000001	89930	2220	Staatsanwälte und Richter
89920	93050	3130	haben die grösste Geldwäsche- und Bestechungsmaschinerie
93009.99999999999	95289.99999999999	2280	der brasilianischen Geschichte aufgedeckt.
95270.00000000001	97490.00000000001	2220	Es geht um über 10 Mrd. Fr.
97470	100850	3380	Fast täglich landen Konzernchefs und Spitzenpolitiker
100820	102850	2030	auf den Fahndungslisten.
102840	105250	2410	Christian Kolbe zeigt die Hintergründe
105240.00000000001	108970	3730	und was der Schweizer Finanzplatz mit dem Korruptionssumpf zu tun hat.
110759.99999999999	114210.00000000001	3450	Schon seit Wochen kocht in Brasilien die Volksseele.
114200	117090	2890	Zehntausende protestieren gegen Präsidentin Dilma Rousseff
117050	119490.00000000001	2440	und ihre Arbeiterpartei PT.
119450	124810	5360	Auch für heute Abend sind wieder Demonstrationen angesagt.
124770	129169.99999999999	4400	Denn auch die Präsidentin soll in den gigantischen Korruptions-Skandal
129160	132970	3810	rund um den Ölkonzern Petrobras verwickelt sein.
132960	136050	3090	Bewiesen ist das nicht, aber immerhin war Rousseff
136030	139290	3260	jahrelang Verwaltungsrats- präsidentin des Konzerns.
139280	142930	3650	Endgültig eskaliert ist die Politkrise in Brasilien
142920.00000000003	145770	2850	als Rousseff versuchte, ihren Vorgänger Lula da Silva
145750	149530	3780	durch einen Trick vor laufenden Korruptionsermittlungen zu schützen.
149520	152370	2850	Christian Hauser ist Spezialist für Korruptions-Bekämpfung
152360	155210	2850	an der Hochschule für Technik und Wirtschaft in Chur.
155170.00000000003	159530	4360	Der Wirtschaftsprofessor hat jahrelang in Brasilien gelebt.
159510	162930	3420	Die Enttäuschung, dass jetzt auch die Arbeiterpartei,
162890	166810	3920	die jahrzehntelang gegen das Establishment angetreten ist,
166780	172810	6030	jetzt selber verwickelt ist, ist für das Volk sehr enttäuschend.
172800	176370	3570	Erklärt das die grossen Protestwellen?
176360	180250	3890	Zusammen mit dem aktuellen wirtschaftlichen Abschwung
180210	186010	5800	erklärt das den hohen Druck, der in der Bevölkerung da ist.
185970	188210	2240	Der Ölgigant Petrobras
188200	190930	2730	ist auch einer der grösster Bauherren im Lande.
190920	194410	3490	Um an lukrative Aufträge des halbstaatlichen Konzerns zu kommen,
194380	198370	3990	haben Baufirmen jahrelang Manager und Politiker geschmiert.
198360	201930	3570	Hunderte Millionen sind auch in die Schweiz geflossen.
