start	end	duration	text
1520	5510	3990	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7830	11390	3560	Es ist 10 vor 10, Zeit für den Blick hinter die Schlagzeilen, guten Abend.
11620	13870	2250	Heute berichten wir über diese Themen:
16640	19990	3350	Die Schweizer Luftwaffe gerät in Erklärungsnot.
23760	26670	2910	Die Lage In Israel droht zu eskalieren.
30160	33430	3270	Flüchtlinge kämpfen auf der Balkan- route gegen die Kälte.
37240	41750	4510	Das Gesetz soll Prostituierte bei ihrer Arbeit besser schützen.
45890	47270	1380	Diese Trümmerhaufen
47490	51110	3620	war mal ein 50 Mio. Fr. teurer Kampfjet der Schweizer Armee.
51280	54950	3670	Die F/A-18 stürzte heute während eines Trainings über Frankreich ab,
55060	58150	3090	auf unbewohntes Gebiet in der Nähe der Stadt Besancon.
58320	61150	2830	Der Pilot konnte sich mit dem Schleudersitz retten.
61340	63110	1770	Und so bleiben von diesem Unfall -
63290	65430.00000000001	2140	neben dem millionenteuren Sachschaden -
65550	67390	1840	jede Menge Fragen.
67470	70670	3200	Dies war nämlich nicht der erste Absturz einer F/A-18,
70789.99999999999	72550	1760	es war der dritte.
72770	75070	2300	Trotzdem will die Schweizer Armee mit eben diesen Fliegern
75180	78710.00000000001	3530	künftig den Schweizer Luftraum nonstop überwachen. Nina Blaser.
82050	84710.00000000001	2660	Vom Kampfjet ist nicht mehr viel übrig.
84970	87990	3020	Hier stürzte die F/A-18 heute kurz vor Mittag ab.
88160	91030	2870	Während eines Kampftrainings mit zwei weiteren Jets
91160	93350	2190	im französischen Luftraum.
93530	96430	2900	Dieser grenzüberschreitende Trainingsraum
96580	100470	3890	wird angesichts der knappen Luftraumverhältnisse
100570	105509.99999999999	4940	in der Schweiz und in Europa regelmässig benutzt -
105620	109110	3490	mehrmals pro Monat,
109320	112950	3630	von schweizerischen wie auch von französischen Flugzeugen.
113060	117110	4050	Die abgestürzte F/A-18 habe plötzlich an Höhe verloren.
117220	119110	1890	Der Grund ist unklar.
119390	122470	3080	Der erfahrene Pilot rettet sich, ist ausser Lebensgefahr.
122620	124830	2210	Weitere Verletzte sind nicht zu beklagen.
125000	128669.99999999999	3670	Es ist der dritte Absturz einer zweisitzigen F/A-18.
131410	137350	5940	1998 stürzt bei Crans-sur-Sierre im Wallis eine F/A-18-Maschine ab.
137530	141230	3700	Beim Unfall sterben zwei Angehörige der Luftwaffe.
142180	144350	2170	In Alpnach im Kanton Obwalden
