start	end	duration	text
5840	7620	1780	.
7730	15740	8010	1:1-Untertitelung
15920	18700	2780	"Guten Abend, das ist ""Schweiz aktuell""."
18930	21180	2250	Neben den Unwettern am Wochenende sind dies heute unsere Themen:
22800	27140	4340	Biowinzer am Bielersee ärgern sich über die Sprühflüge ihrer Nachbarn,
27270	30540	3270	weil diese auch andere Reben treffen.
32439.999999999996	35260	2820	Nach dem Openair Frauenfeld erinnern Berge von Abfall
35520	39500	3980	an die Zehntausenden Besucher am Wochenende.
41540	45740	4200	Im Campo Felice in Tenero
45960	48110	2150	haben deutsche Feriengäste gestern beim WM-Finale mitgefiebert
48200	50350	2150	und bis in die Nacht gefeiert.
51770	54070	2300	Am Wochenende gab es in mehreren Regionen schwere Gewitter.
54280	58390	4110	Besonders hart traf es Thörishaus in der Gemeinde Köniz im Kanton Bern.
58560	61510	2950	Die heftigen Regenfälle forderten ein Todesopfer.
61680	64989.99999999999	3310	Auch heute bleiben mehrere Häuser noch immer evakuiert.
65080	68350	3270	"""Schweiz aktuell"" begleitete heute den Gemeindepräsidenten,"
68440	71190	2750	als er die verschiedenen Schadensplätze untersuchte.
72580	74870	2290	Der Gemeindepräsident Ueli Studer heute Morgen auf einer Tour
74960.00000000001	77110	2150	zu den Schadensplätze.
77260	81870	4610	Jetzt fahren wir von Mittelhäusern nach Sensematt hinunter.
82010	87230	5220	Dieses Gebiet wurde relativ stark getroffen.
87350	90430	3080	Beim ersten Halt bespricht sich der Gemeindestab mit Geologen.
90570	93479.99999999999	2910	Hinter diesem Haus kam der gesamte Hang ins Rutschen.
93690	98160	4470	Der Gemeindepräsident hofft, dass es nicht noch mehr Regen gibt.
98330	100920	2590	Die Hänge in den oberen Gemeinden sind alle voller Wasser.
101050	103880	2830	Wenn man das anschaut, sieht man,
104140	107560	3420	dass das Wasser, das teils wie Brunnenröhren aus den Hängen kommt,
107690	109560	1870	über die Strassen fliesst.
109660	111320	1660	Lange hält das nicht mehr,
111500	113240.00000000001	1740	sonst würde es noch grössere Rutsche geben.
113400	115320	1920	Dieses Haus hier ist noch immer evakuiert.
115500	118280	2780	Der Geologe erklärt, wie man den Hang wieder stabilisieren kann.
118370	122040	3670	Man sieht einen Riss oben im Hang, das ist alles in Bewegung.
122270	124680	2410	Es ist eine grosse Masse, die in Bewegung ist.
124770	127560	2790	Diese müssen wir zurückhalten, da müssen wir etwas tun,
127810	130039.99999999999	2230	damit wir das Material oben behalten können.
130220	133520	3300	Immer noch gibt es Hänge, die rutschen, wie dieser.
133640	135680	2040	Zu viel Wasser ist noch im Boden.
135850	138680	2830	Wir hatten über mehrere Tage schwere Niederschläge,
138800	142120	3320	in denen sich die Hänge sukzessive füllen konnten -
142210	145240	3030	und auch der Fels in verschiedenen Fällen.
145480	149520	4040	Irgendwann ist das Fass einfach voll, dann überläuft es
149640	153800	4160	und dann kommt es zu den Rutschen.
154000	156440	2440	Weiter geht es zum nächsten Schadensplatz.
156650	160480	3830	Hier in der Sensematt richtete das Unwetter grosse Schäden an.
160560	163120	2560	Hier starb eine 82-jährige Frau.
163300	167560	4260	Sie wurde vom Bach weggerissen und konnte nur noch tot geborgen werden.
167680	171680	4000	Der Gemeindepräsident trifft die Angehörigen - ein schwieriger Besuch.
171820	177280	5460	Es war mir wichtig, ihnen persönlich zu kondolieren
177450	179680	2230	und meiner Trauer Ausdruck zu verleihen.
179930	184280	4350	Es war für den Gesamtgemeinderat wichtig, hierherzukommen
184510	187920	3410	und Unterstützung anzubieten.
188080	190120	2040	Beim Nachbarn gab es lediglich Sachschaden.
190290	193000	2710	Er putzt und räumt auf, was kaputt ist.
193180	195800	2620	Der Keller ist immer noch voller Schlamm.
195970	199920.00000000003	3950	Ich hatte Schwein, dass nicht alles im Hausbereich war.
200020	202360	2340	Aber sonst kam ich eigentlich glimpflich davon
202470	206160	3690	gegenüber den Nachbarn.
206350	209400	3050	Die Fahrt geht weiter in den Graben in Niederscherli.
209560	212280	2720	2 Häuser sind von der Strasse abgeschnitten.
212360	214600	2240	Wir treffen die Bewohner und ihre Feriengäste aus Holland
214700	216600	1900	beim Aufräumen.
216750	219320	2570	Auch hier wurde ein Bach zu einem Fluss und überflutete alles.
219530	222400	2870	Alle Geräte im Keller sind kaputt,
222579.99999999997	225560	2980	für die Hausbesitzerin nicht das schlimmste Problem.
225790	228160	2370	Hier geht es nur ums Putzen, Aufräumen und Wegschmeissen,
228280	231040	2760	direkt in den Anhänger.
231250	234440	3190	Das ist Peanutsarbeit, die ich heute einfach erledige,
234610	237880	3270	aber meine grössere Sorge ist die Zufahrt.
238090	241040	2950	Denn die Strasse sieht nicht mehr nach Strasse aus.
241230	244160	2930	Bis hier wieder ein Auto fahren kann, dauert es noch ein paar Tage.
244310	248400	4090	In Mittelhäusern ist die BLS-Strecke zwischen Bern und Schwarzenburg
248500	250440	1940	noch immer unterbrochen.
250600	252520	1920	Der Bahndamm wurde unterspült und weggerissen,
252770	255160	2390	die Strecke kann erst ab Donnerstagmorgen
255310	257200	1890	wieder in Betrieb genommen werden.
257300	259920.00000000003	2620	Die Arbeiten dauern bis Mittwoch,
260089.99999999997	262720	2630	weil der ganze Damm unterschwemmt ist.
262810	266320	3510	Wir haben sehr nasses Material, das zuerst abgetragen werden muss
266410	269800	3390	und dann etappenweise sauber wieder aufgebaut werden muss.
269890	271880	1990	Das braucht so viel Zeit.
272000	274200	2200	Gegen Mittag hat der Gemeindepräsident seine Schadenstour
274350	276800	2450	für heute abgeschlossen.
276930	279640	2710	Insgesamt denke ich, wir werden es stemmen können
279820	283760	3940	zusammen mit der Unterstützung, die wir den Leuten bieten können.
283930	287360	3430	Ich bin froh, beruhigt sich das Wetter
287450	290480	3030	und dass es nun doch noch
290670	293280	2610	einen schöneren Sommer oder Vorsommer gibt.
293360	295520	2160	Die Gemeinde rechnet mit Millionenschäden.
297260	299480	2220	Neben dem Kanton Bern
299760	303080	3320	ist auch die Ostschweiz stark von den Unwettern betroffen
303250	305600	2350	Verschiedene Keller in Gachnang wurden überflutet
305740	308160	2420	und mussten von der Feuerwehr ausgepumpt werden.
308230	309440	1210	Jetzt geht es ans Aufräumen.
311340	314360	3020	Die Bewohner dieses Mehrfamilienhauses in Kefikon
314570	316800	2230	hatten heute Morgen alle das gleiche Los:
316980	320480	3500	aufräumen und putzen ihrer Garagen und Keller.
320670	323920	3250	Vieles konnten sie nicht mehr vor dem Wasser retten
324050	327080	3030	und mussten es wegwerfen.
327220	331000	3780	Nicht nur Haushaltsgeräte sondern auch Familienerbstücke.
331280	336880	5600	Ich hatte ein Möbel meiner Urururgrossmutter.
336970	340200	3230	Es tut weh, ja.
340330	343840.00000000006	3510	Und Fotoalben? Ja, von den Kindern.
344050	347680	3630	Ich ging in die Waschküche runter und kehrte sogleich wieder um,
347840.00000000006	351000	3160	weil ich sah, dass es keinen Sinn mehr hatte.
351140	354210	3070	Wir wollten das Auto rausziehen, aber es stand schon halb im Wasser.
354409.99999999994	358409.99999999994	4000	Wir konnten nur noch zuschauen, wie das Wasser kam.
358580	363650	5070	Die Anwohner wurden in der Nacht auf Sonntag von der Feuerwehr geweckt.
363840	368250	4410	Sie pumpte die überfluteten Keller aus und versuchte,
368330	372170	3840	das Wasser auf den Strassen um Gachnang in den Griff zu bekommen.
372370	379890	7520	60 Meldungen gingen in der Notruf- zentrale des Kantons Thurgau ein.
380170	383930	3760	Personen kamen hier zum Glück keine zu Schaden.
384050	387210	3160	Aber das Wasser zerstörte Vieles.
387380	390130	2750	Die Höhe des Schadens der Einzelnen klären die Versicherungen.
391540	394610	3070	Das Aufräumen geht weiter, aber immerhin bei besserem Wetter.
394770	398409.99999999994	3640	Nach dem heutigen Regen kommt morgen der Sommer zurück.
400110	402650	2540	Hinter einem edlen Tropfen Wein steckt viel Arbeit.
402810	405010	2200	Aber Schädlinge und Krankheiten
405090.00000000006	407120	2030	sind jedes Jahr eine Bedrohung für die Reben.
407200	409040	1840	Deswegen arbeiten die meisten Winzer
