start	end	duration	text
1670	3330	1660	.
3480	14410	10930	1:1-Untertitelung
14560	17810	3250	Guten Abend und herzlich willkommen zur Sendung.
17960	21050	3090	Diese Themen sind heute Donnerstag in der Schweiz aktuell:
22140	26570	4430	Primarschüler sollen nur noch eine Fremdsprache lernen müssen,
26790	29730	2940	fordert eine Initiative im Kanton Graubünden.
29810	32450.000000000004	2640	Die Regierung möchte sie für ungültig erklären,
32549.999999999996	34690	2140	da sie verfassungswidrig sei.
35730	39090	3360	In Riehen/BS wohnen gemäss neuesten Zahlen
39250	42810	3560	so viele Menschen im Pensionsalter wie nirgends sonst in der Schweiz.
42970	46250	3280	Deshalb braucht es neue Pflegeplätze und Angebote für Senioren.
47850	51090	3240	Immer mehr Touristen aus Asien oder den Golfstaaten
51210	53690	2480	besuchen das Berner Oberland.
53930	56450	2520	Hotel- und Restaurantangestellte lernen im Workshops,
56570	59170	2600	wie sie am besten mit ihnen umgehen.
61530	63770	2240	Eine Suspendierung forderten Walliser Politiker,
63930	65410	1480	oder gar eine Entlassung.
65560	67530	1970	Nun ist es für den Chefbeamten
67610	69850	2240	nur ein schriftlicher Verweis in der Steueraffäre.
70030	72330	2300	Das ist das Ergebnis einer Disziplinaruntersuchung,
72480	74650	2170	die die Walliser Kantonsregierung in Auftrag gab.
74910	78570	3660	Es geht um einen der Chefbeamten des Staatsrats Oskar Freysinger,
78650	80370	1720	um Jean-Marie Cleusix,
80570	82730	2160	den Dienstchef des Walliser Schulwesens.
82810	86010	3200	Seine Wohngemeinde Leytron fordert von Cleusix
86020	88650	2630	78'000 Fr. Steuern zurück,
88770	90770	2000	die Forderung ist allerdings verjährt.
90970	93729.99999999999	2760	Im Kantonsparlament führte das zu heftigen Diskussionen.
93880	97410	3530	Nun scheint Jean-Marie Cleusix aber glimpflich davonzukommen.
98780	100729.99999999999	1950	Die Disziplinaruntersuchung
101009.99999999999	103170	2160	wurde vom Freiburger Experten Luke Gillon gemacht.
103420	105490.00000000001	2070	Er kam zum Schluss, dass Jean-Marie Cleusix
105710.00000000001	108930	3220	private und berufliche Angelegenheiten vermischte.
109090	112410	3320	Hinter der ganzen Geschichte steckt ein privater Steuerstreit
112490.00000000001	119009.99999999999	6520	von Jean-Marie Cleusix mit der Gemeinde Leytron.
119110	122690	3580	Als SVP-Staatsrat Oskar Freysinger
122840	126210	3370	Jean-Marie Cleusix zum Dienstchef machte,
126400	129169.99999999999	2770	platzte der Gemeinde Leytron der Kragen.
129330.00000000001	132330	3000	Sie informierte die Öffentlichkeit über den Steuerstreit.
132480	134850	2370	Weil Jean-Marie Cleusix wissen wollte,
135000	137370	2370	was die Gemeinde genau über ihn erzählt,
137600	141250	3650	schickte er eine Praktikantin seines Amtes an den Informationsanlass.
141410	146730	5320	Darum wurde gegen ihn eine Disziplinaruntersuchung eingeleitet.
146820	151730	4910	Ein schriftlicher Verweis folgt aus der ganzen Sache. Das ist alles?
151930	154490	2560	Ja, das ist alles, aber das darf man natürlich nicht unterschätzen.
154710	156930	2220	Ein schriftlicher Verweis ist eine letzte Verwarnung.
157090	159970	2880	D.h., wenn nochmals Vorfälle stattfinden,
160000	161970	1970	bei denen man sagen muss:
162190	164090	1900	"""Er hat seine Dienstpflichten nicht erfüllt"","
164370	166610	2240	"oder: ""Da hat er nicht die nötige Zurückhaltung"
166829.99999999997	169970	3140	"an den Tag gelegt"", dann kann, wenn das nochmals passiert,"
170100	172970	2870	wirklich eine schwerere Sanktion getroffen werden.
174410	176490	2080	Ruth Seeholzer berichtete aus dem Wallis.
177870	181210	3340	Bei einer Abstimmung im Kanton Nidwalden kassierten die Gegner
181430	183890	2460	des Französischen an der Primarschule im März eine Abfuhr.
184030	188090	4060	Nun läuft eine ähnliche Diskussion im 3-sprachigen Kanton Graubünden.
