start	end	duration	text
1840	6640	4800	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6720	9520	2800	Guten Abend, meine Damen und Herren.
9720	11960	2240	"Hier ist die ""Tagesschau"" und das sind die Themen heute Sonntag:"
12910	16800	3890	Im Tessin sterben bei einem Erdrutsch 2 Menschen.
17640	23080	5440	Die G20-Regierungschefs verabschieden einen Aktionsplan.
24360	29480	5120	Seit 50 Jahren hat die Sendung im Schulzimmer ihren Platz.
31750	38410	6660	Guns-N'-Roses-Gitarrist Slash rockt Basel.
41250	44890	3640	Im Norden mit leichtem Föhn noch länger trocken.
47240	49330	2090	Seit Tagen, seit 2 Wochen,
49380	51770	2390	regnet es im Tessin fast ununterbrochen.
52000	55090	3090	Ein Unwetter mit zerstörerischer Kraft.
55230	57530	2300	Wie zerstörerisch zeigte sich in der Nacht auf heute erneut.
57760	61530	3770	2 Menschen kamen in den Trümmern ihres Hauses ums Leben,
61620	63060	1440	als die Erde ins Rutschen kam.
63270	66340	3070	In der Ortschaft Davesco-Soragno in der Nähe von Lugano.
66490	70900	4410	Erdmassen stürzten auf ein 3-stöckiges Wohnhaus
71000	73740	2740	und verschütteten auch die Kantonsstrasse.
73890	76140	2250	Damit sind im Tessin seit Ausbruch der Unwetter
76310	78620	2310	bereits 4 Menschen ums Leben gekommen.
79900	82820	2920	Der Erdrutsch ereignete sich gegen 2.30 Uhr morgens.
82950	86740	3790	Das 3-stöckige Gebäude, in dem sich 3 Wohnungen und Firmenbüros befanden,
86940	91020	4080	wurde durch die Erdmassen komplett zerstört.
91260	95740.00000000001	4480	Zum Zeitpunkt des Unglücks befanden sich 6 Personen im Haus.
95890	99539.99999999999	3650	2 Frauen konnten nur noch tot aus den Trümmern geborgen werden.
99759.99999999999	102900	3140	Ein Mann wurde mit schweren Verletzungen ins Spital gebracht.
103020.00000000001	105060	2040	Er schwebt in Lebensgefahr.
105160	108539.99999999999	3380	Die Behörden vermuten, dass das Unglück
108720	112860	4140	auf eine durch den Regen instabil gewordene Mauer zurückzuführen ist.
112960.00000000001	114539.99999999999	1580	Diese ist eingestürzt
114800	117780	2980	und hat zusätzlich Schlamm und Geröll mit sich gerissen.
117950	121380	3430	Im Fall von Davesco spielte die Stützmauer hinter dem Haus
121540	124740	3200	eine zentrale Rolle - welche genau ist noch unklar.
125000	128100	3100	Darum müssen jetzt verschiedene Aspekte untersucht werden,
128310	136180	7870	wie z.B. die Statik der Mauer, ihre Konstruktion und all diese Sachen.
136329.99999999997	138940	2610	Aufgrund der offenen Fragen um die Unfallursache
139060	142620	3560	hat die Tessiner Staatsanwaltschaft eine Untersuchung eingeleitet.
142840	146340	3500	Klar ist: Das Gebäude stand nicht in der Gefahrenzone.
146490	152100	5610	Der Kanton hat die Pläne zu diesen gefährlichen Zonen veröffentlicht,
152200	160380	8180	und da, wo das Gebäude war, war keine gefährliche Zone.
160640	164140	3500	Entwarnung können die Experten noch nicht geben.
164250	166660	2410	In den Hauptniederschlagsgebieten im Tessin
166880	168780	1900	seien weiterhin Erdrutsche möglich.
168940	172300	3360	Die Kantonsstrasse bleibt voraussichtlich bis Montag gesperrt.
173610	176100	2490	Der tödliche Erdrutsch im Tessin passierte mitten in der Nacht,
176300	177340	1040	überraschte alle.
177550	181180	3630	Das Haus stand nicht an einem Ort, wo man mit Erdrutschen rechnen musste.
181350	184740	3390	Daniel Schäfer, was genau muss man jetzt noch abklären?
184940	187900	2960	Offensichtlich ist ja die eingestürzte Mauer schuld.
188000	195260	7260	Wir untertiteln live:
195390	195820	430	Das ist so.
195980	197980	2000	Die Mauer ist offenbar die Ursache.
200060	202780	2720	Das hat mir der beauftragte Geologe noch einmal bestätigt.
204040	206140	2100	Man weiss aber nicht, wozu die Mauer da war.
208030	210340	2310	Was sie da, um Platz für das Gebäude zu schaffen?
211079.99999999997	213020	1940	War sie als Schutz gedacht?
219290	221500	2210	Dieser Erdrutsch hat mit Menschenhand zu tun.
223230	225140	1910	Im Gegensatz zum Erdrutsch Anfang Woche.
229329.99999999997	232060	2730	Dort ist man sicher, dass einfach der Hang abgerutscht ist.
232170.00000000003	234140	1970	Ein Naturereignis.
235920.00000000003	238100	2180	Hier hat aber offenbar der Mensch mitgeholfen.
238220	240100	1880	Man muss die Verantwortlichkeit klären.
240840	244020	3180	4 Tote innerhalb kurzer Zeit, und das Wetter bleibt schlecht. Wie
244150	247260	3110	gross ist die Verunsicherung, die Angst der Tessiner Bevölkerung?
256390	259420.00000000003	3030	Anfang Woche war es vor allem Trauer um die Mutter und ihr Kind.
259540.00000000003	261500	1960	Jetzt wieder Opfer.
261600.00000000003	263460	1860	Jetzt kommt eine weitere Dimension dazu.
263560	265540	1980	Was kommt als nächstes?
269680	271540	1860	Morgen ist wieder Regen angesagt.
275050	277140	2090	Die beiden sehen haben Höchststände erreicht.
279080	281380	2300	Es soll noch weiter viel Regen und Schnee kommen.
282960	284220	1260	Und spürt die Anspannung.
284260	286659.99999999994	2400	Es ist ein gutes Gefühl.
289130	290980	1850	Ein Mittel gegen die Angst vor Naturgefahren
291070	292700	1630	sind die sog. Gefahrenkarten.
292870	295100	2230	Alle Kantone müssen gefährdete Zonen ausfindig machen
295190	296940	1750	und auf einer Karte verzeichnen.
297060	299460	2400	Die Unglücksstelle von heute Nacht war aber, wie bereits erwähnt,
299590.00000000006	301220	1630	nicht in einem gefährdeten Gebiet.
301440	302940	1500	Da stellt sich natürlich die Frage
303160	305260	2100	nach der Verlässlichkeit solcher Gefahrenkarten.
306240	308020	1780	Rot heisst Gefahr.
308130	311540	3410	Tausende kleinste Gebiete in der ganzen Schweiz
311740	314780	3040	sind auf der Gefahrenkarte verzeichnet,
314880	316140	1260	aufgeschlüsselt nach verschiedenen Gefahren
316480	318740	2260	wie Lawinen, Hochwasser, Steinschlägen oder eben Erdrutschen.
318930	321140	2210	Für Arthur Sandri vom Bundesamt für Umwelt
321270	324700	3430	sind die Karten ein unverzichtbares Instrument zur Gefahrenprävention.
324870	330220	5350	Einerseits gibt sie den Baubehörden Auskunft darüber,
330430	335020	4590	welche Gebiete sich nicht für die Bebauung eignen,
335120	338700	3580	und in welchen Gebiete mit schwacher oder mittlerer Gefährdung
338830	343100	4270	die Bauten mit speziellen Auflagen
343200	347820	4620	naturgefahrentauglich gemacht werden sollten.
348040	351940	3900	Andererseits dient sie den Behörden bei erhöhter Gefahr dazu,
352120	355140	3020	zu entscheiden, welche Strassen und Gebiete
355310	358060	2750	gesperrt oder evakuiert werden sollten.
358159.99999999994	360340	2180	Immer wieder forderten Erdrutsche
360520	363060	2540	in den vergangenen Jahren Tote und Verletzte.
363230	365700	2470	An Gefahrenkarten wurde intensiv gearbeitet.
365880	368540	2660	Ziel ist es, die verschiedenen Naturgefahren zu erkennen,
368760	373100	4340	in die Gefahrenkarten aufzunehmen und raumplanerisch umzusetzen.
373310	375820	2510	D.h., keine Häuser in gefährdeten Zonen.
375990	380820	4830	Doch wie schwierig diese Arbeit ist, zeigt die Statistik.
380950	385260	4310	Am besten umgesetzt sind die Gefahrenkarten für Lawinen.
385480	388260	2780	84 % der Fläche der Schweiz sind kartiert
388430	391460	3030	und die gefährdeten Gebiete entsprechend geschützt.
391550	394380	2830	Bei Hochwasser sind nur noch 53 %
394560	398380	3820	und bei Erdrutschen gar nur 48 % der Fläche kartiert
398550	402380	3830	und in den Bau- und Zonenordnungen berücksichtigt.
402480	405700	3220	Gefahrenkarten - den Kantonen steht im Spannungsfeld
405810	410220	4410	von Sicherheit und wirtschaftlichen Interessen noch viel Arbeit bevor.
412710	415860	3150	Dauerregen gab es am Wochenende auch in Norditalien.
415990	418460	2470	Auch dort wurden 2 Menschen getötet,
418630	420820	2190	als ihr Haus von einem Erdrutsch erfasst wurde.
421040	423820	2780	Und in Mailand gab es in der Nacht auf heute
423950	427300	3350	vielerorts kein Vorwärtskommen mehr.
427450	431060	3610	Dutzende Strassen wurden überschwemmt und mussten gesperrt werden,
431250	433700	2450	ebenso U-Bahn- und Zugstationen.
433850	437100	3250	Auch die Stromversorgung war während Stunden unterbrochen.
437170	440300	3130	Inzwischen hat sich die Situation wieder etwas beruhigt.
440480	444900	4420	Im Stadion San Siro kann das Fussball-EM-Qualifikationsspiel
445130	448060	2930	zwischen Italien und Kroatien stattfinden.
449420	451060	1640	"""Wir wollen wachsen."""
451250	454420	3170	Mit diesem Bekenntnis ist der G20- Gipfel in Brisbane zu Ende gegangen.
454590.00000000006	457460	2870	Ein gemeinsamer Aktionsplan sieht zusätzliches Wirtschaftswachstum vor
457550	459820	2270	und Millionen neuer Jobs.
459909.99999999994	462900	2990	Darin - im Wirtschaftlichen -
463000	466900	3900	sind sich die Staats- und Regierungschefs einig.
467050	470300	3250	Politisch tanzt einer aus der Reihe: Russlands Präsident Putin.
470430	472740	2310	Demonstrativ verliess er den Gipfel früher,
472880	475220	2340	mit der Begründung, er müsse am Montag wieder arbeiten.
476750	479540	2790	Mein Flug nach Moskau dauert 18 Std.
479760	481940	2180	Dann muss ich nach Hause und am Montag wieder zurück zur Arbeit.
482060	486740	4680	Zuvor braucht man 4-5 Std. Schlaf.
486840	488900	2060	Ein Abgang, der zeigt:
489130	491100	1970	Der 2-tägige Gipfel hat nicht zu einer Annährung
491270	494300	3030	zwischen Russland und den westlichen Staaten geführt.
494390	498540	4150	Erfolge konnten die Regierungschefs
498760	503620	4860	bei einigen offiziellen Traktanden des G20-Gipfels verzeichnen.
503720	505860	2140	Sie schnürten ein grosses Wachstumspaket,
505980	510300	4320	das v.a. mehr Investitionen vorsieht.
510400	514220	3820	Dieser Aktionsplan sieht 800 Massnahmen vor.
514330.00000000006	516500	2170	Wenn wir diese umsetzen wie besprochen,
516669.99999999994	519380	2710	sollte das ein Wirtschaftswachstum ergeben,
519549.99999999994	523260	3710	das um 2,1 Prozentpunkte höher ist, als es sonst wäre.
523429.99999999994	527940	4510	Klare Abmachungen verabschiedeten die G20-Staaten
528080	530420	2340	im Kampf gegen Steuerflucht, Scheinfirmen
530550	533340	2790	"und das sog. ""Too big to fail""-Problem."
533600	536940	3340	Die systemrelevanten Banken seien nun weltweit reguliert.
537100	539940	2840	Nie wieder wird es notwendig sein,
540110	542180	2070	dass Steuerzahler dafür eintreten müssen,
542350	544220	1870	dass grosse Banken zusammenbrechen
544340	546820	2480	und dann praktisch ein er- presserisches Potenzial entwickeln,
546980	549620	2640	und die Steuerzahler diese Banken retten müssen.
549840	554420	4580	Kritiker monieren, dass Themen wie Armutsbekämpfung zu kurz kamen.
554550	558740	4190	Auch in Umweltfragen gab es trotz Tuchfühlung mit den Koalas
558840	561740	2900	wenig konkrete Abmachungen.
561930	565500	3570	Bezeichnend das Erinnerungsfoto mit allen Teilnehmern:
565600	567860	2260	Putin steht ganz am Rand.
567960	572140	4180	Es zeigt, welche Probleme auf ihren Traktandenlisten
