start	end	duration	text
260	9830	9570	.
9940	13910	3970	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14060	16470	2410	Einen schönen, guten Abend. Das ist heute in der Schweiz aktuell:
19310	23390	4080	In Kilchberg am Zürichsee wehren sich Einwohner mit allen Mitteln
23610	26670	3060	gegen die Abschiebung einer Familie aus Tschetschenien.
26890	29910	3020	In zwei Wochen müssten die Flüchtlinge das Land verlassen.
32020.000000000004	36830	4810	Die schweizweit grösste Industriebra- che in Luterbach wird wiederbelebt.
36890	39430	2540	Der Kanton Solothurn konnte einen Weltkonzern anlocken,
39550	42670	3120	der 400 neue Arbeitsplätze bringt.
45290	46590	1300	Immer mehr Hirsche
46690	48950	2260	richten in den Bündner Wäldern immer mehr Schaden an.
49120	52950	3830	Darum gibt die Regierung nun 5'000 zum Abschuss frei -
53080	55150	2070	zur Freude der Jäger.
57070	58390	1320	Zuerst aber zu diesem Thema,
58590	61110	2520	das heute wohl niemanden kaltgelassen hat:
61210	64910	3700	Es hatte heute bis zu 33 °C, und die Temperaturen klettern weiter.
65060	68470	3410	Am Freitag sind sogar bis zu 38 °C angekündigt.
68690	71950	3260	Am meisten dürfte die Westschweiz unter der Hitze ächzen,
72100	76230	4130	darum hat Genf als erster Kanton Hitzealarm ausgelöst.
78520	79910	1390	Ein bisschen Sonnenschein,
80080	82990	2910	und schon sieht es an der Baby-Plage im Genfer Seebecken aus
83110	84430	1320	wie in Rimini.
84670	86910	2240	Alles drängt ans und in das Wasser, dabei ist das nur der Anfang.
87020	89310	2290	Das Hoch Annelie sorgt dafür,
89440	91830	2390	dass das Quecksilber weiter und weiter klettert.
92009.99999999999	95270.00000000001	3260	Noch sieht der Genfer Kantonsarzt der Masse amüsiert zu,
95340	97550	2210	die da im eigenen Saft schmort.
99729.99999999999	102910	3180	Es sind nicht diese Leute, die mir Sorgen machen,
102979.99999999999	107750	4770	sondern eher die ganz Kleinen, die Neugeborenen, und die Betagten.
107880	109350	1470	Denn wir wissen,
109560	112670	3110	dass die älteren Leute immer weniger merken, wenn sie Durst haben.
112890	116830	3940	Sie haben eine Tendenz zu dehydrieren.
116979.99999999999	119470	2490	Nicht jeder erträgt die Hitze gleich gut,
119630	122030	2400	und so hat der Kantonsarzt heute Hitzealarm ausgelöst
122250	125670	3420	und allen über 75-Jährigen offeriert, sich auf einer Liste einzutragen.
125810	129830.00000000001	4020	Die Sozialdienste von Stadt und Gemeinde
129949.99999999999	134310	4360	rufen die Betagten während der Hitzeperiode einmal täglich an.
134530	140320	5790	Erhalten sie keine Antwort, gehen die Gemeindedienste nachschauen.
140570	144730	4160	Aber jeder hat seinen eigenen Plan canicule,
144860	147490	2630	sein eigenes Rezept, mit der Hitze umzugehen.
149320	151370	2050	Man muss sich eincremen, viel trinken
151600	153329.99999999997	1730	und sich etwas über die Schultern legen,
153530	154890	1360	damit man sich nicht verbrennt.
154980	156890	1910	An der Sonne ist es unglaublich heiss.
157079.99999999997	159010	1930	Ich habe es nur ein paar Minuten ausgehalten.
159150	161250	2100	Im Schatten ist es viel besser.
161400	163090	1690	Mit der Hitzeperiode,
163240	166090	2850	die noch bis mindestens nächsten Dienstag anhalten soll,
166240	169530	3290	suchen dann wohl noch mehr Leute ein wenig Abkühlung.
171070	172570	1500	Eine Flüchtlingsfamilie aus Tschetschenien
172700	174370	1670	bittet in der Schweiz um Asyl,
174570	176650	2080	aber die Behörden lehnen ihr Gesuch ab.
176730	178450	1720	Die Familie muss bald ausreisen.
178600	180130	1530	In Kilchberg am Zürichsee,
180330	182090	1760	wo die Flüchtlinge seit über drei Jahren leben,
182270	184530	2260	regt sich aber Widerstand gegen die Abschiebung.
184730	186930	2200	Im letzten Moment engagiert sich eine Gruppe aus dem Dorf
187080	189810	2730	für die sechsköpfige Familie aus Tschetschenien,
189940	192730	2790	die das Land schon in zwei Wochen verlassen müsste.
193960	197730	3770	Abendessen bei Flüchtlingsfamilie M. in Kilchberg.
197870	203210	5340	Mit Markha, Linda, der Mutter und dem dreijährigen Mansur
203260	205850	2590	ist die Familie nicht komplett.
205910	208370	2460	Der Älteste ist im Schullager und der Platz des Vaters ist leer,
208570	211610	3040	weil er in einer Klinik ist.
211770	214410	2640	Als vor zwei Wochen der definitive Wegweisungsentscheid kam,
214490	216010	1520	brach er zusammen.
216190	218610	2420	Er muss seither psychiatrisch betreut werden.
218810	221290	2480	Die Schweiz verlassen zu müssen, gibt auch den Kindern zu denken.
221420.00000000003	224930	3510	"Ich dachte einfach: ""Wie kann das nur sein?"""
225079.99999999997	228290	3210	Ich bin schon lange hier und will nicht weggehen.
228370	230970	2600	Meine Freundinnen sind auch hier,
231120	235250	4130	und ich will meine Freundinnen nicht im Stich lassen.
235420.00000000003	237010	1590	Die Mutter sagt, sie seien aus Tschetschenien geflohen,
237180	240370	3190	weil der Vater verhaftet und gefoltert worden sei.
240600	244250	3650	Das Regime sehe ihn als Helfer der Widerstandskämpfer.
244390	247650	3260	Diese Begründung hat das Bundesverwaltungsgericht
247850	250690	2840	als nicht glaubhaft taxiert und abgewiesen.
265060	268530	3470	Für die Mutter, die anonym bleiben will, ist die Abweisung schlimm.
268610	272250	3640	Wenn wir nach Tschetschenien zurückgehen müssen,
272320	275409.99999999994	3090	habe ich grosse Angst um meinen Mann, aber auch um meine Kinder.
275530	277010	1480	Sie wollen hierbleiben.
277180	280770	3590	Ich weiss nicht, wie ich ihnen alles erklären soll.
287100	289130	2030	Markhas und Lindas Schulkolleginnen
289340.00000000006	291090.00000000006	1750	können den Wegweisungsentscheid nicht verstehen.
291290	293250	1960	Ich fände es traurig, wenn sie gehen müsste,
293310	295170	1860	weil sie eine gute Freundin ist.
295330	299970	4640	Ich kenne sie jetzt schon seit vier Jahren.
300220	303370	3150	Sie ist nett und ihre ganze Familie ist auch nett.
303550	306290	2740	Wir haben, ich weiss nicht mehr genau, wann,
306490	310890	4400	ein Foto gemacht, um den Leuten, die sagen, Linda müsse gehen,
310930	316160	5230	zu sagen, dass Linda bleiben darf.
316300	317800	1500	Schon vor einem Jahr hiess es,
317960	320760	2800	Markha und Linda müssten die Schweiz gleich verlassen.
320850	323720	2870	Das beschäftigte Thomas Böhms Klasse.
325630	327880	2250	Es war so, dass Linda zur Schule kam,
328010	332640	4630	natürlich ziemlich aufgewühlt, und erzählte, sie müsste abreisen.
332730	336640	3910	Wir verstanden erst nicht genau, was los war.
336760	338560	1800	Nachforschungen ergaben,
338750	341360	2610	dass sie nach Tschetschenien hätte ausreisen müssen.
341460	343280	1820	Das wühlte die Klasse so sehr auf,
343490	345930	2440	dass sich alle für Linda einsetzen wollten.
346020	348530	2510	Sie schrieben einen Brief, den wir dann abschickten.
348690	351530	2840	Der Brief an die Asylbehörden bewirkte damals nichts,
351730	354650	2920	doch die Eltern der Mitschüler wurden hellhörig.
354820	357330	2510	Nach dem neusten negativen Asylentscheid
357409.99999999994	359409.99999999994	2000	wollen sie mit allen Mitteln verhindern,
