start	end	duration	text
1810	2070	260	.
2210	5710	3500	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6660	8950	2290	"Das ist die ""Tagesschau""-Hauptausgab vom 7. Januar."
9110	11190	2080	Guten Abend, meine Damen und Herren, ich begrüsse Sie.
12850	17070	4220	Der Basler Regierungsrat Carlo Conti tritt zurück.
19020	23910	4890	Der ehemalige UBS-Topbanker steht in den USA vor Gericht.
25780	29990	4210	Nordamerika und Europa leiden weiter unter Wetterextremen.
32570	36830	4260	Überraschende Begegnung der Kulturen im KKL in Luzern.
39100	43950	4850	Am Morgen vereinzelt Regen, tagsüber wieder sonnige Phasen.
45370	46950	1580	Die Gesundheit ist sein Kernthema,
47050	50230	3180	seine Rechnungsführung aber krankt ganz offensichtlich.
50320	53470	3150	Der baselstädtische Gesundheitsdirektor Carlo Conti
53620	55390	1770	tritt deshalb auf den Sommer hin zurück.
55570	58790	3220	Es seien Fehler gemacht worden, bei der Abrechnung von Referaten,
58970	61150	2180	das gibt Conti vor den Medien zu.
61340	64430.00000000001	3090	Und diese Fehler können in einer Zahl zusammengefasst werden
64530	67030	2500	Es geht um 111'000 Fr.
69289.99999999999	73110	3820	Ich entschuldige mich bei der Bevölkerung für diese Fehle
73240	74990	1750	in aller Form.
75130	78670	3540	Ich übernehme für diese Fehler auch die Verantwortung.
78870	84710.00000000001	5840	Ich habe mich rein persönlich, für mich ganz persönlich, entschieden,
84850	88310	3460	meine bald 14-jährige Tätigkeit als Regierungsrat
88400	91950	3550	auf diesen Sommer hin zu beenden.
92090	95670	3580	Es ist ein abruptes, unschönes Ende einer steilen Politkarriere.
95890	97789.99999999999	1900	Der erfahrene CVP-Mann und Anwalt,
97970	101150	3180	seit 2 Jahren Präsident der Gesundheitsdirektorenkonferenz,
101259.99999999999	103110	1850	zieht die Konsequenzen aus einer Reihe
103370	108430	5060	unterlassener oder falscher Abrechnungen von Nebeneinkünften.
108530	112190	3660	Ich werfe mir vor, dass ich nicht schon viel früher,
112300	116990.00000000001	4690	viel sorgfältiger mich in diesen Bereichen darum gekümmert habe.
