start	end	duration	text
1060	6300	5240	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6430	8580	2150	Guten Abend, meine Damen und Herren,
8800	11900	3100	"das ist die ""Tagesschau""-Hauptausgabe vom 21. Januar, ich begrüsse Sie."
13820	16260.000000000002	2440	Mit dem Ceneri-Basistunnel
16420	19140	2720	ist der letzte grosse Durchschlag der NEAT geschafft.
20760	25700	4940	Ein vermutetes Stillhalteabkommen zwischen der Schweiz und der PLO
25880	28020	2140	vor über 40 Jahren sorgt für Kritik.
30110	35220	5110	US-Aussenminister Kerry würdigt die guten Dienste der Schweiz.
36630	39860	3230	Ein möglicher neunter Planet in unserem Sonnensystem
39960	42780	2820	bringt Astrophysiker ins Träumen.
44550	48020	3470	Darüber scheint häufig die Sonne.
49960	52380	2420	Nun ist es also fast vollbracht,
52520	56460	3940	das Werk an der Neuen Alpentrans- versale NEAT durch den Gotthard.
56560	61860	5300	Zwei der drei geplanten Basistunnels stehen mehr oder weniger.
62000	65980	3980	Und auch im dritten, im Monte Ceneri, gab es heute einen riesigen Knall.
66200	71539.99999999999	5340	* Knall *
77039.99999999999	79340	2300	Kaum hat sich der Staub der Explosion verzogen,
79500	82980	3480	stürmen die Mineure mit der Heiligen Barbara über die letzte Hürde.
83140	84900	1760	Es ist geschafft.
85150	87539.99999999999	2390	Zum ersten Mal ist der Ceneri- Basistunnel durchstochen.
87640	91420	3780	Mit diesem Basistunnel wird die Neue Alpentransversale NEAT komplettiert.
92910	95340	2430	Der Gotthard-Basistunnel ist bereits fertig erstellt
95539.99999999999	98700	3160	und kann mit Testzügen befahren werden.
98860	103020.00000000001	4160	Der Ceneri-Basistunnel erstreckt sich zwischen Bellinzona und Lugano.
103170	106580	3410	Mit ihm wird die fast steigungsfreie Durchquerung der Alpen
106720	109020.00000000001	2300	auf der Gotthardachse möglich.
109150	111380	2230	Der erste Zweck des Ceneri ist,
111550	114140	2590	die Flachbahn durch die Alpen zu ermöglichen.
114330	117539.99999999999	3210	Der zweite mit der Bretella fördert die Beziehung,
117690	121300	3610	die Direktbeziehung zwischen Locarno und Lugano,
121470	124100	2630	die es bis jetzt noch nicht gegeben hat.
124290	126260	1970	Und natürlich auch die Fahrtzeitverkürzung
126360	128060	1700	zwischen Bellinzona und Lugano.
128220	131980	3760	Trotz Einsprachen, die den Ausbau am Ceneri um über ein Jahr verzögerten,
132240	134700	2460	heisst es also: Weg frei für den - flachen -
134850	137620	2770	alpenquerenden Bahnverkehr durch die Schweiz.
137720	140180	2460	Und nun soll es auch in Italien richtig losgehen
140320	142220	1900	mit den längst fälligen Anschlussbauten.
142440	144340	1900	Die Verzögerung der Bauarbeiten in Italien
144430	146020	1590	sorgte in den vergangenen Jahren
146270	150380	4110	wiederholt für Spannungen zwischen dem Tessin und der Lombardei.
150480	153260	2780	Die Vorbereitungen laufen.
153360	155220	1860	Italien hat zugesichert,
155400	157380	1980	dass die Chiasso-Linie bis 2018 ausgebaut ist.
157480	159620	2140	Die Kredite wurden gesprochen.
159720	162620	2900	Und in der Luino-Linie soll im April dieses Jahres
162750	164540	1790	mit den Arbeiten begonnen werden.
164800	166980	2180	Falls auch in der Schweiz alles klappt,
167200	171980	4780	könnte der Ceneri-Basistunnnel spätestens Ende 2020 eröffnet werden.
173540	175620	2080	Darf man mit Terroristen verhandeln?
175720	178020	2300	Diese Frage stellt sich, nachdem bekannt wurde,
178230	181020	2790	dass der damalige Bundesrat Pierre Graber vor 45 Jahren
181220	184780	3560	mit der Palästinensischen Befreiungsorganisation PLO -
184980	187740	2760	damals eine terroristische Organisation -
187960	191020	3060	ein sog. Stillhalteabkommen geschlossen hat.
191110	194740	3630	"Das zumindest schreibt ""NZZ""- Journalist Marcel Gyr in seinem Buch,"
194880	196660	1780	das heute erschienen ist.
196800	201140	4340	Mit Terroristen zu verhandeln, sei grundsätzlich der falsche Weg,
201170.00000000003	203140	1970	sagen Kritiker.
203230	206360	3130	Doch stimmt das wirklich? Dieser Frage ist Joel Baumann nachgegangen.
207780	210680	2900	Vor 45 Jahren: Aussenminister Pierre Graber
210840	212840	2000	verkündete nach langen Verhandlungen vor Medien
213000	214840	1840	die Freilassung von Schweizer Geiseln.
214970	216680	1710	Was niemand wusste:
216860	219480	2620	Offenbar steckte ein Stillhalte- abkommen mit der PLO dahinter.
219570	222560	2990	Davon wussten nicht mal Grabers Bundesratskollegen.
222720	224680	1960	Verhandlungen mit Terroristen, und erst noch geheim:
224790	227960	3170	"""Gut gemacht"", sagt die ehemalige Aussenministerin Calmy-Rey."
228160	233280	5120	Das war wirklich wichtig, dass er ...
233500	237079.99999999997	3580	Es war wirklich mutig von ihm, diesen Entscheid zu treffen -
