start	end	duration	text
2720	4690	1970	.
4680	13010	8330	1:1-Untertitelung
16050	19170	3120	(Männerstimme im Off) Meine Damen und Herren,
19160	23490	4330	Viktor Giacobbo und Mike Müller. * Applaus *
23470	30490	7020	Grüezi mitenand. - Hallo.
30460	38170	7710	Dankeschön für den schönen, spontanen Applaus. - Merci.
38160	41170	3010	Und aus Appenzell Ausserrhoden: Dani Ziegler.
41130	44570	3440	* Dynamische Bassklänge *
46700	52770	6070	Heute fangen wir ausnahmsweise mit einer Gratulation an.
52750	56490	3740	21 Jahre nach Vreni Schneider wurde heute endlich wieder einmal
56480	59530	3050	eine Schweizerin Gesamtweltcupsiegerin.
59520	64890	5370	Wir gratulieren ganz herzlich: Lara Gut.
70760	73690	2930	Wir gratulieren, haben aber eine kleine Bitte an Lara Gut:
73680	77410	3730	Bitte nie anfangen zu singen! - Ja.
78820	82890	4070	Gut, dann passierte letzte Woche etwas Unschönes.
82880	88570	5690	Es gab nämlich Gewaltausbrüche um die berühmte Reitschule in Bern.
88560	91530	2970	Das Gute daran ist: Man hat herausgefunden,
91520	94650	3130	dass es für einmal keinen islamistischen Hintergrund gibt.
94640	97890	3250	Ach was. - Doch? - Männer, die auf dem Dach stehen
97850	102250	4400	und Steine auf die Polizisten werfen. Das ist eine klassische Steinigung.
102240.00000000001	105890	3650	Und es waren alles Männer - der IS, klare Sache.
105880	109009.99999999999	3130	Nein, der IS ist das nicht. Das ist nicht der Islamistische Staat,
109000	111770.00000000001	2770	wenn schon ist es der Autonome Staat, also AS,
111729.99999999999	114570	2840	wenn man das so zusammenfügen will. - Gut.
114560	117130	2570	Die Autonomen haben aber nicht nur gesteinigt,
117110	120890	3780	sondern einen Zaun gebaut
120850	125970	5120	und eine Barrikade gegen die von aussen errichtet.
125960	128130	2170	Eigentlich machen sie nicht viel anderes als die SVP,
128090	130009.99999999999	1920	einfach am falschen Ort.
130000	134730	4730	Sie möchten dies einfach im grösseren Umfeld um die Reitschule.
134720	138930	4210	Dann sind die Bullen einfach in die Reitschule rein.
138910	142770	3860	Bullen und Reitschule. Tierkonform ist das nicht.
142760	146170.00000000003	3410	Ja, auch nicht unbedingt. - Nein, echt nicht.
146160	148410	2250	Die Politik reagierte umgehend
148390	152530	4140	und stellte die Subventionen für die Reitschule ein.
152520	155130	2610	Das wird die Reitschule bis ins Mark treffen.
155090	158329.99999999997	3240	Denn jetzt können sie sich keine Steine mehr leisten.
158320	162050	3730	Eine Reitschule ist kein Ponyhof.
162040	166490	4450	Wobei die Stadtregierung schärfer hätte reagieren können.
166470	171250	4780	Wenn sie z.B. die Reitschule, wie man sie heute kennt,
171230	175010	3780	in einer Nacht-und-Nebel-Aktion renoviert hätten.
175000	178970	3970	Und zwar eine Luxusrenovation.
178960	182610	3650	In ein solches Spiesserhaus traut sich kein Autonomer.
182590	186330	3740	Aber ich habe vernommen, dass die Bürgerlichen noch andere Pläne haben
186310	188210	1900	mit der Reitschule.
188180	190330	2150	Im Sous-sol wollen sie eine Parkgarage,
190310	194730	4420	in der Mitte einen Bürokomplex und darauf eine Emmentaler Schaukäserei.
194700	198250	3550	Schön. - Doch nun weg vom aggressiven Bern.
198240	202170.00000000003	3930	Kommen wir zurück ins feministisch-religiöse Zürich!
202160	205250	3090	Letzten Dienstag war Tag der Frau.
205230	209650	4420	Man sah am Grossmünster ein grosses Transparent mit der Aufschrift:
209620	213130	3510	"""Gott ist eine Frau."""
213090	217250	4160	Ich finde das eine sexistische Aktion, muss ich schon sagen.
217240	220810	3570	Nur, weil die Frauen diese Leintücher waschen müssen,
220780	224329.99999999997	3550	muss man doch dort kein Leintuch hinhängen.
224320	227329.99999999997	3010	Und wenn schon sexistisch,
227290	230570	3280	hätte man das symbolisch besser darstellen können.
230550	234130	3580	Also wirklich, etwas bessere Ideen sind da schon gefragt.
234120	237250	3130	Aber: Es hat natürlich etwas Gutes.
237230	240810	3580	Was passiert, wenn Gott eine Frau ist?
240800	246010	5210	Frauen arbeiten für 20 % weniger Lohn,
246000	248850	2850	d.h. dass die Kirchensteuer vermutlich zurückgehen wird.
248830	252500	3670	Und wahrscheinlich müsste man dann die ganze Bibel neu interpretieren.
252490	255460	2970	Und zwar von Anfang an - Adam und Eva.
