start	end	duration	text
1500	3320	1820	.
16820	19200	2380	MIT TELETEXT-UNTERTITELUNG
20060	22360	2300	Lautes Dröhnen von Flugzeugmotoren
29410	32119.999999999996	2710	Du gehst selbstverständlich voraus! Ja, ja.
34290	36560	2270	Ich komme an Bord. Hallo, Grüezi!
36710	38360	1650	So, dürfen wir ... Guten Morgen!
38540	39720	1180	Dürfen wir hierhin, wo es mehr Platz hat?
40780	43120	2340	Hätte man Ihnen vor 30 Jahren gesagt,
43320	47480	4160	Sie würden einmal mit dem Privatjet herumfliegen - was hätten Sie gesagt?
47700	51920	4220	Also sicher ... Das ist jetzt eine spekulative Frage.
53000	54720	1720	Ich habe gar nicht von so etwas geträumt.
55980	60200	4220	Das war nie mein Traum, in einem Flieger zu sitzen,
60340	64879.99999999999	4540	und ein Geschäft anzugehen. Das war kein Traum, in dem Sinn.
64970	67200	2230	Das ist ein Werkzeug, das ich habe.
67380	69760	2380	Um 16 Uhr muss ich wieder zurück sein.
71980	74810	2830	Wie schafft man es von ganz unten nach ganz oben?
75030	77610	2580	Und was macht man, wenn man oben angekommen ist?
77740	79730	1990	Davon handelt dieser Film.
81380	83370	1990	Pulsierende Bassklänge
92940	95530	2590	Guido Fluri will ins Modegeschäft einsteigen
95620	98890	3270	und Pasito, eine Ladenkette in Schieflage, übernehmen.
99070	99770.00000000001	700	Verhandelt wird in Hamburg.
103580	107250	3670	Ein Geschäft ist immer ein Risiko - dessen muss man sich bewusst sein.
107330	108930	1600	Sonst wäre es kein Geschäft.
109110	111650	2540	Es ist wie das Leben: Das ist auch ein Risiko.
111860	114729.99999999999	2870	Sonst wären Sie tot. Grundsätzlich gehört das dazu.
114940	117890	2950	Die Risiken sauber abzuwägen - das ist wichtig.
118120	120650	2530	Das ist mein Teil: die Risiken sauber abzuwägen,
120890	123170	2280	eine gewisse Endkontrolle festlegen zu können.
123300	126490	3190	Schauen Sie, hier hats einen Unfall gegeben. Potzdonner!
126580	129770.00000000001	3190	Sind Sie risikofreudig ...  Nein! ... oder eher der vorsichtige Typ?
