start	end	duration	text
3900	5260	1360	.
5460	10900	5440	1:1-Untertitelung. Livepassagen können Fehler enthalten.
25980	28700	2720	Die EU streitet weiter über die Umplatzierung syrischer Flüchtlinge
28810	30740	1930	aus der Türkei.
31910	33940	2030	Die Schweizer Bevölkerung wächst nicht mehr so stark
34090	35780	1690	wie in den Vorjahren.
37050	41900	4850	Die USA und die Golfstaaten wollen im Kampf gegen den IS enger kooperieren.
45900	49700	3800	Queen Elizabeth II. feiert ihren 90. Geburtstag.
51640	55660	4020	Nur noch vereinzelt sonnig, gebietsweise Regen.
62710	65540	2830	Es kommen tatsächlich weniger Flüchtlinge nach Griechenland.
65820	68539.99999999999	2720	Doch die EU hält ihren Teil der Abmachung nur bedingt ein:
68640	71060	2420	Bei Weitem nicht alle EU-Länder zeigen sich bereit,
71300	73700	2400	Flüchtlinge aus der Türkei aufzunehmen.
73870	76180	2310	Auch beim heutigen Treffen der EU-Innenminister
76340	78380	2040	konnte man sich nicht einigen:
79660	82460.00000000001	2800	Welches Land übernimmt wie viele Flüchtlinge aus der Türkei?
82580	84940	2360	Wer macht konkrete Zusagen?
85140	87780	2640	Den ganzen Tag wurden diese und weitere Fragen verhandelt.
87890	89900	2010	Der grosse Durchbruch blieb aber aus.
90120	93460.00000000001	3340	Dabei würde die Zeit eigentlich drängen.
94820	97660	2840	Wenn wir unseren Teil der Abmachung nicht halten,
97800	100020.00000000001	2220	werden die Flüchtlingszahlen wieder hochgehen.
100140	102300	2160	Wir müssen jetzt schnell liefern.
102460.00000000001	105259.99999999999	2800	Alle Länder müssen jetzt Flüchtlinge aus der Türkei
105479.99999999999	107700	2220	nach dem 1:1-Modus aufnehmen.
107880	110060	2180	Denn das sieht der Deal eigentlich vor.
110220	113180	2960	Alle Flüchtlinge, die von der Türkei nach Griechenland fliehen,
113320	115460.00000000001	2140	soll die Türkei wieder zurücknehmen.
115700	117740.00000000001	2040	Und für jeden Syrer, den die Türkei zurücknimmt,
118020.00000000001	121860	3840	übernimmt die EU im Gegenzug einen Syrer aus der Türkei.
122050	125980	3930	Die Umsetzung geht aber nur schleppend voran.
126160	130220	4060	Bislang wurden gut 300 Flüchtlinge in die Türkei gebracht,
130500	133860	3360	aber nur rund 100 Syrer in Europa aufgenommen.
134030	137780	3750	Auch die Schweiz hat zugesagt, syrische Flüchtlinge aufzunehmen.
137910	140180	2270	Konkrete Zahlen gibt es nicht.
140280	144020	3740	Zu viele Fragen sind offen, sagt die Justizministerin.
144300	147180	2880	Wir wollen zuerst sehen, wie das überhaupt funktioniert.
147420.00000000003	149500	2080	Die rechtlichen Fragen,
149700	152300	2600	gerade auch die Einhaltung der Genfer Flüchtlingskonventionen,
152430	154380	1950	sind für uns sehr wichtig.
154579.99999999997	156980	2400	Da braucht es viel mehr Informationen,
157170.00000000003	161060	3890	bevor wir in der Schweiz überhaupt über diese Frage diskutieren.
161300	164140	2840	Während die EU weiter nach einer Einigung sucht,
164280	168380	4100	stecken Zehntausende Flüchtlinge in Lagern wie diesem auf Lesbos fest.
168470	172340	3870	Der Türkei-Deal wird auch deshalb von Nicht-Regierungs-Organisationen
172420.00000000003	175060	2640	scharf kritisiert.
176810	178820	2010	Auch heute blieb also offen, wer in der EU
179010	181580	2570	wie viele syrische Flüchtlinge aus der Türkei aufnehmen soll.
181780	185340	3560	Sebastian Ramspeck, was heisst das nun für den EU-Türkei-Deal?
185460	188420	2960	Wir untertiteln live:
189750	191980	2230	Es heisst, dass die EU nach wie vor nicht genau weiss,
192180	194620	2440	wie sie ihren Teil des Deals erfüllen wird,
194830	197660	2830	wie sie ihr Versprechen gegenüber der Türkei einhalten kann.
197790	199540	1750	Und es ist klar:
199720	201740	2020	Die Türkei wird sicher nicht bereit sein,
201920.00000000003	205260	3340	einfach so Tausende Flüchtlinge und Migranten aus Griechenland
205410	209460	4050	zurückzunehmen, ohne dass sich im Gegenzug die EU,
209620	214020	4400	Europa erkenntlich zeigt und die Türkei entlastet.
214160	215940	1780	Denn vergessen wir nicht:
216220	219220	3000	Die Türkei hat bereits jetzt mehr als 2,7 Mio. Syrer aufgenommen,
219400	224900	5500	die Türkei trägt bereits jetzt eine sehr viel grössere Last als die EU.
226630	227020	390	?
226980	230660	3680	Wenn die EU der Türkei nicht entge- genkommt, droht der Deal zu platzen?
233540	235780	2240	Ja, das halte ich für möglich.
236870	242780	5910	Diese Möglichkeit besteht.
245660	248940	3280	Das ist im Bereich des möglichen, dass dieser Deal schon bald platzt.
249220	252620	3400	Aber die Europäische Union hat ein grosses Interesse daran,
252900	258700	5800	dass der Deal weiterhin funktioniert.
259850.00000000003	263140	3290	Die Zahl der Bootsflüchtlinge, die nach Griechenland gekommen sind,
263280	269100	5820	sind massiv zurückgegangen.
275530	277180	1650	Die Abschreckung hat funktioniert.
277440	279940	2500	Man will die Kontingente bereitstellen, damit der die
280070	282980	2910	weiterhin funktionieren kann.
282940	285700	2760	Die Bevölkerung in der Schweiz wächst weiter, allerdings etwas langsamer:
285980	288220	2240	Die neusten Zahlen des Bundesamts für Statistik
288400	291740	3340	weisen einen Bevölkerungszuwachs von 1,1 % im vergangenen Jahr aus.
291820	293940	2120	Was so viel heisst:
294210	297659.99999999994	3450	Die Schweizer Wohnbevölkerung umfasst nun 8'325'200 Einwohner.
299420	301740	2320	Die wichtigsten Gründe für den Zuwachs
301910	303620	1710	sind der Geburtenüberschuss und die Migration.
303810	307140	3330	Die ausländische Bevölkerung hat im vergangenen Jahr um 2,5 % zugenommen
307380	309700	2320	und erstmals die 2-Mio.-Grenze überschritten.
309900	314220	4320	Damit sind 24,6 % der ständigen Wohnbevölkerung
314360	317220	2860	ausländische Staatsangehörige.
317410	320100	2690	Allerdings hat sich das Wachstum leicht abgeschwächt.
320270	323060	2790	Von Trendwende könne man darum nicht reden,
323200	325460	2260	meint Soziologe Franz Schultheis.
325640	328900	3260	Und: Er sieht in der Migration einen Vorteil für die Schweiz.
329140	332659.99999999994	3520	Die Zuwanderung bringt der Schweiz eine jüngere Bevölkerung -
332850	335700	2850	sie ist im Durchschnitt um sieben Jahre jünger als die heimische.
335980	338900	2920	Es hat enorme Vorteile für den Arbeitsmarkt,
338990	342380	3390	in dem Arbeitskräfte gesucht werden und auch für die Rentensicherung.
342659.99999999994	345500	2840	Auffallend sind die kantonalen Unterschiede.
345700	348220	2520	Zwar hat die Bevölkerung fast überall zugenommen,
348409.99999999994	352659.99999999994	4250	aber klar den grössten Zuwachs verzeichnen Zug und Genf.
352860	356740	3880	Es gibt eine starke Zuwanderung aus dem Ausland
356860	359300	2440	in genau diese Gebiete hinein,
359400	362300	2900	in denen sehr grosse multinationale Unternehmen ihren Sitz haben.
