start	end	duration	text
3760	5770	2010	.
14960	17250	2290	MIT TELETEXT-UNTERTITELUNG
20070	20890	820	Sambamusik
25270	29610	4340	Das grösste Spektakel der Welt, der Karneval von Rio de Janeiro.
31600	34610	3010	12 Sambaschulen kämpfen um den Titel.
36720	38810	2090	Eine besingt die Schweiz
38950	42850	3900	und bereitet sich in den frühen Morgenstunden auf die Parade vor.
43980	47530	3550	Mittendrin 4 Original-Fahnenschwinger aus dem Alpenland.
49290	50890	1600	Monate der Vorbereitung liegen zurück.
54480	56330	1850	Jetzt muss jeder Griff sitzen.
58290	60250	1960	Denn die Show beginnt.
61490	63330	1840	Rhythmische Klänge
84550	87920	3370	Wochen vor dem Umzug ist es ruhig auf dem Fabrikgelände.
88070	91880	3810	Hier bereiten sich die Sambaschulen auf ihren Auftritt vor.
93310	95920	2610	Eine Gruppe deutscher Touristen, auf der Suche nach einem Vorgeschmack
98050	101560	3510	auf den weltberühmten Karneval, erlebt eine Überraschung:
101660	103600	1940	Sie spricht portugiesisch.
104500	107600	3100	Das Thema dieses Jahr ist die Schweiz.
108500	111039.99999999999	2540	Und jetzt schneit es schon in den Tropen.
115630	119560	3930	In der Fabrikhalle, verborgen vor den Blicken der Konkurrenz,
119710.00000000001	123280	3570	bekommen geheimnisvolle Geschöpfe furchterregende Konturen.
123450	125920	2470	Damit hofft die Sambaschule Unidos da Tijuca auf einen erneuten Sieg.
127550	131560	4010	3-mal hat sie in den letzten Jahren die Karnevalsparade gewonnen.
139960	140920.00000000003	960	Sieht geil aus, ganz ganz toll.
143700	147440	3740	Die Besucher erfahren, dass der Karneval von Rio de Janeiro
147620	152400	4780	eine Industrie ist, die das ganze Jahr Hunderte von Leuten beschäftigt.
156690	159760	3070	Aber dann stellt sich den Touristen doch die Frage:
159920.00000000003	162360	2440	Was um Himmels Willen hat der Karneval von Rio
162480	164520	2040	mit der Schweiz zu tun?
168950	170960	2010	Nun, was denken Sie, wie kommt das Thema Schweiz bei den Leuten an?
177770	183040	5270	Die Regisseure der Sambaschule geben sich zuversichtlich.
183150	185120	1970	Sie spricht portugiesisch.
187190	192160	4970	Er meint, überraschenderweise komme es sehr gut an.
192310	196680	4370	Und heute gibt es sogar schon einen Swiss-Samba,
196800	199400	2600	einen Samba für die Schweiz.
199760	201000	1240	Swiss-Samba nennt sich die Marketingaktion,
202700	206760	4060	mit der die Schweiz die Herzen der Brasilianer gewinnen will.
206910	210120	3210	4 Monate vor Beginn des Karnevals kürt die Sambaschule
210270	214640	4370	in einem Wettbewerb das Lied, das am schönsten die Schweiz besingt.
215340	216000	660	Sambamusik
225579.99999999997	228120	2540	Ohne ein Sambalied zum Thema
228270	231000	2730	haben die Leute nichts zu singen und nichts zu zeigen.
231900	233800	1900	Das ist die Magie des Sambas.
233930	235920.00000000003	1990	Und zusammen mit den Trommeln
236030	239040	3010	bildet das Lied die Seele des ganzen Spektakels.
239190	241920	2730	Leicht dissonanter Gesang auf Portugiesisch
249420	253110	3690	Das Bild, das ich von der Schweiz habe,
253230	255990	2760	ist das beste, das man haben kann.
256149.99999999997	260670.00000000003	4520	Ein Land mit einer hohen Lebens- qualität, ein wunderbares Volk,
260839.99999999997	260990	150	ein grosser kulinarischer Reichtum mit vielen Spezialitäten,
265150	268680	3530	natürlich die berühmte Schokolade.
268950	273480	4530	Und die berühmten Banken, bei denen die Politiker ihr Geld verstecken?
274470	276040	1570	Das würde den Blick auf die Schweiz zu sehr einschränken.
279430	284120	4690	Unglücklicherweise bedeutet eine Bank für uns Brasilianer
284230	286720	2490	nicht Qualität.
286870	291000	4130	Wir können eine Bank nicht mit Qualität in Verbindung bringen.
293030	296760	3730	Die Auswahl des Liedes ist ein erster wichtiger Anlass
296920	299320	2400	in der Agenda einer jeden Sambaschule.
300880	304600	3720	Es ist auch eine Gelegenheit, alle Elemente zusammenzurufen,
304720	306000	1280	die zu einer Sambaschule gehören
306950	309800	2850	und die beim grossen Wettbewerb benotet werden.
312020	315560	3540	Die Abteilung der Bahianas - eine Referenz an die Frauen,
315780	319560	3780	die für die Musiker sorgten, als der Samba noch ausschliesslich
319670	321040	1370	eine Angelegenheit der armen, schwarzen Bevölkerung war.
324400	326360	1960	Die Königin der Trommler:
326560	330790	4230	Juliana Alves ist als Telenovela-Star eine nationale Berühmtheit.
330910	332670	1760	Rhythmische Musik
332770	336030	3260	Ganz wichtig das Paar des Zeremonien- meisters und der Bannerträgerin.
338860	341750	2890	Ebenso im Scheinwerferlicht der Ehrengast,
341970	344400	2430	der Schweizer Botschafter Andre Regli.
345480	347760	2280	Rhythmische Musik
347930	351120	3190	Es ist weit nach Mitternacht, als das grosse Lied-Finale beginnt.
352280	356810	4530	Die Konkurrenten um den besten Samba haben ihre Fantrupps mitgebracht,
356970	359650	2680	die mit eigenen Choreografien überraschen.
359760	363650	3890	Und der Sieg geht an den Samba mit dem eingängigsten Refrain.
366570	368890	2320	Rhythmischer Gesang auf Portugiesisch
385440	387450	2010	Borel, das ist die Favela,
387600	390930	3330	in der die Unidos da Tijuca ursprünglich gegründet wurden.
395060	396090.00000000006	1030	Jede Sambaschule ist das ganze Jahr über kulturell und sozial aktiv.
399520	402290	2770	Deshalb besucht auch Botschafter Andre Regli
402510	406370	3860	eine Schule in der Favela, begleitet von der Königin der Trommler.
409970	411090.00000000006	1120	Jubel
413730	416090.00000000006	2360	Schliesslich wünsche ich mir 2 Sachen:
416159.99999999994	421490	5330	Erstens, dass die Unidos da Tijuca im Jahr 2015 wieder Meister werden,
421600	426090	4490	und zweitens, dass nach dem Auftritt der Unidos da Tijuca
426280	431620	5340	alle Menschen im Borel wissen, was die Schweiz ist.
433240	435580	2340	Brasilien ist gross wie ein Kontinent,
435680	439700	4020	und die Hälfte der Bewohner hat keine Ahnung, wo die Schweiz liegt.
444200	449020	4820	Botschafter Regli empfängt auf der Dachterrasse des Konsulats in Rio.
449800	452460	2660	Ich komme aus Andermatt, aus einem Skiort,
452670	456100	3430	und da stand für mich das Skifahren ganz klar im Vordergrund.
457480	462510	5030	Als ich aber 1997-2001 zum ersten Mal in Brasilien war,
