start	end	duration	text
110	1420	1310	.
2110	5220	3110	1:1-Untertitelung
5860	8780	2920	Wir blicken hinter die Schlagzeilen, guten Abend.
9630	11940	2310	Lange war die Landwirtschaft eine heilige Kuh
12540	14030	1490	in der Schweizer Klimapolitik.
14740	16950	2210	Jetzt will der Bundesrat auch den Bauern Vorgaben machen.
17700	20150	2450	Wir zeigen, mit welchen Projekten Sie schon heute
20860	22360	1500	Klimagase reduzieren können.
23110	27160	4050	Derweil wird die Luft in unseren Städten von Diesel-Motoren verpestet,
27900	31160	3260	die weit mehr schädliche NOx-Gase ausstossen als versprochen.
31980	34400	2420	Die Umwelt im Gas-Stress - heute bei uns im Fokus.
34990	35880	890	Es ist 10 vor 10.
37100	41440	4340	Hinweise auf Fehler bei der Flugsicherung in Meiringen.
43790	48320	4530	Die legendären Bergseile werden nun in Tschechien hergestellt,
49110	51640	2530	einzig die Maschinen sind aus der Schweiz.
52690	57680	4990	Das Filmfestival von Venedig erstrahlt in neuem Glanz.
61060	65269.99999999999	4210	Zuerst zum Absturz des F/A-18 diese Woche am Susten.
65990	69350	3360	"Hier hat ""10vor10"" aus gut unterrichteten Quellen erfahren,"
70080	73670	3590	dass es Hinweise auf Kommunikationsprobleme
74450	77310	2860	zwischen der Flugüberwachung und dem Piloten gab.
78020	80760	2740	Offenbar wurde ihm eine falsche Höhenangabe mitgeteilt -
81470	84000	2530	als der Fehler bemerkt wurde, sei es bereits zu spät gewesen.
84820	86400	1580	Der Bericht von Michael Steiner und Daniel Glaus.
87420	90960.00000000001	3540	An dieser Krete zerschellte die F/A-18 am Montagnachmittag.
91660	94600	2940	Die Maschine befand sich noch im Steigflug.
95280	97360	2080	Allerdings viel zu tief,
98180	101200	3020	mehrere Hundert Meter Abstand hätte sie zum Grat haben müssen.
101930	104960.00000000001	3030	Gestartet war die Maschine 4 Min. zuvor in Meiringen,
105710.00000000001	107240.00000000001	1530	zu einem Trainingsflug.
107940	110840	2900	Ohne Probleme hebt der Jet ab, geht in eine leichte Rechtskurve,
111590	114720	3130	dann bestätigt der Pilot über Funk, alles sei in Ordnung.
115460.00000000001	119000	3540	Kurz darauf bricht der Kontakt ab, beim Hinter Tierberg.
119729.99999999999	124160	4430	Flugplatz Meiringen - hier führen erste Hinweise hin,
124810	127360	2550	auf der Suche nach der Absturzursache.
128070	130919.99999999999	2850	"Wie gut informierte Quellen gegenüber ""10vor10"" bestätigen,"
131580	133000	1420	gibt es klare Hinweise,
133830	136000	2170	dass es zwischen der Flugüberwachung in Meiringen
136710	139960	3250	und dem verunglückten Piloten zu Kommunikationsproblemen kam.
