start	end	duration	text
1960	3280	1320	.
3430	7200	3770	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7360	9920	2560	"Die ""Tagesschau"", meine Damen und Herren, guten Abend!"
10040	11840	1800	Heute mit diesen Themen:
13450	17160	3710	Der Nationalrat will das Cassis-de-Dijon-Prinzip
17280	19840	2560	bei Nahrungsmitteln wieder kippen.
21200	25280	4080	Ein Vorstoss von Nationalrätin Markwalder zu Kasachstan
25410	28640	3230	sorgt für Wirbel.
29730	32640	2910	Die SBB will die Prävention verstärken.
34330	37680	3350	Die Schweizer Eishockeyaner verlieren auch gegen Lettland.
38790	42080	3290	Nur ab und zu ein paar Schönwetterwolken.
43440	46960	3520	Es galt als Wunderwaffe gegen die Hochpreisinsel Schweiz -
47070	49040	1970	das sog. Cassis-de-Dijon-Prinzip:
49190	51720	2530	Seit seiner Einführung vor 5 Jahren dürfen Produkte,
51800	53480	1680	die im EU-Raum zugelassen sind,
53580	55960	2380	automatisch auch in der Schweiz verkauft werden.
56050	60080	4030	Davon versprach man sich Milliarden von Einsparungen für die Konsumenten.
60240	63320	3080	Doch jetzt will der Nationalrat bei Lebensmitteln dieses Prinzip
63370	66200	2830	wieder aussetzen - ganz im Sinne der Bauern-Lobby.
66320	68080	1760	Aus Bern, Christoph Nufer:
69220	71800	2580	Ein Duo mit Sprengkraft: Präsident Ritter
71970	75440	3470	und Direktor Bourgeois vom Schweizerischen Bauernverband.
75520	77520	2000	Beide haben jahrelang
77650	81039.99999999999	3390	für die Abschaffung des Cassis-de-Dijon-Prinzips lobbyiert.
81180	86039.99999999999	4860	Ihre eigenen Parteien FDP und CVP sollen heute gegen Cassis stimmen.
86120	89080	2960	Wir haben nun 5 Jahre Erfahrung mit diesem Prinzip.
89220	91080	1860	Es hat keine Wirkung gezeigt.
91240	94960.00000000001	3720	Tatsächlich: In 5 Jahren wurden nur 36 Produkte-Gruppen
95039.99999999999	100560	5520	mit Cassis erleichtert zugelassen: solche Energy-Drinks und Alkoholika.
100640	103440	2800	Klassische Lebensmittel wie Schinken aus Österreich
103530	106920	3390	oder Reibkäse aus Deutschland waren die Ausnahme.
107080	110280	3200	Das Cassis-Prinzip habe keine messbare Preiswirkung,
110410	112720	2310	befand das SECO in einem Bericht.
112880	115479.99999999999	2600	Die Argumente gegen Cassis verfangen bei den Grünen
115590	117160	1570	und bei vielen Bürgerlichen.
117380	120840	3460	Heute müssen wir feststellen, dass es nichts bringt,
120940	123320	2380	dass es sich nicht bewährt hat.
123460	127760	4300	Die Befürworter des Cassis-Prinzips haben einen schweren Stand.
127990	132080	4090	Konsumentinnen und Konsumenten schätzen ein vielfältiges Angebot,
132160	135040	2880	was sich nicht zuletzt daran zeigt, dass Produkte,
135110	138560	3450	die sie nicht in der Schweiz erhalten, die ihnen schmecken,
138680	141810	3130	im nahen Ausland einkaufen.
141950	145490	3540	Mit 109 zu 65 entscheidet der Nationalrat
145710	148410	2700	für die Abschaffung des Cassis-Prinzips.
148570	152420.00000000003	3850	Das Duo Bourgeois/Ritter will jetzt im Ständerat weiter lobbyieren.
154090	156500	2410	In der Politik gibt es Begriffe und Abkürzungen,
156670.00000000003	160300	3630	die mehr oder weniger geläufig sind - weil wir sie immer wieder mal hören:
160450	163020	2570	AHV, LSVA, IV und Ähnliches.
163190	168100	4910	Und dann gibt es Buchstabenabfolgen, die uns gar nichts sagen wie: KAP.
168200	169579.99999999997	1380	Dahinter verbirgt sich
169680	174300	4620	"das ""Konsolidierungs- und Aufgaben- Überprüfungs-Paket"" des Bundes."
174430	176540	2110	KAP tönt vielleicht staubtrocken - enthält aber,
176670.00000000003	180510	3840	wie sich heute im Nationalrat zeigte, so einigen Zündstoff:
181850	183110	1260	Man weiss es:
183280	185390	2110	Die Finanzlage des Bundes ist trüber als auch schon -
185580	188030	2450	Mindereinnahmen bei den Steuern, unsichere Wirtschaftslage.
188200	190150	1950	Und weil die fetten Jahre vorbei sind,
190310	192390	2080	muss der Gürtel eng geschnallt werden.
192520	194230	1710	Da soll eben das KAP helfen.
194420	196590	2170	Sparen! Das ist im Parlament angekommen.
196740	198950	2210	Wir müssen das Rückgrat haben, klar zu sagen,
199060	201870	2810	wo wir wie viel sparen wollen,
202030	205190	3160	auch wenn dabei Teile unserer Wählerschaft betroffen sind.
205360	208110	2750	Es besteht also dringender Handlungsbedarf
208210	211110	2900	bei allen Verwaltungseinheiten.
211190	213910	2720	Es braucht aber noch weitere Massnahmen.
214030	216750	2720	Es ist jetzt wirklich an der Zeit.
216870	218510	1640	Die 3 bürgerlichen Parteien
218750	220870	2120	haben sich im März auf die Eckwerte geeinigt.
221040	226190	5150	Die Ausgaben der Eidgenossenschaft werden 2016 auf 64 Mrd. limitiert.
226390	229550	3160	Es sei völlig daneben, ohne Konzept und konkrete Vorschläge
229650	233310	3660	den Rotstift anzusetzen, protestierte die Linke.
233470	236110	2640	Sparprogramme der öffentlichen Hand im gegenwärtigen Moment
236220	238230	2010	sind Gift für unsere Wirtschaft.
238460	243070	4610	Das wäre also der grösste Stellenabbau aller Zeiten.
243160	246390	3230	Unterstützung für Links gibts von der Finanzministerin -
246620	249990	3370	unseriös sei das, das seien gebundene Ausgaben.
250110	252270	2160	Die können Sie nur kürzen,
252430	255230	2800	wenn Sie ein Dringlichkeitsverfahren anwenden wollen.
255350	258230.00000000003	2880	Ich weiss nicht, ob das sehr sympathisch ist
258430	260870	2440	und in einem Wahljahr wirklich der richtige Weg -
261079.99999999997	263790	2710	aber Sie machen ja alles in einem Wahljahr.
263900	265430	1530	Wahljahr hin oder her -
265520	267910	2390	aus dem bürgerlichen Schulterschluss wurde heute nichts.
268060	270630	2570	Der Rat will keine Ausgabengrenze, und damit bleibt weiterhin unklar,
270800	273470	2670	wo konkret der Rotstift angesetzt werden soll.
274380	278030	3650	Die Beziehungen zwischen der Schweiz und Kasachstan verbessern -
278159.99999999994	280510	2350	darum ging Christa Markwalder eigentlich:
280670	283080	2410	Die Aussenpolitikerin reichte vor 2 Jahren im Parlament
283250	286120	2870	darum eine entsprechende Interpellation ein.
286200	289720	3520	Doch nun kommt die designierte Nationalratspräsidentin Markwalder
289800	293159.99999999994	3360	in Erklärungsnotstand: Eine PR-Firma hatte den Vorstoss
293320	297200	3880	im Rahmen einer Image-Kampagne zugunsten Kasachstans formuliert
297350	301720	4370	"und Lobbyisten dafür bezahlt, wie Recherchen der ""NZZ"" ergeben haben."
301840	303400	1560	Aus Bern, Fritz Reimann:
304640	310200	5560	Bereits heute sitzt Christa Markwalder als Vizepräsidentin
310390	313920	3530	ab und zu auf dem höchsten Stuhl im Saal.
314030	317320	3290	2016 wird sie selbst Nationalratspräsidentin sein.
317430	319560	2130	Deshalb schaut man besonders auf sie.
319760	323200	3440	Doch jetzt gehe man zu weit, sagt sie im Fall Kasachstan.
323400	328200	4800	Den heutigen Medienhype empfinde ich als völlig unverhältnismässig.
328350	331160	2810	Ich habe vor 2 Jahren eine Interpellation eingereicht,
331350	334200	2850	die vom Bundesrat entsprechend beantwortet wurde.
334370	336440	2070	Man kann sie auf dem Internet nachlesen.
336620	339480	2860	"Die ""NZZ"" hat heute einen grossen Artikel lanciert,"
339560	343040	3480	und nun springen alle Medien auf das Thema auf,
343150	346280	3130	und niemand kümmert sich mehr um unsere Debatte im Nationalrat.
346470	349520	3050	Um diesen Vorstoss aus dem Jahr 2013 geht es.
349670	352720	3050	Markwalder wollte vom Bundesrat etwa wissen,
352880	354880	2000	mit welchen Massnahmen die Schweiz Kasachstan
355050	358320	3270	beim Demokratisierungsprozess unterstütze. Ein üblicher Vorstoss.
358480	362640	4160	Doch die Vorbereitung des Papiers durch ein PR-Büro in der Schweiz
