start	end	duration	text
1240	2770	1530	.
3600	7250	3650	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7910	10450	2540	"Guten Abend, meine Damen und Herren - willkommen zur ""Tagesschau""."
11160	12690	1530	Das macht an diesem Montag Schlagzeilen:
14030	20130	6100	Der verhaftete Syrer hatte laut deutschen Behörden Kontakt zum IS.
21480	27490	6010	Inhaltlich brachte die zweite US-Wahldebatte wenig Neues.
28500	31850	3350	Firmenneugründer in der Schweiz
32500	34890	2390	müssen nach wie vor mit hohen Hürden kämpfen.
35930	42010	6080	Der polnische Regisseur Andrzej Wajda stirbt 90-jährig.
43190	49290	6100	Nur im Westen und im Wallis wird es sonniger.
51720	55010	3290	Zwei Tage lang ist er landesweit gejagt worden -
55760	58020	2260	in der Nacht auf heute hat man den flüchtigen Syrer
58710	60340	1630	im ostdeutschen Leipzig gefasst.
61120	64819.99999999999	3700	Kurz vor 1.30 Uhr in der Nacht meldet die sächsische Polizei via Twitter:
65580	67780	2200	"""Wir sind geschafft, aber überglücklich!"""
68450	69660	1210	Tatsächlich hat die Polizei
70380	72620	2240	den mutmasslichen Bombenbauer eigenhändig festgenommen -
73350	76140	2790	behändigt und ihn gewissermassen verhaftungsbereit gemacht,
76880	78300	1420	das haben allerdings andere.
79350	82340	2990	Eine Plattenbausiedlung in Leipzig.
83160	84900	1740	Hinter diesem mit einem Tuch verhüllten Fenster
85700	88380	2680	kam es mitten in der Nacht zum Polizeieinsatz.
89080	92340	3260	Der mutmassliche Bombenbauer sass da schon gefesselt auf dem Sofa.
93160	97140	3980	Stunden zuvor sprach er hier am Bahnhof Leipzig zwei Landsleute an,
97810	100340	2530	fragte, ob er bei ihnen übernachten dürfe.
101090	103460.00000000001	2370	Diese realisierten, wer da bei ihnen Unterschlupf suchte
104160	106580	2420	und riefen die Polizei - nachdem sie den Mann in ihrer Wohnung
107320	109740.00000000001	2420	hier in dieser Siedlung überwältigt hatten.
110500	112940	2440	Die Behörden informierten heute Mittag über ihre ersten Erkenntnisse
113680	117740.00000000001	4060	zu den Plänen des verhafteten Syrers.
118420	120740	2320	Nach diesen Informationen hatte al-Bakr im Internet
121550	124180	2630	Recherchen zur Herstellung von Sprengsätzen durchgeführt
124810	127220	2410	und sich entsprechende Grundstoffe beschafft.
127930	130699.99999999999	2770	Es musste davon ausgegangen werden, dass der Sprengsatz
131430	134540	3110	möglicherweise in Form einer Sprengstoffweste
135260	136820	1560	kurz vor der Fertigstellung steht
137570	140140	2570	oder sogar bereits einsatzbereit ist.
140810	144100	3290	Hier wird der Syrer heute zum Verhör gefahren.
144750	146540	1790	Für die Ermittler ist klar:
147220	148900	1680	Er hatte Verbindungen zum IS -
149630	151820	2190	und auch die Sorte der 1,5 kg Sprengstoff,
152570	156780	4210	die man in seiner Wohnung in Chemnitz fand, ist bekannt.
157490	161020	3530	Diese Art würde dem verwendeten Sprengstoff
161750	164780	3030	bei den Attentaten von Paris und Brüssel entsprechen.
165500	168380	2880	Die Verhaftung heute im 80 km entfernen Leipzig
168960	170180	1220	ist eine Erleichterung.
170960	173579.99999999997	2620	Kanzlerin Merkel liess ausrichten, sie danke den Beamten -
174400	177540	3140	und den Syrern, die ihren Landsmann der Polizei übergeben haben.
178270	180140	1870	Der aktuelle Fall wird politische Konsequenzen haben,
180790	183500	2710	sagt SRF-Korrespondent Adrian Arnold.
184160	186020	1860	Al-Bakr war einer von 520 Gefährdern,
186740	189620	2880	welche hier in Deutschland vom Geheimdienst überwacht werden.
190350	192820	2470	Ein Zugriff auf diese Gefährder ist erst dann möglich,
193640	196100	2460	wenn es konkrete Hinweise auf einen Anschlag gibt.
196800	199420.00000000003	2620	Genau das will der deutsche Innenminister nun ändern.
200200	202340	2140	Mit einem neuen Haftgrund im deutschen Strafrecht -
203040	205020	1980	dem der Gefahr für die öffentliche Sicherheit.
205760	207300	1540	Dadurch könnten Gefährder schon viel früher
208030	209900	1870	und quasi präventiv festgenommen werden.
210579.99999999997	212420.00000000003	1840	Ein politisch umstrittenes Vorhaben.
213160	215780	2620	Nach dem Fall von Chemnitz könnte es aber beste Chancen haben,
216560	217700	1140	umgesetzt zu werden.
218890	223300	4410	Mit der russisch-türkischen Eiszeit ist es endgültig vorbei.
224010	226940	2930	Das hat der russische Präsident Wladimir Putin anlässlich des Besuchs
227680	231820	4140	bei seinem Amtskollegen Recep Tayyip Erdogan in der Türkei klar gemacht.
232560	234940	2380	Am Weltenergiekongress in Istanbul haben die beiden verkündet,
235590	238100	2510	dass ihre wirtschaftliche Zusammenarbeit im Energiesektor
238770	240380	1610	neu angekurbelt wird:
241200	243700	2500	mit einer Pipeline und dem Bau eines Atomkraftwerks.
