start	end	duration	text
840	4690	3850	1:1-Untertitelung. Livepassagen können Fehler enthalten.
5900	8690	2790	"Guten Abend, meine Damen und Herren - willkommen zur ""Tagesschau""."
8850	10770	1920	Das macht an diesem Montag Schlagzeilen:
11980	15770	3790	Solar Impulse 2 meistert die erste Etappe der Weltumrundung.
15930	21770	5840	Bunderätin Leuthard sieht sich trotz wuchtigem Abstimmungs-Nein auf Kurs.
23680	27490	3810	Griechenland könnte schon bald das Geld ausgehen.
28960	34370	5410	Der Weltradsportverband hat Lance Armstrong jahrelang gedeckt.
36200	39290	3090	Am Nachmittag aus Nordwesten immer mehr Wolken.
40730	43610	2880	Eine Etappe ist geschafft, 11 hat es noch vor sich.
43760	48210	4450	Das Experimentalflugzeug Solar Impulse ist heute vor gut 2 Std.
48460	52050	3590	in Maskat im Oman auf der Arabischen Halbinsel gelandet.
52280	56130	3850	Was aussieht wie eine Pizzeria- Beleuchtung im Landeanflug,
56280	60410	4130	ist Solar Impulse 2. Ein Wunder der Technik - ohne Tank.
60550	63930	3380	Rund 13 Std. war der Solarflieger in der Luft.
64090	66170	2080	Die Landung auf dem gesperrten Flughafen
66260	68450	2190	verläuft ohne Zwischenfälle.
68650	71850	3200	Gestartet ist Solar Impulse heute früh in Abu Dhabi -
71980	73730	1750	nach diversen Verschiebungen.
74910	77170	2260	Good morning! Good morning!
77300	81289.99999999999	3990	Um 4 Uhr morgens trifft Pilot Andre Borschberg im Hangar ein -
81380	83170	1790	in bester Stimmung.
83340	85410	2070	Sehr gut, sehr gut.
85620	88730	3110	Endlich sind wir hier für die erste Etappe.
88840	91650	2810	Das ist sehr spannend.
91740	95810	4070	Journalistenteams aus der ganzen Welt dokumentieren die letzten Schritte
95910	101930	6020	vor dem historischen Start zur Weltumrundung in einem Solarflugzeug.
102070	104530	2460	Noch lange vor Tagesanbruch
104700	110410	5710	wird Solar Impulse 2 ein letztes Mal aus dem Hangar in Abu Dhabi geschoben
110620	116009.99999999999	5390	und auf dem Vorfeld für den bevorstehenden Flug präpariert.
116200	120770	4570	Ein Flug, der nach Maskat im Nachbarland Oman führt.
120870	122570	1700	Und dann ist es so weit.
122780	128050.00000000001	5270	Um 7.15 Uhr morgens hebt Solar Impulse 2 ab.
128169.99999999999	133850	5680	Jubel
133980	136090	2110	Die Weltumrundung hat begonnen.
136250	140850	4600	Aus der enormen Anspannung der letzten Wochen und Monate
141020	147770	6750	wird überwältigende Freude über den geglückten Start.
147900	150860	2960	Bertrand Piccard, wie war dieser Moment?
151000	158820	7820	Stress bis zum letzten Moment.
159060	163100	4040	Es gab noch ein Problem mit der Elektronik im Cockpit.
163180	165730	2550	Wir mussten dieses im letzten Moment noch reparieren.
165870	169180	3310	Aber jetzt ist das Flugzeug in der Luft,
169290	173140	3850	Andre ist unterwegs nach Oman.
173340	177500	4160	Wenn alles gut geht, fliege ich morgen nach Indien.
177610	180220	2610	Und dann um die Welt.
180400	184620	4220	Um die Welt - angetrieben nur von Sonnenenergie.
184750	186900	2150	In 5 Monaten soll die Reise enden,
187070	189940	2870	wieder an selber Stelle, in Abu Dhabi.
193410	195420	2010	Jetzt ist Solar Impulse 2 wieder am Boden.
195620	198900	3280	440 km Luftlinie von Abu Dhabi entfernt.
199070	202740	3670	Michael Weinmann in Abu Dhabi, ist also alles planmässig gelaufen?
202760	211300	8540	Wir untertiteln live:
211380	213820	2440	Das kann man so sagen.
213930	218820	4890	Der Flug war ein Erfolg.
218960	219900	940	Er führte zum Ziel.
219990	225380	5390	Es gab aber eine Schrecksekunde,
225540	228700	3160	zu Beginn des heutigen Tages, Bertram Piccard hat es angesprochen.
228820	232700	3880	Wir wissen auch, was es war.
232850	238780	5930	Es war ein Gerät, das Strom in eine tiefere Spannung
241200	245300	4100	umwandelt, und ohne dieses Gerät wären viele nicht gelaufen.
245480	251380	5900	Zum Beispiel die elektrische Fussheizung.
253160	256100.00000000003	2940	Wenn man bedenkt, dass bis zu -20 Grad gemessen werden da oben,
256279.99999999997	259380	3100	kann man sich vorstellen,
259459.99999999997	261779.99999999997	2320	dass der Staat so nicht hätte erfolgen können.
261959.99999999997	265540	3580	So richtig Zeit zum Feiern der ersten Etappe bleibt ja nicht: Morgen gehts
265650	267420	1770	gleich weiter.
267530	273420	5890	Tatsächlich.
276050	279220	3170	Bertram Piccard übernimmt morgen für den 2. Abschnitt nach Indien.
279370	283500	4130	Auch das ist aber ein relativ kurzer Flug.
283659.99999999994	286740	3080	Richtig spannend wird es erst bei der Überquerung des Pazifiks,
286840.00000000006	291940	5100	beim Flug nach China.
292090.00000000006	297340.00000000006	5250	Da werden die Piloten 5 Tage und Nächte am Stück
297500	299420	1920	ohne Zwischenhalt im Flugzeug verbringen.
299530	301100	1570	Sie werden kaum schlafen können.
301250	303140	1890	Das wird eine riesige Herausforderung.
303260	303660	400	Vielen Dank.
308750	310500	1750	92 % Nein: Der Totalschaden,
310660	312980	2320	den die Energiesteuer-Initiative gestern an der Urne erlitten hat,
313080	314940	1860	ist nicht nur für die Initianten
315180	317100	1920	von der Grünliberalen Partei unerfreulich.
317300	319980	2680	Umgehend sind bürgerliche Rufe laut geworden,
320100	323340	3240	die vom Nationalrat festgelegte Energiestrategie sei falsch,
323540	325660	2120	man müsse sie rückgängig machen.
325810	328220	2410	Was sagt Energieministerin Doris Leuthard dazu?
328460	330740	2280	Bundeshausredaktor Urs Wiedmer hat sie befragt.
332060	333700	1640	Nach dem gestrigen Abstimmungssonntag
333860	336460	2600	kommt von allen Seiten Druck auf die Energiestrategie.
