start	end	duration	text
1860	2760	900	.
10340	12320	1980	MIT TELETEXT-UNTERTITELUNG
15190	17480	2290	Liebe Zuschauerinnen und Zuschauer.
17580	19560	1980	Was für ein Fussballabend!
19710	21840	2130	Was für ein packendes Spiel, was für eine Stimmung, welche Emotionen!
23700	27760	4060	Heute ist das Champions League Final, bald fängt die Fussball-EM an -
27930	30800	2870	es stehen also viele emotionale Events an für Fans.
30990	33000	2010	Fussball- oder Eishockeyspiele,
33150	36870	3720	Olympische Spiele wie diesen Sommer wieder, Sportereignisse allgemein:
37180	39320	2140	Das sind Dramen, Emotionen pur eben!
39490	41680	2190	Und darum hört man das Wort da auch oft.
41860	43720	1860	Aber nicht nur im Sport.
43990	46760	2770	In der Welt der bewegten Bilder kommt nur noch durch,
46950	48880	1930	was stark emotional besetzt ist.
49030	50960	1930	Da wir mit Reizen überflutet werden,
51110	51880	770	muss das immer stärker betont und inszeniert werden.
54000	56520	2520	In der Werbung spricht man Emotionen gezielt an,
56630	59560	2930	um eine gefühlsmässige Bindung an eine Marke aufzubauen.
59760	62560	2800	Sogar Waschmittel oder Müesli müssen Emotionen wecken!
63390	66840	3450	All das führt dazu, dass wir auf Emotionen konditioniert sind.
67150	70520	3370	Wir bekommen den Eindruck, dass unser Leben nur in Ordnung ist,
70670	73240	2570	wenn es dauernd von einem Kick zum nächsten geht.
73360	75600	2240	Die Freizeitindustrie ist darauf ausgerichtet.
75710.00000000001	78480	2770	Nichts ist schlimmer als ein langweiliges Wochenende.
78590	80440	1850	Wir brauchen den emotionalen Kick,
80670	81880	1210	um nicht sofort in Ödnis und Leere abzurutschen.
83310	86520	3210	Eigentlich ein enormer Stress, fast eine Art Hysterie,
86710.00000000001	89320	2610	die sich an diesen medial gepushten Vorstellungen
89490	92240.00000000001	2750	von einem bunten, dauernd aufregenden Leben bildet.
92400	96000	3600	Auch unsere Erwartungen an religiöse Erfahrung sind davon geprägt.
96160	96880	720	Charismatische Gottesdienste, die vollgestopft sind mit Showeffekten,
100150	103240.00000000001	3090	lösen die gleichen Schwingungen aus wie Fussballstadien,
103430	106400	2970	die reinigende, kathartische Kraft der starken Gefühle
106539.99999999999	109200	2660	wird mit religiöser Erfahrung an sich gleichgesetzt
109430	111880	2450	und ist am Ende manchmal wichtiger als die Inhalte.
112920	115920	3000	Aber was tue ich, wenn ich Gott nicht ständig spüre,
116020.00000000001	118000	1980	wenn ich mich nicht
118170	121680	3510	an den elektrischen Stromkreis der Seligkeit angeschlossen fühle?
121790	124640	2850	Johannes vom Kreuz, ein spanischer Karmelitermönch,
124790	126880	2090	war einer der grossen christlichen Mystiker.
127830	131680	3850	Er setzte sich mit der Gottferne auseinander, die er selbst erlebte,
131830	135320	3490	"und schrieb darüber ein Werk mit dem Titel ""Die dunkle Nacht""."
135550	138920.00000000003	3370	Vor 450 Jahren, aber von mir aus gesehen brandaktuell.
139090	141920.00000000003	2830	Er sagt, dass ein Mensch, der sich Gott zuwendet,
142310	144360	2050	bedürftig ist wie ein Säugling.
144490	146440	1950	Er möchte, dass sein Durst gestillt
146590	149040	2450	und seine religiöse Sehnsucht befriedigt wird.
149270	152840	3570	Kleinkinder werden aber irgendwann abgestillt und lernen,
153000	156200	3200	dass Bedürfnisse nicht immer gleich befriedigt werden können,
156380	156920.00000000003	540	wenn man schreit. Sie lernen, mit Durststrecken klarzukommen.
159780	162200	2420	Im Glauben kann es auch Durststrecken geben,
162270	166120	3850	und Johannes sagt, dass das nötig ist, um eben auch reifen zu können,
166230	168200	1970	genau wie beim Abstillen.
168360	171800	3440	Solche Durstrecken können Zweifel sein, Einsamkeit, Anfechtungen,
171980	173880	1900	sogar dunkle Nacht.
174150	177520	3370	Wenn wir im Glauben nur permanent gute Gefühle suchen,
177620	179800	2180	instrumentalisieren wir dann Gott
179940	183360	3420	nicht einfach zum Befriedigen unserer emotionalen Bedürfnisse?
183500	186880	3380	Machen wir einen Glücksbringer aus ihm, ein Wellness-Angebot?
187200	191040	3840	Was ist mit echter Beziehung, mit dem Aushalten von Höhen und Tiefen?
191950	194040	2090	Johannes vom Kreuz hat es durchgehalten,
194220	196880	2660	er ist seinen Weg durch die dunkle Nacht gegangen,
197020	200720	3700	ohne seinen Glauben aufzugeben und wurde schliesslich weitergeführt
200920.00000000003	201920.00000000003	1000	zu einer reiferen, tieferen Gemeinschaft mit Gott,
203680	205640	1960	die er vorher nicht kannte.
205770	207720	1950	Das kann jenen Mut machen,
207890	210360	2470	die in ihrem Leben gerade kein Licht sehen können.
210510	214040	3530	Gottvertrauen kann einen Lebensanker setzen, der weit tiefer greift
214150	216320	2170	als die Fixierung auf emotionale Höhepunkte.
216540	216920.00000000003	380	Eintauchen ins Meer, statt an der Oberfläche auf den Wellen zu treiben.
221270	223800	2530	Ich wünsche Ihnen einen schönen Sonntag.
226630	229560	2930	SWISS TXT / UT-Redaktion Zürich Liz Lei - 2016
