start	end	duration	text
1490	2430	940	.
2560	4510	1950	1:1-Untertitelung
4640	8910	4270	Guten Abend, meine Damen und Herren.
9020	12280	3260	"Hier ist die ""Tagesschau"", und das sind die Themen heute Sonntag:"
13300	18560	5260	Die irakische Armee erobert die Stadt Ramadi zurück.
20450	24640	4190	In Chicago werden zwei Personen erschossen.
26480	28600	2120	Eine Internetplattform
28760	32640	3880	bringt Menschen über die Festtage an einen Tisch.
34370	40760	6390	Schweizer Jugendliche mit und ohne Behinderung gemeinsam auf der Piste.
42360	47160	4800	Es bleibt sonnig, im Flachland gebietsweise Nebel.
48850	52480	3630	Abu Bakr al-Bagdadi hat sich offenbar wieder gemeldet -
52610	54680	2070	nach mehreren Monaten Funkstille.
54780	57640	2860	Via Internet hat der Anführer der Terrormiliz IS
57890	62880	4990	Drohungen ausgestossen gegen Europa, die USA und auch gegen Israel.
63000	64400.00000000001	1400	Man kann es aber auch
64560	68039.99999999999	3480	als Durchhalteparole an die eigenen Kämpfer interpretieren.
68280	70920	2640	Denn der IS ist in Syrien und im Irak unter Druck.
71039.99999999999	76680	5640	Etwa im irakischen Ramadi, knapp 150 km von Bagdad entfernt.
76890	80000	3110	Hier gabs in den letzten Tagen erbitterte Kämpfe
80230	83120	2890	zwischen der irakischen Armee und dem IS.
83280	85960.00000000001	2680	Nun meldet der Irak, man habe die Terroristen
86170	89600	3430	aus der strategisch wichtigen Stadt verdrängt.
91010	93400	2390	Irakische Truppen beim Einmarsch in Ramadi.
93610	95920	2310	Letzte Hinterhalte werden noch durchsucht.
96090	99640	3550	Ein Soldat posiert bereits mit einer erbeuteten IS-Flagge.
99850	101960.00000000001	2110	Doch alle IS-Kämpfer seien geflohen
102210.00000000001	105840	3630	oder bei Luftangriffen getötet worden, meldet die irakische Armee.
106009.99999999999	108360	2350	Ramadi sei wieder in irakischer Hand.
108500	111200	2700	Bilder der Schlussoffensive:
111360	115200	3840	Vor fast einer Woche gestartet kam sie nur langsam voran.
115370	118920	3550	Der Grund ist das barbarische Vorgehen der IS-Kämpfer.
119080	121800	2720	Überall haben sie Sprengfallen und Bomben ausgelegt.
121950	125720	3770	Das hat unseren Truppen viel Schaden zugefügt.
125880	130080.00000000001	4200	Die Rückeroberung ist auch symbolisch wichtig.
130259.99999999999	132600	2340	Ramadi war neben Falludscha und Mossul
132770	135400	2630	eine der IS-Hochburgen im Irak.
135490	138640	3150	Und auch in Syrien erleidet der IS Verluste.
138730	141400	2670	So hat er gestern nahe seiner Hochburg Ar-Raqqa
141579.99999999997	144960	3380	die Kontrolle über den wichtigen Tischrin-Staudamm verloren.
145170.00000000003	148000	2830	Kurdenmilizen und Rebellen ist es gelungen,
148190	151160	2970	den Staudamm am Euphrat sowie zehn Dörfer einzunehmen -
151290	155360	4070	unterstützt aus der Luft durch die US-geführte Anti-IS-Koalition.
155480	160800	5320	Der IS verliert damit eine wichtige Verbindungsachse und Nachschubroute -
160990	164440	3450	und gerät so auch in Syrien weiter unter Druck.
167760	171600	3840	Die prekäre Situation in Syrien, dem Irak oder auch Afghanistan
171780	174560	2780	zwingt nach wie vor Tag für Tag Tausende dazu,
174660	176840	2180	ihre Heimat zu verlassen.
176980	179640	2660	Ihr Fluchtweg führt über die Türkei.
179730	181800	2070	Das Land ist  d i e  Drehscheibe
181990	185200	3210	und beherbergt zurzeit mehr als 2 Mio. Vertriebene -
185310	188240	2930	so viele wie kaum ein anderes Land.
188410	191760	3350	Die meisten Flüchtlinge wollen weiter. Warum eigentlich?
191970	195040	3070	Warum riskieren die Menschen ihr Leben und flüchten weiter?
195130	198560	3430	Warum bleiben sie nicht in der Türkei? Ruth Bossart.
199570	202560	2990	Dr. Roda behandelt in einem umgebauten Keller.
202720	207400	4680	Gerade mal 6 m2 gross ist das Sprech- zimmer der syrischen Gynäkologin
207520	209680	2160	in einem Aussenquartier von Istanbul,
209930	212840	2910	einem Ambulatorium für syrische Flüchtlinge.
212930	217960	5030	Ich bin froh, dass ich legal und in meinem Beruf arbeiten kann.
218130	221360	3230	Und v.a., dass ich meinen Landsleuten helfen kann.
221490	226640	5150	Dr. Roda ist allerdings auch nur vorläufig aufgenommen in der Türkei -
226740	230280	3540	so wie alle ihre Patienten, so wie alle Flüchtlinge hier.
230400	232160	1760	Im türkischen Gesetz
232329.99999999997	235320	2990	ist kein permanentes Asylrecht für sie vorgesehen.
235430	238960	3530	Die meisten meiner Patienten wollen darum weg von hier,
239070	240960	1890	weiter nach Europa.
241120	245080	3960	Sie haben keine Arbeit, es fehlt an Geld, die Mieten sind so teuer.
245280	250080	4800	Und dann können auch viele Kinder nicht zur Schule gehen.
250290	252960	2670	Schätzungsweise drei Viertel aller Flüchtlingskinder
253150	256320	3170	haben keinen Schulplatz oder sie müssen mitverdienen.
256470.00000000003	260320	3850	Das sind schlechte Perspektiven, sagt die Expertin.
260470.00000000003	262920	2450	Wenn wir das alles betrachten
263070	266280	3210	und die fehlende Möglichkeit permanentes Asyl zu erlangen,
266420	269730	3310	dann ist der Anreiz natürlich gross, weiterzuziehen,
269940	273170	3230	in ein Land, das umfassenden Schutz bietet,
273290	278690	5400	in ein Land wie Deutschland oder in Länder der EU.
278780	282810	4030	Die EU will die Türkei nun bei der Flüchtlingsbetreuung unterstützen
282930	285370	2440	mit 3 Mrd. Euro, und hofft,
285530	289530	4000	dass dann weniger Flüchtlinge Richtung Europa aufbrechen.
289670	292370	2700	Dieser Plan der EU und der Türkei
292570	295690	3120	kann die Flüchtlingswelle nicht stoppen.
295940	300410	4470	Denn die Leute wollen permanentes Asyl und einen umfassenden Schutz,
300580	303610	3030	sie wollen eine Arbeitsbewilligung
303750	308210	4460	und Ausbildungsmöglichkeiten für ihre Kinder.
308400	312810	4410	Doch dafür braucht es neue Gesetze in der Türkei, und das wird dauern.
312910	314650	1740	Wohl zu lange für viele,
314740	318290	3550	auch für viele Patienten von Dr. Roda hier in Istanbul.
320360	323810	3450	Der Dauerregen macht England zu schaffen.
324020	328250	4230	Besonders die Grafschaften Lancashire und Yorkshire im Norden Englands
328370	330610	2240	kämpfen gegen Hochwasser an.
332540	335810	3270	Tausende Menschen mussten bereits aus ihren Häusern evakuiert werden.
336020	339570	3550	Oft kommen die Helfer nur mühsam mit Schlauchbooten voran.
339740	342330	2590	In einer Krisensitzung hat die Regierung beschlossen,
342500	344730	2230	mehr Mittel des Militärs einzusetzen.
344980	347210	2230	Denn das sonnige Wetter heute täuscht.
347320	349930	2610	Für die nächsten Tage ist im Norden Englands
350070	352690	2620	erneut heftiger Regen angekündigt.
353550	355890	2340	In die USA, wo bei einem Polizeieinsatz
356050	359290	3240	erneut Schwarze ums Leben kamen. Diesmal in Chicago.
359400	363690	4290	Ausgerechnet: Chicago ist bereits im Visier des Justizministeriums -
363820	368090	4270	wegen wiederholter polizeilicher Verstösse gegen die Bürgerrechte.
368180	371730	3550	Ein junger Mann und eine Frau wurden erschossen. In einem Haus.
371840	374290	2450	Wie es dazu kam, ist noch unklar.
375660	377050	1390	In der Nacht auf gestern
377230	380570	3340	rückte die Polizei nach einem Anruf wegen häuslicher Gewalt aus.
380700	385410	4710	Zur Tatzeit drohte ein Jugendlicher mit einem Baseballschläger.
385560	389730	4170	Bei der Ankunft traf die Polizei auf eine gewaltbereite Person.
389900	392450	2550	Das führte dazu, dass der Polizist schoss
392610	395810	3200	und dabei zwei Individuen tödlich verletzte.
395930	397409.99999999994	1480	Der Fall wird nun
397560	402450	4890	von der unabhängigen Polizeiaufsicht untersucht.
402630	406450	3820	Nebst dem getöteten 19-jährigen Elektrotechnikstudent
406540	409850	3310	"erschoss die Polizei nach eigenen Angaben ""versehentlich"""
410060	412690	2630	auch eine 55-jährige Nachbarin.
412890	416810	3920	Alles eine Überreaktion, findet die Mutter des Jugendlichen:
416990	421490	4500	Acht Schüsse, davon traf auch einer eine unschuldige Frau,
421580	423930	2350	die gerade ihre Tür aufmachte.
424100	426730	2630	Da stimmt einfach etwas nicht.
426960	431010	4050	Es muss jetzt mal etwas getan werden.
431230	434570	3340	Die Polizei gab die Hautfarbe des schiessenden Polizisten
434690	436170	1480	nicht bekannt.
436350	439170	2820	Erneut läuft jetzt landesweit die Debatte über Fehlverhalten
439320	442610	3290	im Polizeikorps, sagt Korrespondent Thomas von Grünigen:
442780	445730	2950	Dieser Vorfall dürfte den Graben zwischen Polizei und Gesellschaft
445830	447290	1460	weiter vertiefen.
447500	450530	3030	Einige amerikanische Grossstädte haben zwar mittlerweile
450760	453330	2570	dringend nötige Polizeireformen angestossen -
453540	456210	2670	auch unter Druck von Präsident Obama.
456390	459090.00000000006	2700	Aber es braucht viel Zeit und Aufwand,
459190	461690	2500	um eine Kultur der Gewalt zu beseitigen,
461770	466010	4240	die sich über Jahrzehnte in Polizei und Gesellschaft festgesetzt hat.
467420	470050	2630	Nach Zürich, wo heute früh ein Mann zwei Polizisten
470260	472330	2070	mit einem Fleischermesser attackiert hat.
472610	476250	3640	Ein Teil des betroffenen Quartiers - Zürich Wiedikon - wurde abgesperrt.
476360	479850	3490	Als der Mann mit dem Messer auf die Polizisten losgegangen sei,
479990	483810	3820	so die Version der Polizei, habe man mehrfach auf ihn geschossen.
483910	486330	2420	Die Polizisten blieben unverletzt.
486490	490850	4360	Der Angreifer, ein Äthiopier, musste verletzt ins Spital gebracht werden.
491000	495930	4930	Er befinde sich in kritischem, aber stabilem Zustand, hiess es.
497670	499850	2180	Die Fest- und Weihnachtstage
499960	503610	3650	sind für die meisten von uns Tage der Geselligkeit.
503690	505330	1640	Aber eben nicht für alle.
505440	508170	2730	Für einige Menschen sind sie Tage der Einsamkeit.
508400	512610	4210	Dem will die Aktion No Empty Chairs at Christmas abhelfen,
512760	515850	3090	was so viel heisst wie kein leerer Stuhl an Weihnachten.
516049.99999999994	518770	2720	Lanciert worden ist diese nichtkommerzielle Plattform
518880	520850	1970	von einem grossen Möbelhaus.
520929.99999999994	524690	3760	Anmelden kann man sich als jemand, der Zusitzen möchte,
524840	528410	3570	aber auch als jemand, der einen leeren Stuhl zur Verfügung stellt.
528540	530010	1470	Susy Schär.
530970	533130	2160	Der Weihnachtstisch ist gedeckt,
533280	537010	3730	für die Tochter und gute Freunde von Marie-Francoise Ruesch.
540050	543290	3240	Ein Stuhl wird heute mit einem fremden Gast besetzt sein.
543390	545850	2460	Die Gastgeberin kennt ihn noch nicht.
545940	547690	1750	Michael heisst der Gast,
547790	551530	3740	dessen Pläne für die Festtage sich in Luft aufgelöst hatten.
551680	553730	2050	Ein paar Mal haben sie sich geschrieben,
553880	555450	1570	denn Marie-Francoise Ruesch
555670	559970	4300	wollte schon etwas mehr wissen über den unbekannten Mann.
560130	563850	3720	Ich sah im deutschen Fernsehen einen Bericht über einsame Menschen,
564020	566490	2470	die an Weihnachten keinen Platz haben.
566570	567970	1400	Das hat mich beschäftigt.
568130	571690	3560	Ich bin zufällig über Facebook auf einen Post von IKEA gestossen
571890	576210	4320	und auf die Aktion No Empty Chairs at Christmas aufmerksam geworden.
576270	579530	3260	Dann sehen sich die beiden zum ersten Mal:
579690	582330	2640	Hallo, Michael! - Hallo, Marie-Francoise.
582460	584570	2110	Schön, dich kennenzulernen. - Grüss dich.
584650	586130	1480	Willkommen.
586230	588730	2500	Die Begrüssung ist herzlich und unkompliziert -
