start	end	duration	text
12310	13040	730	1. Mai 2010.
28840	30780	1940	MIT TELETEXT-UNTERTITELUNG
31770	34420	2650	"Das ist ""Einstein"" - einen schönen guten Abend."
34580	36660	2080	Es grünt und blüht, der Frühling ist da.
36820	39660	2840	Trotzdem müssen Sie sich heute bei uns warm anziehen.
39810	40660	850	Wir haben frostige Winter, eine Lawinen-Killerin
42600	44580	1980	und einen eiskalten Mord.
46040	47940	1900	Eine Leiche im Moor:
48090	51740	3650	Heute startet unsere neue Serie über reale Kriminalfälle.
52970	55620	2650	Wie eine Zeitung von 1939 und wissenschaftlicher Spürsinn
56840	59380	2540	den Mörder vom Katzensee überführt haben.
61280	63260	1980	Achtung, Lawine!
65090	68340	3250	Wie man mit dieser riesigen Glocke Lawinen sprengt.
69560	70660	1100	Eiszeit in der Schweiz:
72380	75780	3400	Warum uns wieder längere und härtere Winter erwarten.
79230	82740	3510	Da erzähle ich Ihnen also von härteren und längeren Wintern.
82950	85660	2710	Just ein paar Tage, nachdem es schon im April 25 °C warm war
86950	90100	3150	und ich schon einmal in der Badehose an der Limmat lag.
90120	92100	1980	Und letzte Weihnachten?
92250	95820	3570	Auch da waren viele Skigebiete oben ohne, wegen zu wenig Schnee.
95920	100140	4220	Warum spricht man nun plötzlich von längeren und härteren Wintern,
100240.00000000001	100660	420	da wir doch die Klimaerwärmung haben?
104720	108979.99999999999	4260	Februar 2007. Grüne Wiesen statt weisse Skipisten.
110460.00000000001	114300	3840	Januar 2002. Schneemangel so weit das Auge reicht.
116210.00000000001	121300	5090	Januar 2014. Der drittwärmste Winter seit 151 Jahren.
123650	127260	3610	November 2009. Die Schweiz schon früh tief eingeschneit.
129820	130660	840	Januar 2006. Im Tessin liegt so viel Schnee wie seit 20 Jahren nicht mehr.
136690	141620	4930	Januar 2012. Schweizer Bergdörfer sind von der Umwelt abgeschnitten.
142170.00000000003	145660	3490	Auf dem Jungfraujoch misst man den kältesten Winter seit über 40 Jahren.
147730	151260	3530	Wurden die Winter nun kälter oder wärmer? Was gilt denn nun?
152210	155340	3130	Untersucht hat dies Klimaforscher Stephan Bader.
155360	157340	1980	Sein Befund:
157540	160780	3240	Die Wintertemperaturen haben sich im Durchschnitt deutlich verändert.
161250	163900	2650	Die Hochgebirgswinter sind in den letzten 25 Jahren
164020	165980	1960	signifikant kälter geworden.
166079.99999999997	168060	1980	Das ist der Grund dafür,
168210	171180	2970	warum die Kaltluftwetterlagen wieder häufiger vorkamen.
171329.99999999997	174100	2770	Wir haben in den letzten 10 Jahren auch im Flachland
174170.00000000003	175700	1530	wieder mehr Winter mit Schnee gehabt.
176250	179060	2810	Da fand in der Atmosphäre ein Wechsel statt.
179300	182860	3560	Ein Wechsel von mehr Warmluft zu mehr Kaltluft im Winter.
