start	end	duration	text
1470	10670	9200	.
10820	14910	4090	1:1-Untertitelung
15020	16149.999999999998	1130	Guten Abend.
16300	18750	2450	"Das ist ""Schweiz aktuell"" und dies sind heute unsere Themen:"
20930	22550	1620	Das verheerende Erdbeben in Nepal
22770	25350	2580	trifft auch viele Hilfsorganisationen vor Ort.
25520	27830	2310	Dazu gehört auch eine Stiftung aus dem Kanton Zürich,
27970	32470	4500	die sich seit über 20 Jahren um Strassenkinder Kathmandu kümmert.
35570	40310	4740	Scientology hat in Basel ein neues, prunkvolles Zentrum eingeweiht.
40480	43590	3110	Die Nachbarn im Quartier haben laut dagegen protestiert.
45670	49830	4160	Jelena war 1985 das erste Kind in der Schweiz,
49910	52550	2640	das dank künstlicher Befruchtung zur Welt kam.
52750	56150	3400	Gestern hat die Baslerin ihren 30. gefeiert.
59070	61870	2800	Das Erdbeben von Nepal hat Tausende Tote und Verletzte gefordert.
62010	63550	1540	Die Zerstörung ist riesig.
63740	67350	3610	Das Zentrum der Hauptstadt Kathmandu ist zu einem grossen Teil zerstört,
67380	69910	2530	darunter auch viele Kulturdenkmäler.
70070	75350	5280	In Kathmandu ist auch das Zürcher Hilfswerk Nawa Asha Griha.
75510	78350	2840	Eine Stiftung, die sich für Strassenkinder engagiert
78530	81270	2740	und selber von der Naturkatastrophe betroffen ist.
81440	84070	2630	Gegründet hat das Hilfswerk Nicole Thakuri-Wick,
84250	88630	4380	eine Zürcherin, die vor über 20 Jahren nach Nepal ausgewandert ist.
88710.00000000001	91390	2680	Die Basis des Hilfswerks ist in Langnau am Albis.
91539.99999999999	95670	4130	Von hier managt Judith Wick, die Mutter der Gründerin, das Hilfswerk.
95830	98070	2240	"""Schweiz aktuell"" hat sie heute Nachmittag besucht."
99390	102990.00000000001	3600	Manchmal braucht Judith Wick mehrere Anläufe,
103170	106630	3460	bis die Skype-Verbindung nach Kathmandu endlich steht.
106740.00000000001	110670	3930	I can't hear you clearly, but tell Nicole ...
110870	113710.00000000001	2840	Die gebürtige Australierin koordiniert von Langnau am Albis
113789.99999999999	115830	2040	das Hilfswerk mit ihrer Tochter.
115920	118080	2160	Nach dem Beben ist der Kontakt wichtiger denn je.
118240.00000000001	121800	3560	Nicole? Hi Nicole.
121910	124280	2370	Dann klappt es doch noch.
124470	127200	2730	Wir hatten grosses Glück, dass es am Tag passierte, nicht in der Nacht.
127390	135200	7810	Und dass keine Schule war, dass es am Nepali Sonntag war.
135340	138120	2780	Verletzte gab es keine in ihrer Schule,
138329.99999999997	139960	1630	die mitten in den Hochhäusern steht.
140120	143160	3040	Die Gebäude haben das Beben ohne Schäden überstanden.
143290	146040	2750	Die Stiftung Heim der guten Hoffnung
146200	148400	2200	unterrichtet Mädchen und Jungen aus ärmsten Familien.
148500	150360	1860	200 leben ständig im Heim,
150450	152280	1830	weitere 150 kommen von auswärts in die Tagesschule.
152470	155640	3170	Ihre Tochter ist in den 90er-Jahren nach Nepal ausgewandert.
155880	158120	2240	Sie machte eine Lehre als Tiefbauzeichnerin
158270	159970	1700	und wollte Ingenieurin werden.
160150	163130	2980	Als sie aber die Armut sah, habe sie sich anders besonnen.
163290	166410	3120	Sie wollte studieren, Civil Engineering.
166680	170450	3770	Und eines Tages ruft sie von Nepal an und sagt:
170600	174650	4050	"""Mum, these kids don't need engineers, they need love."""
174730	177530	2800	Aufgelegt.
177680	180890	3210	Von einem Frauenverein haben wir dann Geld gesammelt.
181020	183130	2110	Sie bekam ein paar Hundert Franken.
183290	186650	3360	Sie mietete ein Zimmer und lag mit den Kindern auf dem Boden,
186870	188570	1700	bis sie ein paar Betten gemacht hatte.
188740	190650	1910	Sie begann mit 6 Kindern.
190800	194170	3370	Was klein begann, ist heute eine Stiftung,
194350	196730	2380	die mehrere hundert Strassenkinder betreut.
196840	200210	3370	In Nepal bebt die Erde regelmässig.
200380	204050	3670	Aus diesem Grund macht das Hilfswerk regelmässig Katastrophenübungen
204110	207090	2980	mit den Jugendlichen.
207250	209690	2440	Darum seien sie jetzt für das Leben in Zelten gewappnet.
209870	212410	2540	Die Küchenmannschaft arbeitet jetzt draussen.
212600	214410	1810	Sie haben das so organisiert.
214630	217090	2460	Es sieht aus wie auf einem Jahrmarkt.
217190	219690	2500	Sie verteilen das Essen im Freien.
219910	222770	2860	Wir hoffen einfach, dass es nicht zu regnen beginnt.
222940	225650	2710	Die Schule habe zu Essen, zu Trinken und Treibstoff für die Generatoren,
225690	227430	1740	der für gut 2 Wochen reicht.
227560	229150	1590	Aber trotz Glück im Unglück -
229310	231710	2400	die Sorge um ihre Tochter belastet Judith Wick.
231930	235710	3780	Als Mutter - Sie können es sich vorstellen.
235850	239110	3260	Manchmal habe ich Angst, aber ...
239210	243270	4060	Judith Wick glaubt an ihre Tochter.
243370	247510	4140	Nach so vielen Jahren.
247690	250950	3260	Und ich sehe, was Nicole über die Jahre improvisiert hat,
251070	253590	2520	da habe ich volles Vertrauen.
253680	256750	3070	Vertrauen hat Judith Wick auch in die Spender.
256829.99999999997	259910.00000000003	3080	Seit dem Wochenende laufen die Drähte heiss in Langnau am Albis.
260089.99999999997	262070	1980	Bei einem von vielen privaten Hilfswerken,
262230	265870	3640	die versuchen, die Not in Nepal zu lindern.
268050	270750	2700	Die Glückskette sammelt für die Erdbebenopfer in Nepal.
270970	278030	7060	Spenden auf das Postkonto 10-15'000-6 mit dem Vermerk Nepal
278180	282950	4770	oder online auf glückskette.ch sind jederzeit möglich.
284490	286190	1700	Pendlerinnen und Pendler haben heute
286370	289670	3300	die Auswirkungen des Zugunglücks bei Daillens im Kanton Waadt
289800	291430	1630	zu spüren bekommen.
