start	end	duration	text
490	9270	8780	.
9960	14030	4070	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14610	15630	1020	Buna sera.
16329.999999999998	18670	2340	"Schön, dass Sie wieder bei ""Schweiz aktuell"" dabei sind."
19400	20270	870	Das sind die Themen heute:
21400	23870	2470	Das vermisste Kampfflugzeug der Schweizer Luftwaffe
24590	26550	1960	wurde südlich des Sustenpasses gefunden.
29790	33110	3320	Die Technologie einer neuartigen Strassenputzmaschine
33820	36310	2490	könnte für künftige Fahrzeuge wegweisend sein.
39200	43070	3870	Eine Sprachanalyse zu den seltsamen Unterschieden
43660	46710	3050	in der Deutschschweizer Mundart.
48070	51230	3160	Der im Berner Haslital verschollene F/A-18-Kampfjet
51980	54510	2530	wurde gefunden. Der Pilot wird aber immer noch vermisst.
55300	56830	1530	Das hat die Armee heute bekannt gegeben.
57470	58750	1280	Die Maschine der Schweizer Luftwaffe
59480	62950	3470	startete gestern Nachmittag um 16 Uhr vom Militärflugplatz Meiringen aus.
63620	65600	1980	Kurz darauf brach der Funkkontakt ab.
66320	69370	3050	Das Militär führte zwischen dem Sustenpass und dem Dammastock
70080	71450	1370	eine Suchaktion durch.
72120	74610	2490	Heute fand es Wrackteile im Gebiet Hinter Tierberg
75270	76930	1660	südlich des Sustenpasses.
77740	80490	2750	Unser Reporterteam war heute auch vor Ort.
81210.00000000001	84450	3240	Und zugeschaltet vom Militärflugplatz in Meiringen ist Katharina Locher.
85220	88730	3510	Wie muss man sich die umfangreiche Suchaktion vorstellen?
89460.00000000001	91410	1950	Wir untertiteln live:
94670	97210.00000000001	2540	Die Suchaktion
97880	101650	3770	wurde gestern sofort gestartet,
102350	107020.00000000001	4670	als man um 16:00 Uhr erfahren hatte, dass der Kampfjet
107630	109100	1470	vermisst wird.
109759.99999999999	115020.00000000001	5260	Man hat zwei Helikopter losgeschickt,
115729.99999999999	121300	5570	diese mussten aber zurück, weil es starken Nebel und viel Regen hatte.
123550	125700	2150	Dann hat man am Boden weiter gesucht, zu Fuss.
126420	129020.00000000001	2600	Bis in die Nacht, das wäre aber ein Zufall gewesen,
129750	131790	2040	hätten sie in diesem weitläufigen Gebiet etwas gefunden.
132510	135670	3160	Heute Morgen waren die Bedingungen aber viel besser.
136360	138590	2230	Am Flugplatz hat man heute ganz viele Landungen und Staats
139270	142430	3160	auf der Piste gesehen.
143200	148470	5270	Auch der Helikopter der Kantonspolizei Zürich ist hier,
153100	155030	1930	der mit Handyortung ausgerüstet ist.
155760	157390	1630	Man hat versucht, das Handy des Piloten zuordnen.
