start	end	duration	text
1580	5940	4360	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7870	9140	1270	Guten Abend, meine Damen und Herren.
9130	11980	2850	"Hier ist die ""Tagesschau"", und das sind die Themen heute Mittwoch."
14210	17980	3770	Der Nationalrat streitet über die Reform der Unternehmenssteuer.
20560	22940	2380	Nach der verlorenen Vorwahl in Florida
22910	26220	3310	scheidet ein weiterer Trump-Rivale aus.
29170	34540	5370	Der bisherige Bundespolizist Adrian Lobsiger wacht nun über die Daten.
36860	39220	2360	An der Baselworld setzt die Schweizer Uhrenindustrie
39200	41620	2420	auf günstigere Zeitmesser.
44070	47180	3110	Der Nebel löst sich rasch auf, und es wird mild.
49490	53300	3810	Einfach nichts tun, das kann sich die Schweiz nicht leisten.
53260	54900	1640	Deshalb sind sich eigentlich alle einig,
54890	57540	2650	dass es die Unternehmenssteuerreform III braucht.
57540	60980	3440	Sie soll verhindern, dass aus- ländische Firmen das Land verlassen,
60980	64340	3360	wenn sie dereinst keine Steuerprivilegien mehr erhalten.
64330	67460	3130	Aber weil auch die inländischen Firmen begünstigt werden sollen,
67430	70420	2990	führt das zu erheblichen Steuerausfällen.
70410	73740	3330	Und genau deswegen hört die Einigkeit auf im Parlament.
73700	76060	2360	Und es beginnen die Differenzen,
76039.99999999999	79020	2980	wie heute im Nationalrat zu sehen und zu hören war.
80490	82660	2170	* Raunen, Applaus * Pst! Frau Martullo ...
82650	84700	2050	* Glocke *
84690	87340	2650	Trotz unverrückbaren Fronten gab es heute im Nationalratssaal
87310	90300	2990	auch Erhellendes und Erheiterndes zu hören.
90289.99999999999	93340	3050	Frau Blocher, Sie haben sich ja ... - Mein Name ist Martullo.
93310	95660	2350	Frau Martullo ... * Lachen *
95650	97140	1490	Können Sie mir erklären, wie das geht?
97120	100820	3700	Sie haben sich 96 Mio. Dividenden auszahlen lassen.
100789.99999999999	102820	2030	Die Dividende, die Sie sehen,
102810	106380	3570	ist eben nicht die Dividende, die ich erhalte.
106380	110420	4040	Ich weiss auch nicht einmal mehr, ob sie 96 Mio. war.
110380	112900	2520	Vielleicht.
114430	116900	2470	Frau Martullo, auch Herr Matter hat noch eine Frage an Sie.
116880	118539.99999999999	1660	Herr Matter?
118530	121300	2770	* Lachen *
122050	124100	2050	Doch gut lachen hatten nur die Bürgerlichen.
124090	126220	2130	Die Linke unterlag auf der ganzen Linie.
126200	128699.99999999999	2500	Sie verlangte vergeblich, dass der Staat das,
128690	130979.99999999999	2290	was er durch die Unternehmenssteuerreform
130960.00000000001	133020	2060	an Einnahmen verliert, kompensiert erhält.
132990	135980	2990	Etwa durch eine Kapitalgewinnsteuer.
135960	140780	4820	Bund, Kantone und Gemeinden, meine Damen und Herren, sind in Geldnöten.
140760	145180	4420	Vor diesem Hintergrund ist es absolut verantwortungslos,
145170.00000000003	147740	2570	ein Gesetzespaket zu schnüren,
147700	152900	5200	das weitere Steuerausfälle von 1,5 Mrd. alleine beim Bund
152880	158220	5340	und weitere Milliarden bei Kantonen und Gemeinden verursacht.
158200	162820	4620	Doch die Bürgerlichen liessen sich durch die Kritik nicht beirren.
162810	171180	8370	Es geht darum, Unternehmen in der Schweiz eine Perspektive zu bieten,
171160	172940	1780	damit diese die Schweiz nicht verlassen
172930	174380	1450	und hier weiterhin Arbeitsplätze anbieten.
174350	177540	3190	Man darf nicht vergessen, dass das jetzige Steuerregime,
177530	181220	3690	das immerhin 24'000 Unternehmen betrifft,
181200	185780	4580	dass dieses spezielle kantonale Steuerregime aufgehoben werden muss.
185760	190700	4940	Um die globale Attraktivität der Schweiz zu bewahren,
190690	194860	4170	müssen wir neue steuerliche Instrumente schaffen.
194850	198340	3490	Der Stand der Dinge: Der Nationalrat hat die Unternehmenssteuerreform
198310	201579.99999999997	3270	mit zusätzlichen Steuererleichterungen versehen.
201560	203620	2060	Nun geht das Geschäft zurück in den Ständerat.
205579.99999999997	207020	1440	Die Differenzen sind klar - zwischen Links und Rechts.
207000	210420.00000000003	3420	Fritz Reimann, heisst das denn auch,
210380	213060	2680	dass die Unternehmenssteuerreform als Ganzes infrage gestellt ist?
213050	214740	1690	Wir untertiteln live:
228579.99999999997	232180	3600	Im Grundsatz bleibt die Reform unbestritten.
232280	234820	2540	Es geht darum, dass man ausländische Firmen steuerlich
234960	237300	2340	nicht mehr bevorzugen will.
237440	241420	3980	Man verschlechtert ihre Stresssituation nicht,
241650	247500	5850	sondern verbessert diejenige der Schweiz.
251390	255660	4270	Die Linke ist dem Parlament klar in der Minderheit mit ihrem Wunsch.
255790	261019.99999999997	5230	Ist mit einem Referendum zu rechnen?
261240	267140	5900	Im Moment ist es nicht mehr als eine Drohung.
269530	272540	3010	In der Hoffnung, dass die Kosten für Bund und Kantone doch noch
272650	275820	3170	gesenkt werden.
276040	280900	4860	Die SPD wird sich ein Referendum gut überlegen.
285820	288580	2760	Eine weiterführende Diskussion zur Unternehmenssteuerreform
288550	290700	2150	"gibt's heute Abend in der ""Classe Politique"""
290690	293220	2530	mit Finanzminister Ueli Maurer - um 20.55 Uhr auf SRF 1.
294330	296340.00000000006	2010	Schweizer Unternehmen sind unter Druck.
296320	299220	2900	In den letzten Wochen jagte eine Hiobsbotschaft die andere.
299210	301660	2450	Stellenabbau, Verlagerung von Stellen ins Ausland.
301650	303820	2170	Grund: Der starke Franken. Was nun?
303780	306340	2560	Mit dieser Frage befasste sich heute der Nationalrat.
306330	309420	3090	Lösungsansätze gab's kaum, dafür wurden einige Kröpfe geleert.
309390	311340	1950	Hanspeter Forster.
312890	314700	1810	Seit Anfang Jahr häufen sich die Meldungen
314690	316980	2290	über Stellenstreichungen in der Industrie:
316940	321780	4840	Alstom: minus 1'300 Arbeitsplätze, Arbonia Forster: minus 200 Stellen,
321750	326020	4270	Schindler: minus 120 Stellen und Sulzer: 90 Stellen weg.
326000	327340	1340	Was tun?
327310	329900	2590	Für die Linke im Nationalrat sind die Schuldigen klar:
329880	331860	1980	Die Währungspolitik der Nationalbank
331850	335540	3690	und Wirtschaftsminister Schneider- Ammann, der nichts dagegen tue.
335530	338980	3450	Sie wissen als Wirtschaftsminister, wie es um das Land steht.
338960	343500	4540	Und doch lassen Sie zu, dass Nationalbankchef Jordan
343490	348790	5300	in einer ungeheuerlichen Machtanmassung
348760	358750	9990	Widerfährt SchneiderStrukturpolitik gegen die Industrie dieses Landes betreibt.
358730	360550	1820	Die Bürgerlichen wiederum kritisierten die hohe Staatsquote,
360540	362590	2050	die Regulierungsdichte, die der Wirtschaft schade
362570	364950	2380	und sehen die Linke als Hauptverantwortliche dafür:
364940	367350	2410	Die SP ist Champion, wenn es um Massnahmen geht,
367340	369390	2050	die Arbeitsplätze kosten.
369380	372710	3330	Sie ist Serienkiller der Beschäftigung.
372680	375270	2590	Möglichst viel Freiraum für die Unternehmen schaffen,
375230	377430	2200	wenig Eingriffe des Staates -
377430	380510	3080	das ist auch das Credo des Wirtschaftsministers:
381230	383270	2040	Unsere Beschäftigung ist etwa 20 %
383260	386470	3210	über der Beschäftigung unseres westlichen Nachbars,
386430	390230	3800	etwa 13 % über dem OECD-Durchschnitt.
390210	393150	2940	Und das sind gute Ausweiszahlen, das zeigt,
393140	399150	6010	dass die Politik insgesamt so ganz falsch nicht sein kann.
399130	402790	3660	"Und so blieb's denn bei einer folgenlosen ""Kropfleerete"" im Rat."
402780	405550	2770	Konkrete wirtschaftspolitische Entscheide jedenfalls
405540	407990	2450	gab es heute keine zu fällen.
409240	411430	2190	Die umfassende Revision des Heilmittelgesetzes
411409.99999999994	412950	1540	ist unter Dach und Fach.
412909.99999999994	415550	2640	Nach dem Nationalrat hat heute auch der Ständerat zugestimmt.
417500	420830	3330	Die Medikamentenabgabe in Apotheken wird damit gelockert:
420820	424470	3650	Künftig können Apotheker gewisse verschreibungspflichtige Medikamente
424460	429310	4850	auch ohne Rezept abgeben, sofern es keine ärztliche Diagnose braucht.
429280	431630	2350	Nicht-rezeptpflichtige Medikamente
431600	433990	2390	sollen auch in Drogerien erhältlich sein.
433980	436310	2330	Und Arzneimittel mit geringem Risikopotential
436300	438790	2490	dürfen künftig sogar im Detailhandel verkauft werden.
441210	444550	3340	Medikamente seien in der Schweiz zu teuer im Vergleich zum Ausland.
444530	447430	2900	Zu diesem Schluss kommt der Krankenkassenverband santesuisse
447390	449710	2320	in einem internationalen Preisvergleich.
449700	452150	2450	Versicherte hätten demnach im untersuchten Jahr
452120	455030	2910	fast 500 Mio. Fr. zu viel bezahlt.
455020	457310	2290	Der Verband fordert deshalb, dass der Bundesrat die Handelsmargen senkt
457290	460310	3020	und diese dem Durchschnitt
460290	462150	1860	der europäischen Vergleichsländer anpasst.
463820	466060	2240	Das Feld lichtet sich.
466030	469380	3350	Donald Trump und Hillary Clinton haben bei den Vorwahlen
469370	473700	4330	ihren Vorsprung auf ihre parteiinterne Konkurrenz ausgebaut.
473690	478220	4530	Hillary Clinton gewinnt in allen fünf Bundesstaaten und kann jubeln.
478200	482660	4460	Ihr einziger Konkurrent, Bernie Sanders, liegt immer weiter zurück.
482620	486660	4040	Auf Clinton entfallen 1'599 Stimmen.
486620	488860	2240	Das ist bereits mehr als die Hälfte der Stimmen,
488830	491860	3030	die sie für eine Nomination bei den Demokraten benötigt.
491820	494540	2720	Auch die meisten der sog. Superdelegierten
494500	497500	3000	favorisieren sie und nicht Bernie Sanders.
498800	500620	1820	Bei den Republikanern
500580	503220	2640	hat Favorit Donald Trump ebenfalls nochmals Boden gutgemacht.
503220	506540	3320	Trump führt mit 661 Stimmen.
506510	511220	4710	Damit hat er, wie Clinton, rund die Hälfte der benötigten 1'237 Stimmen.
511210	517659.99999999994	6450	Dahinter liegen Ted Cruz mit 406 und Marco Rubio mit 169 Stimmen.
517620	521820.00000000006	4200	Rubio hat die Konsequenzen gezogen und sich aus dem Rennen genommen.
521809.99999999994	524860	3050	Und noch weniger, 142 Stimmen, hat John Kasich
524820	527580	2760	und liegt damit auf dem vierten Platz.
527540	530780	3240	Donald Trump genoss gestern Abend seinen Triumph.
532520	533940	1420	Selbstsicher,
533920	537180	3260	aber weit entfernt von seinen sonst so selbstgefälligen Auftritten
537150	540460	3310	zeigte sich Donald Trump gestern Abend.
540430	542900	2470	Er liess sich von seinen Anhängern feiern und verkündete,
542870	545820	2950	dies sei ein grosser Tag für Amerika.
545780	547660	1880	Ich will hier sagen,
547650	551700	4050	dass wir weiter vorwärtsgehen und dass wir gewinnen werden.
