start	end	duration	text
29010	30960	1950	MIT TELETEXT-UNTERTITELUNG
31550	33840	2290	"Guten Abend, willkommen zu ""Einstein""."
33990	35960	1970	Am WM-freien Abend gibt es auch bei uns wieder kein Fussball,
38950	41240	2290	aber sportlich wird es trotzdem.
41360	43360	2000	Die grossen Leichtathletikstars
43510	45720	2210	könnten sich bald noch mehr darum reissen,
45890	48850	2960	im Zürcher Letzigrund zu rennen. Warum? Darum:
50960	51210	250	Die neue Letzigrundbahn soll die schnellste Laufbahn der Welt werden.
55310	57490	2180	Wir zeigen, was so eine Bahn schnell macht
57720	61250	3530	und testen, was in derjenigen in Zürich wirklich drinsteckt.
62350	63930	1580	Das Handy im Flugzeug:
64080	65970	1890	Ist es bei modernen Flugzeugen überhaupt noch nötig, es auszumachen?
69160	71450	2290	Computerstimme: Die Route wird berechnet.
71539.99999999999	73140	1600	Navi an, Hirn aus:
73330	77460.00000000001	4130	Wie sich Navigationsgeräte auf unseren Orientierungssinn auswirken.
77550	80420	2870	Funktionen, die man nicht benutzt, verkümmern.
82400	84500	2100	Die neue Laufbahn im Letzigrund
84720	87340	2620	wird pünktlich zur Leichtathletik-EM in Zürich
87460.00000000001	90740	3280	und zum Meeting Weltklasse Zürich im August fertig.
90940	95820	4880	Und beim Meeting wird auch der schnellste Mann der Welt,
95910	96180	270	Usain Bolt, darauf rennen.
98830	100660	1830	Bei Athleten wie ihm
100800	104020.00000000001	3220	soll die Bahn wie legales, technisches Doping wirken,
104110	106700	2590	weil sie die Läufer noch schneller macht.
106840	108500	1660	Ob die neue Letzibahn
108670	111060	2390	wirklich das Potenzial zum weltrekordverdächtigen Renner hat?
112430	115580	3150	Unsere Kameras waren bei den entscheidenden Tests
115670	117380	1710	für die Piste magique dabei.
118990.00000000001	120540	1550	Zürcher Letzigrund.
120800	124260	3460	Spezialisten machen sich an die Operation Retopping.
124270	125980	1710	Ein 800'000 Fr. teures Facelifting,
127270	130139.99999999999	2870	das nicht schöner, sondern schneller macht.
130220	132740	2520	Zürich will seine Piste magique zurück,
