start	end	duration	text
2130	3950	1820	.
4110	6510	2400	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7270	9430	2160	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
9530	11550	2020	Und das sind die Themen von heute:
13650	18070	4420	Ägyptens Ex-Präsident wird wegen Verschwörung schuldig gesprochen.
20220	24310	4090	FDP-Chef Müller verspricht Aufklärung in der Lobbying-Affäre
24420	26310	1890	und fordert mehr Transparenz.
28500	31470	2970	Thailand schickt erneut Bootsflüchtlinge aufs Meer zurück.
33660	36280	2620	Am Morgen bedeckt, dann teils sonnig.
37470	40480	3010	Knapp 2 Jahre nach seinem Sturz die drakonische Strafe:
40600	42400	1800	Ein Gericht in Ägypten
42630	45280	2650	hat Ex-Präsident Mohammed Mursi zum Tode verurteilt.
45420	48440	3020	Und mit ihm 105 weitere Mitglieder
48710	50640	1930	der inzwischen verbotenen Muslimbruderschaft.
50800	53480	2680	Sie alle sollen an einer Verschwörung zu einem Gefängnisausbruch
53590	55400	1810	beteiligt gewesen sein.
56420	58920	2500	Mohammed Mursi kurz vor der Urteilsverkündung.
59070	61850	2780	Der gestürzte Ex-Präsident gibt sich betont locker -
62000	67570	5570	als würde er mit nichts anderem rechnen als mit der Höchststrafe.
67720	72210.00000000001	4490	Das Gericht verurteilt ihn und 105 Mitangeklagte
72310	74289.99999999999	1980	dann tatsächlich zum Tod.
74510	76970	2460	Sie sollen sich 2011 mit der palästinensischen Hamas
77150	79370	2220	und der libanesischen Hisbollah verschworen haben.
79590	82450	2860	Mit deren Hilfe seien sie damals aus einem Gefängnis ausgebrochen,
82620	85650	3030	um das Land zu destabilisieren.
85840	88890	3050	Die Todesurteile sollen nun dem Grossmufti Ägyptens,
89070	93130	4060	der obersten religiösen Instanz, zur Begutachtung vorgelegt werden.
93220	94530	1310	Erst dann will das Gericht
94660	98850	4190	die endgültige Entscheidung bekannt geben.
99020.00000000001	103930	4910	Mursis Verteidiger setzt nun ganz auf das religiöse Oberhaupt des Landes.
104050	105650	1600	Was das Gericht heute verkündet hat,
105800	107330	1530	ist nur ein Entscheid und kein Urteil
107590	111810	4220	Warten wir ab, was der Grossmufti sagt.
112030	114450	2420	2011 - als Mursi aus dem Gefängnis ausbrach -
114580	116490.00000000001	1910	hatten sich Ägyptens Massen gerade
116660	119970	3310	gegen den damaligen Langzeitherrscher Husni Mubarak erhoben.
120100	121810	1710	Der Gefängnisausbruch
121980	124490	2510	soll sogar von ihm selber angeordnet worden sein.
124630	126930	2300	Ein eklatanter Widerspruch zur jetzigen Anklage -
127100	131890	4790	welche von Menschenrechtsexperten ohnehin als Farce bezeichnet wird.
133350	135250	1900	Nach dem Sturz Mubaraks
135420	139610	4190	wurde Mursi 2012 der erste frei gewählte Präsident Ägyptens.
139710	143490	3780	Seine autoritäre Herrschaft dauerte allerdings nur ein Jahr.
143660	148130	4470	Nach erneuten Massenprotesten put- schte das Militär 2013 gegen Mursi.
148190	153530	5340	Seine Muslimbruderschaft wurde verboten.
153750	157329.99999999997	3580	Ob Mursi gegen das endgültige Urteil Berufung einlegen wird, ist offen.
157510	161540	4030	Er betrachtet das Gericht als nicht legitim.
162900	167540	4640	Das für ihn nicht legitime Gericht verurteilt ihn aber zum Tode.
167750	169740	1990	Pascal Weber in Kairo: Wie fest steht diese Todesstrafe?
169950	179700	9750	Wir untertiteln live:
179790	184660	4870	Selbst wenn der Grossmufti und evtl. ein weiteres Gericht
184760	190740	5980	dieses Urteil bekräftigt,
192300	196579.99999999997	4280	gehe ich kaum davon aus, dass ein mögliches Todesurteil
196700	202579.99999999997	5880	dann auch wirklich vollstreckt wird.
202740	204540	1800	Man weiss es zwar nie genau in Ägypten.
204720	209100	4380	Aber ich glaube, die Machthabern hier wissen genau,
209260	211980	2720	welche innenpolitischen und aussenpolitischen Risiken das
212090	214900	2810	mitbringen würde.
215050	218340	3290	Nur wenige Std. nach Verkündigung des Urteils wurden an einem anderen
218480	219260	780	Ort
219460	224220	4760	3 Richter in einem Hinterhalt getötet.
224430	227220	2790	Es ist längst nicht gesichert, dass die Tat in unmittelbarem
227380	228220	840	Zusammenhang steht
228390	232300	3910	mit der Urteilsverkündigung gegen Mohammed Mursi.
232480	236340	3860	Aber es zeigt deutlich, wo die Risiken liegen.
236520	239780	3260	Mursi und seine Mitangeklagten werden verurteilt, weil sie sich mit
239890	243140	3250	Hamas und Hisbollah verschworen haben sollen. Vor diesem Hintergrund
243310	249220	5910	tönt das Urteil mehr nach Vergeltung als nach Justitia.
250110	252900	2790	Es ist längst nicht nur Amnesty International, dass Ägypten
253040	258100.00000000003	5060	vorwirft,
258260	260740	2480	dass alle Prozesse gegen die Muslimbrüder jeglicher
