start	end	duration	text
1690	3510	1820	.
3600	7860	4260	"""10vor10"" mit Daniela Lager."
8000	10420	2420	Guten Abend meine Damen und Herren, unsere Themen heute:
11560	15980	4420	Russland versetzt Truppen in Alarmbereitschaft.
17630	21940	4310	Der Online-Handel in der Schweiz erreicht einen Rekord.
24080	29060	4980	Das neue Gesetz in Uganda öffnet dem Hass auf Homosexuelle Tür und Tor.
31410	37500	6090	Eine artistische Hommage an die Ideenwelt des Jean Tinguely.
37650	42900	5250	1:1-Untertitelung. Livepassagen können Fehler enthalten.
45730	48100	2370	Die Ukraine ist ein Zankapfel zwischen Ost und West.
48230	50620	2390	Die Spannung ist weiter gestiegen.
50780	53620	2840	Russland zieht an der Grenze zur Ukraine Truppen zusammen -
53750	56380	2630	übungshalber, wie Moskau der Nato meldet.
56560	59700	3140	Und auf der Krim zeigt die russischstämmige Mehrheit deutlich,
59890	63460	3570	dass sie den pro-westlichen Kurs der Übergangsregierung nicht mitträgt.
63570	68580	5010	Dem heute gewählten Regierungschef Arsenij Jazenjuk in Kiew ist bewusst,
68800	71660	2860	dass er vor einer Herkulesaufgabe steht:
71770	74140	2370	Das Land vorwärts zu bringen, ohne dass es zerbricht
74310	76740	2430	und ohne dass Moskau sich zum Handeln gezwungen sieht.
76880	78900	2020	Nina Blaser.
79980	82060	2080	So sieht russische Machtdemonstration aus.
82289.99999999999	84500	2210	Das russische Militär ist in Alarmbereitschaft.
84650	86940	2290	Russland hat mit Militärübungen begonnen,
87170	90020	2850	offenbar die grössten ihrer Art seit vielen Jahren.
90130	92020.00000000001	1890	An der Grenze zur Ukraine
92180	94789.99999999999	2610	sollen zudem einsatzbereite Kampflugzeuge stehen.
94970	99509.99999999999	4540	Russland spielt nicht nur mit militärischen Muskeln,
99630	104800	5170	sondern setzt auch die Medien ein.
104970	107400	2430	Der gestürzte ukrainische Präsident Wiktor Janukowytsch
107560	109920	2360	lässt im russischen Fernsehen verlauten,
110080	113400	3320	er sehe sich immer noch als legitimes Staatsoberhaupt der Ukraine.
113850	116120	2270	Im russischen Fernsehen wird auch berichtet,
116220	117640	1420	Janukowytsch soll sich in diesem Sanatorium nahe Moskau aufhalten.
117780	123920	6140	Benjamin Schenk, Professor für osteuropäische Geschichte
124010	127680	3670	an der Uni Basel, sagt, Russland empfinde die Revolution
127780	131640	3860	in der Ukraine als Provokation des Westens und provoziere nun zurück.
133210	140760	7550	Es geht zum einen um die Wahrung von Einflusssphären in einem Gebiet,
140890	144120	3230	das als natürliche Einflusssphäre Russlands gewertet wird.
144310	147320	3010	Als das nahe Ausland, wie es in Russland heisst.
147500	152440	4940	Es geht um den Einfluss auf wichtige Transportwege für Russlands Erdgas
152530	154640	2110	in den Westen.
154800	158440	3640	Und es geht auch um symbolisch wichtige Orte in der Ukraine,
158660	160600	1940	wie Kiew oder die Krim,
160820	163880	3060	die auch für Russland einen hohen symbolischen Stellenwert haben.
164090	166840	2750	Die Halbinsel Krim im Süden der Ukraine.
167060	170160	3100	In der Stadt Simferopol dominiert heute die russische Flagge.
170380	173560	3180	Pro-russische Demonstranten treffen auf lokale Sicherheitskräfte.
173720	175920.00000000003	2200	Die Lage ist angespannt.
179930	182200	2270	Gestern auf der Halbinsel.
182290	184920	2630	Zwischen pro-russischen und pro-westlichen Demonstranten
185100	188400	3300	kommt es zu Auseinandersetzungen - die Bilanz: dutzende Verletzte.
189930	192840	2910	Die Mehrheit der Bevölkerung auf Krim ist russisch,
192930	195960	3030	von der neuen ukrainischen Regierung will man hier nichts wissen.
196170.00000000003	198880	2710	Als Zeichen besetzten bewaffnete pro-russische Aktivisten
198980	201640	2660	das Parlamentsgebäude in Simferopol.
203780	207079.99999999997	3300	Ich denke, diese Provokationen müssen ernst genommen werden.
207300	211120	3820	Besonders in dem Sinne, dass der Westen verstehen muss,
211329.99999999997	214360	3030	dass es nur im Dialog mit Russland möglich sein wird,
214579.99999999997	217160	2580	eine Lösung dieses Konfliktes herbeizuführen.
217270	221400	4130	Und hoffentlich nicht in dem Sinne, dass es vielleich auch
221570	224200	2630	zu einer militärischen Konfrontation kommen kann.
224380	227400	3020	Dies will die internationale Gemein- schaft in jedem Fall verhindern.
229000	232440	3440	Russland darf nichts unternehmen, was die Spannungen verschärft
232560	235240	2680	oder zu Missverständnissen führt.
235460	240080	4620	Wir wissen, dass etwa 15 Mio. Menschen russischer Herkunft
240210	242360	2150	in der Ukraine leben.
242620	246040	3420	Und sie müssen sich genauso in den Arbeiten der Regierung wiederfinden,
246240	248360	2120	wie das für alle anderen gilt.
248580	250920	2340	In der Ukraine muss Stabilität einkehren,
251090	253640	2550	das Land braucht gute nachbarschaftliche Beziehungen.
253760	257079.99999999997	3320	Daran sollten alle arbeiten, auch Russland.
258100.00000000003	261040.00000000003	2940	Derweil treibt Russland sein militärisches Muskelspiel weiter.
261209.99999999997	264280	3070	Noch können diplomatische Gespräche Schlimmeres verhindern.
267820	270080	2260	Wir schalten zu Peter Gysling, guten Abend.
270250	273360	3110	Sie stehen in Simferopol auf der Krim,
273530	276560	3030	nachdem Sie regelmässig vom Maidan in Kiew berichtet haben.
276680	279000	2320	Das ist mehr als nur ein Ortswechsel.
280970	283360	2390	Wir untertiteln live:
283350	285320	1970	Ja.
287510	289840.00000000006	2330	Auf dieser Strasse war einiges los.
292180	294640	2460	Ich bin vor dem besetzten Parlament von Krim.
294770	296920	2150	Die Situation ist völlig anders.
298110	300320	2210	Russische Flaggen wurden geleast.
301680	303760	2080	Ukrainischer wurden eingeholt.
309720	312640	2920	Morgen will der geflüchtete ehemalige Präsident Janukowitsch an
312750	313840	1090	die Öffentlichkeit treten.
313990	315920	1930	Hatte noch etwas zu melden?
317130	320120	2990	Ich glaube, das sind noch letzte Zuckungen.
323150	326080	2930	Hier nimmt niemand mehr Janukowitsch Ernst.
328700	330600	1900	Sie haben 2010 ihm gewählt.
331100	333159.99999999994	2060	Heute wollen sie nicht mehr.
335340.00000000006	338159.99999999994	2820	Was sollte Machtdemonstration Russlands?
342340.00000000006	346159.99999999994	3820	Ich denke, es ist wirklich nur eine militärische Übung.
349540	352360	2820	Aber Russland hat natürlich Gewicht vor allem hier auf der Krim.
352500	354680	2180	Hier ist das Militär stationiert.
356970	359200	2230	Es ist aber auch eine Schutzmacht für die Russen,
359300	361240	1940	die hier leben.
362220	365400	3180	Eine friedliche Perspektive kann es nur geben,
366810	370800	3990	wenn alle ethischen Gruppierungen mitberücksichtigt werden.
375300	376600	1300	Die Tataren, und die West-Ukrainern.
376570	378720	2150	Danke Peter Gysling auf der Krim.
379480	382240	2760	Der Bundesrat hat heute bekannt- gegeben, dass die Schweiz plant,
382330	384440	2110	sämtliche Guthaben
384650	387080	2430	des abgesetzten Präsidenten Janukowytsch einzufrieren.
387250	389120	1870	Um wie viel Geld es dabei geht, ist nicht bekannt.
389850	392640	2790	Das Genfer Gefängnis Champ-Dollon macht auch heute wieder Schlagzeilen:
392730	394600	1870	In der chronisch überbelegten Anstalt
394810	396880	2070	haben Häftlinge heute den Aufstand geprobt.
397000	399480	2480	Die Polizei hat die Aktion mit einem Grossaufgebot beendet.
400630	402320	1690	Zur Genfer Strafanstalt
402480	404360	1880	mussten zusätzliche Sicherheitskräfte anrücken,
404480	406840.00000000006	2360	wie schon in den vergangenen Tagen.
409130	411840.00000000006	2710	Gegen 70 Häftlinge weigerten sich nach dem Spaziergang,
