start	end	duration	text
1850	2600	750	.
10400	12400	2000	MIT TELETEXT-UNTERTITELUNG
14850	17760	2910	Guten Abend, liebe Zuschauerinnen und Zuschauer.
18030	20440	2410	Familie ist so ein Drama für sich.
20900	24360	3460	Da gibt es ein recht prominentes Paar. Also zuerst sind sie 2.
24550	28000	3450	Aber weil das mit dem gewünschten Nachwuchs nicht klappt,
28230	31120	2890	hat sie die Idee, eine Leihmutter zu engagieren.
31220	32880	1660	Nicht so anonym, man kennt sich ja,
33450	35640	2190	und der Mann hat nichts gegen die andere Frau.
35770	38880	3110	Und tatsächlich: Das Wunschkind, ein Sohn, stellt sich ein.
39040	43120	4080	Aber wie das Leben so spielt, die ältere Frau wird doch noch schwanger,
43220	45240	2020	bekommt auch einen Sohn.
45290	46880	1590	Jeder, der sich überlegt,
47100	47800	700	wie ein Hollywood-Happy-End-Film funktioniert,
49610	51760	2150	vermutet, dass es nie so friedlich bleibt
51860	54080	2220	wie zuerst oder am Schluss einer Geschichte.
54270	57970	3700	Auch in unserer Promifamilie gibt es ein ziemliches Drama.
58060	60210	2150	Weil seine erste Frau es so will,
60380	62850	2470	schickt Vater Abraham die 2. mit ihrem Sohn in die Wüste.
63780	67470	3690	Vielleicht haben sie die Geschichte der prominenten Familie erkannt.
67630	71150	3520	Sie steht im ersten Buch der Bibel und erzählt von den Erzeltern,
71289.99999999999	74390	3100	von Abraham und Sarah, und von Hagar, ihrer Magd.
74539.99999999999	76150	1610	Es sind 2 Mütter,
76330	77789.99999999999	1460	die mit ihren Söhnen Isaak und Ismael ganz unterschiedliche Wege gehen.
80490	84510	4020	Die eine im Schutz der Sippe, die andere allein mit ihrem Sohn.
84740	88270	3530	Es ist eine Familiensaga, und gleichzeitig erzählt diese
88450	91190	2740	von der Entstehung der grossen Familie Mensch.
91330	92830	1500	Nun können Sie zu recht fragen, was an der Bibel heilig sein soll,
95289.99999999999	99110	3820	wenn wir darin nur lesen, dass es Familiendramen immer schon gab.
99300	101229.99999999999	1930	Mehr noch, dass die Gattung Mensch
101380	103710.00000000001	2330	aus einem einzigen Drama entstanden ist.
103850	107350	3500	Ich persönlich kann mit diesen Geschichten und ihren Figuren
107560	107830	270	mehr anfangen als mit Legenden von Heiligen.
110220	114280	4060	Die Erzeltern sind in ihrem ganzen Schlamassel fehlbar und menschlich.
114430	116360	1930	Das ist mir vertraut.
116620	119920	3300	Abraham, immer darauf bedacht, es allen recht zu machen.
120090	122800	2710	Und Sarah, eine privilegierte Frau, aber misstrauisch und ungeduldig.
124690	127440	2750	Und dann Hagar, die sich mit ihrer Kleinfamilie
127570	129440	1870	alleine durchschlagen muss.
129699.99999999999	132720	3020	Gleichzeitig ist sie unabhängig und eigenständig.
133820	136240	2420	Es ist mir manchmal schon unheimlich,
136430	137840	1410	wie viel von unserer modernen Welt in diesen uralten Texten steckt.
140780	145280	4500	Nehmen wir als Beispiel die Situation von Kindern aus getrennten Familien.
145370	149320	3950	Sie werden auch heute, wie Ismael, von Eltern und Geschwistern getrennt,
149460	151400	1940	verschoben wie Schachfiguren.
151660	152880	1220	Auch wenn das gemeinsame Sorgerecht bei getrennten Eltern
155210	157320	2110	nun gesetzlich die Norm sein wird,
157410	160440	3030	gelingt das manchmal besser und manchmal schlechter.
160660	163480	2820	Das Gesetz kann uns hier nicht alles abnehmen.
163650	166960	3310	Die Bibel eignet sich aber auch nicht als Handbuch.
167050	167840	790	Sie erzählt uns die Geschichte nicht mal zu Ende.
170310	172240	1930	Trotzdem, ich habe viel
172460	176320	3860	aus dieser Familiensaga von Abraham, Sarah und Hagar gelernt.
176490	180520	4030	Die Figuren gehen kreativ mit ihren schwierigen Situationen um.
180770	182870	2100	So kann ihre Geschichte und die ihrer Kinder weitergehen.
184520	187400	2880	Das, was anfänglich wie ein Desaster aussieht,
187620	190360	2740	bringt enorm viel Leben und Vielfalt hervor.
190530	194720	4190	Das Komplizierte ist dabei unter dem Himmel was völlig Normales.
194820	197860	3040	Aber die Helden der Bibel bleiben dran,
198000	201480	3480	suchen immer wieder neue Wege und bleiben nicht stehen.
201700	205320	3620	Manchmal muss Gott sie ein bisschen zur Umkehr schubsen,
205440	208400	2960	und manchmal wird auch Gott ins Gebet genommen.
208570	211960	3390	Aber sie bleiben dran an ihrer Beziehung zur Familie
212060	212960	900	und damit auch zu anderen aus der einen Familie Mensch.
215680	217720	2040	Das ist vielleicht das Heilige.
218700	221800	3100	Familie ist eine Welt für sich. Bleiben Sie dran!
224500	227880	3380	SWISS TXT / UT-Redaktion Zürich Alexandra Duttweiler - 2014
