start	end	duration	text
1030	2250	1220	.
2340	6250	3910	1:1-Untertitelung
6410	8450	2040	Guten Abend, meine Damen und Herren.
8650	11410	2760	"Hier ist die ""Tagesschau"", und das sind die Themen zu Wochenbeginn:"
12830	17450	4620	Im Kampf gegen den IS bildet sich eine Front von über 20 Staaten -
17580	20010	2430	es fehlen indes 2 Schlüsselländer.
22700	26490	3790	Jüdische und islamische Organisationen der Schweiz
26610	29410	2800	lancieren einen Appell gegen Gewalt.
31170	34250	3080	Die Frau von US-Vizepräsident Biden
34510	39570	5060	bewundert das Schweizer Berufs- bildungssystem und ermuntert Sabrina.
41000	46170	5170	Agatha Christies Detektiv Hercule Poirot ist auferstanden -
46260	48010	1750	zumindest literarisch.
49530	53010	3480	Nach Wolken- und Hochnebelfeldern gibt es Sonne,
53110	54810	1700	in den Bergen einzelne Schauer.
56780	60130	3350	Zeitlich ist es bloss Zufall, doch der Zusammenhang ist gegeben.
60230	64290.00000000001	4060	Am Wochenende hat die Terrormiliz IS der Weltöffentlichkeit im Internet
64430.00000000001	67890	3460	eine weitere unbeschreiblich schreckliche Hinrichtung einer Geisel
68010	69650	1640	präsentiert.
69760	74170	4410	Heute haben in Paris hochrangige Vertreter von mehr als 20 Nationen
74210.00000000001	75650	1440	darüber beraten,
75800	79010	3210	wie man die Terroristen in die Schranken weisen könnte.
79100	81210.00000000001	2110	"""Gemeinsam sind wir stark"", will man demonstrieren,"
81370	84370	3000	muss man aber auch demonstrieren angesichts der Gefahr.
84580	86770	2190	Der Gastgeber der Konferenz formuliert es so:
88120	93090	4970	Diese terroristische Bewegung ist grenzübergreifend geworden.
93289.99999999999	96130	2840	Sie gibt gar vor, einen Staat zu gründen.
96280	99130	2850	Die Bewegung ist zu einer globalen Gefahr geworden -
99330	101770.00000000001	2440	und bedingt eine globale Antwort.
101860	105610	3750	Sein irakischer Amtskollege Fuad Massum trifft am Morgen
105759.99999999999	109770.00000000001	4010	als Bittsteller in Paris ein. Er ersucht um militärische Hilfe.
109940	114009.99999999999	4070	Die Lage in seinem Land droht ihm vollends zu entgleiten.
114150	117850	3700	Wir bitten darum, dass die Luftschläge intensiviert werden -
118080	120850	2770	gegen die Aufenthaltsorte der Terroristen.
120940	125490	4550	Wir dürfen ihnen nicht ermöglichen, sich festzusetzen.
125570	128770.00000000001	3200	Ausländische Bodentruppen seien nicht nötig,
128860.00000000001	130889.99999999999	2030	versichert der irakische Präsident.
131130	133890	2760	Francois Hollande sichert ihm weitere Waffenlieferungen zu.
134100	137970	3870	Frankreich hat die Kurden im Nordirak bereits mehrfach beliefert.
138110	140890	2780	Stolz zeigen diese einem französischen Fernsehteam
140980	142210	1230	ihre Sturmgewehre,
142320	145810	3490	die Mitte letzter Woche aus Frankreich eingetroffen sind.
149810	152690	2880	Wir haben sie letzte Nacht eingesetzt.
152780	156090	3310	Sie waren sehr effizient und sehr einfach zu bedienen.
156220	160410	4190	Das ist die beste Waffe, die wir bis jetzt erhalten haben.
160550	163410	2860	Die Patronen stammen ebenfalls aus Frankreich -
163620	166410	2790	wie die Beschriftung auf den Kisten verrät.
166660	169850	3190	Sie sind vom französischen Konsulat in Erbil ausgeliefert worden.
169960	173650	3690	Wir schiessen damit auf die gepanzerten Fahrzeuge,
173740	176850	3110	die die Terroristen der irakischen Armee gestohlen haben.
177000	179770	2770	Ohne könnten wir sie nicht zurückdrängen.
179870	183450	3580	Mit den Waffen sind auch französische Soldaten in die Region gekommen -
183690	186930	3240	als Berater und Instruktoren. Ganz diskret.
187060	190690	3630	Dieser irakische General in Frontnähe bestätigt:
190800	193410	2610	Wir haben Franzosen getroffen. Natürlich.
193520	196730	3210	Sie helfen uns - mit taktischen und strategischen Tipps.
196850	198850	2000	Mehr darf ich nicht sagen.
199060	201970	2910	Unterstützung bekommen die Iraker inzwischen auch aus dem Iran.
202079.99999999997	204250	2170	Und trotzdem sass heute in Paris
204340	207210	2870	niemand aus Teheran mit am Verhandlungstisch.
207260	209170.00000000003	1910	Denn der Iran habe verlangt,
209270	212490	3220	dass auch Vertreter vom syrischen Regime mit eingeladen würden -
212630	214810	2180	wie aus diplomatischen Kreisen verlautete.
214940	217210	2270	Das wollte Paris dann doch nicht.
217400	221090	3690	Eine schlagkräftige Koalition gegen die IS-Milizen ins Leben zu rufen,
221290	223370	2080	gleicht der Quadratur des Kreises.
224500	227370	2870	Internationale Diskussionen und einzelne Zusicherungen
227540	229329.99999999997	1790	um handfeste Unterstützung hin oder her -
229490	231930	2440	vor Ort im Irak steht die irakische Armee
232130	236370	4240	den Dschihadisten der Terrorgruppe IS oft praktisch alleine gegenüber.
236530	239170.00000000003	2640	Immerhin: Es werden neue Erfolgsmeldungen
239310	241770	2460	im Kampf gegen den IS vermeldet.
242920	246250	3330	Soldaten der irakischen Armee - unterstützt durch freiwillige Kämpfer
