start	end	duration	text
20	5330	5310	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7320	9490	2170	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
9650	11890	2240	Das macht an diesem Donnerstag Schlagzeilen:
13750	17610	3860	Die Schweiz wappnet sich gegen einen möglichen Flüchtlingsstrom.
20150	24850	4700	Die EU will Passagierdaten der Airlines fünf Jahre lang speichern.
27040	29850	2810	Zwei Jahre nach der Entführung
29990	33050	3060	veröffentlicht Boko Haram ein Lebenszeichen.
36320	40050	3730	Charles Lewinsky feiert heute seinen 70.
42420	45050	2630	In den Alpen auch sonnige Abschnitte.
47430	50650	3220	Was tun, wenn plötzlich viel mehr Flüchtlinge in die Schweiz kommen,
50890	53090	2200	als das bis jetzt der Fall gewesen ist?
53290	57050	3760	Nach monatelangen Vorbereitungen haben der Bund, die Kantone,
57200	60970	3770	Städte und Gemeinden die Eckwerte einer Notfallplanung festgelegt.
61050	63410	2360	Da eine Prognose zur Zahl der Asylsuchenden
63640	65330	1690	praktisch unmöglich ist,
65530	68610	3080	gehen die Behörden für die Planung von verschiedenen Szenarien aus.
68730	70450	1720	Fritz Reimann berichtet.
72240	75930	3690	Bis zuletzt haben die Zuständigen an den Konzepten gearbeitet.
76050	78370	2320	Die Schweiz will vorbereitet sein.
78520	83090	4570	Doch vorläufig besteht keine ausserordentliche Situation.
83180	85570	2390	Wir sind heute - und das möchte ich betonen -
85670	87990	2320	nicht in einer Notlage.
88180	91190	3010	Auch hatten wir bisher keine Situation zu bewältigen,
91370	93990.00000000001	2620	die auch nur annähernd mit dem zu vergleichen ist,
94170	97750	3580	was andere europäische Länder zu bewältigen hatten.
97920	100229.99999999999	2310	Kritisch würde es, wenn innerhalb eines Monats
100490.00000000001	103750	3260	mehr als 6'000 Asylgesuche gestellt würden.
103890	105630	1740	In den letzten zwölf Monaten
105810	108550	2740	lag diese Zahl meistens deutlich darunter.
109810	113590	3780	Ab etwa 6'000 Gesuchen pro Monat müssten wir dann aber zumindest
113850	119070	5220	von einer besonderen Lage sprechen, wenn nicht von einer Notlage -
119160	121910	2750	sie ist ja eskalierend.
