start	end	duration	text
2680	2840	160	.
9970	11640	1670	MIT TELETEXT-UNTERTITELUNG
15370	17520	2150	Liebe Zuschauerinnen und Zuschauer,
17790	20480	2690	da wurde uns mal wieder ein dicker Bär aufgebunden.
20620	22600	1980	Oder sollte ich besser sagen:
22740	25480	2740	Da wurde systematisch das Blaue vom Himmel gelogen?
25650	26560	910	Ein Frachtschiff ermöglichte im Dezember fast 800 Flüchtlingen
29790	32119.999999999996	2330	eine heikle Überfahrt ins Ungewisse.
32290	35840	3550	Die Blue Sky M ging als Geisterschiff durch die Presse:
35940	37920	1980	ohne Besatzung, seeuntauglich
38050	41520	3470	und von Schleppern auf Kollisionskurs mit der Küste geschickt.
41970	45320	3350	Die Europäische Grenzschutzbehörde Frontex nutzte diesen Eindruck,
45370	47840	2470	um v.a. die Schlepper zu diffamieren.
47970	50480	2510	Jetzt steht die Frontex selbst unter Verdacht,
50570	53160	2590	gezielt falsche Informationen gestreut zu haben.
53340	56560	3220	Das grenze an Propaganda, darüber war sich die belogene Presse einig.
57310	59960	2650	Die Schuldigen sind nun nicht mehr die Schlepper,
60050	62000	1950	sondern die Grenzschutzbehörde.
62090	66480	4390	Aber: Was ist aus den Menschen geworden, die auf der Blue Sky waren?
66650	70960.00000000001	4310	Sind sie uns 9 Wochen später über- haupt noch Nachrichtenbeiträge wert?
71070	71560	490	Oder ist das Thema mit der Aufdeckung irgendeiner Lüge jetzt vom Tisch?
75050	77080	2030	Es braucht Talent zum Lügen.
77150	79200	2050	Aber noch mehr Talent ist gefordert,
79370	81840	2470	wenn man selbst offensichtlich belogen wird.
81930	84120	2190	Da braucht es einen klaren Kopf.
84130	86080	1950	Vielleicht kennen Sie das,
86250	86600	350	dass gegenseitiges Misstrauen zur Eskalation führt.
89170	92160	2990	Das eigentliche Thema tritt dabei meist zurück.
92330	95920	3590	Eine tolle Lügengeschichte gibt es in der Bibel im Buch Josua.
96050	99680	3630	Dort herrscht ein Krieg, der in seiner beschriebenen Grausamkeit
99770.00000000001	101600	1830	an die Kriege unserer modernen Zeit erinnert.
102390	104960.00000000001	2570	Von erniedrigenden Exekutionen wird berichtet.
105130	107960.00000000001	2830	Kein Leben - weder von Frauen noch Kindern -
108090	110520.00000000001	2430	ist sicher vor dem gefrässigen Schwert.
110660	113520.00000000001	2860	Ganze Königreiche erzittern vor einem Wüstenvolk,
113650	115680	2030	das Stadt um Stadt erobert.
115789.99999999999	116600	810	Die Leute aus Gibeon kämen geografisch als Nächste dran.
119530	121520	1990	Aber sie warten nicht ab,
121610	125360	3750	sondern schicken ihre Diplomaten zum gefürchteten Befehlshaber.
125500	129000	3500	Die gehen da nicht mit Schlips, Krawatte und Geldköfferchen hin,
129090	131680	2590	sondern sie präparieren sich als Landstreicher.
132010	133800	1790	Sie verkleiden sich richtig.
133880	136260	2380	In verlotterten Kleidern und kaputten Sandalen
136370	138340	1970	gehen sie zum Anführer Josua
138490	141300	2810	und schmieren ihm so richtig Honig ums Maul.
141470	143460	1990	Sie lügen ihm die Hucke voll.
143570	146620	3050	Sie kämen von ganz weit her, das sehe man ja an den Sandalen,
146970	148980	2010	und sie bewundern seine Stärke.
149130	153260	4130	Und sie wünschen sich nichts sehnlicher als ein Bündnis mit ihm.
153930	157020	3090	Josua, der nach Strich und Faden veräppelt wird,
157090	159420.00000000003	2330	hat das wahrscheinlich durchschaut.
159770	161620	1850	Trotzdem: Er geht das Bündnis ein.
163250	166700	3450	Damit stehen die Leute aus Gibeon unter seinem Schutz.
166810	168820	2010	Er lügt quasi mit.
169050	171810	2760	Dass der Schwindel auffliegt, ist nicht so wichtig,
171970	174770	2800	sondern dass das Bündnis zur Grundlage wird.
175650	176690	1040	Wer wen wie belogen hat,
177690	181530	3840	wird unwichtig angesichts einer möglichen Zukunft für alle.
182250	184890	2640	Die Lüge wird im Buch Josua zu einer List,
185060	187460	2400	die auf beiden Seiten Menschen rettet.
187620	190020	2400	Das ist der Unterschied zu den Lügen,
190230	191620	1390	die nur den Vorteil für eine Seite suchen.
193050	195980	2930	Lügen, die der Erhaltung des Status quo dienen.
197500	200700	3200	Gelogen wird weiterhin, aus Angst oder Misstrauen,
200850	203620	2770	aber manchmal können Menschen nicht anders,
203730	206730	3000	wenn es ums nackte Überleben geht. Und jede Lüge schützt ein Bedürfnis.
209890	213220	3330	Wenn ich das nächste Mal belogen werde und es merke,
213370	216180	2810	möchte ich einen Moment dem Warum nachgehen.
216329.99999999997	218860	2530	Warum wird die Wahrheit hier verkleidet?
219650	221660	2010	Ihnen - ganz ehrlich - einen schönen Abend.
225660	228940	3280	SWISS TXT / UT-Redaktion Zürich Tanja Morana - 2015
