start	end	duration	text
1890	3740	1850	.
9990	12380	2390	1:1-Untertitelung. Livepassagen können Fehler enthalten.
12520	14940	2420	"Guten Abend miteinander, das ist ""Schweiz aktuell""."
15020	16379.999999999998	1360	Und dies sind heute unsere Themen:
17560	20580	3020	Der Bootsführer eines Riverrafting-Unternehmens
20720	22860	2140	ist unschuldig am Tod einer jungen Frau.
23030	24940	1910	Das hat das Gericht in Thun heute entschieden.
25720	28380	2660	Eine Reportage aus dem Arxhof in Baselland
28560	30780	2220	zeigt das Leben von Jugendlichen im Strafvollzug.
32460	34180	1720	Mehrere Familien im Kanton Bern
34320	36820	2500	bieten Unterkünfte für Flüchtlinge aus Syrien.
37020	39820	2800	Die Bürokratie macht das aber zu einem schwierigen Unterfangen.
41370	43660	2290	Es gibt Neuigkeiten im Spionagekrimi
43860	45620	1760	um den Walliser Weinhändler Dominique Giroud.
45790	48020	2230	Der Unternehmer ist wieder auf freiem Fuss -
48100	50340	2240	und mit ihm auch ein mutmasslicher Hacker,
50500	53060	2560	ein Privatdetektiv und eine 4. Person.
53250	55460	2210	Das teilt die Genfer Staatsanwalt mit.
55630	57620	1990	Die 4 Verdächtigen wurden am 11. Juni inhaftiert.
57720	59660	1940	In der Affäre Giroud
59820	63380	3560	geht es u.a. um einen Computerangriff auf das Westschweizer Fernsehen.
63460	66820	3360	Die Untersuchungen in diesem mysteriösen Fall laufen weiter.
68220	70700	2480	Heute ist ein Riverrafting-Guide
70850	73460.00000000001	2610	vom Regionalgericht Thun freigesprochen worden.
73660	76980	3320	Er stand wegen des Vorwurfs der fahrlässigen Tötung vor Gericht -
77160	79300	2140	das nach dem tödlichen Unfall einer Zürcher Schülerin
79450	84180	4730	auf einer Riverrafting-Tour 2007 zwischen Gstaad und Chateau-d'Oex.
84330	89340	5010	Die Opferfamilie und ihr Anwalt sind empört über den Freispruch.
90020	92860	2840	Ich bin masslos enttäuscht.
93030	95979.99999999999	2950	Man hat die Geschichte, die der Angeschuldigte nach 7 Jahren
96170	98820	2650	gestern nun das erste Mal präsentierte vollumfänglich geglaubt
98970	100660	1690	und man hat darauf abgestellt,
100860	102979.99999999999	2120	dass seine Handlungsvariante die richtige gewesen sei.
103120	106100	2980	Die Handlungsvariante hätte bedeutet,
106250	109020.00000000001	2770	dass er absichtlich eine kleinere Distanz gehabt hätte,
109200	111580	2380	weil er gedacht hatte, dass das Boot vor ihm kippen
111660	114340	2680	und alle darin ins Wasser fallen könnten -
114500	117220	2720	und er könnte dann vorbeifahren und alle Leute aus dem Wasser fischen.
117370	119780	2410	Das ist für mich eine völlig abstruse Theorie.
119880	123300	3420	Es geht um den tragischen Unfall in der Vanel-Schlucht im Juli 2007.
123540	126580	3040	Eine Schulklasse aus dem Kanton Zürich
126730	128910	2180	macht eine Riverrafting-Tour auf der Saanen.
129100	132150	3050	An einer engen Stelle verkeilt sich ein Boot an einem Fels.
132380	135710	3330	Das Boot, das dahinter kommt, fährt hinein und kentert.
135910	138110	2200	Eine 15-jährige Schülerin bleibt längere Zeit unter Wasser hängen
138310	141150	2840	und stirbt später im Spital.
141280	143710	2430	Heute muss sich der Guide des Boots
143860	146670.00000000003	2810	vor Gericht der zentralen Frage stellen,
146820	149630	2810	ob er genügend Abstand zum vorderen Boot hatte.
149820	152750	2930	Dafür gebe es keine fixen Regeln, sagt der Thuner Richter.
152930	156310	3380	Die Guides müssten den Abstand je nach Situation einschätzen.
156490	159030	2540	Und wie dieser zu diesem Zeitpunkt hätte sein sollen,
159180	161030	1850	könne man im Nachhinein nicht mehr feststellen.
161220	163230	2010	Deshalb spreche er den angeklagten Riverrafting-Guide
163270	166470	3200	mindestens in dubio pro reo frei.
166620	170590	3970	7 Jahre nach dem Unglück bekommt die Familie des Opfers nicht Recht.
